Username,Repository,Stars,Repo URL
dotnet,aspnetcore,32.8k,https://github.com/dotnet/aspnetcore
files-community,Files,29.1k,https://github.com/files-community/Files
SeleniumHQ,selenium,28k,https://github.com/SeleniumHQ/selenium
jellyfin,jellyfin,25.8k,https://github.com/jellyfin/jellyfin
Ryujinx,Ryujinx,25k,https://github.com/Ryujinx/Ryujinx
dotnet,maui,20.1k,https://github.com/dotnet/maui
AvaloniaUI,Avalonia,19.9k,https://github.com/AvaloniaUI/Avalonia
dotnet,core,19.3k,https://github.com/dotnet/core
icsharpcode,ILSpy,18.9k,https://github.com/icsharpcode/ILSpy
pulumi,pulumi,17.8k,https://github.com/pulumi/pulumi
dotnet,corefx,17.8k,https://github.com/dotnet/corefx
quozd,awesome-dotnet,17.4k,https://github.com/quozd/awesome-dotnet
MoienTajik,AspNetCore-Developer-Roadmap,16.6k,https://github.com/MoienTajik/AspNetCore-Developer-Roadmap
microsoft,react-native-windows,15.7k,https://github.com/microsoft/react-native-windows
BeyondDimension,SteamTools,15.5k,https://github.com/BeyondDimension/SteamTools
ardalis,CleanArchitecture,13.6k,https://github.com/ardalis/CleanArchitecture
OpenRA,OpenRA,13.5k,https://github.com/OpenRA/OpenRA
bitwarden,server,13.4k,https://github.com/bitwarden/server
dotnet,runtime,12.8k,https://github.com/dotnet/runtime
dotnet,coreclr,12.8k,https://github.com/dotnet/coreclr
App-vNext,Polly,12.4k,https://github.com/App-vNext/Polly
docker,labs,11.4k,https://github.com/docker/labs
aspnetboilerplate,aspnetboilerplate,11.3k,https://github.com/aspnetboilerplate/aspnetboilerplate
mono,mono,10.6k,https://github.com/mono/mono
winsw,winsw,10.3k,https://github.com/winsw/winsw
MonoGame,MonoGame,10.2k,https://github.com/MonoGame/MonoGame
JustArchiNET,ArchiSteamFarm,9.8k,https://github.com/JustArchiNET/ArchiSteamFarm
dotnet,orleans,9.5k,https://github.com/dotnet/orleans
dotnet,BenchmarkDotNet,9.5k,https://github.com/dotnet/BenchmarkDotNet
IdentityServer,IdentityServer4,9.1k,https://github.com/IdentityServer/IdentityServer4
kgrzybek,modular-monolith-with-ddd,9k,https://github.com/kgrzybek/modular-monolith-with-ddd
MathewSachin,Captura,8.9k,https://github.com/MathewSachin/Captura
gui-cs,Terminal.Gui,8.6k,https://github.com/gui-cs/Terminal.Gui
dotnet,machinelearning,8.6k,https://github.com/dotnet/machinelearning
HangfireIO,Hangfire,8.6k,https://github.com/HangfireIO/Hangfire
nopSolutions,nopCommerce,8.5k,https://github.com/nopSolutions/nopCommerce
awsdocs,aws-doc-sdk-examples,8.2k,https://github.com/awsdocs/aws-doc-sdk-examples
unoplatform,uno,8k,https://github.com/unoplatform/uno
ThreeMammals,Ocelot,7.9k,https://github.com/ThreeMammals/Ocelot
mbdavid,LiteDB,7.8k,https://github.com/mbdavid/LiteDB
bchavez,Bogus,7.7k,https://github.com/bchavez/Bogus
reactiveui,ReactiveUI,7.7k,https://github.com/reactiveui/ReactiveUI
egametang,ET,7.6k,https://github.com/egametang/ET
spectreconsole,spectre.console,7.6k,https://github.com/spectreconsole/spectre.console
reactiveui,refit,7.6k,https://github.com/reactiveui/refit
QuestPDF,QuestPDF,7.5k,https://github.com/QuestPDF/QuestPDF
quasar,Quasar,7.3k,https://github.com/quasar/Quasar
NancyFx,Nancy,7.2k,https://github.com/NancyFx/Nancy
ElectronNET,Electron.NET,6.9k,https://github.com/ElectronNET/Electron.NET
studyzy,imewlconverter,6.6k,https://github.com/studyzy/imewlconverter
thangchung,clean-code-dotnet,6.5k,https://github.com/thangchung/clean-code-dotnet
RicoSuter,NSwag,6.1k,https://github.com/RicoSuter/NSwag
NLog,NLog,6k,https://github.com/NLog/NLog
Elfocrash,.NET-Backend-Developer-Roadmap,6k,https://github.com/Elfocrash/.NET-Backend-Developer-Roadmap
MassTransit,MassTransit,6k,https://github.com/MassTransit/MassTransit
quartznet,quartznet,5.9k,https://github.com/quartznet/quartznet
d2phap,ImageGlass,5.8k,https://github.com/d2phap/ImageGlass
CommunityToolkit,WindowsCommunityToolkit,5.6k,https://github.com/CommunityToolkit/WindowsCommunityToolkit
ant-design-blazor,ant-design-blazor,5.2k,https://github.com/ant-design-blazor/ant-design-blazor
lepoco,wpfui,5.2k,https://github.com/lepoco/wpfui
elsa-workflows,elsa-core,5.1k,https://github.com/elsa-workflows/elsa-core
bitwarden,mobile,5.1k,https://github.com/bitwarden/mobile
shimat,opencvsharp,4.8k,https://github.com/shimat/opencvsharp
Azure,azure-sdk-for-net,4.8k,https://github.com/Azure/azure-sdk-for-net
ChilliCream,graphql-platform,4.7k,https://github.com/ChilliCream/graphql-platform
akkadotnet,akka.net,4.5k,https://github.com/akkadotnet/akka.net
opserver,Opserver,4.4k,https://github.com/opserver/Opserver
dnSpyEx,dnSpy,4.4k,https://github.com/dnSpyEx/dnSpy
pardeike,Harmony,4.4k,https://github.com/pardeike/Harmony
Tencent,puerts,4.2k,https://github.com/Tencent/puerts
commandlineparser,commandline,4.2k,https://github.com/commandlineparser/commandline
dotnet,machinelearning-samples,4.2k,https://github.com/dotnet/machinelearning-samples
toolgood,ToolGood.Words,4.2k,https://github.com/toolgood/ToolGood.Words
microsoft,BotBuilder-Samples,4.1k,https://github.com/microsoft/BotBuilder-Samples
pythonnet,pythonnet,4k,https://github.com/pythonnet/pythonnet
dotnet,docs,3.9k,https://github.com/dotnet/docs
ScottPlot,ScottPlot,3.9k,https://github.com/ScottPlot/ScottPlot
Tyrrrz,CliWrap,3.8k,https://github.com/Tyrrrz/CliWrap
xunit,xunit,3.8k,https://github.com/xunit/xunit
lando,lando,3.8k,https://github.com/lando/lando
xoofx,markdig,3.8k,https://github.com/xoofx/markdig
cobbr,Covenant,3.8k,https://github.com/cobbr/Covenant
MvvmCross,MvvmCross,3.8k,https://github.com/MvvmCross/MvvmCross
openiddict,openiddict-core,3.8k,https://github.com/openiddict/openiddict-core
microsoft,perfview,3.8k,https://github.com/microsoft/perfview
tmenier,Flurl,3.8k,https://github.com/tmenier/Flurl
JanKallman,EPPlus,3.7k,https://github.com/JanKallman/EPPlus
fullstackhero,dotnet-webapi-boilerplate,3.7k,https://github.com/fullstackhero/dotnet-webapi-boilerplate
cake-build,cake,3.7k,https://github.com/cake-build/cake
mono,SkiaSharp,3.7k,https://github.com/mono/SkiaSharp
dotnet,docfx,3.6k,https://github.com/dotnet/docfx
dotnet,fsharp,3.6k,https://github.com/dotnet/fsharp
ExcelDataReader,ExcelDataReader,3.6k,https://github.com/ExcelDataReader/ExcelDataReader
dependabot,dependabot-core,3.6k,https://github.com/dependabot/dependabot-core
XuanchenLin,NanUI,3.5k,https://github.com/XuanchenLin/NanUI
morelinq,MoreLINQ,3.5k,https://github.com/morelinq/MoreLINQ
Dotnet-Boxed,Templates,3.3k,https://github.com/Dotnet-Boxed/Templates
testcontainers,testcontainers-dotnet,3.2k,https://github.com/testcontainers/testcontainers-dotnet
dotnet,samples,3.1k,https://github.com/dotnet/samples
fluentmigrator,fluentmigrator,3k,https://github.com/fluentmigrator/fluentmigrator
