Username,Repository,Stars,Repo URL
mrdoob,three.js,94.9k,https://github.com/mrdoob/three.js
pmndrs,react-three-fiber,24k,https://github.com/pmndrs/react-three-fiber
libgdx,libgdx,22k,https://github.com/libgdx/libgdx
BabylonJS,Babylon.js,21.5k,https://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer,18k,https://github.com/ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,16.1k,https://github.com/lettier/3d-game-shaders-for-beginners
aframevr,aframe,15.7k,https://github.com/aframevr/aframe
FreeCAD,FreeCAD,15.3k,https://github.com/FreeCAD/FreeCAD
CesiumGS,cesium,11k,https://github.com/CesiumGS/cesium
MonoGame,MonoGame,10.1k,https://github.com/MonoGame/MonoGame
metafizzy,zdog,10k,https://github.com/metafizzy/zdog
blender,blender,9.7k,https://github.com/blender/blender
isl-org,Open3D,9.5k,https://github.com/isl-org/Open3D
timzhang642,3D-Machine-Learning,9.2k,https://github.com/timzhang642/3D-Machine-Learning
a1studmuffin,SpaceshipGenerator,7.5k,https://github.com/a1studmuffin/SpaceshipGenerator
domlysz,BlenderGIS,6.7k,https://github.com/domlysz/BlenderGIS
nerfstudio-project,nerfstudio,6.7k,https://github.com/nerfstudio-project/nerfstudio
FyroxEngine,Fyrox,6.6k,https://github.com/FyroxEngine/Fyrox
google,model-viewer,6k,https://github.com/google/model-viewer
openscad,openscad,5.9k,https://github.com/openscad/openscad
4ian,GDevelop,5.3k,https://github.com/4ian/GDevelop
spritejs,spritejs,5.2k,https://github.com/spritejs/spritejs
jagenjo,webglstudio.js,5k,https://github.com/jagenjo/webglstudio.js
tensorspace-team,tensorspace,4.9k,https://github.com/tensorspace-team/tensorspace
tengbao,vanta,4.9k,https://github.com/tengbao/vanta
yfeng95,PRNet,4.8k,https://github.com/yfeng95/PRNet
ssloy,tinyraytracer,4.7k,https://github.com/ssloy/tinyraytracer
cocos,cocos-engine,4.7k,https://github.com/cocos/cocos-engine
veloren,veloren,4.5k,https://github.com/veloren/veloren
mosra,magnum,4.5k,https://github.com/mosra/magnum
AaronJackson,vrn,4.5k,https://github.com/AaronJackson/vrn
urho3d,urho3d,4.4k,https://github.com/urho3d/urho3d
gfxfundamentals,webgl-fundamentals,4.3k,https://github.com/gfxfundamentals/webgl-fundamentals
adrianhajdin,project_3D_developer_portfolio,4.1k,https://github.com/adrianhajdin/project_3D_developer_portfolio
cnr-isti-vclab,meshlab,4k,https://github.com/cnr-isti-vclab/meshlab
vasturiano,3d-force-graph,3.9k,https://github.com/vasturiano/3d-force-graph
AlmasB,FXGL,3.8k,https://github.com/AlmasB/FXGL
troisjs,trois,3.8k,https://github.com/troisjs/trois
galacean,engine,3.8k,https://github.com/galacean/engine
cleardusk,3DDFA,3.5k,https://github.com/cleardusk/3DDFA
jasonlong,isometric-contributions,3.4k,https://github.com/jasonlong/isometric-contributions
gonglei007,GameDevMind,3.4k,https://github.com/gonglei007/GameDevMind
Kavex,GameDev-Resources,3.3k,https://github.com/Kavex/GameDev-Resources
antvis,L7,3.2k,https://github.com/antvis/L7
dotnet,Silk.NET,3.2k,https://github.com/dotnet/Silk.NET
agmmnn,awesome-blender,3.1k,https://github.com/agmmnn/awesome-blender
tinyobjloader,tinyobjloader,3k,https://github.com/tinyobjloader/tinyobjloader
armory3d,armory,2.9k,https://github.com/armory3d/armory
armory3d,armortools,2.8k,https://github.com/armory3d/armortools
huxingyi,dust3d,2.8k,https://github.com/huxingyi/dust3d
pissang,claygl,2.7k,https://github.com/pissang/claygl
Orillusion,orillusion,2.7k,https://github.com/Orillusion/orillusion
cleardusk,3DDFA_V2,2.6k,https://github.com/cleardusk/3DDFA_V2
jeeliz,jeelizFaceFilter,2.5k,https://github.com/jeeliz/jeelizFaceFilter
CadQuery,cadquery,2.4k,https://github.com/CadQuery/cadquery
JannisX11,blockbench,2.3k,https://github.com/JannisX11/blockbench
TheMozg,awk-raycaster,2.3k,https://github.com/TheMozg/awk-raycaster
dragonir,3d,2.3k,https://github.com/dragonir/3d
zauonlok,renderer,2.3k,https://github.com/zauonlok/renderer
ssloy,tinykaboom,2.3k,https://github.com/ssloy/tinykaboom
hexops,mach,2.3k,https://github.com/hexops/mach
hlorus,CAD_Sketcher,2.2k,https://github.com/hlorus/CAD_Sketcher
google-research-datasets,Objectron,2.2k,https://github.com/google-research-datasets/Objectron
