Username,Repository,Stars,Repo URL
public-apis,public-apis,259k,https://github.com/public-apis/public-apis
neovim,neovim,70k,https://github.com/neovim/neovim
tiangolo,fastapi,63.3k,https://github.com/tiangolo/fastapi
strapi,strapi,56.5k,https://github.com/strapi/strapi
hoppscotch,hoppscotch,55.3k,https://github.com/hoppscotch/hoppscotch
ocornut,imgui,50.9k,https://github.com/ocornut/imgui
meilisearch,meilisearch,39.1k,https://github.com/meilisearch/meilisearch
slatedocs,slate,35.5k,https://github.com/slatedocs/slate
Kong,insomnia,31k,https://github.com/Kong/insomnia
hasura,graphql-engine,30.2k,https://github.com/hasura/graphql-engine
httpie,cli,29.5k,https://github.com/httpie/cli
ccxt,ccxt,29.3k,https://github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,29.2k,https://github.com/Binaryify/NeteaseCloudMusicApi
trpc,trpc,29k,https://github.com/trpc/trpc
YMFE,yapi,26.5k,https://github.com/YMFE/yapi
encode,django-rest-framework,26.4k,https://github.com/encode/django-rest-framework
littlecodersh,ItChat,24.3k,https://github.com/littlecodersh/ItChat
directus,directus,23.3k,https://github.com/directus/directus
microsoft,api-guidelines,21.9k,https://github.com/microsoft/api-guidelines
shieldfy,API-Security-Checklist,21.5k,https://github.com/shieldfy/API-Security-Checklist
PostgREST,postgrest,21.2k,https://github.com/PostgREST/postgrest
paularmstrong,normalizr,21k,https://github.com/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,20.8k,https://github.com/FallibleInc/security-guide-for-developers
web3,web3.js,17.9k,https://github.com/web3/web3.js
OpenAPITools,openapi-generator,17.8k,https://github.com/OpenAPITools/openapi-generator
go-chi,chi,15.5k,https://github.com/go-chi/chi
jsdoc,jsdoc,14.3k,https://github.com/jsdoc/jsdoc
BrainJS,brain.js,13.9k,https://github.com/BrainJS/brain.js
youfou,wxpy,13.6k,https://github.com/youfou/wxpy
fangzesheng,free-api,13.5k,https://github.com/fangzesheng/free-api
bitwarden,server,13.3k,https://github.com/bitwarden/server
mswjs,msw,13.3k,https://github.com/mswjs/msw
apache,apisix,12.7k,https://github.com/apache/apisix
amplication,amplication,12.5k,https://github.com/amplication/amplication
payloadcms,payload,12.4k,https://github.com/payloadcms/payload
graphile,crystal,12.2k,https://github.com/graphile/crystal
pedroslopez,whatsapp-web.js,12.1k,https://github.com/pedroslopez/whatsapp-web.js
postmanlabs,httpbin,12k,https://github.com/postmanlabs/httpbin
go-skynet,LocalAI,11.8k,https://github.com/go-skynet/LocalAI
star7th,showdoc,11.6k,https://github.com/star7th/showdoc
SocialSisterYi,bilibili-API-collect,10.9k,https://github.com/SocialSisterYi/bilibili-API-collect
pppscn,SmsForwarder,10.7k,https://github.com/pppscn/SmsForwarder
zealdocs,zeal,10.7k,https://github.com/zealdocs/zeal
apitable,apitable,10.5k,https://github.com/apitable/apitable
TonnyL,Awesome_APIs,10.2k,https://github.com/TonnyL/Awesome_APIs
r-spacex,SpaceX-API,10k,https://github.com/r-spacex/SpaceX-API
Jackett,Jackett,9.8k,https://github.com/Jackett/Jackett
ruby-grape,grape,9.8k,https://github.com/ruby-grape/grape
lihengming,spring-boot-api-project-seed,9.4k,https://github.com/lihengming/spring-boot-api-project-seed
astrit,css.gg,9.3k,https://github.com/astrit/css.gg
falconry,falcon,9.3k,https://github.com/falconry/falcon
gotify,server,9.2k,https://github.com/gotify/server
go-swagger,go-swagger,8.9k,https://github.com/go-swagger/go-swagger
TykTechnologies,tyk,8.8k,https://github.com/TykTechnologies/tyk
httpie,http-prompt,8.8k,https://github.com/httpie/http-prompt
apex,up,8.7k,https://github.com/apex/up
ShishirPatil,gorilla,8.3k,https://github.com/ShishirPatil/gorilla
FineUploader,fine-uploader,8.2k,https://github.com/FineUploader/fine-uploader
api-platform,api-platform,8.1k,https://github.com/api-platform/api-platform
MichalLytek,type-graphql,7.9k,https://github.com/MichalLytek/type-graphql
Sylius,Sylius,7.5k,https://github.com/Sylius/Sylius
yagop,node-telegram-bot-api,7.4k,https://github.com/yagop/node-telegram-bot-api
Kapeli,Dash-iOS,7.1k,https://github.com/Kapeli/Dash-iOS
Urinx,WeixinBot,7.1k,https://github.com/Urinx/WeixinBot
artilleryio,artillery,7k,https://github.com/artilleryio/artillery
oldratlee,translations,6.7k,https://github.com/oldratlee/translations
eddycjy,go-gin-example,6.4k,https://github.com/eddycjy/go-gin-example
YaoApp,yao,6.4k,https://github.com/YaoApp/yao
manticoresoftware,manticoresearch,6.4k,https://github.com/manticoresoftware/manticoresearch
wechat-miniprogram,miniprogram-demo,6.2k,https://github.com/wechat-miniprogram/miniprogram-demo
hanami,hanami,6.1k,https://github.com/hanami/hanami
dicebear,dicebear,6.1k,https://github.com/dicebear/dicebear
gotenberg,gotenberg,5.7k,https://github.com/gotenberg/gotenberg
