Username,Repository,Stars,Repo URL
bitwarden,server,13.3k,https://github.com/bitwarden/server
dotnet,AspNetCore.Docs,11.9k,https://github.com/dotnet/AspNetCore.Docs
abpframework,abp,11.5k,https://github.com/abpframework/abp
aspnetboilerplate,aspnetboilerplate,11.3k,https://github.com/aspnetboilerplate/aspnetboilerplate
nopSolutions,nopCommerce,8.5k,https://github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,6.9k,https://github.com/ElectronNET/Electron.NET
thangchung,clean-code-dotnet,6.4k,https://github.com/thangchung/clean-code-dotnet
RicoSuter,NSwag,6.1k,https://github.com/RicoSuter/NSwag
FastEndpoints,FastEndpoints,3.2k,https://github.com/FastEndpoints/FastEndpoints
dotnet,aspnet-api-versioning,2.8k,https://github.com/dotnet/aspnet-api-versioning
smartstore,SmartStoreNET,2.6k,https://github.com/smartstore/SmartStoreNET
JimBobSquarePants,ImageProcessor,2.5k,https://github.com/JimBobSquarePants/ImageProcessor
serenity-is,Serenity,2.5k,https://github.com/serenity-is/Serenity
mjebrahimi,Awesome-Microservices-DotNet,2.4k,https://github.com/mjebrahimi/Awesome-Microservices-DotNet
loic-sharma,BaGet,2.4k,https://github.com/loic-sharma/BaGet
TrilonIO,aspnetcore-angular-universal,1.5k,https://github.com/TrilonIO/aspnetcore-angular-universal
TrilonIO,aspnetcore-Vue-starter,1.2k,https://github.com/TrilonIO/aspnetcore-Vue-starter
MarimerLLC,csla,1.1k,https://github.com/MarimerLLC/csla
smartstore,Smartstore,884,https://github.com/smartstore/Smartstore
antonioCoco,SharPyShell,810,https://github.com/antonioCoco/SharPyShell
riganti,dotvvm,699,https://github.com/riganti/dotvvm
cornflourblue,aspnet-core-3-jwt-authentication-api,635,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
json-api-dotnet,JsonApiDotNetCore,627,https://github.com/json-api-dotnet/JsonApiDotNetCore
andrebaltieri,Flunt,565,https://github.com/andrebaltieri/Flunt
brthor,Gofer.NET,520,https://github.com/brthor/Gofer.NET
IvanJosipovic,BlazorTable,501,https://github.com/IvanJosipovic/BlazorTable
chsakell,mvcarchitecture,486,https://github.com/chsakell/mvcarchitecture
YAFNET,YAFNET,478,https://github.com/YAFNET/YAFNET
chsakell,aspnet-core-identity,473,https://github.com/chsakell/aspnet-core-identity
dotnet,razor,418,https://github.com/dotnet/razor
Taritsyn,WebMarkupMin,416,https://github.com/Taritsyn/WebMarkupMin
SapphireDb,SapphireDb,399,https://github.com/SapphireDb/SapphireDb
Maarten88,rrod,382,https://github.com/Maarten88/rrod
yanpitangui,dotnet-api-boilerplate,352,https://github.com/yanpitangui/dotnet-api-boilerplate
Shazwazza,Examine,341,https://github.com/Shazwazza/Examine
EEParker,aspnetcore-vueclimiddleware,340,https://github.com/EEParker/aspnetcore-vueclimiddleware
NLog,NLog.Web,305,https://github.com/NLog/NLog.Web
ALMMa,datatables.aspnet,304,https://github.com/ALMMa/datatables.aspnet
natenho,Mockaco,297,https://github.com/natenho/Mockaco
ElectronNET,electron.net-api-demos,294,https://github.com/ElectronNET/electron.net-api-demos
LayTec-AG,Plotly.Blazor,288,https://github.com/LayTec-AG/Plotly.Blazor
cornflourblue,aspnet-core-jwt-authentication-api,280,https://github.com/cornflourblue/aspnet-core-jwt-authentication-api
grandchamp,Identity.Dapper,262,https://github.com/grandchamp/Identity.Dapper
OpenTouryoProject,OpenTouryo,244,https://github.com/OpenTouryoProject/OpenTouryo
tugberkugurlu,AspNetCore.Identity.MongoDB,227,https://github.com/tugberkugurlu/AspNetCore.Identity.MongoDB
NickMaev,react-core-boilerplate,215,https://github.com/NickMaev/react-core-boilerplate
Shazwazza,Articulate,207,https://github.com/Shazwazza/Articulate
aspnetrun,run-aspnet-identityserver4,206,https://github.com/aspnetrun/run-aspnet-identityserver4
dsuryd,dotNetify-react-template,205,https://github.com/dsuryd/dotNetify-react-template
EISK,eisk.webapi,192,https://github.com/EISK/eisk.webapi
