Username,Repository,Stars,Repo URL
jwasham,coding-interview-university,269k,https://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,176k,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,171k,https://github.com/TheAlgorithms/Python
CyC2018,CS-Notes,167k,https://github.com/CyC2018/CS-Notes
yangshun,tech-interview-handbook,96k,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,60.5k,https://github.com/kdn251/interviews
TheAlgorithms,Java,54.1k,https://github.com/TheAlgorithms/Java
azl397985856,leetcode,52.6k,https://github.com/azl397985856/leetcode
algorithm-visualizer,algorithm-visualizer,44.7k,https://github.com/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,42.5k,https://github.com/youngyangyang04/leetcode-master
krahets,hello-algo,37.4k,https://github.com/krahets/hello-algo
halfrost,LeetCode-Go,30.7k,https://github.com/halfrost/LeetCode-Go
huihut,interview,30.6k,https://github.com/huihut/interview
TheAlgorithms,JavaScript,28.9k,https://github.com/TheAlgorithms/JavaScript
donnemartin,interactive-coding-challenges,27.9k,https://github.com/donnemartin/interactive-coding-challenges
crossoverJie,JCSprout,27k,https://github.com/crossoverJie/JCSprout
TheAlgorithms,C-Plus-Plus,26.2k,https://github.com/TheAlgorithms/C-Plus-Plus
keon,algorithms,23k,https://github.com/keon/algorithms
mxgmn,WaveFunctionCollapse,21.9k,https://github.com/mxgmn/WaveFunctionCollapse
trekhleb,homemade-machine-learning,21.8k,https://github.com/trekhleb/homemade-machine-learning
AtsushiSakai,PythonRobotics,19.9k,https://github.com/AtsushiSakai/PythonRobotics
williamfiset,Algorithms,15.5k,https://github.com/williamfiset/Algorithms
greyireland,algorithm-pattern,14.6k,https://github.com/greyireland/algorithm-pattern
OpenGenus,cosmos,13.4k,https://github.com/OpenGenus/cosmos
halfrost,Halfrost-Field,12.4k,https://github.com/halfrost/Halfrost-Field
gyoogle,tech-interview-for-developer,11.9k,https://github.com/gyoogle/tech-interview-for-developer
lnishan,awesome-competitive-programming,11.6k,https://github.com/lnishan/awesome-competitive-programming
apachecn,apachecn-algo-zh,10.9k,https://github.com/apachecn/apachecn-algo-zh
Alinshans,MyTinySTL,9.8k,https://github.com/Alinshans/MyTinySTL
Blankj,awesome-java-leetcode,8.6k,https://github.com/Blankj/awesome-java-leetcode
Turfjs,turf,8.4k,https://github.com/Turfjs/turf
OlafenwaMoses,ImageAI,8.1k,https://github.com/OlafenwaMoses/ImageAI
QuantConnect,Lean,7.9k,https://github.com/QuantConnect/Lean
LeetCode-OpenSource,vscode-leetcode,7.9k,https://github.com/LeetCode-OpenSource/vscode-leetcode
jeffgerickson,algorithms,7.8k,https://github.com/jeffgerickson/algorithms
mgechev,javascript-algorithms,7.8k,https://github.com/mgechev/javascript-algorithms
nonstriater,Learn-Algorithms,7.6k,https://github.com/nonstriater/Learn-Algorithms
amejiarosario,dsa.js-data-structures-algorithms-javascript,7.4k,https://github.com/amejiarosario/dsa.js-data-structures-algorithms-javascript
tangyudi,Ai-Learn,7.2k,https://github.com/tangyudi/Ai-Learn
twowaits,SDE-Interview-Questions,6.8k,https://github.com/twowaits/SDE-Interview-Questions
SharingSource,LogicStack-LeetCode,6.6k,https://github.com/SharingSource/LogicStack-LeetCode
zhanwen,MathModel,6.5k,https://github.com/zhanwen/MathModel
TheAlgorithms,C-Sharp,5.8k,https://github.com/TheAlgorithms/C-Sharp
mandliya,algorithms_and_data_structures,5.5k,https://github.com/mandliya/algorithms_and_data_structures
apple,swift-algorithms,5.3k,https://github.com/apple/swift-algorithms
teivah,algodeck,5.2k,https://github.com/teivah/algodeck
FederatedAI,FATE,5.2k,https://github.com/FederatedAI/FATE
hustcc,JS-Sorting-Algorithm,5k,https://github.com/hustcc/JS-Sorting-Algorithm
soapyigu,LeetCode-Swift,4.7k,https://github.com/soapyigu/LeetCode-Swift
tboox,tbox,4.5k,https://github.com/tboox/tbox
awangdev,leet-code,4.3k,https://github.com/awangdev/leet-code
loiane,javascript-datastructures-algorithms,4.3k,https://github.com/loiane/javascript-datastructures-algorithms
phishman3579,java-algorithms-implementation,4.3k,https://github.com/phishman3579/java-algorithms-implementation
kamyu104,LeetCode-Solutions,4.3k,https://github.com/kamyu104/LeetCode-Solutions
vicky002,AlgoWiki,4.1k,https://github.com/vicky002/AlgoWiki
liyupi,code-roadmap,4.1k,https://github.com/liyupi/code-roadmap
zotroneneis,machine_learning_basics,4.1k,https://github.com/zotroneneis/machine_learning_basics
royeo,awesome-programming-books,4.1k,https://github.com/royeo/awesome-programming-books
attractivechaos,klib,3.9k,https://github.com/attractivechaos/klib
anthonynsimon,bild,3.8k,https://github.com/anthonynsimon/bild
liyupi,mianshiya-public,3.7k,https://github.com/liyupi/mianshiya-public
fishercoder1534,Leetcode,3.6k,https://github.com/fishercoder1534/Leetcode
EbTech,rust-algorithms,3.5k,https://github.com/EbTech/rust-algorithms
itcharge,LeetCode-Py,3.5k,https://github.com/itcharge/LeetCode-Py
6boris,awesome-golang-algorithm,3.4k,https://github.com/6boris/awesome-golang-algorithm
shuzijun,leetcode-editor,3.4k,https://github.com/shuzijun/leetcode-editor
billryan,algorithm-exercise,3.4k,https://github.com/billryan/algorithm-exercise
ra1028,DifferenceKit,3.4k,https://github.com/ra1028/DifferenceKit
sagivo,algorithms,3.3k,https://github.com/sagivo/algorithms
kangjianwei,Data-Structure,3.2k,https://github.com/kangjianwei/Data-Structure
life4,textdistance,3.2k,https://github.com/life4/textdistance
huihut,CS-Books,3.2k,https://github.com/huihut/CS-Books
sweetice,Deep-reinforcement-learning-with-pytorch,3.2k,https://github.com/sweetice/Deep-reinforcement-learning-with-pytorch
fragglet,c-algorithms,3k,https://github.com/fragglet/c-algorithms
ninechapter-algorithm,leetcode-linghu-templete,3k,https://github.com/ninechapter-algorithm/leetcode-linghu-templete
anvaka,ngraph.path,2.9k,https://github.com/anvaka/ngraph.path
skidding,illustrated-algorithms,2.8k,https://github.com/skidding/illustrated-algorithms
EndlessCheng,codeforces-go,2.7k,https://github.com/EndlessCheng/codeforces-go
ua-nick,Data-Structures-and-Algorithms,2.7k,https://github.com/ua-nick/Data-Structures-and-Algorithms
azl397985856,fe-interview,2.7k,https://github.com/azl397985856/fe-interview
TheAlgorithms,Algorithms-Explanation,2.7k,https://github.com/TheAlgorithms/Algorithms-Explanation
yangshun,lago,2.7k,https://github.com/yangshun/lago
tdebatty,java-string-similarity,2.6k,https://github.com/tdebatty/java-string-similarity
PegasusWang,python_data_structures_and_algorithms,2.6k,https://github.com/PegasusWang/python_data_structures_and_algorithms
liyupi,code-nav,2.5k,https://github.com/liyupi/code-nav
