Username,Repository,Stars,Repo URL
ansible,ansible,58.9k,https://github.com/ansible/ansible
bregman-arie,devops-exercises,58.6k,https://github.com/bregman-arie/devops-exercises
trailofbits,algo,27.7k,https://github.com/trailofbits/algo
MichaelCade,90DaysOfDevOps,24k,https://github.com/MichaelCade/90DaysOfDevOps
StreisandEffect,streisand,23k,https://github.com/StreisandEffect/streisand
kubernetes-sigs,kubespray,14.6k,https://github.com/kubernetes-sigs/kubespray
ansible,awx,12.7k,https://github.com/ansible/awx
easzlab,kubeasz,9.6k,https://github.com/easzlab/kubeasz
ansible-semaphore,semaphore,7.9k,https://github.com/ansible-semaphore/semaphore
geerlingguy,ansible-for-devops,7.6k,https://github.com/geerlingguy/ansible-for-devops
khuedoan,homelab,7.2k,https://github.com/khuedoan/homelab
Tikam02,DevOps-Guide,7.2k,https://github.com/Tikam02/DevOps-Guide
geerlingguy,mac-dev-playbook,5.5k,https://github.com/geerlingguy/mac-dev-playbook
rundeck,rundeck,5.1k,https://github.com/rundeck/rundeck
KubeOperator,KubeOperator,4.8k,https://github.com/KubeOperator/KubeOperator
netbootxyz,netboot.xyz,4.7k,https://github.com/netbootxyz/netboot.xyz
clong,DetectionLab,4.3k,https://github.com/clong/DetectionLab
ansible,molecule,3.7k,https://github.com/ansible/molecule
opendevops-cn,opendevops,3.5k,https://github.com/opendevops-cn/opendevops
dev-sec,ansible-collection-hardening,3.4k,https://github.com/dev-sec/ansible-collection-hardening
ansible,ansible-lint,3.2k,https://github.com/ansible/ansible-lint
welliamcao,OpsManage,3.2k,https://github.com/welliamcao/OpsManage
alixaxel,chrome-aws-lambda,3.1k,https://github.com/alixaxel/chrome-aws-lambda
ChristianLempa,boilerplates,2.9k,https://github.com/ChristianLempa/boilerplates
davestephens,ansible-nas,2.7k,https://github.com/davestephens/ansible-nas
roots,trellis,2.4k,https://github.com/roots/trellis
ansistrano,deploy,2.3k,https://github.com/ansistrano/deploy
fboender,ansible-cmdb,2.3k,https://github.com/fboender/ansible-cmdb
pytest-dev,pytest-testinfra,2.3k,https://github.com/pytest-dev/pytest-testinfra
Cloudbox,Cloudbox,2.2k,https://github.com/Cloudbox/Cloudbox
Artemmkin,infrastructure-as-code-tutorial,2.2k,https://github.com/Artemmkin/infrastructure-as-code-tutorial
leucos,ansible-tuto,2.2k,https://github.com/leucos/ansible-tuto
openshift,openshift-ansible,2.1k,https://github.com/openshift/openshift-ansible
geerlingguy,ansible-vagrant-examples,2k,https://github.com/geerlingguy/ansible-vagrant-examples
ComplianceAsCode,content,1.9k,https://github.com/ComplianceAsCode/content
adammck,terraform-inventory,1.8k,https://github.com/adammck/terraform-inventory
ansible-community,ara,1.7k,https://github.com/ansible-community/ara
