Username,Repository,Stars,Repo URL
atom,atom,59.6k,https://github.com/atom/atom
miniflux,v2,5.5k,https://github.com/miniflux/v2
themerdev,themer,5.3k,https://github.com/themerdev/themer
shd101wyy,markdown-preview-enhanced,4k,https://github.com/shd101wyy/markdown-preview-enhanced
nteract,hydrogen,3.9k,https://github.com/nteract/hydrogen
atom,teletype,2.4k,https://github.com/atom/teletype
mmcdole,gofeed,2.3k,https://github.com/mmcdole/gofeed
NaiboWang,CommandlineConfig,2k,https://github.com/NaiboWang/CommandlineConfig
feeddd,feeds,2k,https://github.com/feeddd/feeds
mehcode,awesome-atom,1.9k,https://github.com/mehcode/awesome-atom
kurtmckee,feedparser,1.7k,https://github.com/kurtmckee/feedparser
joefitzgerald,go-plus,1.5k,https://github.com/joefitzgerald/go-plus
ocaml,merlin,1.5k,https://github.com/ocaml/merlin
Glavin001,atom-beautify,1.5k,https://github.com/Glavin001/atom-beautify
simplepie,simplepie,1.5k,https://github.com/simplepie/simplepie
t9md,atom-vim-mode-plus,1.4k,https://github.com/t9md/atom-vim-mode-plus
MagicStack,MagicPython,1.4k,https://github.com/MagicStack/MagicPython
fwcd,kotlin-language-server,1.3k,https://github.com/fwcd/kotlin-language-server
file-icons,atom,1.3k,https://github.com/file-icons/atom
atom,apm,1.3k,https://github.com/atom/apm
martinrotter,rssguard,1.1k,https://github.com/martinrotter/rssguard
kettanaito,atomic-layout,1.1k,https://github.com/kettanaito/atomic-layout
nmdias,FeedKit,1.1k,https://github.com/nmdias/FeedKit
atom,github,1.1k,https://github.com/atom/github
jpmonette,feed,1k,https://github.com/jpmonette/feed
nathanbuchar,atom-one-dark-terminal,1k,https://github.com/nathanbuchar/atom-one-dark-terminal
jesseweed,seti-ui,927,https://github.com/jesseweed/seti-ui
danhper,atomic-chrome,915,https://github.com/danhper/atomic-chrome
cypht-org,cypht,846,https://github.com/cypht-org/cypht
jekyll,jekyll-feed,780,https://github.com/jekyll/jekyll-feed
raphamorim,lucario,773,https://github.com/raphamorim/lucario
lwindolf,liferea,773,https://github.com/lwindolf/liferea
prettier,prettier-atom,761,https://github.com/prettier/prettier-atom
atom-community,atom-script,735,https://github.com/atom-community/atom-script
gorilla,feeds,678,https://github.com/gorilla/feeds
atom-community,atom,676,https://github.com/atom-community/atom
lkiesow,python-feedgen,643,https://github.com/lkiesow/python-feedgen
atom,flight-manual.atom.io,627,https://github.com/atom/flight-manual.atom.io
platformio,platformio-atom-ide-terminal,619,https://github.com/platformio/platformio-atom-ide-terminal
AtomLinter,linter-eslint,584,https://github.com/AtomLinter/linter-eslint
dvcrn,proton,569,https://github.com/dvcrn/proton
icetee,remote-ftp,554,https://github.com/icetee/remote-ftp
dineug,erd-editor,538,https://github.com/dineug/erd-editor
Galooshi,import-js,520,https://github.com/Galooshi/import-js
hexojs,hexo-generator-feed,516,https://github.com/hexojs/hexo-generator-feed
danielbrodin,atom-project-manager,514,https://github.com/danielbrodin/atom-project-manager
gandm,language-babel,477,https://github.com/gandm/language-babel
platformio,platformio-atom-ide,476,https://github.com/platformio/platformio-atom-ide
transcranial,atom-transparency,474,https://github.com/transcranial/atom-transparency
mashaal,wild-cherry,474,https://github.com/mashaal/wild-cherry
sdepold,jquery-rss,451,https://github.com/sdepold/jquery-rss
smashwilson,merge-conflicts,431,https://github.com/smashwilson/merge-conflicts
atom,one-dark-syntax,431,https://github.com/atom/one-dark-syntax
mipstian,catch,421,https://github.com/mipstian/catch
apex,apex-ui,412,https://github.com/apex/apex-ui
Lallassu,gorss,411,https://github.com/Lallassu/gorss
MauriceConrad,Photon,406,https://github.com/MauriceConrad/Photon
colbycheeze,dotfiles,400,https://github.com/colbycheeze/dotfiles
karad,lein_template_descjop,395,https://github.com/karad/lein_template_descjop
blakeembrey,atom-dash,394,https://github.com/blakeembrey/atom-dash
lloiser,go-debug,388,https://github.com/lloiser/go-debug
atom,atom-languageclient,387,https://github.com/atom/atom-languageclient
sismics,reader,387,https://github.com/sismics/reader
mswift42,themecreator,379,https://github.com/mswift42/themecreator
snarfed,granary,377,https://github.com/snarfed/granary
zhuochun,md-writer,343,https://github.com/zhuochun/md-writer
themerdev,themer-gui,326,https://github.com/themerdev/themer-gui
wakatime,atom-wakatime,315,https://github.com/wakatime/atom-wakatime
TypicalAM,goread,315,https://github.com/TypicalAM/goread
lexrus,LTFinderButtons,303,https://github.com/lexrus/LTFinderButtons
daaain,Handlebars,301,https://github.com/daaain/Handlebars
shery,awesome-atom-packages,287,https://github.com/shery/awesome-atom-packages
Omnistac,zedux,286,https://github.com/Omnistac/zedux
angular-ui,AngularJS-Atom,285,https://github.com/angular-ui/AngularJS-Atom
lposidon,posidonLauncher,281,https://github.com/lposidon/posidonLauncher
