Username,Repository,Stars,Repo URL
sindresorhus,awesome,273k,https://github.com/sindresorhus/awesome
vinta,awesome-python,184k,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,152k,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,110k,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,110k,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,77.1k,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,76.6k,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,70.1k,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,64.2k,https://github.com/jaywcjlove/awesome-mac
enaqx,awesome-react,58.7k,https://github.com/enaqx/awesome-react
DopplerHQ,awesome-interview-questions,58.3k,https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,57.5k,https://github.com/MunGell/awesome-for-beginners
sindresorhus,awesome-nodejs,53.1k,https://github.com/sindresorhus/awesome-nodejs
fffaraz,awesome-cpp,49.7k,https://github.com/fffaraz/awesome-cpp
prakhar1989,awesome-courses,49.7k,https://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,48.8k,https://github.com/Solido/awesome-flutter
binhnguyennus,awesome-scalability,48.8k,https://github.com/binhnguyennus/awesome-scalability
wasabeef,awesome-android-ui,47.6k,https://github.com/wasabeef/awesome-android-ui
vsouza,awesome-ios,44.2k,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,42.8k,https://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,39.4k,https://github.com/dypsilon/frontend-dev-bookmarks
akullpp,awesome-java,38k,https://github.com/akullpp/awesome-java
rust-unofficial,awesome-rust,37.7k,https://github.com/rust-unofficial/awesome-rust
brillout,awesome-react-components,37.5k,https://github.com/brillout/awesome-react-components
serhii-londar,open-source-mac-os-apps,37.2k,https://github.com/serhii-londar/open-source-mac-os-apps
dkhamsing,open-source-ios-apps,36.7k,https://github.com/dkhamsing/open-source-ios-apps
DovAmir,awesome-design-patterns,32.6k,https://github.com/DovAmir/awesome-design-patterns
goabstract,Awesome-Design-Tools,29.6k,https://github.com/goabstract/Awesome-Design-Tools
ziadoz,awesome-php,29.3k,https://github.com/ziadoz/awesome-php
alebcay,awesome-shell,28.8k,https://github.com/alebcay/awesome-shell
herrbischoff,awesome-macos-command-line,27.9k,https://github.com/herrbischoff/awesome-macos-command-line
lukasz-madon,awesome-remote-job,26.8k,https://github.com/lukasz-madon/awesome-remote-job
veggiemonk,awesome-docker,26.5k,https://github.com/veggiemonk/awesome-docker
docker,awesome-compose,26.3k,https://github.com/docker/awesome-compose
AllThingsSmitty,css-protips,26.2k,https://github.com/AllThingsSmitty/css-protips
ascoders,weekly,25.4k,https://github.com/ascoders/weekly
sindresorhus,awesome-electron,24.8k,https://github.com/sindresorhus/awesome-electron
Awesome-Windows,Awesome,23.9k,https://github.com/Awesome-Windows/Awesome
matteocrippa,awesome-swift,23.7k,https://github.com/matteocrippa/awesome-swift
viatsko,awesome-vscode,23.3k,https://github.com/viatsko/awesome-vscode
tmrts,go-patterns,23k,https://github.com/tmrts/go-patterns
sdras,awesome-actions,22.8k,https://github.com/sdras/awesome-actions
kdeldycke,awesome-falsehood,22.2k,https://github.com/kdeldycke/awesome-falsehood
kuchin,awesome-cto,21.8k,https://github.com/kuchin/awesome-cto
ChristosChristofidis,awesome-deep-learning,21.7k,https://github.com/ChristosChristofidis/awesome-deep-learning
imDazui,Tvlist-awesome-m3u-m3u8,21.2k,https://github.com/imDazui/Tvlist-awesome-m3u-m3u8
facert,awesome-spider,20.3k,https://github.com/facert/awesome-spider
posquit0,Awesome-CV,20.3k,https://github.com/posquit0/Awesome-CV
SpaceVim,SpaceVim,20.1k,https://github.com/SpaceVim/SpaceVim
awesome-foss,awesome-sysadmin,20.1k,https://github.com/awesome-foss/awesome-sysadmin
nikitavoloboev,my-mac,20.1k,https://github.com/nikitavoloboev/my-mac
abhisheknaiidu,awesome-github-profile-readme,19.9k,https://github.com/abhisheknaiidu/awesome-github-profile-readme
enaqx,awesome-pentest,19.4k,https://github.com/enaqx/awesome-pentest
Awesome-HarmonyOS,HarmonyOS,18.8k,https://github.com/Awesome-HarmonyOS/HarmonyOS
thangchung,awesome-dotnet-core,18.5k,https://github.com/thangchung/awesome-dotnet-core
JaeYeopHan,Interview_Question_for_Beginner,17.4k,https://github.com/JaeYeopHan/Interview_Question_for_Beginner
quozd,awesome-dotnet,17.4k,https://github.com/quozd/awesome-dotnet
dexteryy,spellbook-of-modern-webdev,16.4k,https://github.com/dexteryy/spellbook-of-modern-webdev
dipakkr,A-to-Z-Resources-for-Students,16.1k,https://github.com/dipakkr/A-to-Z-Resources-for-Students
alexpate,awesome-design-systems,16.1k,https://github.com/alexpate/awesome-design-systems
mhinz,vim-galore,15.9k,https://github.com/mhinz/vim-galore
matiassingers,awesome-readme,15.5k,https://github.com/matiassingers/awesome-readme
keon,awesome-nlp,15.3k,https://github.com/keon/awesome-nlp
dariubs,GoBooks,15k,https://github.com/dariubs/GoBooks
gztchan,awesome-design,14.9k,https://github.com/gztchan/awesome-design
iCHAIT,awesome-macOS,14.8k,https://github.com/iCHAIT/awesome-macOS
EthicalML,awesome-production-machine-learning,14.5k,https://github.com/EthicalML/awesome-production-machine-learning
bharathgs,Awesome-pytorch-list,14.5k,https://github.com/bharathgs/Awesome-pytorch-list
ty4z2008,Qix,14.4k,https://github.com/ty4z2008/Qix
chentsulin,awesome-graphql,14.2k,https://github.com/chentsulin/awesome-graphql
RunaCapital,awesome-oss-alternatives,14.1k,https://github.com/RunaCapital/awesome-oss-alternatives
ujjwalkarn,Machine-Learning-Tutorials,14k,https://github.com/ujjwalkarn/Machine-Learning-Tutorials
wilsonfreitas,awesome-quant,13.9k,https://github.com/wilsonfreitas/awesome-quant
unixorn,awesome-zsh-plugins,13.5k,https://github.com/unixorn/awesome-zsh-plugins
ashishpatel26,500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,13.5k,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code
Lissy93,dashy,13.2k,https://github.com/Lissy93/dashy
djsime1,awesome-flipperzero,13.2k,https://github.com/djsime1/awesome-flipperzero
SwifterSwift,SwifterSwift,13.2k,https://github.com/SwifterSwift/SwifterSwift
markets,awesome-ruby,13.1k,https://github.com/markets/awesome-ruby
bolshchikov,js-must-watch,13k,https://github.com/bolshchikov/js-must-watch
Lissy93,personal-security-checklist,12.7k,https://github.com/Lissy93/personal-security-checklist
mfornos,awesome-microservices,12.6k,https://github.com/mfornos/awesome-microservices
phanan,htaccess,12.5k,https://github.com/phanan/htaccess
agarrharr,awesome-cli-apps,12.5k,https://github.com/agarrharr/awesome-cli-apps
taowen,awesome-lowcode,12.4k,https://github.com/taowen/awesome-lowcode
newTendermint,awesome-bigdata,12.4k,https://github.com/newTendermint/awesome-bigdata
PaddlePaddle,PaddleHub,12.2k,https://github.com/PaddlePaddle/PaddleHub
ellisonleao,magictools,12.2k,https://github.com/ellisonleao/magictools
xgrommx,awesome-redux,12.2k,https://github.com/xgrommx/awesome-redux
chiraggude,awesome-laravel,12k,https://github.com/chiraggude/awesome-laravel
rockerBOO,awesome-neovim,11.9k,https://github.com/rockerBOO/awesome-neovim
thibmaek,awesome-raspberry-pi,11.9k,https://github.com/thibmaek/awesome-raspberry-pi
neutraltone,awesome-stock-resources,11.9k,https://github.com/neutraltone/awesome-stock-resources
aniftyco,awesome-tailwindcss,11.8k,https://github.com/aniftyco/awesome-tailwindcss
rShetty,awesome-podcasts,11.7k,https://github.com/rShetty/awesome-podcasts
humiaozuzu,awesome-flask,11.6k,https://github.com/humiaozuzu/awesome-flask
