Username,Repository,Stars,Repo URL
bregman-arie,devops-exercises,58.6k,https://github.com/bregman-arie/devops-exercises
pulumi,pulumi,17.8k,https://github.com/pulumi/pulumi
recommenders-team,recommenders,16.5k,https://github.com/recommenders-team/recommenders
ramitsurana,awesome-kubernetes,14.3k,https://github.com/ramitsurana/awesome-kubernetes
getsops,sops,14k,https://github.com/getsops/sops
Azure,azure-quickstart-templates,13.2k,https://github.com/Azure/azure-quickstart-templates
caprover,caprover,11.2k,https://github.com/caprover/caprover
infracost,infracost,9.7k,https://github.com/infracost/infracost
google,go-cloud,9.2k,https://github.com/google/go-cloud
microsoft,computervision-recipes,9.1k,https://github.com/microsoft/computervision-recipes
prowler-cloud,prowler,8.7k,https://github.com/prowler-cloud/prowler
microsoft,azuredatastudio,7.3k,https://github.com/microsoft/azuredatastudio
Netflix,metaflow,7.1k,https://github.com/Netflix/metaflow
midwayjs,midway,6.9k,https://github.com/midwayjs/midway
node-formidable,formidable,6.8k,https://github.com/node-formidable/formidable
thangchung,clean-code-dotnet,6.5k,https://github.com/thangchung/clean-code-dotnet
aquasecurity,tfsec,6.3k,https://github.com/aquasecurity/tfsec
budtmo,docker-android,6.3k,https://github.com/budtmo/docker-android
milanm,DevOps-Roadmap,6.2k,https://github.com/milanm/DevOps-Roadmap
bridgecrewio,checkov,6k,https://github.com/bridgecrewio/checkov
nccgroup,ScoutSuite,5.7k,https://github.com/nccgroup/ScoutSuite
turbot,steampipe,5.6k,https://github.com/turbot/steampipe
cloudquery,cloudquery,5.2k,https://github.com/cloudquery/cloudquery
cloud-custodian,cloud-custodian,5k,https://github.com/cloud-custodian/cloud-custodian
sottlmarek,DevSecOps,4.9k,https://github.com/sottlmarek/DevSecOps
Azure,azure-sdk-for-net,4.8k,https://github.com/Azure/azure-sdk-for-net
microsoft,SynapseML,4.6k,https://github.com/microsoft/SynapseML
Azure,autorest,4.3k,https://github.com/Azure/autorest
learntocloud,learn-to-cloud,4.3k,https://github.com/learntocloud/learn-to-cloud
hashicorp,terraform-provider-azurerm,4.2k,https://github.com/hashicorp/terraform-provider-azurerm
opencost,opencost,4.2k,https://github.com/opencost/opencost
encoredev,encore,4k,https://github.com/encoredev/encore
simov,grant,3.9k,https://github.com/simov/grant
Azure,azure-sdk-for-python,3.9k,https://github.com/Azure/azure-sdk-for-python
Azure,azure-powershell,3.8k,https://github.com/Azure/azure-powershell
