Username,Repository,Stars,Repo URL
babel,babel,42.5k,https://github.com/babel/babel
swc-project,swc,28.6k,https://github.com/swc-project/swc
nylas,nylas-mail,24.8k,https://github.com/nylas/nylas-mail
electron-react-boilerplate,electron-react-boilerplate,21.9k,https://github.com/electron-react-boilerplate/electron-react-boilerplate
avajs,ava,20.5k,https://github.com/avajs/ava
SimulatedGREG,electron-vue,15.4k,https://github.com/SimulatedGREG/electron-vue
grab,front-end-guide,15k,https://github.com/grab/front-end-guide
jamiebuilds,babel-handbook,11.8k,https://github.com/jamiebuilds/babel-handbook
developit,htm,8.3k,https://github.com/developit/htm
grommet,grommet,8.3k,https://github.com/grommet/grommet
ben-rogerson,twin.macro,7.6k,https://github.com/ben-rogerson/twin.macro
angular-fullstack,generator-angular-fullstack,6.1k,https://github.com/angular-fullstack/generator-angular-fullstack
documentationjs,documentation,5.7k,https://github.com/documentationjs/documentation
fkling,astexplorer,5.6k,https://github.com/fkling/astexplorer
insin,nwb,5.6k,https://github.com/insin/nwb
thinkjs,thinkjs,5.3k,https://github.com/thinkjs/thinkjs
egoist,poi,5.3k,https://github.com/egoist/poi
duxianwei520,react,4.9k,https://github.com/duxianwei520/react
transitive-bullshit,create-react-library,4.8k,https://github.com/transitive-bullshit/create-react-library
thx,gogocode,4.8k,https://github.com/thx/gogocode
babel,babel-loader,4.8k,https://github.com/babel/babel-loader
jaredpalmer,backpack,4.5k,https://github.com/jaredpalmer/backpack
babel,minify,4.4k,https://github.com/babel/minify
privatenumber,esbuild-loader,3.4k,https://github.com/privatenumber/esbuild-loader
tleunen,babel-plugin-module-resolver,3.4k,https://github.com/tleunen/babel-plugin-module-resolver
andywer,webpack-blocks,3k,https://github.com/andywer/webpack-blocks
babel,babel-eslint,3k,https://github.com/babel/babel-eslint
ast-grep,ast-grep,2.9k,https://github.com/ast-grep/ast-grep
kunalkapadia,express-mongoose-es6-rest-api,2.9k,https://github.com/kunalkapadia/express-mongoose-es6-rest-api
FRRouting,frr,2.7k,https://github.com/FRRouting/frr
kentcdodds,babel-plugin-macros,2.6k,https://github.com/kentcdodds/babel-plugin-macros
Atyantik,react-pwa,2.5k,https://github.com/Atyantik/react-pwa
uidotdev,react-course,2.5k,https://github.com/uidotdev/react-course
atulmy,crate,2.4k,https://github.com/atulmy/crate
RickWong,react-isomorphic-starterkit,2.3k,https://github.com/RickWong/react-isomorphic-starterkit
symfony,webpack-encore,2.2k,https://github.com/symfony/webpack-encore
pheuter,essential-react,2k,https://github.com/pheuter/essential-react
glennreyes,graphpack,2k,https://github.com/glennreyes/graphpack
lodash,babel-plugin-lodash,2k,https://github.com/lodash/babel-plugin-lodash
wbkd,webpack-starter,1.9k,https://github.com/wbkd/webpack-starter
atlassian-labs,compiled,1.9k,https://github.com/atlassian-labs/compiled
CharlesStover,reactn,1.9k,https://github.com/CharlesStover/reactn
bodyno,react-starter-kit,1.8k,https://github.com/bodyno/react-starter-kit
ericalli,static-site-boilerplate,1.7k,https://github.com/ericalli/static-site-boilerplate
serverless-heaven,serverless-webpack,1.7k,https://github.com/serverless-heaven/serverless-webpack
babel,babylon,1.7k,https://github.com/babel/babylon
wingify,across-tabs,1.6k,https://github.com/wingify/across-tabs
AlexGilleran,jsx-control-statements,1.6k,https://github.com/AlexGilleran/jsx-control-statements
Kocal,vue-web-extension,1.6k,https://github.com/Kocal/vue-web-extension
pankod,next-boilerplate,1.5k,https://github.com/pankod/next-boilerplate
seek-oss,braid-design-system,1.4k,https://github.com/seek-oss/braid-design-system
welaika,wordless,1.4k,https://github.com/welaika/wordless
babel,gulp-babel,1.3k,https://github.com/babel/gulp-babel
babel,babel-upgrade,1.3k,https://github.com/babel/babel-upgrade
entwicklerstube,babel-plugin-root-import,1.2k,https://github.com/entwicklerstube/babel-plugin-root-import
styled-components,babel-plugin-styled-components,1k,https://github.com/styled-components/babel-plugin-styled-components
egoist,bili,1k,https://github.com/egoist/bili
tr1s,tris-webpack-boilerplate,1k,https://github.com/tr1s/tris-webpack-boilerplate
kitze,custom-react-scripts,997,https://github.com/kitze/custom-react-scripts
cburmeister,flask-bones,984,https://github.com/cburmeister/flask-bones
ModusCreateOrg,budgeting,978,https://github.com/ModusCreateOrg/budgeting
SKempin,reactjs-tmdb-app,936,https://github.com/SKempin/reactjs-tmdb-app
zetachang,react-native-dotenv,911,https://github.com/zetachang/react-native-dotenv
oliviertassinari,babel-plugin-transform-react-remove-prop-types,897,https://github.com/oliviertassinari/babel-plugin-transform-react-remove-prop-types
vikpe,react-webpack-typescript-starter,865,https://github.com/vikpe/react-webpack-typescript-starter
rwieruch,minimal-react-webpack-babel-setup,854,https://github.com/rwieruch/minimal-react-webpack-babel-setup
babel,awesome-babel,851,https://github.com/babel/awesome-babel
imranhsayed,aquila,848,https://github.com/imranhsayed/aquila
imranhsayed,woo-next,838,https://github.com/imranhsayed/woo-next
rtivital,react-things,826,https://github.com/rtivital/react-things
babel,babel-standalone,816,https://github.com/babel/babel-standalone
liangklfangl,react-article-bucket,802,https://github.com/liangklfangl/react-article-bucket
FranckFreiburger,vue3-sfc-loader,778,https://github.com/FranckFreiburger/vue3-sfc-loader
manuelbieh,react-ssr-setup,772,https://github.com/manuelbieh/react-ssr-setup
serverless,serverless-plugin-typescript,765,https://github.com/serverless/serverless-plugin-typescript
pigcan,blog,758,https://github.com/pigcan/blog
babel,preset-modules,740,https://github.com/babel/preset-modules
babel,website,725,https://github.com/babel/website
postlight,serverless-typescript-starter,713,https://github.com/postlight/serverless-typescript-starter
WeAreAthlon,frontend-webpack-boilerplate,691,https://github.com/WeAreAthlon/frontend-webpack-boilerplate
goatandsheep,react-native-dotenv,691,https://github.com/goatandsheep/react-native-dotenv
jaredpalmer,presspack,688,https://github.com/jaredpalmer/presspack
pizzaql,pizzaql,681,https://github.com/pizzaql/pizzaql
saguijs,sagui,674,https://github.com/saguijs/sagui
alizahid,slinky,673,https://github.com/alizahid/slinky
chikara-chan,react-isomorphic-boilerplate,655,https://github.com/chikara-chan/react-isomorphic-boilerplate
caiobiodere,cordova-template-framework7-vue-webpack,628,https://github.com/caiobiodere/cordova-template-framework7-vue-webpack
bokub,lyo,624,https://github.com/bokub/lyo
vmasto,express-babel,617,https://github.com/vmasto/express-babel
kriasoft,react-app,614,https://github.com/kriasoft/react-app
54sword,xiaoduyu.com,604,https://github.com/54sword/xiaoduyu.com
coderaiser,putout,601,https://github.com/coderaiser/putout
wooorm,xdm,588,https://github.com/wooorm/xdm
cdimascio,generator-express-no-stress,582,https://github.com/cdimascio/generator-express-no-stress
borela,naomi,559,https://github.com/borela/naomi
xiadd,zhuishushenqi,542,https://github.com/xiadd/zhuishushenqi
andrewalexeich,gulp-scss-starter,537,https://github.com/andrewalexeich/gulp-scss-starter
amfoss,WebApp,527,https://github.com/amfoss/WebApp
Shyam-Chen,Express-Starter,518,https://github.com/Shyam-Chen/Express-Starter
jgierer12,awesome-babel-macros,497,https://github.com/jgierer12/awesome-babel-macros
