Username,Repository,Stars,Repo URL
ccxt,ccxt,29.3k,https://github.com/ccxt/ccxt
discordjs,discord.js,24k,https://github.com/discordjs/discord.js
python-telegram-bot,python-telegram-bot,23.3k,https://github.com/python-telegram-bot/python-telegram-bot
wechaty,wechaty,17.4k,https://github.com/wechaty/wechaty
RasaHQ,rasa,17.1k,https://github.com/RasaHQ/rasa
hubotio,hubot,16.5k,https://github.com/hubotio/hubot
InstaPy,InstaPy,15.8k,https://github.com/InstaPy/InstaPy
leon-ai,leon,13.6k,https://github.com/leon-ai/leon
gunthercox,ChatterBot,13.6k,https://github.com/gunthercox/ChatterBot
Rapptz,discord.py,13.6k,https://github.com/Rapptz/discord.py
tgbot-collection,YYeTsBot,13.2k,https://github.com/tgbot-collection/YYeTsBot
pedroslopez,whatsapp-web.js,12.2k,https://github.com/pedroslopez/whatsapp-web.js
howdyai,botkit,11.2k,https://github.com/howdyai/botkit
Mrs4s,go-cqhttp,9.7k,https://github.com/Mrs4s/go-cqhttp
lss233,chatgpt-mirai-qq-bot,9.7k,https://github.com/lss233/chatgpt-mirai-qq-bot
sfyc23,EverydayWechat,9.6k,https://github.com/sfyc23/EverydayWechat
microsoft,ailab,7.5k,https://github.com/microsoft/ailab
yagop,node-telegram-bot-api,7.5k,https://github.com/yagop/node-telegram-bot-api
microsoft,botframework-sdk,7.2k,https://github.com/microsoft/botframework-sdk
telegraf,telegraf,7.1k,https://github.com/telegraf/telegraf
EZFNDEV,EZFN-Lobbybot,6.9k,https://github.com/EZFNDEV/EZFN-Lobbybot
deeppavlov,DeepPavlov,6.4k,https://github.com/deeppavlov/DeepPavlov
maxbbraun,trump2cash,6.2k,https://github.com/maxbbraun/trump2cash
botman,botman,5.9k,https://github.com/botman/botman
axa-group,nlp.js,5.9k,https://github.com/axa-group/nlp.js
Prince-Mendiratta,BotsApp,5.5k,https://github.com/Prince-Mendiratta/BotsApp
orkestral,venom,5.3k,https://github.com/orkestral/venom
nonebot,nonebot2,5k,https://github.com/nonebot/nonebot2
jef,streetmerchant,4.9k,https://github.com/jef/streetmerchant
LmeSzinc,AzurLaneAutoScript,4.9k,https://github.com/LmeSzinc/AzurLaneAutoScript
jesse-ai,jesse,4.9k,https://github.com/jesse-ai/jesse
chrisleekr,binance-trading-bot,4.6k,https://github.com/chrisleekr/binance-trading-bot
ohld,igbot,4.5k,https://github.com/ohld/igbot
goq,telegram-list,4.2k,https://github.com/goq/telegram-list
Cog-Creators,Red-DiscordBot,4.2k,https://github.com/Cog-Creators/Red-DiscordBot
PrismarineJS,mineflayer,4.2k,https://github.com/PrismarineJS/mineflayer
Yoctol,bottender,4.1k,https://github.com/Yoctol/bottender
discord-jda,JDA,3.9k,https://github.com/discord-jda/JDA
aiogram,aiogram,3.9k,https://github.com/aiogram/aiogram
snipsco,snips-nlu,3.8k,https://github.com/snipsco/snips-nlu
PokemonGoF,PokemonGo-Bot,3.8k,https://github.com/PokemonGoF/PokemonGo-Bot
niespodd,browser-fingerprinting,3.7k,https://github.com/niespodd/browser-fingerprinting
eatmoreapple,openwechat,3.6k,https://github.com/eatmoreapple/openwechat
koishijs,koishi,3.3k,https://github.com/koishijs/koishi
luolongfei,freenom,3.2k,https://github.com/luolongfei/freenom
discord-net,Discord.Net,3.1k,https://github.com/discord-net/Discord.Net
askrella,whatsapp-chatgpt,2.9k,https://github.com/askrella/whatsapp-chatgpt
TBXark,ChatGPT-Telegram-Workers,2.9k,https://github.com/TBXark/ChatGPT-Telegram-Workers
Haehnchen,crypto-trading-bot,2.9k,https://github.com/Haehnchen/crypto-trading-bot
TelegramBots,Telegram.Bot,2.8k,https://github.com/TelegramBots/Telegram.Bot
botui,botui,2.8k,https://github.com/botui/botui
irazasyed,telegram-bot-sdk,2.7k,https://github.com/irazasyed/telegram-bot-sdk
anasty17,mirror-leech-telegram-bot,2.7k,https://github.com/anasty17/mirror-leech-telegram-bot
TeamUltroid,Ultroid,2.6k,https://github.com/TeamUltroid/Ultroid
danog,MadelineProto,2.5k,https://github.com/danog/MadelineProto
nikoksr,notify,2.5k,https://github.com/nikoksr/notify
koishijs,novelai-bot,2.4k,https://github.com/koishijs/novelai-bot
Zero6992,chatGPT-discord-bot,2.4k,https://github.com/Zero6992/chatGPT-discord-bot
Drakkar-Software,OctoBot,2.3k,https://github.com/Drakkar-Software/OctoBot
RasaHQ,rasa_core,2.3k,https://github.com/RasaHQ/rasa_core
slackapi,hubot-slack,2.3k,https://github.com/slackapi/hubot-slack
cixingguangming55555,wechat-bot,2.1k,https://github.com/cixingguangming55555/wechat-bot
V4NSH4J,discord-mass-DM-GO,2k,https://github.com/V4NSH4J/discord-mass-DM-GO
nonebot,nonebot,2k,https://github.com/nonebot/nonebot
msgbyte,tailchat,2k,https://github.com/msgbyte/tailchat
kubeshop,botkube,1.9k,https://github.com/kubeshop/botkube
bottenderjs,messaging-apis,1.9k,https://github.com/bottenderjs/messaging-apis
blankly-finance,blankly,1.8k,https://github.com/blankly-finance/blankly
songtianyi,wechat-go,1.8k,https://github.com/songtianyi/wechat-go
anouarbensaad,vulnx,1.8k,https://github.com/anouarbensaad/vulnx
hexsum,Mojo-Webqq,1.7k,https://github.com/hexsum/Mojo-Webqq
LlmKira,Openaibot,1.7k,https://github.com/LlmKira/Openaibot
dongweiming,wechat-admin,1.7k,https://github.com/dongweiming/wechat-admin
line,line-bot-sdk-python,1.7k,https://github.com/line/line-bot-sdk-python
brndnmtthws,thetagang,1.7k,https://github.com/brndnmtthws/thetagang
microsoft,BotFramework-Emulator,1.7k,https://github.com/microsoft/BotFramework-Emulator
codigoencasa,bot-whatsapp,1.7k,https://github.com/codigoencasa/bot-whatsapp
Discord4J,Discord4J,1.7k,https://github.com/Discord4J/Discord4J
kalliope-project,kalliope,1.7k,https://github.com/kalliope-project/kalliope
nodeWechat,wechat4u,1.6k,https://github.com/nodeWechat/wechat4u
CodeXBotz,File-Sharing-Bot,1.6k,https://github.com/CodeXBotz/File-Sharing-Bot
1tayH,noisy,1.6k,https://github.com/1tayH/noisy
pengrad,java-telegram-bot-api,1.5k,https://github.com/pengrad/java-telegram-bot-api
KudoAI,chatgpt.js,1.5k,https://github.com/KudoAI/chatgpt.js
lobehub,lobe-chat,1.5k,https://github.com/lobehub/lobe-chat
modmail-dev,Modmail,1.5k,https://github.com/modmail-dev/Modmail
Kav-K,GPTDiscord,1.5k,https://github.com/Kav-K/GPTDiscord
botuniverse,onebot,1.5k,https://github.com/botuniverse/onebot
microsoft,BotFramework-WebChat,1.5k,https://github.com/microsoft/BotFramework-WebChat
abalabahaha,eris,1.5k,https://github.com/abalabahaha/eris
discordjs,guide,1.5k,https://github.com/discordjs/guide
iovxw,rssbot,1.4k,https://github.com/iovxw/rssbot
mullwar,telebot,1.4k,https://github.com/mullwar/telebot
jkbrzt,cointrol,1.4k,https://github.com/jkbrzt/cointrol
grammyjs,grammY,1.4k,https://github.com/grammyjs/grammY
Ice9Coffee,HoshinoBot,1.4k,https://github.com/Ice9Coffee/HoshinoBot
wppconnect-team,wppconnect,1.3k,https://github.com/wppconnect-team/wppconnect
swapagarwal,JARVIS-on-Messenger,1.3k,https://github.com/swapagarwal/JARVIS-on-Messenger
Privoce,vocechat-web,1.3k,https://github.com/Privoce/vocechat-web
paulpierre,informer,1.3k,https://github.com/paulpierre/informer
