Username,Repository,Stars,Repo URL
files-community,Files,29k,https://github.com/files-community/Files
microsoft,calculator,27.8k,https://github.com/microsoft/calculator
ShareX,ShareX,25.6k,https://github.com/ShareX/ShareX
jellyfin,jellyfin,25.6k,https://github.com/jellyfin/jellyfin
Ryujinx,Ryujinx,24.9k,https://github.com/Ryujinx/Ryujinx
doocs,leetcode,23.4k,https://github.com/doocs/leetcode
mxgmn,WaveFunctionCollapse,21.9k,https://github.com/mxgmn/WaveFunctionCollapse
AvaloniaUI,Avalonia,19.8k,https://github.com/AvaloniaUI/Avalonia
thangchung,awesome-dotnet-core,18.5k,https://github.com/thangchung/awesome-dotnet-core
veler,DevToys,18.3k,https://github.com/veler/DevToys
sst,sst,17.9k,https://github.com/sst/sst
dotnet,roslyn,17.9k,https://github.com/dotnet/roslyn
dotnet,corefx,17.8k,https://github.com/dotnet/corefx
pulumi,pulumi,17.8k,https://github.com/pulumi/pulumi
quozd,awesome-dotnet,17.4k,https://github.com/quozd/awesome-dotnet
MoienTajik,AspNetCore-Developer-Roadmap,16.5k,https://github.com/MoienTajik/AspNetCore-Developer-Roadmap
BeyondDimension,SteamTools,15.4k,https://github.com/BeyondDimension/SteamTools
antlr,antlr4,15.3k,https://github.com/antlr/antlr4
ardalis,CleanArchitecture,13.5k,https://github.com/ardalis/CleanArchitecture
OpenRA,OpenRA,13.4k,https://github.com/OpenRA/OpenRA
carlospolop,PEASS-ng,13.4k,https://github.com/carlospolop/PEASS-ng
bitwarden,server,13.3k,https://github.com/bitwarden/server
arthurspk,guiadevbrasil,12.6k,https://github.com/arthurspk/guiadevbrasil
rocksdanister,lively,12.4k,https://github.com/rocksdanister/lively
abpframework,abp,11.5k,https://github.com/abpframework/abp
aspnetboilerplate,aspnetboilerplate,11.3k,https://github.com/aspnetboilerplate/aspnetboilerplate
glideapps,quicktype,10.6k,https://github.com/glideapps/quicktype
mono,mono,10.6k,https://github.com/mono/mono
dotansimha,graphql-code-generator,10.3k,https://github.com/dotansimha/graphql-code-generator
dotnet,csharplang,10.3k,https://github.com/dotnet/csharplang
winsw,winsw,10.3k,https://github.com/winsw/winsw
MonoGame,MonoGame,10.1k,https://github.com/MonoGame/MonoGame
apache,thrift,9.9k,https://github.com/apache/thrift
JustArchiNET,ArchiSteamFarm,9.8k,https://github.com/JustArchiNET/ArchiSteamFarm
dotnet,BenchmarkDotNet,9.5k,https://github.com/dotnet/BenchmarkDotNet
dtm-labs,dtm,9.2k,https://github.com/dtm-labs/dtm
Tencent,xLua,8.7k,https://github.com/Tencent/xLua
gui-cs,Terminal.Gui,8.6k,https://github.com/gui-cs/Terminal.Gui
AdrienTorris,awesome-blazor,8k,https://github.com/AdrienTorris/awesome-blazor
unoplatform,uno,8k,https://github.com/unoplatform/uno
reactiveui,ReactiveUI,7.7k,https://github.com/reactiveui/ReactiveUI
