Username,Repository,Stars,Repo URL
Genymobile,scrcpy,92.4k,https://github.com/Genymobile/scrcpy
neovim,neovim,70.2k,https://github.com/neovim/neovim
obsproject,obs-studio,50.8k,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,49.7k,https://github.com/fffaraz/awesome-cpp
git,git,47.6k,https://github.com/git/git
FFmpeg,FFmpeg,38.9k,https://github.com/FFmpeg/FFmpeg
serhii-londar,open-source-mac-os-apps,37.2k,https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,33.2k,https://github.com/vim/vim
curl,curl,31.9k,https://github.com/curl/curl
huihut,interview,30.7k,https://github.com/huihut/interview
ggreer,the_silver_searcher,25.3k,https://github.com/ggreer/the_silver_searcher
mpv-player,mpv,23.8k,https://github.com/mpv-player/mpv
ossrs,srs,22.8k,https://github.com/ossrs/srs
google,flatbuffers,21.2k,https://github.com/google/flatbuffers
ruby,ruby,20.9k,https://github.com/ruby/ruby
kovidgoyal,kitty,20.1k,https://github.com/kovidgoyal/kitty
microsoft,vcpkg,19.9k,https://github.com/microsoft/vcpkg
oracle,graal,19.1k,https://github.com/oracle/graal
radareorg,radare2,18.7k,https://github.com/radareorg/radare2
hashcat,hashcat,18.4k,https://github.com/hashcat/hashcat
jarun,nnn,17.2k,https://github.com/jarun/nnn
TheAlgorithms,C,17.1k,https://github.com/TheAlgorithms/C
allinurl,goaccess,16.7k,https://github.com/allinurl/goaccess
forthespada,CS-Books,16.3k,https://github.com/forthespada/CS-Books
qmk,qmk_firmware,16k,https://github.com/qmk/qmk_firmware
raysan5,raylib,15.7k,https://github.com/raysan5/raylib
shadowsocks,shadowsocks-libev,15.5k,https://github.com/shadowsocks/shadowsocks-libev
facebook,infer,14.4k,https://github.com/facebook/infer
lionsoul2014,ip2region,14.3k,https://github.com/lionsoul2014/ip2region
CoatiSoftware,Sourcetrail,13.8k,https://github.com/CoatiSoftware/Sourcetrail
skywind3000,kcp,13.7k,https://github.com/skywind3000/kcp
vurtun,nuklear,13.6k,https://github.com/vurtun/nuklear
tree-sitter,tree-sitter,13.4k,https://github.com/tree-sitter/tree-sitter
reactos,reactos,13.3k,https://github.com/reactos/reactos
lvgl,lvgl,13.2k,https://github.com/lvgl/lvgl
arthurspk,guiadevbrasil,12.7k,https://github.com/arthurspk/guiadevbrasil
s-matyukevich,raspberry-pi-os,12.5k,https://github.com/s-matyukevich/raspberry-pi-os
OpenRCT2,OpenRCT2,12.3k,https://github.com/OpenRCT2/OpenRCT2
jonas,tig,11.8k,https://github.com/jonas/tig
davatorium,rofi,11.6k,https://github.com/davatorium/rofi
videolan,vlc,11.6k,https://github.com/videolan/vlc
systemd,systemd,11.6k,https://github.com/systemd/systemd
webview,webview,11.6k,https://github.com/webview/webview
jedisct1,libsodium,11.5k,https://github.com/jedisct1/libsodium
glfw,glfw,11.3k,https://github.com/glfw/glfw
python-pillow,Pillow,11.2k,https://github.com/python-pillow/Pillow
iamshuaidi,CS-Book,11.1k,https://github.com/iamshuaidi/CS-Book
sumatrapdfreader,sumatrapdf,11k,https://github.com/sumatrapdfreader/sumatrapdf
xiaolincoder,CS-Base,10.4k,https://github.com/xiaolincoder/CS-Base
libevent,libevent,10.2k,https://github.com/libevent/libevent
fogleman,Craft,10k,https://github.com/fogleman/Craft
apache,thrift,10k,https://github.com/apache/thrift
borgbackup,borg,9.8k,https://github.com/borgbackup/borg
phpredis,phpredis,9.8k,https://github.com/phpredis/phpredis
kanaka,mal,9.6k,https://github.com/kanaka/mal
cs01,gdbgui,9.4k,https://github.com/cs01/gdbgui
FreeRDP,FreeRDP,9.2k,https://github.com/FreeRDP/FreeRDP
libgit2,libgit2,9.2k,https://github.com/libgit2/libgit2
mytechnotalent,Reverse-Engineering,9.2k,https://github.com/mytechnotalent/Reverse-Engineering
krallin,tini,9k,https://github.com/krallin/tini
returntocorp,semgrep,8.9k,https://github.com/returntocorp/semgrep
DoctorWkt,acwj,8.9k,https://github.com/DoctorWkt/acwj
