Username,Repository,Stars,Repo URL
CSSEGISandData,COVID-19,29.2k,https://github.com/CSSEGISandData/COVID-19
nytimes,covid-19-data,7k,https://github.com/nytimes/covid-19-data
covid19india,covid19india-react,6.9k,https://github.com/covid19india/covid19india-react
Tokyo-Metro-Gov,covid19,6.3k,https://github.com/Tokyo-Metro-Gov/covid19
owid,covid-19-data,5.6k,https://github.com/owid/covid-19-data
pcm-dpc,COVID-19,3.9k,https://github.com/pcm-dpc/COVID-19
ieee8023,covid-chestxray-dataset,2.9k,https://github.com/ieee8023/covid-chestxray-dataset
disease-sh,API,2.4k,https://github.com/disease-sh/API
geohot,corona,2.4k,https://github.com/geohot/corona
WorldHealthOrganization,app,2.1k,https://github.com/WorldHealthOrganization/app
corona-warn-app,cwa-server,1.9k,https://github.com/corona-warn-app/cwa-server
ahmadawais,corona-cli,1.9k,https://github.com/ahmadawais/corona-cli
github,covid19-dashboard,1.6k,https://github.com/github/covid19-dashboard
ExpDev07,coronavirus-tracker-api,1.6k,https://github.com/ExpDev07/coronavirus-tracker-api
soroushchehresa,awesome-coronavirus,1.5k,https://github.com/soroushchehresa/awesome-coronavirus
mhdhejazi,CoronaTracker,1.5k,https://github.com/mhdhejazi/CoronaTracker
chandrikadeb7,Face-Mask-Detection,1.5k,https://github.com/chandrikadeb7/Face-Mask-Detection
cirosantilli,china-dictatorship,1.4k,https://github.com/cirosantilli/china-dictatorship
neherlab,covid19_scenarios,1.4k,https://github.com/neherlab/covid19_scenarios
chrismattmann,tika-python,1.3k,https://github.com/chrismattmann/tika-python
pomber,covid19,1.2k,https://github.com/pomber/covid19
covidpass-org,covidpass,1.2k,https://github.com/covidpass-org/covidpass
datasets,covid-19,1.2k,https://github.com/datasets/covid-19
lindawangg,COVID-Net,1.1k,https://github.com/lindawangg/COVID-Net
FoldingAtHome,coronavirus,1.1k,https://github.com/FoldingAtHome/coronavirus
UCSD-AI4H,COVID-CT,1.1k,https://github.com/UCSD-AI4H/COVID-CT
MoH-Malaysia,covid19-public,955,https://github.com/MoH-Malaysia/covid19-public
ImperialCollegeLondon,covid19model,948,https://github.com/ImperialCollegeLondon/covid19model
nychealth,coronavirus-data,945,https://github.com/nychealth/coronavirus-data
fahadshamshad,awesome-transformers-in-medical-imaging,938,https://github.com/fahadshamshad/awesome-transformers-in-medical-imaging
makers-for-life,makair,800,https://github.com/makers-for-life/makair
OxCGRT,covid-policy-tracker,760,https://github.com/OxCGRT/covid-policy-tracker
ryansmcgee,seirsplus,642,https://github.com/ryansmcgee/seirsplus
globalcitizen,2019-wuhan-coronavirus-data,616,https://github.com/globalcitizen/2019-wuhan-coronavirus-data
javieraviles,covidAPI,600,https://github.com/javieraviles/covidAPI
pallupz,covid-vaccine-booking,599,https://github.com/pallupz/covid-vaccine-booking
RehanSaeed,Schema.NET,596,https://github.com/RehanSaeed/Schema.NET
rbignon,doctoshotgun,554,https://github.com/rbignon/doctoshotgun
kawalcovid19,wargabantuwarga.com,552,https://github.com/kawalcovid19/wargabantuwarga.com
JoHof,lungmask,546,https://github.com/JoHof/lungmask
VinAIResearch,BERTweet,535,https://github.com/VinAIResearch/BERTweet
