Username,Repository,Stars,Repo URL
twbs,bootstrap,166k,https://github.com/twbs/bootstrap
30-seconds,30-seconds-of-code,116k,https://github.com/30-seconds/30-seconds-of-code
electron,electron,109k,https://github.com/electron/electron
animate-css,animate.css,78.7k,https://github.com/animate-css/animate.css
microsoft,Web-Dev-For-Beginners,77k,https://github.com/microsoft/Web-Dev-For-Beginners
tailwindlabs,tailwindcss,72.5k,https://github.com/tailwindlabs/tailwindcss
FortAwesome,Font-Awesome,72.3k,https://github.com/FortAwesome/Font-Awesome
thedaviddias,Front-End-Checklist,66.2k,https://github.com/thedaviddias/Front-End-Checklist
h5bp,html5-boilerplate,55.3k,https://github.com/h5bp/html5-boilerplate
necolas,normalize.css,51.1k,https://github.com/necolas/normalize.css
jgthms,bulma,47.6k,https://github.com/jgthms/bulma
juliangarnier,anime,47.1k,https://github.com/juliangarnier/anime
prettier,prettier,46.7k,https://github.com/prettier/prettier
parcel-bundler,parcel,42.7k,https://github.com/parcel-bundler/parcel
vercel,hyper,41.6k,https://github.com/vercel/hyper
styled-components,styled-components,39.6k,https://github.com/styled-components/styled-components
Dogfalo,materialize,38.8k,https://github.com/Dogfalo/materialize
Asabeneh,30-Days-Of-JavaScript,38.7k,https://github.com/Asabeneh/30-Days-Of-JavaScript
yangshun,front-end-interview-handbook,38.6k,https://github.com/yangshun/front-end-interview-handbook
evanw,esbuild,36.2k,https://github.com/evanw/esbuild
tabler,tabler,35.6k,https://github.com/tabler/tabler
novuhq,novu,29k,https://github.com/novuhq/novu
IanLunn,Hover,28.8k,https://github.com/IanLunn/Hover
layui,layui,28.1k,https://github.com/layui/layui
postcss,postcss,27.8k,https://github.com/postcss/postcss
Advanced-Frontend,Daily-Interview-Question,27k,https://github.com/Advanced-Frontend/Daily-Interview-Question
AllThingsSmitty,css-protips,26.2k,https://github.com/AllThingsSmitty/css-protips
saadeghi,daisyui,25.1k,https://github.com/saadeghi/daisyui
haizlin,fe-interview,24k,https://github.com/haizlin/fe-interview
iview,iview,24k,https://github.com/iview/iview
qianguyihao,Web,23.9k,https://github.com/qianguyihao/Web
mdbootstrap,mdb-ui-kit,23.7k,https://github.com/mdbootstrap/mdb-ui-kit
pure-css,pure,23.2k,https://github.com/pure-css/pure
Asabeneh,30-Days-Of-React,22.9k,https://github.com/Asabeneh/30-Days-Of-React
jlmakes,scrollreveal,21.8k,https://github.com/jlmakes/scrollreveal
postcss,autoprefixer,21.2k,https://github.com/postcss/autoprefixer
nostalgic-css,NES.css,20k,https://github.com/nostalgic-css/NES.css
Popmotion,popmotion,19.5k,https://github.com/Popmotion/popmotion
vueComponent,ant-design-vue,18.8k,https://github.com/vueComponent/ant-design-vue
you-dont-need,You-Dont-Need-JavaScript,18.5k,https://github.com/you-dont-need/You-Dont-Need-JavaScript
less,less.js,17k,https://github.com/less/less.js
material-components,material-components-web,16.9k,https://github.com/material-components/material-components-web
emotion-js,emotion,16.8k,https://github.com/emotion-js/emotion
tabler,tabler-icons,16.2k,https://github.com/tabler/tabler-icons
30-seconds,30-seconds-of-css,16.1k,https://github.com/30-seconds/30-seconds-of-css
chokcoco,iCSS,16.1k,https://github.com/chokcoco/iCSS
thedaviddias,Front-End-Performance-Checklist,16k,https://github.com/thedaviddias/Front-End-Performance-Checklist
grab,front-end-guide,15k,https://github.com/grab/front-end-guide
twbs,ratchet,14.6k,https://github.com/twbs/ratchet
thomaspark,bootswatch,14.3k,https://github.com/thomaspark/bootswatch
DioxusLabs,dioxus,14.2k,https://github.com/DioxusLabs/dioxus
google,WebFundamentals,13.8k,https://github.com/google/WebFundamentals
amazeui,amazeui,13.5k,https://github.com/amazeui/amazeui
dcloudio,mui,13.5k,https://github.com/dcloudio/mui
sparanoid,chinese-copywriting-guidelines,13.2k,https://github.com/sparanoid/chinese-copywriting-guidelines
selectize,selectize.js,13k,https://github.com/selectize/selectize.js
Tencent,omi,12.8k,https://github.com/Tencent/omi
cobiwave,simplefolio,12.7k,https://github.com/cobiwave/simplefolio
arthurspk,guiadevbrasil,12.6k,https://github.com/arthurspk/guiadevbrasil
primer,css,12.3k,https://github.com/primer/css
mdbootstrap,Tailwind-Elements,12k,https://github.com/mdbootstrap/Tailwind-Elements
weilanwl,coloruicss,11.9k,https://github.com/weilanwl/coloruicss
aniftyco,awesome-tailwindcss,11.7k,https://github.com/aniftyco/awesome-tailwindcss
coreui,coreui-free-bootstrap-admin-template,11.7k,https://github.com/coreui/coreui-free-bootstrap-admin-template
jessepollak,card,11.6k,https://github.com/jessepollak/card
wenzhixin,bootstrap-table,11.6k,https://github.com/wenzhixin/bootstrap-table
webview,webview,11.6k,https://github.com/webview/webview
tachyons-css,tachyons,11.5k,https://github.com/tachyons-css/tachyons
30-seconds,30-seconds-of-interviews,11.5k,https://github.com/30-seconds/30-seconds-of-interviews
picturepan2,spectre,11.2k,https://github.com/picturepan2/spectre
stylus,stylus,11.1k,https://github.com/stylus/stylus
barbajs,barba,11k,https://github.com/barbajs/barba
callstack,linaria,10.8k,https://github.com/callstack/linaria
microsoft,frontend-bootcamp,10.8k,https://github.com/microsoft/frontend-bootcamp
HabitRPG,habitica,10.6k,https://github.com/HabitRPG/habitica
stylelint,stylelint,10.5k,https://github.com/stylelint/stylelint
vueComponent,ant-design-vue-pro,10.4k,https://github.com/vueComponent/ant-design-vue-pro
yygmind,blog,10.3k,https://github.com/yygmind/blog
picocss,pico,10.3k,https://github.com/picocss/pico
jhy,jsoup,10.3k,https://github.com/jhy/jsoup
alexfoxy,lax.js,10.1k,https://github.com/alexfoxy/lax.js
milligram,milligram,10.1k,https://github.com/milligram/milligram
ionic-team,capacitor,10k,https://github.com/ionic-team/capacitor
cdnjs,cdnjs,10k,https://github.com/cdnjs/cdnjs
connors,photon,10k,https://github.com/connors/photon
dompdf,dompdf,9.9k,https://github.com/dompdf/dompdf
addyosmani,critical,9.8k,https://github.com/addyosmani/critical
lipis,flag-icons,9.8k,https://github.com/lipis/flag-icons
tsayen,dom-to-image,9.7k,https://github.com/tsayen/dom-to-image
shoelace-style,shoelace,9.7k,https://github.com/shoelace-style/shoelace
dunovank,jupyter-themes,9.7k,https://github.com/dunovank/jupyter-themes
mathjax,MathJax,9.6k,https://github.com/mathjax/MathJax
