Username,Repository,Stars,Repo URL
iamadamdev,bypass-paywalls-chrome,41.5k,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,25.2k,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,21.8k,https://github.com/refined-github/refined-github
openai-translator,openai-translator,18.5k,https://github.com/openai-translator/openai-translator
darkreader,darkreader,17.4k,https://github.com/darkreader/darkreader
checkly,headless-recorder,14.8k,https://github.com/checkly/headless-recorder
dailydotdev,daily,14.2k,https://github.com/dailydotdev/daily
unbug,codelf,13.8k,https://github.com/unbug/codelf
wong2,chatgpt-google-extension,13.3k,https://github.com/wong2/chatgpt-google-extension
gildas-lormeau,SingleFile,12k,https://github.com/gildas-lormeau/SingleFile
immersive-translate,immersive-translate,11.7k,https://github.com/immersive-translate/immersive-translate
Anarios,return-youtube-dislike,11.5k,https://github.com/Anarios/return-youtube-dislike
crimx,ext-saladict,11.1k,https://github.com/crimx/ext-saladict
listen1,listen1_chrome_extension,10.6k,https://github.com/listen1/listen1_chrome_extension
josStorer,chatGPTBox,8.8k,https://github.com/josStorer/chatGPTBox
alyssaxuu,screenity,8.7k,https://github.com/alyssaxuu/screenity
chathub-dev,chathub,8.2k,https://github.com/chathub-dev/chathub
AutomaApp,automa,8.2k,https://github.com/AutomaApp/automa
appbaseio,dejavu,8.2k,https://github.com/appbaseio/dejavu
ajayyy,SponsorBlock,7.7k,https://github.com/ajayyy/SponsorBlock
Kenshin,simpread,7.5k,https://github.com/Kenshin/simpread
PlasmoHQ,plasmo,6.9k,https://github.com/PlasmoHQ/plasmo
alyssaxuu,omni,6.6k,https://github.com/alyssaxuu/omni
dessant,buster,6.5k,https://github.com/dessant/buster
interstellard,chatgpt-advanced,6k,https://github.com/interstellard/chatgpt-advanced
pt-plugins,PT-Plugin-Plus,5.5k,https://github.com/pt-plugins/PT-Plugin-Plus
webclipper,web-clipper,5.4k,https://github.com/webclipper/web-clipper
manojVivek,medium-unlimited,5.3k,https://github.com/manojVivek/medium-unlimited
LasCC,HackTools,5k,https://github.com/LasCC/HackTools
altair-graphql,altair,4.8k,https://github.com/altair-graphql/altair
openstyles,stylus,4.8k,https://github.com/openstyles/stylus
zxlie,FeHelper,4.8k,https://github.com/zxlie/FeHelper
xifangczy,cat-catch,4.6k,https://github.com/xifangczy/cat-catch
notion-enhancer,notion-enhancer,4.4k,https://github.com/notion-enhancer/notion-enhancer
floccusaddon,floccus,4.4k,https://github.com/floccusaddon/floccus
DIYgod,RSSHub-Radar,4.4k,https://github.com/DIYgod/RSSHub-Radar
iorate,ublacklist,4.2k,https://github.com/iorate/ublacklist
hcfyapp,crx-selection-translate,4k,https://github.com/hcfyapp/crx-selection-translate
vinta,pangu.js,4k,https://github.com/vinta/pangu.js
honestbleeps,Reddit-Enhancement-Suite,3.9k,https://github.com/honestbleeps/Reddit-Enhancement-Suite
WorldBrain,Memex,3.8k,https://github.com/WorldBrain/Memex
bilibili-helper,bilibili-helper-o,3.8k,https://github.com/bilibili-helper/bilibili-helper-o
dejan,rails_panel,3.8k,https://github.com/dejan/rails_panel
pbek,QOwnNotes,3.7k,https://github.com/pbek/QOwnNotes
KartikTalwar,gmail.js,3.7k,https://github.com/KartikTalwar/gmail.js
ansh,jiffyreader.com,3.6k,https://github.com/ansh/jiffyreader.com
QasimWani,LeetHub,3.5k,https://github.com/QasimWani/LeetHub
RetireJS,retire.js,3.4k,https://github.com/RetireJS/retire.js
EmailThis,extension-boilerplate,3.2k,https://github.com/EmailThis/extension-boilerplate
justjavac,ReplaceGoogleCDN,3.2k,https://github.com/justjavac/ReplaceGoogleCDN
uku,Unblock-Youku,3.2k,https://github.com/uku/Unblock-Youku
tulios,json-viewer,3.1k,https://github.com/tulios/json-viewer
sunoj,jjb,3.1k,https://github.com/sunoj/jjb
fregante,GhostText,3.1k,https://github.com/fregante/GhostText
FastForwardTeam,FastForward,3k,https://github.com/FastForwardTeam/FastForward
leonhartX,gas-github,3k,https://github.com/leonhartX/gas-github
xuejianxianzun,PixivBatchDownloader,3k,https://github.com/xuejianxianzun/PixivBatchDownloader
