Username,Repository,Stars,Repo URL
electron,electron,109k,https://github.com/electron/electron
puppeteer,puppeteer,84.7k,https://github.com/puppeteer/puppeteer
microsoft,playwright,55.4k,https://github.com/microsoft/playwright
FiloSottile,mkcert,42.9k,https://github.com/FiloSottile/mkcert
iamadamdev,bypass-paywalls-chrome,41.5k,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,25.2k,https://github.com/jaywcjlove/linux-command
ovity,octotree,22.5k,https://github.com/ovity/octotree
segment-boneyard,nightmare,19.5k,https://github.com/segment-boneyard/nightmare
checkly,headless-recorder,14.8k,https://github.com/checkly/headless-recorder
google,WebFundamentals,13.8k,https://github.com/google/WebFundamentals
schickling,chromeless,13.2k,https://github.com/schickling/chromeless
GoogleChrome,chrome-extensions-samples,13.2k,https://github.com/GoogleChrome/chrome-extensions-samples
gildas-lormeau,SingleFile,12k,https://github.com/gildas-lormeau/SingleFile
casesandberg,react-color,11.6k,https://github.com/casesandberg/react-color
crimx,ext-saladict,11.1k,https://github.com/crimx/ext-saladict
MetaMask,metamask-extension,10.7k,https://github.com/MetaMask/metamask-extension
chromedp,chromedp,9.6k,https://github.com/chromedp/chromedp
moonD4rk,HackBrowserData,8.8k,https://github.com/moonD4rk/HackBrowserData
uBlock-LLC,uBlock,8.1k,https://github.com/uBlock-LLC/uBlock
ajayyy,SponsorBlock,7.7k,https://github.com/ajayyy/SponsorBlock
Kenshin,simpread,7.5k,https://github.com/Kenshin/simpread
bitwarden,clients,7.3k,https://github.com/bitwarden/clients
alvarcarto,url-to-pdf-api,6.9k,https://github.com/alvarcarto/url-to-pdf-api
kangvcar,InfoSpider,6.9k,https://github.com/kangvcar/InfoSpider
alyssaxuu,omni,6.6k,https://github.com/alyssaxuu/omni
browserless,chrome,6.5k,https://github.com/browserless/chrome
ultrafunkamsterdam,undetected-chromedriver,6.5k,https://github.com/ultrafunkamsterdam/undetected-chromedriver
subhra74,xdm,5.7k,https://github.com/subhra74/xdm
gotenberg,gotenberg,5.7k,https://github.com/gotenberg/gotenberg
berstend,puppeteer-extra,5.6k,https://github.com/berstend/puppeteer-extra
melonjs,melonJS,5.5k,https://github.com/melonjs/melonJS
MontFerret,ferret,5.5k,https://github.com/MontFerret/ferret
yujiosaka,headless-chrome-crawler,5.4k,https://github.com/yujiosaka/headless-chrome-crawler
themerdev,themer,5.3k,https://github.com/themerdev/themer
brookhong,Surfingkeys,4.8k,https://github.com/brookhong/Surfingkeys
firefox-devtools,debugger,4.6k,https://github.com/firefox-devtools/debugger
xifangczy,cat-catch,4.6k,https://github.com/xifangczy/cat-catch
nieweidong,fetool,4.4k,https://github.com/nieweidong/fetool
notion-enhancer,notion-enhancer,4.4k,https://github.com/notion-enhancer/notion-enhancer
floccusaddon,floccus,4.4k,https://github.com/floccusaddon/floccus
jonasstrehle,supercookie,4.3k,https://github.com/jonasstrehle/supercookie
hcfyapp,crx-selection-translate,4k,https://github.com/hcfyapp/crx-selection-translate
willmcpo,body-scroll-lock,4k,https://github.com/willmcpo/body-scroll-lock
bilibili-helper,bilibili-helper-o,3.8k,https://github.com/bilibili-helper/bilibili-helper-o
ClearURLs,Addon,3.7k,https://github.com/ClearURLs/Addon
FlareSolverr,FlareSolverr,3.7k,https://github.com/FlareSolverr/FlareSolverr
seleniumbase,SeleniumBase,3.6k,https://github.com/seleniumbase/SeleniumBase
mherrmann,selenium-python-helium,3.5k,https://github.com/mherrmann/selenium-python-helium
argos-ci,jest-puppeteer,3.5k,https://github.com/argos-ci/jest-puppeteer
QasimWani,LeetHub,3.5k,https://github.com/QasimWani/LeetHub
qawolf,qawolf,3.3k,https://github.com/qawolf/qawolf
justjavac,ReplaceGoogleCDN,3.2k,https://github.com/justjavac/ReplaceGoogleCDN
