Username,Repository,Stars,Repo URL
metabase,metabase,34.6k,https://github.com/metabase/metabase
logseq,logseq,25.8k,https://github.com/logseq/logseq
penpot,penpot,23.4k,https://github.com/penpot/penpot
deeplearning4j,deeplearning4j,13.2k,https://github.com/deeplearning4j/deeplearning4j
LightTable,LightTable,11.7k,https://github.com/LightTable/LightTable
kanaka,mal,9.6k,https://github.com/kanaka/mal
lk-geimfari,awesomo,9.1k,https://github.com/lk-geimfari/awesomo
tonsky,datascript,5.2k,https://github.com/tonsky/datascript
reagent-project,reagent,4.7k,https://github.com/reagent-project/reagent
riemann,riemann,4.2k,https://github.com/riemann/riemann
izhangzhihao,intellij-rainbow-brackets,4.2k,https://github.com/izhangzhihao/intellij-rainbow-brackets
weavejester,compojure,4k,https://github.com/weavejester/compojure
bbatsov,clojure-style-guide,4k,https://github.com/bbatsov/clojure-style-guide
status-im,status-mobile,3.7k,https://github.com/status-im/status-mobile
ring-clojure,ring,3.6k,https://github.com/ring-clojure/ring
babashka,babashka,3.6k,https://github.com/babashka/babashka
clojure-emacs,cider,3.5k,https://github.com/clojure-emacs/cider
defold,defold,3.3k,https://github.com/defold/defold
viebel,klipse,3.1k,https://github.com/viebel/klipse
tallesl,Rich-Hickey-fanclub,3k,https://github.com/tallesl/Rich-Hickey-fanclub
bhauman,lein-figwheel,2.9k,https://github.com/bhauman/lein-figwheel
twosigma,beakerx,2.8k,https://github.com/twosigma/beakerx
pedestal,pedestal,2.6k,https://github.com/pedestal/pedestal
razum2um,awesome-clojure,2.6k,https://github.com/razum2um/awesome-clojure
weavejester,hiccup,2.6k,https://github.com/weavejester/hiccup
clj-commons,aleph,2.5k,https://github.com/clj-commons/aleph
http-kit,http-kit,2.4k,https://github.com/http-kit/http-kit
onyx-platform,onyx,2k,https://github.com/onyx-platform/onyx
anmonteiro,lumo,1.9k,https://github.com/anmonteiro/lumo
walmartlabs,lacinia,1.8k,https://github.com/walmartlabs/lacinia
boot-clj,boot,1.8k,https://github.com/boot-clj/boot
taoensso,sente,1.7k,https://github.com/taoensso/sente
arcadia-unity,Arcadia,1.7k,https://github.com/arcadia-unity/Arcadia
clj-kondo,clj-kondo,1.6k,https://github.com/clj-kondo/clj-kondo
netgusto,nodebook,1.6k,https://github.com/netgusto/nodebook
clojerl,clojerl,1.6k,https://github.com/clojerl/clojerl
dundalek,closh,1.6k,https://github.com/dundalek/closh
LuxLang,lux,1.6k,https://github.com/LuxLang/lux
nextjournal,clerk,1.6k,https://github.com/nextjournal/clerk
replikativ,datahike,1.6k,https://github.com/replikativ/datahike
candid82,joker,1.6k,https://github.com/candid82/joker
Olical,conjure,1.5k,https://github.com/Olical/conjure
jeremykross,konstellate,1.5k,https://github.com/jeremykross/konstellate
taoensso,timbre,1.4k,https://github.com/taoensso/timbre
metosin,reitit,1.3k,https://github.com/metosin/reitit
noprompt,garden,1.3k,https://github.com/noprompt/garden
metosin,malli,1.3k,https://github.com/metosin/malli
clojure-liberator,liberator,1.3k,https://github.com/clojure-liberator/liberator
venantius,ultra,1.2k,https://github.com/venantius/ultra
Tensegritics,ClojureDart,1.2k,https://github.com/Tensegritics/ClojureDart
tolitius,mount,1.2k,https://github.com/tolitius/mount
jank-lang,jank,1.2k,https://github.com/jank-lang/jank
CircleCI-Archived,frontend,1.2k,https://github.com/CircleCI-Archived/frontend
weavejester,integrant,1.1k,https://github.com/weavejester/integrant
abo-abo,lispy,1.1k,https://github.com/abo-abo/lispy
taoensso,carmine,1.1k,https://github.com/taoensso/carmine
duct-framework,duct,1.1k,https://github.com/duct-framework/duct
babashka,sci,1.1k,https://github.com/babashka/sci
metosin,compojure-api,1.1k,https://github.com/metosin/compojure-api
cryogen-project,cryogen,1.1k,https://github.com/cryogen-project/cryogen
clojure-lsp,clojure-lsp,1.1k,https://github.com/clojure-lsp/clojure-lsp
nginx-clojure,nginx-clojure,1.1k,https://github.com/nginx-clojure/nginx-clojure
weavejester,cljfmt,1.1k,https://github.com/weavejester/cljfmt
nakkaya,ferret,1.1k,https://github.com/nakkaya/ferret
uncomplicate,neanderthal,1k,https://github.com/uncomplicate/neanderthal
hantuzun,awesome-clojurescript,1k,https://github.com/hantuzun/awesome-clojurescript
zk,clojuredocs,1k,https://github.com/zk/clojuredocs
taoensso,nippy,996,https://github.com/taoensso/nippy
clj-commons,manifold,990,https://github.com/clj-commons/manifold
juxt,bidi,983,https://github.com/juxt/bidi
clj-python,libpython-clj,971,https://github.com/clj-python/libpython-clj
mogenslund,liquid,951,https://github.com/mogenslund/liquid
yogthos,Selmer,940,https://github.com/yogthos/Selmer
imteekay,functional-programming-learning-path,935,https://github.com/imteekay/functional-programming-learning-path
bhb,expound,915,https://github.com/bhb/expound
weavejester,environ,906,https://github.com/weavejester/environ
puniverse,pulsar,902,https://github.com/puniverse/pulsar
clojure-emacs,clojure-mode,889,https://github.com/clojure-emacs/clojure-mode
