Username,Repository,Stars,Repo URL
realm,SwiftLint,17.8k,https://github.com/realm/SwiftLint
facebook,infer,14.4k,https://github.com/facebook/infer
analysis-tools-dev,static-analysis,11.7k,https://github.com/analysis-tools-dev/static-analysis
Kristories,awesome-guidelines,9.1k,https://github.com/Kristories/awesome-guidelines
SonarSource,sonarqube,8.1k,https://github.com/SonarSource/sonarqube
checkstyle,checkstyle,7.9k,https://github.com/checkstyle/checkstyle
reviewdog,reviewdog,6.7k,https://github.com/reviewdog/reviewdog
facebook,pyre-check,6.5k,https://github.com/facebook/pyre-check
detekt,detekt,5.7k,https://github.com/detekt/detekt
import-js,eslint-plugin-import,5k,https://github.com/import-js/eslint-plugin-import
trekhleb,state-of-the-art-shitcode,5k,https://github.com/trekhleb/state-of-the-art-shitcode
pylint-dev,pylint,4.9k,https://github.com/pylint-dev/pylint
simplecov-ruby,simplecov,4.6k,https://github.com/simplecov-ruby/simplecov
pmd,pmd,4.4k,https://github.com/pmd/pmd
phpro,grumphp,4k,https://github.com/phpro/grumphp
kucherenko,jscpd,3.2k,https://github.com/kucherenko/jscpd
htmlhint,HTMLHint,3k,https://github.com/htmlhint/HTMLHint
codeclimate,codeclimate,2.4k,https://github.com/codeclimate/codeclimate
wemake-services,wemake-python-styleguide,2.3k,https://github.com/wemake-services/wemake-python-styleguide
uber,piranha,2.1k,https://github.com/uber/piranha
Qihoo360,safe-rules,1.7k,https://github.com/Qihoo360/safe-rules
Tencent,CodeAnalysis,1.5k,https://github.com/Tencent/CodeAnalysis
crate-ci,typos,1.5k,https://github.com/crate-ci/typos
oxsecurity,megalinter,1.5k,https://github.com/oxsecurity/megalinter
sourcery-ai,sourcery,1.4k,https://github.com/sourcery-ai/sourcery
Bearer,bearer,1.4k,https://github.com/Bearer/bearer
ehmicky,cross-platform-node-guide,1.4k,https://github.com/ehmicky/cross-platform-node-guide
ehmicky,modern-errors,1.3k,https://github.com/ehmicky/modern-errors
Tencent,feflow,1.3k,https://github.com/Tencent/feflow
jakzal,phpqa,1.2k,https://github.com/jakzal/phpqa
DmytroLitvinov,awesome-flake8-extensions,1.1k,https://github.com/DmytroLitvinov/awesome-flake8-extensions
imgbot,Imgbot,1.1k,https://github.com/imgbot/Imgbot
mockdeep,typewiz,1.1k,https://github.com/mockdeep/typewiz
PyCQA,flake8-bugbear,979,https://github.com/PyCQA/flake8-bugbear
SonarSource,SonarJS,961,https://github.com/SonarSource/SonarJS
protofire,solhint,952,https://github.com/protofire/solhint
federico-busato,Modern-CPP-Programming,939,https://github.com/federico-busato/Modern-CPP-Programming
captainhookphp,captainhook,899,https://github.com/captainhookphp/captainhook
pdepend,pdepend,892,https://github.com/pdepend/pdepend
joshuaclayton,unused,861,https://github.com/joshuaclayton/unused
mattzcarey,code-review-gpt,859,https://github.com/mattzcarey/code-review-gpt
enlightn,enlightn,825,https://github.com/enlightn/enlightn
maglnet,ComposerRequireChecker,798,https://github.com/maglnet/ComposerRequireChecker
SonarSource,SonarTS,765,https://github.com/SonarSource/SonarTS
bufferapp,android-guidelines,755,https://github.com/bufferapp/android-guidelines
grodowski,undercover,666,https://github.com/grodowski/undercover
SonarSource,sonar-dotnet,663,https://github.com/SonarSource/sonar-dotnet
metricfu,metric_fu,614,https://github.com/metricfu/metric_fu
mgreiler,code-review-checklist,608,https://github.com/mgreiler/code-review-checklist
pep8speaks-org,pep8speaks,592,https://github.com/pep8speaks-org/pep8speaks
ruilisi,css-checker,566,https://github.com/ruilisi/css-checker
dodie,vim-disapprove-deep-indentation,557,https://github.com/dodie/vim-disapprove-deep-indentation
mamuz,PhpDependencyAnalysis,551,https://github.com/mamuz/PhpDependencyAnalysis
marcinguy,betterscan-ce,538,https://github.com/marcinguy/betterscan-ce
econchick,interrogate,502,https://github.com/econchick/interrogate
detekt,sonar-detekt,489,https://github.com/detekt/sonar-detekt
fastruby,skunk,476,https://github.com/fastruby/skunk
ehmicky,log-process-errors,472,https://github.com/ehmicky/log-process-errors
coverallsapp,github-action,422,https://github.com/coverallsapp/github-action
novoda,gradle-static-analysis-plugin,407,https://github.com/novoda/gradle-static-analysis-plugin
