Username,Repository,Stars,Repo URL
vercel,next.js,113k,https://github.com/vercel/next.js
rust-lang,rust,86.2k,https://github.com/rust-lang/rust
sveltejs,svelte,73.1k,https://github.com/sveltejs/svelte
webpack,webpack,63.6k,https://github.com/webpack/webpack
gatsbyjs,gatsby,54.8k,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,46k,https://github.com/JetBrains/kotlin
parcel-bundler,parcel,42.7k,https://github.com/parcel-bundler/parcel
babel,babel,42.6k,https://github.com/babel/babel
evanw,esbuild,36.2k,https://github.com/evanw/esbuild
vlang,v,34.8k,https://github.com/vlang/v
carbon-language,carbon-lang,31.4k,https://github.com/carbon-language/carbon-lang
markedjs,marked,30.7k,https://github.com/markedjs/marked
FuelLabs,sway,30.6k,https://github.com/FuelLabs/sway
swc-project,swc,28.7k,https://github.com/swc-project/swc
ziglang,zig,26.5k,https://github.com/ziglang/zig
vercel,pkg,23.8k,https://github.com/vercel/pkg
v8,v8,21.8k,https://github.com/v8/v8
typst,typst,21.5k,https://github.com/typst/typst
AssemblyScript,assemblyscript,16k,https://github.com/AssemblyScript/assemblyscript
RustPython,RustPython,15.7k,https://github.com/RustPython/RustPython
nim-lang,Nim,15.6k,https://github.com/nim-lang/Nim
compiler-explorer,compiler-explorer,14.1k,https://github.com/compiler-explorer/compiler-explorer
Konloch,bytecode-viewer,14k,https://github.com/Konloch/bytecode-viewer
exaloop,codon,13.4k,https://github.com/exaloop/codon
gopherjs,gopherjs,12.1k,https://github.com/gopherjs/gopherjs
apache,tvm,10.4k,https://github.com/apache/tvm
Nuitka,Nuitka,9.9k,https://github.com/Nuitka/Nuitka
BuilderIO,mitosis,9.8k,https://github.com/BuilderIO/mitosis
numba,numba,9k,https://github.com/numba/numba
DoctorWkt,acwj,8.9k,https://github.com/DoctorWkt/acwj
aalhour,awesome-compilers,8.1k,https://github.com/aalhour/awesome-compilers
munificent,craftinginterpreters,7.4k,https://github.com/munificent/craftinginterpreters
elm,compiler,7.3k,https://github.com/elm/compiler
wasp-lang,wasp,7.2k,https://github.com/wasp-lang/wasp
JetBrains,kotlin-native,7.1k,https://github.com/JetBrains/kotlin-native
enso-org,enso,6.6k,https://github.com/enso-org/enso
rescript-lang,rescript-compiler,6.3k,https://github.com/rescript-lang/rescript-compiler
HaxeFoundation,haxe,5.7k,https://github.com/HaxeFoundation/haxe
web-infra-dev,rspack,5.6k,https://github.com/web-infra-dev/rspack
lebab,lebab,5.6k,https://github.com/lebab/lebab
halide,Halide,5.5k,https://github.com/halide/Halide
lampepfl,dotty,5.4k,https://github.com/lampepfl/dotty
alangpierce,sucrase,5.4k,https://github.com/alangpierce/sucrase
gleam-lang,gleam,5.3k,https://github.com/gleam-lang/gleam
red,red,5.3k,https://github.com/red/red
apache,groovy,5k,https://github.com/apache/groovy
parcel-bundler,lightningcss,5k,https://github.com/parcel-bundler/lightningcss
ocaml,ocaml,4.8k,https://github.com/ocaml/ocaml
opal,opal,4.8k,https://github.com/opal/opal
hylang,hy,4.6k,https://github.com/hylang/hy
ballercat,walt,4.6k,https://github.com/ballercat/walt
odin-lang,Odin,4.6k,https://github.com/odin-lang/Odin
yoav-lavi,melody,4.5k,https://github.com/yoav-lavi/melody
ohmjs,ohm,4.5k,https://github.com/ohmjs/ohm
scala-js,scala-js,4.5k,https://github.com/scala-js/scala-js
scala-native,scala-native,4.4k,https://github.com/scala-native/scala-native
tetratelabs,wazero,4k,https://github.com/tetratelabs/wazero
mint-lang,mint,3.9k,https://github.com/mint-lang/mint
evhub,coconut,3.8k,https://github.com/evhub/coconut
google,mtail,3.6k,https://github.com/google/mtail
asmjit,asmjit,3.6k,https://github.com/asmjit/asmjit
dotnet,fsharp,3.6k,https://github.com/dotnet/fsharp
GetFirefly,firefly,3.5k,https://github.com/GetFirefly/firefly
crosire,reshade,3.5k,https://github.com/crosire/reshade
ballerina-platform,ballerina-lang,3.4k,https://github.com/ballerina-platform/ballerina-lang
google,fully-homomorphic-encryption,3.3k,https://github.com/google/fully-homomorphic-encryption
d5,tengo,3.3k,https://github.com/d5/tengo
sdiehl,write-you-a-haskell,3.3k,https://github.com/sdiehl/write-you-a-haskell
MoOx,phenomic,3.2k,https://github.com/MoOx/phenomic
facebookincubator,cinder,3.2k,https://github.com/facebookincubator/cinder
eclipse-openj9,openj9,3.2k,https://github.com/eclipse-openj9/openj9
emojicode,emojicode,3.1k,https://github.com/emojicode/emojicode
grain-lang,grain,3k,https://github.com/grain-lang/grain
llvm-mirror,clang,3k,https://github.com/llvm-mirror/clang
gluon-lang,gluon,3k,https://github.com/gluon-lang/gluon
quickjs-zh,QuickJS,2.9k,https://github.com/quickjs-zh/QuickJS
thedodd,trunk,2.8k,https://github.com/thedodd/trunk
dlang,dmd,2.8k,https://github.com/dlang/dmd
alpa-projects,alpa,2.8k,https://github.com/alpa-projects/alpa
TranscryptOrg,Transcrypt,2.8k,https://github.com/TranscryptOrg/Transcrypt
amilajack,reading,2.7k,https://github.com/amilajack/reading
KhronosGroup,glslang,2.6k,https://github.com/KhronosGroup/glslang
winglang,wing,2.6k,https://github.com/winglang/wing
bytecodealliance,cranelift,2.5k,https://github.com/bytecodealliance/cranelift
clasp-developers,clasp,2.4k,https://github.com/clasp-developers/clasp
erg-lang,erg,2.3k,https://github.com/erg-lang/erg
ispc,ispc,2.3k,https://github.com/ispc/ispc
beefytech,Beef,2.3k,https://github.com/beefytech/Beef
grame-cncm,faust,2.3k,https://github.com/grame-cncm/faust
cksystemsteaching,selfie,2.3k,https://github.com/cksystemsteaching/selfie
web-infra-dev,oxc,2.3k,https://github.com/web-infra-dev/oxc
idris-lang,Idris2,2.2k,https://github.com/idris-lang/Idris2
bytenode,bytenode,2.2k,https://github.com/bytenode/bytenode
diku-dk,futhark,2.2k,https://github.com/diku-dk/futhark
bakpakin,Fennel,2.2k,https://github.com/bakpakin/Fennel
pytorch,xla,2.2k,https://github.com/pytorch/xla
