Username,Repository,Stars,Repo URL
crystal-lang,crystal,18.8k,https://github.com/crystal-lang/crystal
kemalcr,kemal,3.5k,https://github.com/kemalcr/kemal
veelenga,awesome-crystal,3.2k,https://github.com/veelenga/awesome-crystal
amberframework,amber,2.5k,https://github.com/amberframework/amber
luckyframework,lucky,2.5k,https://github.com/luckyframework/lucky
getmango,Mango,1.6k,https://github.com/getmango/Mango
ffwff,lilith,1.1k,https://github.com/ffwff/lilith
vitobotta,hetzner-k3s,1.1k,https://github.com/vitobotta/hetzner-k3s
drujensen,fib,835,https://github.com/drujensen/fib
amethyst-framework,amethyst,647,https://github.com/amethyst-framework/amethyst
askn,crystal-by-example,545,https://github.com/askn/crystal-by-example
hanabi1224,Programming-Language-Benchmarks,500,https://github.com/hanabi1224/Programming-Language-Benchmarks
crystal-community,icr,497,https://github.com/crystal-community/icr
crystal-ameba,ameba,480,https://github.com/crystal-ameba/ameba
will,crystal-pg,447,https://github.com/will/crystal-pg
vim-crystal,vim-crystal,407,https://github.com/vim-crystal/vim-crystal
imdrasil,jennifer.cr,406,https://github.com/imdrasil/jennifer.cr
elbywan,crystalline,383,https://github.com/elbywan/crystalline
stefanwille,crystal-redis,381,https://github.com/stefanwille/crystal-redis
crystal-lang,crystal-book,376,https://github.com/crystal-lang/crystal-book
cooperhammond,irs,372,https://github.com/cooperhammond/irs
hahwul,noir,361,https://github.com/hahwul/noir
Crecto,crecto,340,https://github.com/Crecto/crecto
martenframework,marten,334,https://github.com/martenframework/marten
oprypin,crsfml,334,https://github.com/oprypin/crsfml
crystal-lang-tools,scry,333,https://github.com/crystal-lang-tools/scry
toddsundsted,ktistec,314,https://github.com/toddsundsted/ktistec
Hentioe,policr,304,https://github.com/Hentioe/policr
crystal-community,crystal-patterns,290,https://github.com/crystal-community/crystal-patterns
amberframework,granite,285,https://github.com/amberframework/granite
crystal-lang,crystal-db,282,https://github.com/crystal-lang/crystal-db
xyproto,sdl2-examples,281,https://github.com/xyproto/sdl2-examples
iGenius-Srl,IGColorPicker,278,https://github.com/iGenius-Srl/IGColorPicker
samueleaton,sentry,276,https://github.com/samueleaton/sentry
anykeyh,clear,270,https://github.com/anykeyh/clear
grip-framework,grip,260,https://github.com/grip-framework/grip
costajob,app-servers,257,https://github.com/costajob/app-servers
crystal-lang-tools,vscode-crystal-lang,256,https://github.com/crystal-lang-tools/vscode-crystal-lang
tbrand,router.cr,256,https://github.com/tbrand/router.cr
jeromegn,slang,232,https://github.com/jeromegn/slang
mamantoha,crest,225,https://github.com/mamantoha/crest
noahlh,celestite,223,https://github.com/noahlh/celestite
Papierkorb,qt5.cr,206,https://github.com/Papierkorb/qt5.cr
mosquito-cr,mosquito,201,https://github.com/mosquito-cr/mosquito
charly-lang,charly,201,https://github.com/charly-lang/charly
crystal-community,jwt,201,https://github.com/crystal-community/jwt
lucaong,immutable,200,https://github.com/lucaong/immutable
cadmiumcr,cadmium,199,https://github.com/cadmiumcr/cadmium
tbrand,neph,199,https://github.com/tbrand/neph
Axentro,Axentro,196,https://github.com/Axentro/Axentro
athena-framework,athena,189,https://github.com/athena-framework/athena
Blacksmoke16,oq,184,https://github.com/Blacksmoke16/oq
f,crystalshards,179,https://github.com/f/crystalshards
Blacksmoke16,GESI,178,https://github.com/Blacksmoke16/GESI
samueleaton,raze,177,https://github.com/samueleaton/raze
ChristianMurphy,compile-to-web,177,https://github.com/ChristianMurphy/compile-to-web
NeuraLegion,shainet,177,https://github.com/NeuraLegion/shainet
kemalyst,kemalyst,176,https://github.com/kemalyst/kemalyst
Fusion,libui.cr,175,https://github.com/Fusion/libui.cr
watzon,marionette,174,https://github.com/watzon/marionette
icyleaf,halite,173,https://github.com/icyleaf/halite
Papierkorb,bindgen,171,https://github.com/Papierkorb/bindgen
icyleaf,fast-crystal,165,https://github.com/icyleaf/fast-crystal
luckyframework,avram,156,https://github.com/luckyframework/avram
amberframework,micrate,153,https://github.com/amberframework/micrate
kostya,myhtml,151,https://github.com/kostya/myhtml
ysbaddaden,prax.cr,150,https://github.com/ysbaddaden/prax.cr
cncf,cnf-testsuite,149,https://github.com/cncf/cnf-testsuite
protoncr,tourmaline,149,https://github.com/protoncr/tourmaline
Anyolite,anyolite,146,https://github.com/Anyolite/anyolite
ysbaddaden,minitest.cr,144,https://github.com/ysbaddaden/minitest.cr
onyxframework,http,141,https://github.com/onyxframework/http
askn,faker,141,https://github.com/askn/faker
crystal-data,num.cr,139,https://github.com/crystal-data/num.cr
jessedoyle,duktape.cr,136,https://github.com/jessedoyle/duktape.cr
discordcr,discordcr,135,https://github.com/discordcr/discordcr
graphql-crystal,graphql,134,https://github.com/graphql-crystal/graphql
askn,progress,132,https://github.com/askn/progress
hugopl,tijolo,131,https://github.com/hugopl/tijolo
madeindjs,Crystagiri,128,https://github.com/madeindjs/Crystagiri
jtomschroeder,crystalline,127,https://github.com/jtomschroeder/crystalline
jhass,crystal-gobject,125,https://github.com/jhass/crystal-gobject
crystal-lang,crystal-sqlite3,123,https://github.com/crystal-lang/crystal-sqlite3
obsidian,orion,122,https://github.com/obsidian/orion
Sija,raven.cr,120,https://github.com/Sija/raven.cr
GeopJr,Collision,118,https://github.com/GeopJr/Collision
at-grandpa,clim,118,https://github.com/at-grandpa/clim
myst-lang,myst,116,https://github.com/myst-lang/myst
j8r,dockerfiles,116,https://github.com/j8r/dockerfiles
straight-shoota,crinja,115,https://github.com/straight-shoota/crinja
cable-cr,cable,114,https://github.com/cable-cr/cable
DFabric,dppm,110,https://github.com/DFabric/dppm
arcage,crystal-email,109,https://github.com/arcage/crystal-email
crystallabs,crysterm,107,https://github.com/crystallabs/crysterm
marceloboeira,bojack,105,https://github.com/marceloboeira/bojack
icyleaf,markd,105,https://github.com/icyleaf/markd
crystal-lang,crystal-mysql,104,https://github.com/crystal-lang/crystal-mysql
crystal-community,cossack,104,https://github.com/crystal-community/cossack
stumpycr,stumpy_png,103,https://github.com/stumpycr/stumpy_png
luislavena,radix,101,https://github.com/luislavena/radix
