Username,Repository,Stars,Repo URL
jwasham,coding-interview-university,269k,https://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,176k,https://github.com/trekhleb/javascript-algorithms
labuladong,fucking-algorithm,120k,https://github.com/labuladong/fucking-algorithm
TheAlgorithms,Java,54.1k,https://github.com/TheAlgorithms/Java
azl397985856,leetcode,52.6k,https://github.com/azl397985856/leetcode
krahets,hello-algo,37.4k,https://github.com/krahets/hello-algo
huihut,interview,30.6k,https://github.com/huihut/interview
TheAlgorithms,JavaScript,28.9k,https://github.com/TheAlgorithms/JavaScript
kodecocodes,swift-algorithm-club,28.1k,https://github.com/kodecocodes/swift-algorithm-club
TheAlgorithms,C-Plus-Plus,26.2k,https://github.com/TheAlgorithms/C-Plus-Plus
TheAlgorithms,Rust,17.6k,https://github.com/TheAlgorithms/Rust
TheAlgorithms,C,17k,https://github.com/TheAlgorithms/C
OI-wiki,OI-wiki,15.9k,https://github.com/OI-wiki/OI-wiki
kunal-kushwaha,DSA-Bootcamp-Java,13.6k,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java
TheAlgorithms,Go,13.5k,https://github.com/TheAlgorithms/Go
gyoogle,tech-interview-for-developer,11.9k,https://github.com/gyoogle/tech-interview-for-developer
careercup,CtCI-6th-Edition,10.9k,https://github.com/careercup/CtCI-6th-Edition
AkashSingh3031,The-Complete-FAANG-Preparation,9.5k,https://github.com/AkashSingh3031/The-Complete-FAANG-Preparation
seanprashad,leetcode-patterns,8.9k,https://github.com/seanprashad/leetcode-patterns
changgyhub,leetcode_101,7.6k,https://github.com/changgyhub/leetcode_101
amejiarosario,dsa.js-data-structures-algorithms-javascript,7.4k,https://github.com/amejiarosario/dsa.js-data-structures-algorithms-javascript
twowaits,SDE-Interview-Questions,6.8k,https://github.com/twowaits/SDE-Interview-Questions
oramasearch,orama,6.4k,https://github.com/oramasearch/orama
crossbeam-rs,crossbeam,6.4k,https://github.com/crossbeam-rs/crossbeam
mahmoud,boltons,6.3k,https://github.com/mahmoud/boltons
grandyang,leetcode,6.1k,https://github.com/grandyang/leetcode
TheAlgorithms,C-Sharp,5.8k,https://github.com/TheAlgorithms/C-Sharp
aalhour,C-Sharp-Algorithms,5.6k,https://github.com/aalhour/C-Sharp-Algorithms
mandliya,algorithms_and_data_structures,5.5k,https://github.com/mandliya/algorithms_and_data_structures
cp-algorithms,cp-algorithms,5.4k,https://github.com/cp-algorithms/cp-algorithms
teivah,algodeck,5.2k,https://github.com/teivah/algodeck
soapyigu,LeetCode-Swift,4.7k,https://github.com/soapyigu/LeetCode-Swift
TomWright,dasel,4.6k,https://github.com/TomWright/dasel
OmkarPathak,pygorithm,4.3k,https://github.com/OmkarPathak/pygorithm
loiane,javascript-datastructures-algorithms,4.3k,https://github.com/loiane/javascript-datastructures-algorithms
phishman3579,java-algorithms-implementation,4.3k,https://github.com/phishman3579/java-algorithms-implementation
rosedblabs,rosedb,4k,https://github.com/rosedblabs/rosedb
WooVictory,Ready-For-Tech-Interview,3.9k,https://github.com/WooVictory/Ready-For-Tech-Interview
NotFound9,interviewGuide,3.8k,https://github.com/NotFound9/interviewGuide
felipernb,algorithms.js,3.7k,https://github.com/felipernb/algorithms.js
fishercoder1534,Leetcode,3.6k,https://github.com/fishercoder1534/Leetcode
EbTech,rust-algorithms,3.5k,https://github.com/EbTech/rust-algorithms
itcharge,LeetCode-Py,3.5k,https://github.com/itcharge/LeetCode-Py
JCTools,JCTools,3.4k,https://github.com/JCTools/JCTools
HowProgrammingWorks,Index,3.2k,https://github.com/HowProgrammingWorks/Index
ml-tooling,best-of-python,3.2k,https://github.com/ml-tooling/best-of-python
jamesroutley,write-a-hash-table,3.2k,https://github.com/jamesroutley/write-a-hash-table
MTrajK,coding-problems,3.1k,https://github.com/MTrajK/coding-problems
dpilger26,NumCpp,3.1k,https://github.com/dpilger26/NumCpp
facert,python-data-structure-cn,3.1k,https://github.com/facert/python-data-structure-cn
fragglet,c-algorithms,3k,https://github.com/fragglet/c-algorithms
thi-ng,umbrella,3k,https://github.com/thi-ng/umbrella
nutsdb,nutsdb,3k,https://github.com/nutsdb/nutsdb
cheatsheet1999,FrontEndCollection,3k,https://github.com/cheatsheet1999/FrontEndCollection
anushka23g,Complete-Placement-Preparation,2.8k,https://github.com/anushka23g/Complete-Placement-Preparation
williamfiset,DEPRECATED-data-structures,2.8k,https://github.com/williamfiset/DEPRECATED-data-structures
EndlessCheng,codeforces-go,2.7k,https://github.com/EndlessCheng/codeforces-go
ua-nick,Data-Structures-and-Algorithms,2.7k,https://github.com/ua-nick/Data-Structures-and-Algorithms
TheAlgorithms,Algorithms-Explanation,2.7k,https://github.com/TheAlgorithms/Algorithms-Explanation
yangshun,lago,2.7k,https://github.com/yangshun/lago
benoitvallon,computer-science-in-javascript,2.6k,https://github.com/benoitvallon/computer-science-in-javascript
srdja,Collections-C,2.6k,https://github.com/srdja/Collections-C
rachitiitr,DataStructures-Algorithms,2.6k,https://github.com/rachitiitr/DataStructures-Algorithms
docarray,docarray,2.5k,https://github.com/docarray/docarray
hora-search,hora,2.5k,https://github.com/hora-search/hora
jonkrohn,ML-foundations,2.5k,https://github.com/jonkrohn/ML-foundations
xacrimon,dashmap,2.4k,https://github.com/xacrimon/dashmap
jgrapht,jgrapht,2.4k,https://github.com/jgrapht/jgrapht
arximboldi,immer,2.4k,https://github.com/arximboldi/immer
atomix,atomix,2.3k,https://github.com/atomix/atomix
ShahjalalShohag,code-library,2.3k,https://github.com/ShahjalalShohag/code-library
tongtzeho,PKUCourse,2.3k,https://github.com/tongtzeho/PKUCourse
krahets,LeetCode-Book,2.3k,https://github.com/krahets/LeetCode-Book
eclipse,eclipse-collections,2.3k,https://github.com/eclipse/eclipse-collections
kth-competitive-programming,kactl,2.3k,https://github.com/kth-competitive-programming/kactl
CodingDocs,awesome-cs,2.2k,https://github.com/CodingDocs/awesome-cs
jainaman224,Algo_Ds_Notes,2.2k,https://github.com/jainaman224/Algo_Ds_Notes
prabhupant,python-ds,2.2k,https://github.com/prabhupant/python-ds
selfboot,CS_Offer,2.2k,https://github.com/selfboot/CS_Offer
php-ds,ext-ds,2.1k,https://github.com/php-ds/ext-ds
tezc,sc,2.1k,https://github.com/tezc/sc
ndb796,python-for-coding-test,2.1k,https://github.com/ndb796/python-for-coding-test
liuyubobobo,Play-with-Data-Structures,2k,https://github.com/liuyubobobo/Play-with-Data-Structures
liyin2015,python-coding-interview,2k,https://github.com/liyin2015/python-coding-interview
0xAX,go-algorithms,1.9k,https://github.com/0xAX/go-algorithms
betty200744,ultimate-go,1.9k,https://github.com/betty200744/ultimate-go
