Username,Repository,Stars,Repo URL
tensorflow,tensorflow,178k,https://github.com/tensorflow/tensorflow
huggingface,transformers,113k,https://github.com/huggingface/transformers
AUTOMATIC1111,stable-diffusion-webui,105k,https://github.com/AUTOMATIC1111/stable-diffusion-webui
opencv,opencv,71.6k,https://github.com/opencv/opencv
pytorch,pytorch,71.4k,https://github.com/pytorch/pytorch
Developer-Y,cs-video-courses,60.6k,https://github.com/Developer-Y/cs-video-courses
keras-team,keras,59.5k,https://github.com/keras-team/keras
d2l-ai,d2l-zh,49.3k,https://github.com/d2l-ai/d2l-zh
CorentinJ,Real-Time-Voice-Cloning,47.9k,https://github.com/CorentinJ/Real-Time-Voice-Cloning
deepfakes,faceswap,47.2k,https://github.com/deepfakes/faceswap
aymericdamien,TensorFlow-Examples,43k,https://github.com/aymericdamien/TensorFlow-Examples
iperov,DeepFaceLab,42.8k,https://github.com/iperov/DeepFaceLab
ultralytics,yolov5,42.1k,https://github.com/ultralytics/yolov5
Avik-Jain,100-Days-Of-ML-Code,41.9k,https://github.com/Avik-Jain/100-Days-Of-ML-Code
labmlai,annotated_deep_learning_paper_implementations,36.7k,https://github.com/labmlai/annotated_deep_learning_paper_implementations
floodsung,Deep-Learning-Papers-Reading-Roadmap,36.4k,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap
dair-ai,Prompt-Engineering-Guide,36.3k,https://github.com/dair-ai/Prompt-Engineering-Guide
hpcaitech,ColossalAI,34.8k,https://github.com/hpcaitech/ColossalAI
GokuMohandas,Made-With-ML,34.3k,https://github.com/GokuMohandas/Made-With-ML
BVLC,caffe,33.6k,https://github.com/BVLC/caffe
TencentARC,GFPGAN,32.5k,https://github.com/TencentARC/GFPGAN
naptha,tesseract.js,31.8k,https://github.com/naptha/tesseract.js
babysor,MockingBird,31.1k,https://github.com/babysor/MockingBird
microsoft,DeepSpeed,28.7k,https://github.com/microsoft/DeepSpeed
CMU-Perceptual-Computing-Lab,openpose,28.3k,https://github.com/CMU-Perceptual-Computing-Lab/openpose
ray-project,ray,28.1k,https://github.com/ray-project/ray
streamlit,streamlit,27.8k,https://github.com/streamlit/streamlit
yunjey,pytorch-tutorial,27.5k,https://github.com/yunjey/pytorch-tutorial
explosion,spaCy,27.3k,https://github.com/explosion/spaCy
ZuzooVn,machine-learning-for-software-engineers,27.2k,https://github.com/ZuzooVn/machine-learning-for-software-engineers
tatsu-lab,stanford_alpaca,26.9k,https://github.com/tatsu-lab/stanford_alpaca
AMAI-GmbH,AI-Expert-Roadmap,26.9k,https://github.com/AMAI-GmbH/AI-Expert-Roadmap
donnemartin,data-science-ipython-notebooks,25.7k,https://github.com/donnemartin/data-science-ipython-notebooks
ageron,handson-ml,25k,https://github.com/ageron/handson-ml
Lightning-AI,lightning,24.8k,https://github.com/Lightning-AI/lightning
eugeneyan,applied-ml,24.8k,https://github.com/eugeneyan/applied-ml
terryum,awesome-deep-learning-papers,24.8k,https://github.com/terryum/awesome-deep-learning-papers
fastai,fastai,24.6k,https://github.com/fastai/fastai
lutzroeder,netron,24.1k,https://github.com/lutzroeder/netron
deezer,spleeter,23.6k,https://github.com/deezer/spleeter
google,mediapipe,23.6k,https://github.com/google/mediapipe
mozilla,DeepSpeech,23.1k,https://github.com/mozilla/DeepSpeech
gradio-app,gradio,22.5k,https://github.com/gradio-app/gradio
eriklindernoren,ML-From-Scratch,22.4k,https://github.com/eriklindernoren/ML-From-Scratch
academic,awesome-datascience,21.9k,https://github.com/academic/awesome-datascience
microsoft,JARVIS,21.9k,https://github.com/microsoft/JARVIS
ChristosChristofidis,awesome-deep-learning,21.7k,https://github.com/ChristosChristofidis/awesome-deep-learning
AlexeyAB,darknet,21k,https://github.com/AlexeyAB/darknet
PaddlePaddle,Paddle,20.9k,https://github.com/PaddlePaddle/Paddle
HumanSignal,labelImg,20.7k,https://github.com/HumanSignal/labelImg
junyanz,pytorch-CycleGAN-and-pix2pix,20.7k,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix
MLEveryday,100-Days-Of-ML-Code,20.3k,https://github.com/MLEveryday/100-Days-Of-ML-Code
shap,shap,20.2k,https://github.com/shap/shap
mli,paper-reading,20.2k,https://github.com/mli/paper-reading
coqui-ai,TTS,20k,https://github.com/coqui-ai/TTS
JaidedAI,EasyOCR,19.7k,https://github.com/JaidedAI/EasyOCR
svc-develop-team,so-vits-svc,19.5k,https://github.com/svc-develop-team/so-vits-svc
fastai,fastbook,19.3k,https://github.com/fastai/fastbook
spmallick,learnopencv,19.3k,https://github.com/spmallick/learnopencv
d2l-ai,d2l-en,19.3k,https://github.com/d2l-ai/d2l-en
jina-ai,jina,19.2k,https://github.com/jina-ai/jina
zergtant,pytorch-handbook,18.8k,https://github.com/zergtant/pytorch-handbook
pyg-team,pytorch_geometric,18.6k,https://github.com/pyg-team/pytorch_geometric
huggingface,diffusers,18.2k,https://github.com/huggingface/diffusers
openai,CLIP,18k,https://github.com/openai/CLIP
Tencent,ncnn,18k,https://github.com/Tencent/ncnn
WZMIAOMIAO,deep-learning-for-image-processing,17.9k,https://github.com/WZMIAOMIAO/deep-learning-for-image-processing
tensorflow,tfjs,17.7k,https://github.com/tensorflow/tfjs
microsoft,AI-For-Beginners,17.7k,https://github.com/microsoft/AI-For-Beginners
microsoft,CNTK,17.4k,https://github.com/microsoft/CNTK
huggingface,datasets,17.3k,https://github.com/huggingface/datasets
ShusenTang,Dive-into-DL-PyTorch,17.1k,https://github.com/ShusenTang/Dive-into-DL-PyTorch
recommenders-team,recommenders,16.4k,https://github.com/recommenders-team/recommenders
instillai,TensorFlow-Course,16.4k,https://github.com/instillai/TensorFlow-Course
afshinea,stanford-cs-229-machine-learning,16k,https://github.com/afshinea/stanford-cs-229-machine-learning
onnx,onnx,15.7k,https://github.com/onnx/onnx
oxford-cs-deepnlp-2017,lectures,15.5k,https://github.com/oxford-cs-deepnlp-2017/lectures
Unity-Technologies,ml-agents,15.4k,https://github.com/Unity-Technologies/ml-agents
keon,awesome-nlp,15.3k,https://github.com/keon/awesome-nlp
cmusatyalab,openface,14.8k,https://github.com/cmusatyalab/openface
kailashahirwar,cheatsheets-ai,14.8k,https://github.com/kailashahirwar/cheatsheets-ai
ml-tooling,best-of-ml-python,14.5k,https://github.com/ml-tooling/best-of-ml-python
EthicalML,awesome-production-machine-learning,14.5k,https://github.com/EthicalML/awesome-production-machine-learning
bharathgs,Awesome-pytorch-list,14.5k,https://github.com/bharathgs/Awesome-pytorch-list
ty4z2008,Qix,14.4k,https://github.com/ty4z2008/Qix
HumanSignal,label-studio,14.4k,https://github.com/HumanSignal/label-studio
NLP-LOVE,ML-NLP,14.3k,https://github.com/NLP-LOVE/ML-NLP
tensorflow,tensor2tensor,14.1k,https://github.com/tensorflow/tensor2tensor
emilwallner,Screenshot-to-code,14.1k,https://github.com/emilwallner/Screenshot-to-code
ujjwalkarn,Machine-Learning-Tutorials,14k,https://github.com/ujjwalkarn/Machine-Learning-Tutorials
camenduru,stable-diffusion-webui-colab,13.9k,https://github.com/camenduru/stable-diffusion-webui-colab
AliaksandrSiarohin,first-order-model,13.8k,https://github.com/AliaksandrSiarohin/first-order-model
aleju,imgaug,13.8k,https://github.com/aleju/imgaug
amusi,CVPR2023-Papers-with-Code,13.6k,https://github.com/amusi/CVPR2023-Papers-with-Code
unifyai,ivy,13.6k,https://github.com/unifyai/ivy
ultralytics,ultralytics,13.6k,https://github.com/ultralytics/ultralytics
horovod,horovod,13.6k,https://github.com/horovod/horovod
ashishpatel26,500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,13.5k,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code
microsoft,nni,13.3k,https://github.com/microsoft/nni
davidsandberg,facenet,13.2k,https://github.com/davidsandberg/facenet
