Username,Repository,Stars,Repo URL
GetStream,vg,1.3k,https://github.com/GetStream/vg
pointfreeco,swift-dependencies,1.1k,https://github.com/pointfreeco/swift-dependencies
ehmicky,nve,657,https://github.com/ehmicky/nve
gradle,gradle-build-action,578,https://github.com/gradle/gradle-build-action
coenjacobs,mozart,397,https://github.com/coenjacobs/mozart
kiliankoe,swift-outdated,292,https://github.com/kiliankoe/swift-outdated
thoth-station,micropipenv,214,https://github.com/thoth-station/micropipenv
bureado,awesome-software-supply-chain-security,206,https://github.com/bureado/awesome-software-supply-chain-security
netlify,framework-info,134,https://github.com/netlify/framework-info
aaronpeikert,reproducible-research,119,https://github.com/aaronpeikert/reproducible-research
abdes,asap,103,https://github.com/abdes/asap
momosecurity,mosec-maven-plugin,92,https://github.com/momosecurity/mosec-maven-plugin
silverwind,updates,91,https://github.com/silverwind/updates
pichillilorenzo,deps-report,84,https://github.com/pichillilorenzo/deps-report
MarcoEidinger,swift-package-dependencies-check,78,https://github.com/MarcoEidinger/swift-package-dependencies-check
stempler,bnd-platform,78,https://github.com/stempler/bnd-platform
saadmk11,github-actions-version-updater,76,https://github.com/saadmk11/github-actions-version-updater
pilosus,pip-license-checker,65,https://github.com/pilosus/pip-license-checker
Zlagi,Blogfy,62,https://github.com/Zlagi/Blogfy
ewohltman,graphdot,51,https://github.com/ewohltman/graphdot
kevcodez,gradle-upgrade-interactive,50,https://github.com/kevcodez/gradle-upgrade-interactive
pilosus,action-pip-license-checker,44,https://github.com/pilosus/action-pip-license-checker
depscloud,depscloud,43,https://github.com/depscloud/depscloud
ehmicky,nvexeca,38,https://github.com/ehmicky/nvexeca
ehmicky,get-bin-path,34,https://github.com/ehmicky/get-bin-path
fkorotkov,gradle-libraries-plugin,32,https://github.com/fkorotkov/gradle-libraries-plugin
ecoAPM,dotnet-libyear,32,https://github.com/ecoAPM/dotnet-libyear
nikhil-thakkar,multi-module-dependency-setup,29,https://github.com/nikhil-thakkar/multi-module-dependency-setup
DeterminateSystems,flake-checker-action,26,https://github.com/DeterminateSystems/flake-checker-action
momosecurity,mosec-gradle-plugin,24,https://github.com/momosecurity/mosec-gradle-plugin
momosecurity,mosec-pip-plugin,23,https://github.com/momosecurity/mosec-pip-plugin
momosecurity,mosec-composer-plugin,22,https://github.com/momosecurity/mosec-composer-plugin
subelsky,dim,20,https://github.com/subelsky/dim
scalacenter,sbt-eviction-rules,20,https://github.com/scalacenter/sbt-eviction-rules
ehmicky,get-node,20,https://github.com/ehmicky/get-node
edoardottt,depsdev,20,https://github.com/edoardottt/depsdev
momosecurity,mosec-node-plugin,18,https://github.com/momosecurity/mosec-node-plugin
uber-research,java-dependency-validator,18,https://github.com/uber-research/java-dependency-validator
thoth-station,prescriptions,17,https://github.com/thoth-station/prescriptions
cloudlinux,securechain-java,16,https://github.com/cloudlinux/securechain-java
SgtSilvio,gradle-oci,15,https://github.com/SgtSilvio/gradle-oci
ehmicky,node-version-alias,13,https://github.com/ehmicky/node-version-alias
dbpedia,archivo,13,https://github.com/dbpedia/archivo
ecoAPM,php-libyear,12,https://github.com/ecoAPM/php-libyear
Makeshift,generate-dependabot-glob-action,12,https://github.com/Makeshift/generate-dependabot-glob-action
ehmicky,all-node-versions,10,https://github.com/ehmicky/all-node-versions
ehmicky,preferred-node-version,10,https://github.com/ehmicky/preferred-node-version
mikroskeem,PicoMaven,9,https://github.com/mikroskeem/PicoMaven
ehmicky,normalize-node-version,9,https://github.com/ehmicky/normalize-node-version
ehmicky,get-node-cli,8,https://github.com/ehmicky/get-node-cli
listendev,action,7,https://github.com/listendev/action
johanfylling,opa-dependency-manager,7,https://github.com/johanfylling/opa-dependency-manager
ManyakRus,image_packages,6,https://github.com/ManyakRus/image_packages
BNPrashanth,go-poc-bp,6,https://github.com/BNPrashanth/go-poc-bp
asseco-pst,einstein,5,https://github.com/asseco-pst/einstein
sgreben,terrafile-ify,4,https://github.com/sgreben/terrafile-ify
ehmicky,fetch-node-website,4,https://github.com/ehmicky/fetch-node-website
sapcc,helm-outdated-dependencies,3,https://github.com/sapcc/helm-outdated-dependencies
gofunky,tuplip,3,https://github.com/gofunky/tuplip
yowainwright,codependence-cron,3,https://github.com/yowainwright/codependence-cron
vikasdesale,Joke-Telling-App,3,https://github.com/vikasdesale/Joke-Telling-App
yowainwright,install-perfection,3,https://github.com/yowainwright/install-perfection
dsp-testing,go-dependency-submission,2,https://github.com/dsp-testing/go-dependency-submission
svenfinke,edm,2,https://github.com/svenfinke/edm
proticity-cloud,java-modern-gradle-plugin,2,https://github.com/proticity-cloud/java-modern-gradle-plugin
mfoo,libyear-maven-plugin,2,https://github.com/mfoo/libyear-maven-plugin
timmeinerzhagen,dependabot-sha-comment-action,2,https://github.com/timmeinerzhagen/dependabot-sha-comment-action
DroidNanoDegree,JokeTeller,2,https://github.com/DroidNanoDegree/JokeTeller
fridex,s2i-example-micropipenv,2,https://github.com/fridex/s2i-example-micropipenv
devpuppet,brewery-bom,2,https://github.com/devpuppet/brewery-bom
CodeReaper,Waffle,2,https://github.com/CodeReaper/Waffle
sourdough,starter,2,https://github.com/sourdough/starter
jeongukjae,module-tracker.py,1,https://github.com/jeongukjae/module-tracker.py
sourdough,wildtype,1,https://github.com/sourdough/wildtype
valencra,Gradle-Example,1,https://github.com/valencra/Gradle-Example
