Username,Repository,Stars,Repo URL
fastlane,fastlane,37.6k,https://github.com/fastlane/fastlane
ray-project,ray,28.2k,https://github.com/ray-project/ray
capistrano,capistrano,12.6k,https://github.com/capistrano/capistrano
caprover,caprover,11.2k,https://github.com/caprover/caprover
deployphp,deployer,10.1k,https://github.com/deployphp/deployer
dagger,dagger,9.1k,https://github.com/dagger/dagger
apex,up,8.7k,https://github.com/apex/up
AppImage,AppImageKit,8.2k,https://github.com/AppImage/AppImageKit
chef,chef,7.3k,https://github.com/chef/chef
node-config,node-config,6.1k,https://github.com/node-config/node-config
StackStorm,st2,5.7k,https://github.com/StackStorm/st2
gitname,react-gh-pages,5.6k,https://github.com/gitname/react-gh-pages
shipitjs,shipit,5.3k,https://github.com/shipitjs/shipit
gaia-pipeline,gaia,5.1k,https://github.com/gaia-pipeline/gaia
rundeck,rundeck,5.1k,https://github.com/rundeck/rundeck
meefik,linuxdeploy,4.8k,https://github.com/meefik/linuxdeploy
vmware-tanzu,kubeapps,4.7k,https://github.com/vmware-tanzu/kubeapps
PaddlePaddle,PaddleX,4.5k,https://github.com/PaddlePaddle/PaddleX
shuttle-hq,shuttle,4.4k,https://github.com/shuttle-hq/shuttle
mina-deploy,mina,4.3k,https://github.com/mina-deploy/mina
Triple-T,gradle-play-publisher,4k,https://github.com/Triple-T/gradle-play-publisher
orchest,orchest,4k,https://github.com/orchest/orchest
SeldonIO,seldon-core,3.9k,https://github.com/SeldonIO/seldon-core
alirezadir,Production-Level-Deep-Learning,3.9k,https://github.com/alirezadir/Production-Level-Deep-Learning
JamesIves,github-pages-deploy-action,3.9k,https://github.com/JamesIves/github-pages-deploy-action
ifzhang,ByteTrack,3.7k,https://github.com/ifzhang/ByteTrack
guangzhengli,k8s-tutorials,3.5k,https://github.com/guangzhengli/k8s-tutorials
devtron-labs,devtron,3.5k,https://github.com/devtron-labs/devtron
bitwalker,distillery,2.9k,https://github.com/bitwalker/distillery
ml-tooling,opyrator,2.9k,https://github.com/ml-tooling/opyrator
rocketeers,rocketeer,2.7k,https://github.com/rocketeers/rocketeer
cobbler,cobbler,2.5k,https://github.com/cobbler/cobbler
getmeli,meli,2.4k,https://github.com/getmeli/meli
ansistrano,deploy,2.3k,https://github.com/ansistrano/deploy
keel-hq,keel,2.3k,https://github.com/keel-hq/keel
open-mmlab,mmdeploy,2.2k,https://github.com/open-mmlab/mmdeploy
subhra74,snowflake,2k,https://github.com/subhra74/snowflake
probonopd,linuxdeployqt,2k,https://github.com/probonopd/linuxdeployqt
AutomatedLab,AutomatedLab,1.8k,https://github.com/AutomatedLab/AutomatedLab
dmlc,nnvm,1.7k,https://github.com/dmlc/nnvm
lorisleiva,laravel-deployer,1.6k,https://github.com/lorisleiva/laravel-deployer
nanobox-io,nanobox,1.6k,https://github.com/nanobox-io/nanobox
kptdev,kpt,1.6k,https://github.com/kptdev/kpt
