Username,Repository,Stars,Repo URL
macrozheng,mall,70.8k,https://github.com/macrozheng/mall
moby,moby,66.8k,https://github.com/moby/moby
netdata,netdata,65.5k,https://github.com/netdata/netdata
bregman-arie,devops-exercises,58.6k,https://github.com/bregman-arie/devops-exercises
traefik,traefik,45k,https://github.com/traefik/traefik
mastodon,mastodon,44.3k,https://github.com/mastodon/mastodon
gogs,gogs,43.1k,https://github.com/gogs/gogs
louislam,uptime-kuma,39.5k,https://github.com/louislam/uptime-kuma
wagoodman,dive,38.8k,https://github.com/wagoodman/dive
appwrite,appwrite,37.1k,https://github.com/appwrite/appwrite
Kong,kong,36k,https://github.com/Kong/kong
LeCoupa,awesome-cheatsheets,34.8k,https://github.com/LeCoupa/awesome-cheatsheets
n8n-io,n8n,34.4k,https://github.com/n8n-io/n8n
sickcodes,Docker-OSX,31.9k,https://github.com/sickcodes/Docker-OSX
docker,compose,30.7k,https://github.com/docker/compose
harness,gitness,30.1k,https://github.com/harness/gitness
ityouknow,spring-boot-examples,29.4k,https://github.com/ityouknow/spring-boot-examples
dani-garcia,vaultwarden,28.4k,https://github.com/dani-garcia/vaultwarden
portainer,portainer,26.8k,https://github.com/portainer/portainer
veggiemonk,awesome-docker,26.5k,https://github.com/veggiemonk/awesome-docker
dokku,dokku,25.1k,https://github.com/dokku/dokku
ToolJet,ToolJet,24.5k,https://github.com/ToolJet/ToolJet
dotnet-architecture,eShopOnContainers,24.5k,https://github.com/dotnet-architecture/eShopOnContainers
openfaas,faas,23.6k,https://github.com/openfaas/faas
yeasy,docker_practice,23k,https://github.com/yeasy/docker_practice
hwdsl2,setup-ipsec-vpn,22.8k,https://github.com/hwdsl2/setup-ipsec-vpn
wsargent,docker-cheat-sheet,21.7k,https://github.com/wsargent/docker-cheat-sheet
rancher,rancher,21.6k,https://github.com/rancher/rancher
goharbor,harbor,21k,https://github.com/goharbor/harbor
jhipster,generator-jhipster,20.9k,https://github.com/jhipster/generator-jhipster
outline,outline,20.7k,https://github.com/outline/outline
usememos,memos,19.7k,https://github.com/usememos/memos
eip-work,kuboard-press,19.5k,https://github.com/eip-work/kuboard-press
containers,podman,19.4k,https://github.com/containers/podman
jina-ai,jina,19.2k,https://github.com/jina-ai/jina
aquasecurity,trivy,19k,https://github.com/aquasecurity/trivy
makeplane,plane,17.8k,https://github.com/makeplane/plane
authelia,authelia,17.6k,https://github.com/authelia/authelia
nginx-proxy,nginx-proxy,17.5k,https://github.com/nginx-proxy/nginx-proxy
slimtoolkit,slim,17.3k,https://github.com/slimtoolkit/slim
NVIDIA,nvidia-docker,16.8k,https://github.com/NVIDIA/nvidia-docker
IceWhaleTech,CasaOS,16.8k,https://github.com/IceWhaleTech/CasaOS
GoogleContainerTools,distroless,16.5k,https://github.com/GoogleContainerTools/distroless
chatwoot,chatwoot,16.4k,https://github.com/chatwoot/chatwoot
deviantony,docker-elk,15.8k,https://github.com/deviantony/docker-elk
verdaccio,verdaccio,15.3k,https://github.com/verdaccio/verdaccio
containrrr,watchtower,15.1k,https://github.com/containrrr/watchtower
DataTalksClub,data-engineering-zoomcamp,15.1k,https://github.com/DataTalksClub/data-engineering-zoomcamp
vulhub,vulhub,15k,https://github.com/vulhub/vulhub
containerd,containerd,15k,https://github.com/containerd/containerd
bcicen,ctop,14.7k,https://github.com/bcicen/ctop
ory,hydra,14.5k,https://github.com/ory/hydra
dutchcoders,transfer.sh,14.5k,https://github.com/dutchcoders/transfer.sh
argoproj,argo-cd,14.4k,https://github.com/argoproj/argo-cd
ramitsurana,awesome-kubernetes,14.3k,https://github.com/ramitsurana/awesome-kubernetes
GoogleContainerTools,skaffold,14.3k,https://github.com/GoogleContainerTools/skaffold
google,gvisor,14.3k,https://github.com/google/gvisor
abiosoft,colima,14k,https://github.com/abiosoft/colima
bitwarden,server,13.4k,https://github.com/bitwarden/server
jessfraz,dockerfiles,13.3k,https://github.com/jessfraz/dockerfiles
Lissy93,dashy,13.2k,https://github.com/Lissy93/dashy
tiangolo,full-stack-fastapi-postgresql,13.2k,https://github.com/tiangolo/full-stack-fastapi-postgresql
GoogleContainerTools,jib,13k,https://github.com/GoogleContainerTools/jib
GoogleContainerTools,kaniko,13k,https://github.com/GoogleContainerTools/kaniko
apache,apisix,12.7k,https://github.com/apache/apisix
sqshq,piggymetrics,12.6k,https://github.com/sqshq/piggymetrics
macrozheng,mall-learning,12.4k,https://github.com/macrozheng/mall-learning
docker,kitematic,12.3k,https://github.com/docker/kitematic
goreleaser,goreleaser,12.2k,https://github.com/goreleaser/goreleaser
cosmtrek,air,12.2k,https://github.com/cosmtrek/air
whyour,qinglong,12.1k,https://github.com/whyour/qinglong
reactioncommerce,reaction,12.1k,https://github.com/reactioncommerce/reaction
kubernetes-sigs,kind,12.1k,https://github.com/kubernetes-sigs/kind
laradock,laradock,12k,https://github.com/laradock/laradock
theonedev,onedev,12k,https://github.com/theonedev/onedev
docker-mailserver,docker-mailserver,11.9k,https://github.com/docker-mailserver/docker-mailserver
1Panel-dev,1Panel,11.7k,https://github.com/1Panel-dev/1Panel
labring,sealos,11.5k,https://github.com/labring/sealos
rook,rook,11.5k,https://github.com/rook/rook
firefly-iii,firefly-iii,11.4k,https://github.com/firefly-iii/firefly-iii
docker,labs,11.4k,https://github.com/docker/labs
caprover,caprover,11.2k,https://github.com/caprover/caprover
RustScan,RustScan,10.9k,https://github.com/RustScan/RustScan
cookiecutter,cookiecutter-django,10.9k,https://github.com/cookiecutter/cookiecutter-django
opencontainers,runc,10.8k,https://github.com/opencontainers/runc
macrozheng,mall-swarm,10.8k,https://github.com/macrozheng/mall-swarm
crawlab-team,crawlab,10.3k,https://github.com/crawlab-team/crawlab
r-spacex,SpaceX-API,10k,https://github.com/r-spacex/SpaceX-API
quay,clair,9.7k,https://github.com/quay/clair
kubeshark,kubeshark,9.6k,https://github.com/kubeshark/kubeshark
gethomepage,homepage,9.6k,https://github.com/gethomepage/homepage
easzlab,kubeasz,9.6k,https://github.com/easzlab/kubeasz
kanaka,mal,9.6k,https://github.com/kanaka/mal
coollabsio,coolify,9.1k,https://github.com/coollabsio/coolify
dagger,dagger,9.1k,https://github.com/dagger/dagger
Yorko,mlcourse.ai,9.1k,https://github.com/Yorko/mlcourse.ai
hadolint,hadolint,9k,https://github.com/hadolint/hadolint
krallin,tini,9k,https://github.com/krallin/tini
kubernetes,kompose,8.8k,https://github.com/kubernetes/kompose
simonw,datasette,8.4k,https://github.com/simonw/datasette
