Username,Repository,Stars,Repo URL
airbnb,javascript,138k,https://github.com/airbnb/javascript
goldbergyoni,nodebestpractices,93.2k,https://github.com/goldbergyoni/nodebestpractices
standard,standard,28.5k,https://github.com/standard/standard
eslint,eslint,23.4k,https://github.com/eslint/eslint
electron-react-boilerplate,electron-react-boilerplate,21.9k,https://github.com/electron-react-boilerplate/electron-react-boilerplate
verekia,js-stack-from-scratch,20k,https://github.com/verekia/js-stack-from-scratch
grab,front-end-guide,15k,https://github.com/grab/front-end-guide
typescript-eslint,typescript-eslint,13.9k,https://github.com/typescript-eslint/typescript-eslint
okonet,lint-staged,12.3k,https://github.com/okonet/lint-staged
ixahmedxi,noodle,10.9k,https://github.com/ixahmedxi/noodle
jsx-eslint,eslint-plugin-react,8.7k,https://github.com/jsx-eslint/eslint-plugin-react
xojs,xo,7.3k,https://github.com/xojs/xo
themesberg,flowbite,5.8k,https://github.com/themesberg/flowbite
microsoft,rushstack,5.3k,https://github.com/microsoft/rushstack
import-js,eslint-plugin-import,5k,https://github.com/import-js/eslint-plugin-import
prettier,eslint-config-prettier,4.9k,https://github.com/prettier/eslint-config-prettier
ixartz,Next-js-Boilerplate,4.9k,https://github.com/ixartz/Next-js-Boilerplate
bartonhammond,snowflake,4.6k,https://github.com/bartonhammond/snowflake
emacs-lsp,lsp-mode,4.5k,https://github.com/emacs-lsp/lsp-mode
Blazity,next-enterprise,4.5k,https://github.com/Blazity/next-enterprise
vuejs,eslint-plugin-vue,4.3k,https://github.com/vuejs/eslint-plugin-vue
prettier,prettier-eslint,3.9k,https://github.com/prettier/prettier-eslint
dustinspecker,awesome-eslint,3.8k,https://github.com/dustinspecker/awesome-eslint
steven-tey,precedent,3.8k,https://github.com/steven-tey/precedent
sindresorhus,eslint-plugin-unicorn,3.5k,https://github.com/sindresorhus/eslint-plugin-unicorn
jsx-eslint,eslint-plugin-jsx-a11y,3.2k,https://github.com/jsx-eslint/eslint-plugin-jsx-a11y
amilajack,eslint-plugin-compat,3k,https://github.com/amilajack/eslint-plugin-compat
babel,babel-eslint,3k,https://github.com/babel/babel-eslint
kunalkapadia,express-mongoose-es6-rest-api,2.9k,https://github.com/kunalkapadia/express-mongoose-es6-rest-api
wesbos,eslint-config-wesbos,2.7k,https://github.com/wesbos/eslint-config-wesbos
nas5w,100-days-of-code-frontend,2.6k,https://github.com/nas5w/100-days-of-code-frontend
AlloyTeam,eslint-config-alloy,2.6k,https://github.com/AlloyTeam/eslint-config-alloy
standard,eslint-config-standard,2.5k,https://github.com/standard/eslint-config-standard
jsynowiec,node-typescript-boilerplate,2.4k,https://github.com/jsynowiec/node-typescript-boilerplate
suanmei,callapp-lib,2.3k,https://github.com/suanmei/callapp-lib
ljlm0402,typescript-express-starter,2.3k,https://github.com/ljlm0402/typescript-express-starter
theodorusclarence,ts-nextjs-tailwind-starter,2.3k,https://github.com/theodorusclarence/ts-nextjs-tailwind-starter
antfu,eslint-config,1.9k,https://github.com/antfu/eslint-config
lin-123,javascript,1.9k,https://github.com/lin-123/javascript
TypeStrong,fork-ts-checker-webpack-plugin,1.9k,https://github.com/TypeStrong/fork-ts-checker-webpack-plugin
ericalli,static-site-boilerplate,1.7k,https://github.com/ericalli/static-site-boilerplate
graphile,starter,1.6k,https://github.com/graphile/starter
lydell,eslint-plugin-simple-import-sort,1.6k,https://github.com/lydell/eslint-plugin-simple-import-sort
Kocal,vue-web-extension,1.6k,https://github.com/Kocal/vue-web-extension
angular-eslint,angular-eslint,1.5k,https://github.com/angular-eslint/angular-eslint
SimonZhangITer,VueDemo_Sell_Eleme,1.4k,https://github.com/SimonZhangITer/VueDemo_Sell_Eleme
BingKui,javascript-zh,1.4k,https://github.com/BingKui/javascript-zh
liyupi,sql-father-frontend-public,1.3k,https://github.com/liyupi/sql-father-frontend-public
azat-io,eslint-plugin-perfectionist,1.1k,https://github.com/azat-io/eslint-plugin-perfectionist
ts-safeql,safeql,1.1k,https://github.com/ts-safeql/safeql
gajus,eslint-plugin-flowtype,1.1k,https://github.com/gajus/eslint-plugin-flowtype
jest-community,eslint-plugin-jest,1.1k,https://github.com/jest-community/eslint-plugin-jest
SonarSource,eslint-plugin-sonarjs,1k,https://github.com/SonarSource/eslint-plugin-sonarjs
mantoni,eslint_d.js,982,https://github.com/mantoni/eslint_d.js
ModusCreateOrg,budgeting,978,https://github.com/ModusCreateOrg/budgeting
FountainJS,generator-fountain-webapp,970,https://github.com/FountainJS/generator-fountain-webapp
gajus,eslint-plugin-jsdoc,951,https://github.com/gajus/eslint-plugin-jsdoc
mysticatea,eslint-plugin-node,942,https://github.com/mysticatea/eslint-plugin-node
testing-library,eslint-plugin-testing-library,915,https://github.com/testing-library/eslint-plugin-testing-library
leonidlebedev,javascript-airbnb,894,https://github.com/leonidlebedev/javascript-airbnb
davellanedam,node-express-mongodb-jwt-rest-api-skeleton,869,https://github.com/davellanedam/node-express-mongodb-jwt-rest-api-skeleton
sheerun,prettier-standard,866,https://github.com/sheerun/prettier-standard
SublimeLinter,SublimeLinter-eslint,860,https://github.com/SublimeLinter/SublimeLinter-eslint
aeksco,react-typescript-web-extension-starter,852,https://github.com/aeksco/react-typescript-web-extension-starter
napi-rs,node-rs,831,https://github.com/napi-rs/node-rs
typescript-eslint,tslint-to-eslint-config,818,https://github.com/typescript-eslint/tslint-to-eslint-config
madlabsinc,mevn-cli,813,https://github.com/madlabsinc/mevn-cli
fi3ework,vite-plugin-checker,778,https://github.com/fi3ework/vite-plugin-checker
manuelbieh,react-ssr-setup,772,https://github.com/manuelbieh/react-ssr-setup
prettier,prettier-atom,762,https://github.com/prettier/prettier-atom
wemake-services,wemake-vue-template,733,https://github.com/wemake-services/wemake-vue-template
B2o5T,graphql-eslint,730,https://github.com/B2o5T/graphql-eslint
