Username,Repository,Stars,Repo URL
phoenixframework,phoenix,20k,https://github.com/phoenixframework/phoenix
asdf-vm,asdf,18.8k,https://github.com/asdf-vm/asdf
plausible,analytics,16.3k,https://github.com/plausible/analytics
benawad,dogehouse,9.1k,https://github.com/benawad/dogehouse
lk-geimfari,awesomo,9.1k,https://github.com/lk-geimfari/awesomo
oldratlee,translations,6.7k,https://github.com/oldratlee/translations
supabase,realtime,6.2k,https://github.com/supabase/realtime
papercups-io,papercups,5.4k,https://github.com/papercups-io/papercups
firezone,firezone,5.4k,https://github.com/firezone/firezone
rrrene,credo,4.7k,https://github.com/rrrene/credo
christopheradams,elixir_style_guide,4.2k,https://github.com/christopheradams/elixir_style_guide
absinthe-graphql,absinthe,4.2k,https://github.com/absinthe-graphql/absinthe
rusterlium,rustler,3.9k,https://github.com/rusterlium/rustler
livebook-dev,livebook,3.9k,https://github.com/livebook-dev/livebook
dependabot,dependabot-core,3.6k,https://github.com/dependabot/dependabot-core
elixirschool,elixirschool,3.4k,https://github.com/elixirschool/elixirschool
ueberauth,guardian,3.3k,https://github.com/ueberauth/guardian
bitwalker,distillery,2.9k,https://github.com/bitwalker/distillery
electric-sql,electric,2.8k,https://github.com/electric-sql/electric
blockscout,blockscout,2.7k,https://github.com/blockscout/blockscout
extism,extism,2.7k,https://github.com/extism/extism
thechangelog,changelog.com,2.6k,https://github.com/thechangelog/changelog.com
ergo-services,ergo,2.5k,https://github.com/ergo-services/ergo
elixir-nx,nx,2.3k,https://github.com/elixir-nx/nx
edgurgel,httpoison,2.2k,https://github.com/edgurgel/httpoison
quantum-elixir,quantum-core,2.2k,https://github.com/quantum-elixir/quantum-core
dashbitco,broadway,2.2k,https://github.com/dashbitco/broadway
nerves-project,nerves,2.1k,https://github.com/nerves-project/nerves
elixirkoans,elixir-koans,2k,https://github.com/elixirkoans/elixir-koans
devinus,poison,2k,https://github.com/devinus/poison
philss,floki,1.9k,https://github.com/philss/floki
elixir-tesla,tesla,1.9k,https://github.com/elixir-tesla/tesla
beam-community,bamboo,1.9k,https://github.com/beam-community/bamboo
beam-community,ex_machina,1.8k,https://github.com/beam-community/ex_machina
bitwalker,libcluster,1.8k,https://github.com/bitwalker/libcluster
