Username,Repository,Stars,Repo URL
syl20bnr,spacemacs,23.2k,https://github.com/syl20bnr/spacemacs
doomemacs,doomemacs,17.5k,https://github.com/doomemacs/doomemacs
atlas-engineer,nyxt,9.1k,https://github.com/atlas-engineer/nyxt
mickael-kerjean,filestash,8.5k,https://github.com/mickael-kerjean/filestash
emacs-tw,awesome-emacs,8k,https://github.com/emacs-tw/awesome-emacs
magit,magit,6.2k,https://github.com/magit/magit
bbatsov,prelude,5k,https://github.com/bbatsov/prelude
remacs,remacs,4.6k,https://github.com/remacs/remacs
emacs-lsp,lsp-mode,4.5k,https://github.com/emacs-lsp/lsp-mode
jwiegley,use-package,4.3k,https://github.com/jwiegley/use-package
bbatsov,projectile,3.9k,https://github.com/bbatsov/projectile
khoj-ai,khoj,3.8k,https://github.com/khoj-ai/khoj
clojure-emacs,cider,3.5k,https://github.com/clojure-emacs/cider
emacs-helm,helm,3.3k,https://github.com/emacs-helm/helm
emacs-evil,evil,3.1k,https://github.com/emacs-evil/evil
emacs-eaf,emacs-application-framework,2.8k,https://github.com/emacs-eaf/emacs-application-framework
radian-software,straight.el,2.5k,https://github.com/radian-software/straight.el
for-GET,know-your-http-well,2.4k,https://github.com/for-GET/know-your-http-well
flycheck,flycheck,2.3k,https://github.com/flycheck/flycheck
rougier,nano-emacs,2.3k,https://github.com/rougier/nano-emacs
200ok-ch,organice,2.2k,https://github.com/200ok-ch/organice
abo-abo,swiper,2.2k,https://github.com/abo-abo/swiper
emacs-china,Spacemacs-rocks,2.1k,https://github.com/emacs-china/Spacemacs-rocks
doomemacs,themes,2k,https://github.com/doomemacs/themes
d12frosted,homebrew-emacs-plus,2k,https://github.com/d12frosted/homebrew-emacs-plus
Alexander-Miller,treemacs,1.9k,https://github.com/Alexander-Miller/treemacs
huyubing,books-pdf,1.8k,https://github.com/huyubing/books-pdf
seagle0128,.emacs.d,1.8k,https://github.com/seagle0128/.emacs.d
slime,slime,1.8k,https://github.com/slime/slime
org-roam,org-roam-ui,1.8k,https://github.com/org-roam/org-roam-ui
Fuco1,smartparens,1.7k,https://github.com/Fuco1/smartparens
auto-complete,auto-complete,1.7k,https://github.com/auto-complete/auto-complete
Kungsgeten,org-brain,1.7k,https://github.com/Kungsgeten/org-brain
justbur,emacs-which-key,1.6k,https://github.com/justbur/emacs-which-key
fxbois,web-mode,1.6k,https://github.com/fxbois/web-mode
vscode-org-mode,vscode-org-mode,1.6k,https://github.com/vscode-org-mode/vscode-org-mode
daviwil,emacs-from-scratch,1.6k,https://github.com/daviwil/emacs-from-scratch
akermu,emacs-libvterm,1.6k,https://github.com/akermu/emacs-libvterm
ocaml,merlin,1.5k,https://github.com/ocaml/merlin
emacs-ng,emacs-ng,1.5k,https://github.com/emacs-ng/emacs-ng
jacktasia,dumb-jump,1.5k,https://github.com/jacktasia/dumb-jump
ananthakumaran,tide,1.4k,https://github.com/ananthakumaran/tide
domtronn,all-the-icons.el,1.4k,https://github.com/domtronn/all-the-icons.el
zee-editor,zee,1.4k,https://github.com/zee-editor/zee
lujun9972,emacs-document,1.4k,https://github.com/lujun9972/emacs-document
DanielDe,org-web,1.3k,https://github.com/DanielDe/org-web
rougier,elegant-emacs,1.3k,https://github.com/rougier/elegant-emacs
artempyanykh,marksman,1.3k,https://github.com/artempyanykh/marksman
haskell,haskell-mode,1.3k,https://github.com/haskell/haskell-mode
alphapapa,org-ql,1.2k,https://github.com/alphapapa/org-ql
caisah,emacs.dz,1.2k,https://github.com/caisah/emacs.dz
alphapapa,org-super-agenda,1.2k,https://github.com/alphapapa/org-super-agenda
emacs-lsp,dap-mode,1.2k,https://github.com/emacs-lsp/dap-mode
emacs-dashboard,emacs-dashboard,1.1k,https://github.com/emacs-dashboard/emacs-dashboard
seagle0128,doom-modeline,1.1k,https://github.com/seagle0128/doom-modeline
joaotavora,sly,1.1k,https://github.com/joaotavora/sly
NicolasPetton,Indium,1.1k,https://github.com/NicolasPetton/Indium
acejump,AceJump,1.1k,https://github.com/acejump/AceJump
emacs-evil,evil-collection,1.1k,https://github.com/emacs-evil/evil-collection
yuya373,emacs-slack,1.1k,https://github.com/yuya373/emacs-slack
AndreaCrotti,yasnippet-snippets,1.1k,https://github.com/AndreaCrotti/yasnippet-snippets
zachcurry,emacs-anywhere,1.1k,https://github.com/zachcurry/emacs-anywhere
WillPower3309,awesome-dotfiles,1.1k,https://github.com/WillPower3309/awesome-dotfiles
manateelazycat,lsp-bridge,1.1k,https://github.com/manateelazycat/lsp-bridge
alphapapa,emacs-package-dev-handbook,1k,https://github.com/alphapapa/emacs-package-dev-handbook
denisse-dev,dotfiles,1k,https://github.com/denisse-dev/dotfiles
chrisdone,intero,1k,https://github.com/chrisdone/intero
weirdNox,org-noter,1k,https://github.com/weirdNox/org-noter
Wilfred,helpful,1k,https://github.com/Wilfred/helpful
zevlg,telega.el,994,https://github.com/zevlg/telega.el
susam,uncap,993,https://github.com/susam/uncap
mantoni,eslint_d.js,982,https://github.com/mantoni/eslint_d.js
minad,consult,967,https://github.com/minad/consult
tecosaur,emacs-config,960,https://github.com/tecosaur/emacs-config
bbatsov,zenburn-emacs,953,https://github.com/bbatsov/zenburn-emacs
jkitchin,scimax,952,https://github.com/jkitchin/scimax
novoid,Memacs,929,https://github.com/novoid/Memacs
meow-edit,meow,920,https://github.com/meow-edit/meow
susam,emfy,915,https://github.com/susam/emfy
rnkn,olivetti,908,https://github.com/rnkn/olivetti
Sarcasm,irony-mode,899,https://github.com/Sarcasm/irony-mode
clojure-emacs,clojure-mode,890,https://github.com/clojure-emacs/clojure-mode
Malabarba,smart-mode-line,875,https://github.com/Malabarba/smart-mode-line
kaushalmodi,ox-hugo,831,https://github.com/kaushalmodi/ox-hugo
jrblevin,markdown-mode,823,https://github.com/jrblevin/markdown-mode
bbatsov,crux,815,https://github.com/bbatsov/crux
nobiot,org-transclusion,808,https://github.com/nobiot/org-transclusion
dgutov,diff-hl,805,https://github.com/dgutov/diff-hl
emacsorphanage,god-mode,797,https://github.com/emacsorphanage/god-mode
emacs-tree-sitter,elisp-tree-sitter,786,https://github.com/emacs-tree-sitter/elisp-tree-sitter
clojure-emacs,clj-refactor.el,763,https://github.com/clojure-emacs/clj-refactor.el
hraban,tomono,759,https://github.com/hraban/tomono
PDP-10,its,756,https://github.com/PDP-10/its
TeMPOraL,nyan-mode,753,https://github.com/TeMPOraL/nyan-mode
bbatsov,solarized-emacs,735,https://github.com/bbatsov/solarized-emacs
editorconfig,editorconfig-emacs,706,https://github.com/editorconfig/editorconfig-emacs
atilaneves,cmake-ide,702,https://github.com/atilaneves/cmake-ide
vermiculus,sx.el,701,https://github.com/vermiculus/sx.el
pythonic-emacs,anaconda-mode,692,https://github.com/pythonic-emacs/anaconda-mode
Silex,docker.el,683,https://github.com/Silex/docker.el
