Username,Repository,Stars,Repo URL
storybookjs,storybook,80.6k,https://github.com/storybookjs/storybook
discourse,discourse,38.9k,https://github.com/discourse/discourse
emberjs,ember.js,22.4k,https://github.com/emberjs/ember.js
text-mask,text-mask,8.2k,https://github.com/text-mask/text-mask
szimek,sharedrop,7.4k,https://github.com/szimek/sharedrop
getsentry,sentry-javascript,7.3k,https://github.com/getsentry/sentry-javascript
ember-cli,ember-cli,3.3k,https://github.com/ember-cli/ember-cli
emberjs,data,3k,https://github.com/emberjs/data
krakenjs,zoid,1.9k,https://github.com/krakenjs/zoid
mainmatter,ember-simple-auth,1.9k,https://github.com/mainmatter/ember-simple-auth
Addepar,ember-table,1.7k,https://github.com/Addepar/ember-table
matschik,component-party.dev,1.4k,https://github.com/matschik/component-party.dev
FancyGrid,awesome-grid,1.3k,https://github.com/FancyGrid/awesome-grid
Shopify,storefront-api-examples,1.1k,https://github.com/Shopify/storefront-api-examples
emberjs,ember-inspector,969,https://github.com/emberjs/ember-inspector
miguelcobain,ember-paper,885,https://github.com/miguelcobain/ember-paper
miragejs,ember-cli-mirage,860,https://github.com/miragejs/ember-cli-mirage
adopted-ember-addons,ember-electron,804,https://github.com/adopted-ember-addons/ember-electron
emberjs,rfcs,789,https://github.com/emberjs/rfcs
emberjs,website,638,https://github.com/emberjs/website
TryGhost,Admin,628,https://github.com/TryGhost/Admin
travis-ci,travis-web,605,https://github.com/travis-ci/travis-web
rancher,ui,575,https://github.com/rancher/ui
cibernox,ember-power-select,534,https://github.com/cibernox/ember-power-select
ember-bootstrap,ember-bootstrap,496,https://github.com/ember-bootstrap/ember-bootstrap
ember-engines,ember-engines,491,https://github.com/ember-engines/ember-engines
Esri,esri-loader,449,https://github.com/Esri/esri-loader
adopted-ember-addons,ember-cp-validations,442,https://github.com/adopted-ember-addons/ember-cp-validations
ember-intl,ember-intl,435,https://github.com/ember-intl/ember-intl
skylines-project,skylines,379,https://github.com/skylines-project/skylines
ember-infinity,ember-infinity,376,https://github.com/ember-infinity/ember-infinity
eoinkelly,ember-runloop-handbook,372,https://github.com/eoinkelly/ember-runloop-handbook
adopted-ember-addons,ember-metrics,367,https://github.com/adopted-ember-addons/ember-metrics
ember-decorators,ember-decorators,359,https://github.com/ember-decorators/ember-decorators
adopted-ember-addons,ember-cli-flash,359,https://github.com/adopted-ember-addons/ember-cli-flash
fenichelar,ember-simple-auth-token,350,https://github.com/fenichelar/ember-simple-auth-token
thoov,ember-websockets,342,https://github.com/thoov/ember-websockets
isleofcode,corber,334,https://github.com/isleofcode/corber
adopted-ember-addons,ember-light-table,311,https://github.com/adopted-ember-addons/ember-light-table
adopted-ember-addons,ember-burger-menu,284,https://github.com/adopted-ember-addons/ember-burger-menu
ember-cli,ember-exam,282,https://github.com/ember-cli/ember-exam
ember-graphql,ember-apollo-client,278,https://github.com/ember-graphql/ember-apollo-client
san650,ember-cli-page-object,272,https://github.com/san650/ember-cli-page-object
minutebase,ember-can,267,https://github.com/minutebase/ember-can
mainmatter,ember-test-selectors,262,https://github.com/mainmatter/ember-test-selectors
ember-template-lint,ember-template-lint,258,https://github.com/ember-template-lint/ember-template-lint
ember-cli,eslint-plugin-ember,255,https://github.com/ember-cli/eslint-plugin-ember
DockYard,ember-in-viewport,249,https://github.com/DockYard/ember-in-viewport
alphasights,ember-graphql-adapter,246,https://github.com/alphasights/ember-graphql-adapter
DockYard,ember-service-worker,238,https://github.com/DockYard/ember-service-worker
ember-lifeline,ember-lifeline,236,https://github.com/ember-lifeline/ember-lifeline
Creditas,challenge,231,https://github.com/Creditas/challenge
markcellus,scroll-js,230,https://github.com/markcellus/scroll-js
html-next,flexi,220,https://github.com/html-next/flexi
kimroen,ember-cli-document-title,218,https://github.com/kimroen/ember-cli-document-title
onechiporenko,ember-models-table,218,https://github.com/onechiporenko/ember-models-table
Turbo87,intellij-emberjs,214,https://github.com/Turbo87/intellij-emberjs
sir-dunxalot,ember-tooltips,211,https://github.com/sir-dunxalot/ember-tooltips
