Username,Repository,Stars,Repo URL
Textualize,rich,45k,https://github.com/Textualize/rich
marktext,marktext,41.6k,https://github.com/marktext/marktext
twitter,twemoji,16.3k,https://github.com/twitter/twemoji
carloscuesta,gitmoji,14.5k,https://github.com/carloscuesta/gitmoji
ikatyang,emoji-cheat-sheet,11k,https://github.com/ikatyang/emoji-cheat-sheet
tindy2013,subconverter,10.2k,https://github.com/tindy2013/subconverter
microsoft,fluentui-emoji,8.2k,https://github.com/microsoft/fluentui-emoji
missive,emoji-mart,7.6k,https://github.com/missive/emoji-mart
carloscuesta,gitmoji-cli,4.4k,https://github.com/carloscuesta/gitmoji-cli
github,gemoji,4.3k,https://github.com/github/gemoji
burhanrashid52,PhotoEditor,3.9k,https://github.com/burhanrashid52/PhotoEditor
coding,Coding-iOS,3.8k,https://github.com/coding/Coding-iOS
hfg-gmuend,openmoji,3.4k,https://github.com/hfg-gmuend/openmoji
MariaLetta,free-gophers-pack,3.2k,https://github.com/MariaLetta/free-gophers-pack
iconify,iconify,3.1k,https://github.com/iconify/iconify
twitter,twitter-text,3k,https://github.com/twitter/twitter-text
getActivity,EmojiPackage,2.5k,https://github.com/getActivity/EmojiPackage
muan,emoji,2.2k,https://github.com/muan/emoji
muan,mojibar,2k,https://github.com/muan/mojibar
liuchengxu,git-commit-emoji-cn,1.9k,https://github.com/liuchengxu/git-commit-emoji-cn
carpedm20,emoji,1.7k,https://github.com/carpedm20/emoji
mathiasbynens,emoji-regex,1.6k,https://github.com/mathiasbynens/emoji-regex
muan,emojilib,1.6k,https://github.com/muan/emojilib
contour-terminal,contour,1.6k,https://github.com/contour-terminal/contour
13rac1,twemoji-color-font,1.5k,https://github.com/13rac1/twemoji-color-font
vanniktech,Emoji,1.5k,https://github.com/vanniktech/Emoji
thedevelobear,react-rewards,1.4k,https://github.com/thedevelobear/react-rewards
lambtron,emojipacks,1.3k,https://github.com/lambtron/emojipacks
ritz078,embed-js,1.3k,https://github.com/ritz078/embed-js
Jolg42,awesome-typography,1.3k,https://github.com/Jolg42/awesome-typography
omnidan,node-emoji,1.2k,https://github.com/omnidan/node-emoji
KeyboardKit,KeyboardKit,1.2k,https://github.com/KeyboardKit/KeyboardKit
joeattardi,picmo,1.2k,https://github.com/joeattardi/picmo
nolanlawson,emoji-picker-element,1.1k,https://github.com/nolanlawson/emoji-picker-element
annexare,Countries,1k,https://github.com/annexare/Countries
slashsbin,styleguide-git-commit-message,998,https://github.com/slashsbin/styleguide-git-commit-message
milesj,interweave,989,https://github.com/milesj/interweave
simonbs,SBSAnimoji,988,https://github.com/simonbs/SBSAnimoji
opensource-socialnetwork,opensource-socialnetwork,983,https://github.com/opensource-socialnetwork/opensource-socialnetwork
GnuriaN,format-README,958,https://github.com/GnuriaN/format-README
jfcere,ngx-markdown,952,https://github.com/jfcere/ngx-markdown
13rac1,emojione-color-font,911,https://github.com/13rac1/emojione-color-font
amitmerchant1990,electron-markdownify,908,https://github.com/amitmerchant1990/electron-markdownify
xsalazar,emoji-kitchen,908,https://github.com/xsalazar/emoji-kitchen
jpanther,congo,887,https://github.com/jpanther/congo
ahmadawais,Emoji-Log,862,https://github.com/ahmadawais/Emoji-Log
muan,emoji-minesweeper,845,https://github.com/muan/emoji-minesweeper
keith-turner,ecoji,812,https://github.com/keith-turner/ecoji
Zhengqbbb,cz-git,782,https://github.com/Zhengqbbb/cz-git
arp242,uni,750,https://github.com/arp242/uni
fdw,rofimoji,721,https://github.com/fdw/rofimoji
ealush,emoji-picker-react,716,https://github.com/ealush/emoji-picker-react
xxczaki,oji,705,https://github.com/xxczaki/oji
CarGuo,GSYRickText,699,https://github.com/CarGuo/GSYRickText
ayushgoel,AGEmojiKeyboard,693,https://github.com/ayushgoel/AGEmojiKeyboard
coding2233,TextInlineSprite,640,https://github.com/coding2233/TextInlineSprite
symbl-cc,symbl-data,627,https://github.com/symbl-cc/symbl-data
jm-david,emoji-mart-vue,595,https://github.com/jm-david/emoji-mart-vue
pvdlg,conventional-commit-types,555,https://github.com/pvdlg/conventional-commit-types
jeffreytse,jekyll-spaceship,554,https://github.com/jeffreytse/jekyll-spaceship
sgreben,yeetgif,545,https://github.com/sgreben/yeetgif
samuelngs,apple-emoji-linux,536,https://github.com/samuelngs/apple-emoji-linux
onmyway133,Smile,497,https://github.com/onmyway133/Smile
isaced,ISEmojiView,480,https://github.com/isaced/ISEmojiView
maoschanz,emoji-selector-for-gnome,468,https://github.com/maoschanz/emoji-selector-for-gnome
C1710,blobmoji,458,https://github.com/C1710/blobmoji
VernonVan,PPStickerKeyboard,430,https://github.com/VernonVan/PPStickerKeyboard
scttcper,ngx-emoji-mart,420,https://github.com/scttcper/ngx-emoji-mart
needim,wdt-emoji-bundle,418,https://github.com/needim/wdt-emoji-bundle
Wscats,emoji,415,https://github.com/Wscats/emoji
