Username,Repository,Stars,Repo URL
yuzu-emu,yuzu,31.1k,https://github.com/yuzu-emu/yuzu
Ryujinx,Ryujinx,25k,https://github.com/Ryujinx/Ryujinx
copy,v86,18.3k,https://github.com/copy/v86
OpenEmu,OpenEmu,15.3k,https://github.com/OpenEmu/OpenEmu
ish-app,ish,15k,https://github.com/ish-app/ish
ruffle-rs,ruffle,13.2k,https://github.com/ruffle-rs/ruffle
skyline-emu,skyline,13.2k,https://github.com/skyline-emu/skyline
dolphin-emu,dolphin,11k,https://github.com/dolphin-emu/dolphin
citra-emu,citra,9.5k,https://github.com/citra-emu/citra
PCSX2,pcsx2,9.5k,https://github.com/PCSX2/pcsx2
amitshekhariitbhu,Android-Debug-Database,8.3k,https://github.com/amitshekhariitbhu/Android-Debug-Database
felixrieseberg,macintosh.js,8.2k,https://github.com/felixrieseberg/macintosh.js
xenia-project,xenia,7.3k,https://github.com/xenia-project/xenia
unicorn-engine,unicorn,6.7k,https://github.com/unicorn-engine/unicorn
budtmo,docker-android,6.3k,https://github.com/budtmo/docker-android
bfirsh,jsnes,5.9k,https://github.com/bfirsh/jsnes
cemu-project,Cemu,5.7k,https://github.com/cemu-project/Cemu
Provenance-Emu,Provenance,5.4k,https://github.com/Provenance-Emu/Provenance
stenzek,duckstation,5.4k,https://github.com/stenzek/duckstation
mininet,mininet,4.9k,https://github.com/mininet/mininet
mgba-emu,mgba,4.8k,https://github.com/mgba-emu/mgba
HFO4,gameboy.live,4.6k,https://github.com/HFO4/gameboy.live
amhndu,SimpleNES,4.6k,https://github.com/amhndu/SimpleNES
azerothcore,azerothcore-wotlk,4.6k,https://github.com/azerothcore/azerothcore-wotlk
qilingframework,qiling,4.3k,https://github.com/qilingframework/qiling
CalebFenton,simplify,4.2k,https://github.com/CalebFenton/simplify
Baekalfen,PyBoy,3.9k,https://github.com/Baekalfen/PyBoy
cea-sec,miasm,3.2k,https://github.com/cea-sec/miasm
