Username,Repository,Stars,Repo URL
microsoft,playwright,55.4k,https://github.com/microsoft/playwright
FiloSottile,mkcert,42.9k,https://github.com/FiloSottile/mkcert
iamadamdev,bypass-paywalls-chrome,41.5k,https://github.com/iamadamdev/bypass-paywalls-chrome
gorhill,uBlock,37.7k,https://github.com/gorhill/uBlock
ovity,octotree,22.5k,https://github.com/ovity/octotree
ArchiveBox,ArchiveBox,17k,https://github.com/ArchiveBox/ArchiveBox
gildas-lormeau,SingleFile,12k,https://github.com/gildas-lormeau/SingleFile
mozilla-mobile,firefox-ios,11.6k,https://github.com/mozilla-mobile/firefox-ios
Anarios,return-youtube-dislike,11.5k,https://github.com/Anarios/return-youtube-dislike
crimx,ext-saladict,11.1k,https://github.com/crimx/ext-saladict
MetaMask,metamask-extension,10.7k,https://github.com/MetaMask/metamask-extension
microsoft,playwright-python,9.4k,https://github.com/microsoft/playwright-python
moonD4rk,HackBrowserData,8.8k,https://github.com/moonD4rk/HackBrowserData
arkenfox,user.js,8.1k,https://github.com/arkenfox/user.js
uBlock-LLC,uBlock,8.1k,https://github.com/uBlock-LLC/uBlock
ajayyy,SponsorBlock,7.7k,https://github.com/ajayyy/SponsorBlock
Kenshin,simpread,7.5k,https://github.com/Kenshin/simpread
bitwarden,clients,7.3k,https://github.com/bitwarden/clients
mozilla,geckodriver,6.7k,https://github.com/mozilla/geckodriver
alyssaxuu,omni,6.6k,https://github.com/alyssaxuu/omni
mozilla-mobile,fenix,6.6k,https://github.com/mozilla-mobile/fenix
subhra74,xdm,5.7k,https://github.com/subhra74/xdm
melonjs,melonJS,5.5k,https://github.com/melonjs/melonJS
brookhong,Surfingkeys,4.8k,https://github.com/brookhong/Surfingkeys
firefox-devtools,debugger,4.6k,https://github.com/firefox-devtools/debugger
tridactyl,tridactyl,4.6k,https://github.com/tridactyl/tridactyl
black7375,Firefox-UI-Fix,4.6k,https://github.com/black7375/Firefox-UI-Fix
xifangczy,cat-catch,4.6k,https://github.com/xifangczy/cat-catch
web-platform-tests,wpt,4.4k,https://github.com/web-platform-tests/wpt
notion-enhancer,notion-enhancer,4.4k,https://github.com/notion-enhancer/notion-enhancer
floccusaddon,floccus,4.4k,https://github.com/floccusaddon/floccus
jonasstrehle,supercookie,4.3k,https://github.com/jonasstrehle/supercookie
cyrus-and,chrome-remote-interface,4.1k,https://github.com/cyrus-and/chrome-remote-interface
hcfyapp,crx-selection-translate,4k,https://github.com/hcfyapp/crx-selection-translate
ClearURLs,Addon,3.7k,https://github.com/ClearURLs/Addon
seleniumbase,SeleniumBase,3.6k,https://github.com/seleniumbase/SeleniumBase
mherrmann,selenium-python-helium,3.5k,https://github.com/mherrmann/selenium-python-helium
iamadamdev,bypass-paywalls-firefox,3.3k,https://github.com/iamadamdev/bypass-paywalls-firefox
qawolf,qawolf,3.3k,https://github.com/qawolf/qawolf
piroor,treestyletab,3.1k,https://github.com/piroor/treestyletab
sunoj,jjb,3.1k,https://github.com/sunoj/jjb
FilipePS,Traduzir-paginas-web,3.1k,https://github.com/FilipePS/Traduzir-paginas-web
laurentj,slimerjs,3k,https://github.com/laurentj/slimerjs
rafaelmardojai,firefox-gnome-theme,2.8k,https://github.com/rafaelmardojai/firefox-gnome-theme
pyllyukko,user.js,2.6k,https://github.com/pyllyukko/user.js
OhMyGuus,I-Still-Dont-Care-About-Cookies,2.6k,https://github.com/OhMyGuus/I-Still-Dont-Care-About-Cookies
mozilla,multi-account-containers,2.5k,https://github.com/mozilla/multi-account-containers
AdguardTeam,AdguardBrowserExtension,2.4k,https://github.com/AdguardTeam/AdguardBrowserExtension
hoothin,UserScripts,2.2k,https://github.com/hoothin/UserScripts
ueokande,vim-vixen,2.1k,https://github.com/ueokande/vim-vixen
yokoffing,Betterfox,2.1k,https://github.com/yokoffing/Betterfox
microsoft,playwright-dotnet,2.1k,https://github.com/microsoft/playwright-dotnet
muckSponge,MaterialFox,1.9k,https://github.com/muckSponge/MaterialFox
abhijithvijayan,web-extension-starter,1.8k,https://github.com/abhijithvijayan/web-extension-starter
SimonBrazell,privacy-redirect,1.8k,https://github.com/SimonBrazell/privacy-redirect
hensm,fx_cast,1.8k,https://github.com/hensm/fx_cast
Aris-t2,CustomCSSforFx,1.7k,https://github.com/Aris-t2/CustomCSSforFx
intika,Librefox,1.7k,https://github.com/intika/Librefox
gildas-lormeau,SingleFileZ,1.7k,https://github.com/gildas-lormeau/SingleFileZ
Cookie-AutoDelete,Cookie-AutoDelete,1.6k,https://github.com/Cookie-AutoDelete/Cookie-AutoDelete
unode,firefox_decrypt,1.6k,https://github.com/unode/firefox_decrypt
cnwangjie,better-onetab,1.6k,https://github.com/cnwangjie/better-onetab
filips123,PWAsForFirefox,1.6k,https://github.com/filips123/PWAsForFirefox
migueravila,SimpleFox,1.6k,https://github.com/migueravila/SimpleFox
anaclumos,bing-chat-for-all-browsers,1.5k,https://github.com/anaclumos/bing-chat-for-all-browsers
zombieFox,nightTab,1.5k,https://github.com/zombieFox/nightTab
akshat46,FlyingFox,1.5k,https://github.com/akshat46/FlyingFox
playwright-community,playwright-go,1.5k,https://github.com/playwright-community/playwright-go
vinceliuice,Qogir-theme,1.4k,https://github.com/vinceliuice/Qogir-theme
elgalu,docker-selenium,1.4k,https://github.com/elgalu/docker-selenium
joeyism,linkedin_scraper,1.4k,https://github.com/joeyism/linkedin_scraper
overdodactyl,ShadowFox,1.3k,https://github.com/overdodactyl/ShadowFox
openwpm,OpenWPM,1.3k,https://github.com/openwpm/OpenWPM
mozilla-mobile,focus-ios,1.2k,https://github.com/mozilla-mobile/focus-ios
leoding86,webextension-pixiv-toolkit,1.2k,https://github.com/leoding86/webextension-pixiv-toolkit
vimperator,vimperator-labs,1.2k,https://github.com/vimperator/vimperator-labs
jiacai2050,gooreplacer,1.2k,https://github.com/jiacai2050/gooreplacer
mumuy,browser,1.2k,https://github.com/mumuy/browser
runningcheese,RunningCheese-Firefox,1.2k,https://github.com/runningcheese/RunningCheese-Firefox
rogaha,docker-desktop,1.1k,https://github.com/rogaha/docker-desktop
eramdam,BetterTweetDeck,1.1k,https://github.com/eramdam/BetterTweetDeck
duckduckgo,duckduckgo-privacy-extension,1.1k,https://github.com/duckduckgo/duckduckgo-privacy-extension
mozilla,bedrock,1.1k,https://github.com/mozilla/bedrock
Floorp-Projects,Floorp,1.1k,https://github.com/Floorp-Projects/Floorp
lindylearn,unclutter,1.1k,https://github.com/lindylearn/unclutter
andreasgrafen,cascade,1.1k,https://github.com/andreasgrafen/cascade
dothq,browser,1.1k,https://github.com/dothq/browser
toggl,track-extension,1.1k,https://github.com/toggl/track-extension
algolia,github-awesome-autocomplete,1.1k,https://github.com/algolia/github-awesome-autocomplete
jordwest,news-feed-eradicator,1.1k,https://github.com/jordwest/news-feed-eradicator
DandelionSprout,adfilt,1.1k,https://github.com/DandelionSprout/adfilt
browserpass,browserpass-legacy,1k,https://github.com/browserpass/browserpass-legacy
kkapsner,CanvasBlocker,989,https://github.com/kkapsner/CanvasBlocker
firefox-devtools,profiler,984,https://github.com/firefox-devtools/profiler
emberjs,ember-inspector,968,https://github.com/emberjs/ember-inspector
FooSoft,yomichan,967,https://github.com/FooSoft/yomichan
spikespaz,search-deflector,890,https://github.com/spikespaz/search-deflector
clj-commons,etaoin,872,https://github.com/clj-commons/etaoin
simov,markdown-viewer,865,https://github.com/simov/markdown-viewer
lusakasa,saka-key,854,https://github.com/lusakasa/saka-key
