Username,Repository,Stars,Repo URL
tonsky,FiraCode,72.7k,https://github.com/tonsky/FiraCode
FortAwesome,Font-Awesome,72.3k,https://github.com/FortAwesome/Font-Awesome
ryanoasis,nerd-fonts,46.8k,https://github.com/ryanoasis/nerd-fonts
you-dont-need,You-Dont-Need-JavaScript,18.5k,https://github.com/you-dont-need/You-Dont-Need-JavaScript
be5invis,Iosevka,16.9k,https://github.com/be5invis/Iosevka
source-foundry,Hack,15.9k,https://github.com/source-foundry/Hack
rsms,inter,15.8k,https://github.com/rsms/inter
gztchan,awesome-design,14.9k,https://github.com/gztchan/awesome-design
faressoft,terminalizer,14.5k,https://github.com/faressoft/terminalizer
lxgw,LxgwWenKai,14k,https://github.com/lxgw/LxgwWenKai
adobe-fonts,source-han-sans,13.1k,https://github.com/adobe-fonts/source-han-sans
neutraltone,awesome-stock-resources,11.8k,https://github.com/neutraltone/awesome-stock-resources
atelier-anchor,smiley-sans,11.6k,https://github.com/atelier-anchor/smiley-sans
cdnjs,cdnjs,10k,https://github.com/cdnjs/cdnjs
dompdf,dompdf,9.9k,https://github.com/dompdf/dompdf
JetBrains,JetBrainsMono,9.5k,https://github.com/JetBrains/JetBrainsMono
snowie2000,mactype,8.9k,https://github.com/snowie2000/mactype
IBM,plex,8.9k,https://github.com/IBM/plex
be5invis,Sarasa-Gothic,8.8k,https://github.com/be5invis/Sarasa-Gothic
devicons,devicon,8.1k,https://github.com/devicons/devicon
adobe-fonts,source-han-serif,7.5k,https://github.com/adobe-fonts/source-han-serif
ubuwaits,beautiful-web-type,7.2k,https://github.com/ubuwaits/beautiful-web-type
IdreesInc,Monocraft,7.1k,https://github.com/IdreesInc/Monocraft
twbs,icons,6.9k,https://github.com/twbs/icons
belluzj,fantasque-sans,6.7k,https://github.com/belluzj/fantasque-sans
chrissimpkins,codeface,6k,https://github.com/chrissimpkins/codeface
i-tu,Hasklig,5.5k,https://github.com/i-tu/Hasklig
ecomfe,fontmin,5.3k,https://github.com/ecomfe/fontmin
uswds,public-sans,4.3k,https://github.com/uswds/public-sans
olikraus,u8g2,4.3k,https://github.com/olikraus/u8g2
opentypejs,opentype.js,4.1k,https://github.com/opentypejs/opentype.js
fontsource,fontsource,4.1k,https://github.com/fontsource/fontsource
github,mona-sans,3.2k,https://github.com/github/mona-sans
kiliman,operator-mono-lig,3.1k,https://github.com/kiliman/operator-mono-lig
pymupdf,PyMuPDF,3k,https://github.com/pymupdf/PyMuPDF
wordshub,free-font,3k,https://github.com/wordshub/free-font
alfredxing,brick,2.9k,https://github.com/alfredxing/brick
rubjo,victor-mono,2.8k,https://github.com/rubjo/victor-mono
arrowtype,recursive,2.8k,https://github.com/arrowtype/recursive
subframe7536,maple-font,2.7k,https://github.com/subframe7536/maple-font
KyleAMathews,typefaces,2.6k,https://github.com/KyleAMathews/typefaces
TakWolf,ark-pixel-font,2.5k,https://github.com/TakWolf/ark-pixel-font
slavfox,Cozette,2.4k,https://github.com/slavfox/Cozette
ProgrammingFonts,ProgrammingFonts,2.3k,https://github.com/ProgrammingFonts/ProgrammingFonts
loregr,LGButton,2.3k,https://github.com/loregr/LGButton
ttt30ga,awesome-product-design,2.1k,https://github.com/ttt30ga/awesome-product-design
orioncactus,pretendard,2.1k,https://github.com/orioncactus/pretendard
ToxicFrog,Ligaturizer,2.1k,https://github.com/ToxicFrog/Ligaturizer
rastikerdar,vazirmatn,2.1k,https://github.com/rastikerdar/vazirmatn
TrionesType,zhuque,2k,https://github.com/TrionesType/zhuque
SolidZORO,zpix-pixel-font,2k,https://github.com/SolidZORO/zpix-pixel-font
coreui,coreui-icons,2k,https://github.com/coreui/coreui-icons
system-fonts,modern-font-stacks,1.9k,https://github.com/system-fonts/modern-font-stacks
thesabbir,simple-line-icons,1.9k,https://github.com/thesabbir/simple-line-icons
romeovs,creep,1.8k,https://github.com/romeovs/creep
yuru7,HackGen,1.7k,https://github.com/yuru7/HackGen
github,hubot-sans,1.7k,https://github.com/github/hubot-sans
dompdf,php-font-lib,1.7k,https://github.com/dompdf/php-font-lib
nerdypepper,scientifica,1.7k,https://github.com/nerdypepper/scientifica
rbanffy,3270font,1.6k,https://github.com/rbanffy/3270font
welai,glow-sans,1.6k,https://github.com/welai/glow-sans
adobe-fonts,source-han-code-jp,1.6k,https://github.com/adobe-fonts/source-han-code-jp
weiweihuanghuang,Work-Sans,1.6k,https://github.com/weiweihuanghuang/Work-Sans
rougier,freetype-gl,1.5k,https://github.com/rougier/freetype-gl
13rac1,twemoji-color-font,1.5k,https://github.com/13rac1/twemoji-color-font
floriankarsten,space-grotesk,1.5k,https://github.com/floriankarsten/space-grotesk
petykowski,London-Underground-Dot-Matrix-Typeface,1.5k,https://github.com/petykowski/London-Underground-Dot-Matrix-Typeface
dominikwilkowski,cfonts,1.4k,https://github.com/dominikwilkowski/cfonts
lxgw,LxgwNeoXiHei,1.4k,https://github.com/lxgw/LxgwNeoXiHei
Iconscout,unicons,1.3k,https://github.com/Iconscout/unicons
jsdelivr,bootstrapcdn,1.3k,https://github.com/jsdelivr/bootstrapcdn
miiton,Cica,1.3k,https://github.com/miiton/Cica
Spiderpig86,Cirrus,1.3k,https://github.com/Spiderpig86/Cirrus
cormullion,juliamono,1.2k,https://github.com/cormullion/juliamono
mooman219,fontdue,1.2k,https://github.com/mooman219/fontdue
robhagemans,hoard-of-bitfonts,1.2k,https://github.com/robhagemans/hoard-of-bitfonts
lxgw,kose-font,1.2k,https://github.com/lxgw/kose-font
segecey,SwiftIconFont,1.2k,https://github.com/segecey/SwiftIconFont
LingDong-,qiji-font,1.2k,https://github.com/LingDong-/qiji-font
ACh-K,Cubic-11,1.1k,https://github.com/ACh-K/Cubic-11
filamentgroup,glyphhanger,1.1k,https://github.com/filamentgroup/glyphhanger
zachleat,web-font-loading-recipes,1k,https://github.com/zachleat/web-font-loading-recipes
justfont,open-huninn-font,998,https://github.com/justfont/open-huninn-font
femmebot,google-type,998,https://github.com/femmebot/google-type
adobe-fonts,source-han-mono,992,https://github.com/adobe-fonts/source-han-mono
13rac1,emojione-color-font,911,https://github.com/13rac1/emojione-color-font
pfefferle,openwebicons,847,https://github.com/pfefferle/openwebicons
morgan3d,quadplay,844,https://github.com/morgan3d/quadplay
Buernia,Zhudou-Sans,838,https://github.com/Buernia/Zhudou-Sans
alerque,libertinus,837,https://github.com/alerque/libertinus
yuru7,PlemolJP,836,https://github.com/yuru7/PlemolJP
ruedap,alfred-font-awesome-workflow,809,https://github.com/ruedap/alfred-font-awesome-workflow
LingDong-,rrpl,809,https://github.com/LingDong-/rrpl
sunaku,tamzen-font,796,https://github.com/sunaku/tamzen-font
tokotype,PlusJakartaSans,788,https://github.com/tokotype/PlusJakartaSans
johnkil,Android-RobotoTextView,779,https://github.com/johnkil/Android-RobotoTextView
weiweihuanghuang,Times-New-Bastard,775,https://github.com/weiweihuanghuang/Times-New-Bastard
jenskutilek,FiraSystemFontReplacement,748,https://github.com/jenskutilek/FiraSystemFontReplacement
jpswalsh,academicons,745,https://github.com/jpswalsh/academicons
Vaberer,Font-Awesome-Swift,745,https://github.com/Vaberer/Font-Awesome-Swift
