Username,Repository,Stars,Repo URL
vuejs,vue,206k,https://github.com/vuejs/vue
laravel,laravel,75k,https://github.com/laravel/laravel
django,django,73.5k,https://github.com/django/django
gin-gonic,gin,72k,https://github.com/gin-gonic/gin
spring-projects,spring-boot,69.7k,https://github.com/spring-projects/spring-boot
tiangolo,fastapi,63.5k,https://github.com/tiangolo/fastapi
nestjs,nest,60.3k,https://github.com/nestjs/nest
rails,rails,53.6k,https://github.com/rails/rails
spring-projects,spring-framework,53.4k,https://github.com/spring-projects/spring-framework
ocornut,imgui,51k,https://github.com/ocornut/imgui
ionic-team,ionic-framework,49.5k,https://github.com/ionic-team/ionic-framework
scrapy,scrapy,48.9k,https://github.com/scrapy/scrapy
meteor,meteor,43.8k,https://github.com/meteor/meteor
apache,dubbo,39.5k,https://github.com/apache/dubbo
Dogfalo,materialize,38.8k,https://github.com/Dogfalo/materialize
laravel,framework,30.4k,https://github.com/laravel/framework
gofiber,fiber,28.8k,https://github.com/gofiber/fiber
symfony,symfony,28.8k,https://github.com/symfony/symfony
ianstormtaylor,slate,28k,https://github.com/ianstormtaylor/slate
postcss,postcss,27.8k,https://github.com/postcss/postcss
zeromicro,go-zero,26k,https://github.com/zeromicro/go-zero
akveo,ngx-admin,24.7k,https://github.com/akveo/ngx-admin
expo,expo,23.9k,https://github.com/expo/expo
mdbootstrap,mdb-ui-kit,23.7k,https://github.com/mdbootstrap/mdb-ui-kit
google,mediapipe,23.7k,https://github.com/google/mediapipe
python-telegram-bot,python-telegram-bot,23.3k,https://github.com/python-telegram-bot/python-telegram-bot
vapor,vapor,23.2k,https://github.com/vapor/vapor
libgdx,libgdx,22.1k,https://github.com/libgdx/libgdx
Textualize,textual,21.7k,https://github.com/Textualize/textual
SergioBenitez,Rocket,21.6k,https://github.com/SergioBenitez/Rocket
go-kratos,kratos,21.6k,https://github.com/go-kratos/kratos
gocolly,colly,20.9k,https://github.com/gocolly/colly
charmbracelet,bubbletea,20.1k,https://github.com/charmbracelet/bubbletea
jina-ai,jina,19.2k,https://github.com/jina-ai/jina
BuilderIO,qwik,19k,https://github.com/BuilderIO/qwik
jorgebucaran,hyperapp,19k,https://github.com/jorgebucaran/hyperapp
GrapesJS,grapesjs,18.8k,https://github.com/GrapesJS/grapesjs
eggjs,egg,18.7k,https://github.com/eggjs/egg
alibaba,ice,17.7k,https://github.com/alibaba/ice
framework7io,framework7,17.6k,https://github.com/framework7io/framework7
wechaty,wechaty,17.4k,https://github.com/wechaty/wechaty
sanic-org,sanic,17.4k,https://github.com/sanic-org/sanic
catchorg,Catch2,17.2k,https://github.com/catchorg/Catch2
dvajs,dva,16.2k,https://github.com/dvajs/dva
squidfunk,mkdocs-material,15.8k,https://github.com/squidfunk/mkdocs-material
