Username,Repository,Stars,Repo URL
godotengine,godot,76.3k,https://github.com/godotengine/godot
ocornut,imgui,51k,https://github.com/ocornut/imgui
bevyengine,bevy,27.4k,https://github.com/bevyengine/bevy
libgdx,libgdx,22.1k,https://github.com/libgdx/libgdx
BabylonJS,Babylon.js,21.5k,https://github.com/BabylonJS/Babylon.js
leereilly,games,21.5k,https://github.com/leereilly/games
cocos2d,cocos2d-x,17.5k,https://github.com/cocos2d/cocos2d-x
aframevr,aframe,15.7k,https://github.com/aframevr/aframe
raysan5,raylib,15.7k,https://github.com/raysan5/raylib
OpenRA,OpenRA,13.5k,https://github.com/OpenRA/OpenRA
kitao,pyxel,12.5k,https://github.com/kitao/pyxel
ellisonleao,magictools,12.2k,https://github.com/ellisonleao/magictools
SFTtech,openage,12k,https://github.com/SFTtech/openage
OpenDiablo2,OpenDiablo2,10.6k,https://github.com/OpenDiablo2/OpenDiablo2
MonoGame,MonoGame,10.2k,https://github.com/MonoGame/MonoGame
boardgameio,boardgame.io,9.7k,https://github.com/boardgameio/boardgame.io
minetest,minetest,9.5k,https://github.com/minetest/minetest
hajimehoshi,ebiten,8.9k,https://github.com/hajimehoshi/ebiten
skypjack,entt,8.8k,https://github.com/skypjack/entt
playcanvas,engine,8.7k,https://github.com/playcanvas/engine
flame-engine,flame,8.2k,https://github.com/flame-engine/flame
amethyst,amethyst,8k,https://github.com/amethyst/amethyst
egametang,ET,7.6k,https://github.com/egametang/ET
o3de,o3de,6.7k,https://github.com/o3de/o3de
FyroxEngine,Fyrox,6.6k,https://github.com/FyroxEngine/Fyrox
sschmid,Entitas,6.6k,https://github.com/sschmid/Entitas
stride3d,stride,5.7k,https://github.com/stride3d/stride
melonjs,melonJS,5.5k,https://github.com/melonjs/melonJS
4ian,GDevelop,5.4k,https://github.com/4ian/GDevelop
BoomingTech,Piccolo,5.1k,https://github.com/BoomingTech/Piccolo
FlaxEngine,FlaxEngine,5k,https://github.com/FlaxEngine/FlaxEngine
SanderMertens,flecs,4.9k,https://github.com/SanderMertens/flecs
cocos,cocos-engine,4.7k,https://github.com/cocos/cocos-engine
piqnt,planck.js,4.7k,https://github.com/piqnt/planck.js
mosra,magnum,4.5k,https://github.com/mosra/magnum
urho3d,urho3d,4.4k,https://github.com/urho3d/urho3d
faiface,pixel,4.3k,https://github.com/faiface/pixel
jrouwe,JoltPhysics,4.2k,https://github.com/jrouwe/JoltPhysics
panda3d,panda3d,4k,https://github.com/panda3d/panda3d
ggez,ggez,3.9k,https://github.com/ggez/ggez
egret-labs,egret-core,3.9k,https://github.com/egret-labs/egret-core
ketoo,NoahGameFrame,3.8k,https://github.com/ketoo/NoahGameFrame
AlmasB,FXGL,3.8k,https://github.com/AlmasB/FXGL
MovingBlocks,Terasology,3.6k,https://github.com/MovingBlocks/Terasology
AmbientRun,Ambient,3.5k,https://github.com/AmbientRun/Ambient
Kavex,GameDev-Resources,3.4k,https://github.com/Kavex/GameDev-Resources
spring,spring,3.3k,https://github.com/spring/spring
defold,defold,3.3k,https://github.com/defold/defold
nem0,LumixEngine,3.2k,https://github.com/nem0/LumixEngine
nicolasgramlich,AndEngine,3.2k,https://github.com/nicolasgramlich/AndEngine
AtomicGameEngine,AtomicGameEngine,3k,https://github.com/AtomicGameEngine/AtomicGameEngine
godotengine,godot-docs,3k,https://github.com/godotengine/godot-docs
opentk,opentk,2.9k,https://github.com/opentk/opentk
armory3d,armory,2.9k,https://github.com/armory3d/armory
bberak,react-native-game-engine,2.6k,https://github.com/bberak/react-native-game-engine
KilledByAPixel,LittleJS,2.6k,https://github.com/KilledByAPixel/LittleJS
OpenXRay,xray-16,2.5k,https://github.com/OpenXRay/xray-16
eduard-permyakov,permafrost-engine,2.5k,https://github.com/eduard-permyakov/permafrost-engine
g3n,engine,2.4k,https://github.com/g3n/engine
pico-8,awesome-PICO-8,2.4k,https://github.com/pico-8/awesome-PICO-8
not-fl3,macroquad,2.4k,https://github.com/not-fl3/macroquad
killop,anything_about_game,2.3k,https://github.com/killop/anything_about_game
coronalabs,corona,2.3k,https://github.com/coronalabs/corona
hexops,mach,2.3k,https://github.com/hexops/mach
ihhub,fheroes2,2.3k,https://github.com/ihhub/fheroes2
ioquake,ioq3,2.2k,https://github.com/ioquake/ioq3
lgsvl,simulator,2.1k,https://github.com/lgsvl/simulator
korlibs,korge,2k,https://github.com/korlibs/korge
skywind3000,mini3d,2k,https://github.com/skywind3000/mini3d
aws,lumberyard,2k,https://github.com/aws/lumberyard
tentone,nunuStudio,1.9k,https://github.com/tentone/nunuStudio
juicycleff,flutter-unity-view-widget,1.9k,https://github.com/juicycleff/flutter-unity-view-widget
gosu,gosu,1.9k,https://github.com/gosu/gosu
crownengine,crown,1.9k,https://github.com/crownengine/crown
pokepetter,ursina,1.9k,https://github.com/pokepetter/ursina
gongminmin,KlayGE,1.9k,https://github.com/gongminmin/KlayGE
JACoders,OpenJK,1.9k,https://github.com/JACoders/OpenJK
PanosK92,SpartanEngine,1.8k,https://github.com/PanosK92/SpartanEngine
