Username,Repository,Stars,Repo URL
github,gitignore,152k,https://github.com/github/gitignore
30-seconds,30-seconds-of-code,116k,https://github.com/30-seconds/30-seconds-of-code
bregman-arie,devops-exercises,58.6k,https://github.com/bregman-arie/devops-exercises
sharkdp,bat,43.4k,https://github.com/sharkdp/bat
gogs,gogs,43.1k,https://github.com/gogs/gogs
tiimgreen,github-cheat-sheet,42.8k,https://github.com/tiimgreen/github-cheat-sheet
jesseduffield,lazygit,39.5k,https://github.com/jesseduffield/lazygit
go-gitea,gitea,38.8k,https://github.com/go-gitea/gitea
cli,cli,33.5k,https://github.com/cli/cli
typicode,husky,30.4k,https://github.com/typicode/husky
harness,gitness,30.1k,https://github.com/harness/gitness
files-community,Files,29.1k,https://github.com/files-community/Files
logseq,logseq,25.8k,https://github.com/logseq/logseq
mislav,hub,22.5k,https://github.com/mislav/hub
requarks,wiki,22.1k,https://github.com/requarks/wiki
git-tips,tips,21k,https://github.com/git-tips/tips
dandavison,delta,18.8k,https://github.com/dandavison/delta
desktop,desktop,18.3k,https://github.com/desktop/desktop
so-fancy,diff-so-fancy,16.7k,https://github.com/so-fancy/diff-so-fancy
tj,git-extras,16.4k,https://github.com/tj/git-extras
commitizen,cz-cli,15.7k,https://github.com/commitizen/cz-cli
dolthub,dolt,15.6k,https://github.com/dolthub/dolt
521xueweihan,git-tips,15.3k,https://github.com/521xueweihan/git-tips
conventional-changelog,commitlint,14.6k,https://github.com/conventional-changelog/commitlint
geeeeeeeeek,git-recipes,14.5k,https://github.com/geeeeeeeeek/git-recipes
extrawurst,gitui,14.2k,https://github.com/extrawurst/gitui
gitleaks,gitleaks,14k,https://github.com/gitleaks/gitleaks
aalansehaiyang,technology-talk,13.6k,https://github.com/aalansehaiyang/technology-talk
pomber,git-history,13.4k,https://github.com/pomber/git-history
arthurspk,guiadevbrasil,12.7k,https://github.com/arthurspk/guiadevbrasil
sindresorhus,pure,12.4k,https://github.com/sindresorhus/pure
JanDeDobbeleer,oh-my-posh,12.3k,https://github.com/JanDeDobbeleer/oh-my-posh
phacility,phabricator,12.3k,https://github.com/phacility/phabricator
lint-staged,lint-staged,12.3k,https://github.com/lint-staged/lint-staged
iterative,dvc,12.1k,https://github.com/iterative/dvc
theonedev,onedev,12k,https://github.com/theonedev/onedev
git-lfs,git-lfs,11.9k,https://github.com/git-lfs/git-lfs
jonas,tig,11.8k,https://github.com/jonas/tig
meolu,walle-web,11.7k,https://github.com/meolu/walle-web
pre-commit,pre-commit,11.1k,https://github.com/pre-commit/pre-commit
FredrikNoren,ungit,10.3k,https://github.com/FredrikNoren/ungit
rtyley,bfg-repo-cleaner,10.2k,https://github.com/rtyley/bfg-repo-cleaner
hakanyalcinkaya,kodluyoruz-frontend-101-egitimi,9.4k,https://github.com/hakanyalcinkaya/kodluyoruz-frontend-101-egitimi
libgit2,libgit2,9.2k,https://github.com/libgit2/libgit2
wolverinn,Waking-Up,9.1k,https://github.com/wolverinn/Waking-Up
gitbucket,gitbucket,9k,https://github.com/gitbucket/gitbucket
gitkraken,vscode-gitlens,8.4k,https://github.com/gitkraken/vscode-gitlens
o2sh,onefetch,8.3k,https://github.com/o2sh/onefetch
airblade,vim-gitgutter,8.1k,https://github.com/airblade/vim-gitgutter
rafaballerini,GitTutorial,7.9k,https://github.com/rafaballerini/GitTutorial
MichaelMure,git-bug,7.9k,https://github.com/MichaelMure/git-bug
sameersbn,docker-gitlab,7.7k,https://github.com/sameersbn/docker-gitlab
donnemartin,gitsome,7.5k,https://github.com/donnemartin/gitsome
kamranahmedse,git-standup,7.4k,https://github.com/kamranahmedse/git-standup
linkedin,school-of-sre,7.4k,https://github.com/linkedin/school-of-sre
xirong,my-git,7.3k,https://github.com/xirong/my-git
conventional-changelog,standard-version,7.3k,https://github.com/conventional-changelog/standard-version
conventional-changelog,conventional-changelog,7.3k,https://github.com/conventional-changelog/conventional-changelog
Tikam02,DevOps-Guide,7.2k,https://github.com/Tikam02/DevOps-Guide
dahlbyk,posh-git,7.2k,https://github.com/dahlbyk/posh-git
gitextensions,gitextensions,7.2k,https://github.com/gitextensions/gitextensions
isomorphic-git,isomorphic-git,7.1k,https://github.com/isomorphic-git/isomorphic-git
release-it,release-it,7k,https://github.com/release-it/release-it
Byron,gitoxide,7k,https://github.com/Byron/gitoxide
drakkan,sftpgo,6.9k,https://github.com/drakkan/sftpgo
Gazler,githug,6.7k,https://github.com/Gazler/githug
sourcerer-io,sourcerer-app,6.7k,https://github.com/sourcerer-io/sourcerer-app
oldratlee,translations,6.7k,https://github.com/oldratlee/translations
arslanbilal,git-cheat-sheet,6.5k,https://github.com/arslanbilal/git-cheat-sheet
usebruno,bruno,6.3k,https://github.com/usebruno/bruno
magit,magit,6.2k,https://github.com/magit/magit
filhodanuvem,gitql,6.2k,https://github.com/filhodanuvem/gitql
orhun,git-cliff,6.1k,https://github.com/orhun/git-cliff
chriswalz,bit,6k,https://github.com/chriswalz/bit
donnemartin,dev-setup,6k,https://github.com/donnemartin/dev-setup
arzzen,git-quick-stats,5.9k,https://github.com/arzzen/git-quick-stats
conventional-commits,conventionalcommits.org,5.8k,https://github.com/conventional-commits/conventionalcommits.org
xwmx,nb,5.8k,https://github.com/xwmx/nb
olivierlacan,keep-a-changelog,5.8k,https://github.com/olivierlacan/keep-a-changelog
frostming,legit,5.7k,https://github.com/frostming/legit
docker,docker-ce,5.7k,https://github.com/docker/docker-ce
nodegit,nodegit,5.5k,https://github.com/nodegit/nodegit
gitpitch,gitpitch,5.5k,https://github.com/gitpitch/gitpitch
gopasspw,gopass,5.4k,https://github.com/gopasspw/gopass
petervanderdoes,gitflow-avh,5.4k,https://github.com/petervanderdoes/gitflow-avh
git-ftp,git-ftp,5.4k,https://github.com/git-ftp/git-ftp
progit,progit2,5.4k,https://github.com/progit/progit2
agis,git-style-guide,5k,https://github.com/agis/git-style-guide
git-ecosystem,git-credential-manager,5k,https://github.com/git-ecosystem/git-credential-manager
go-git,go-git,5k,https://github.com/go-git/go-git
