Username,Repository,Stars,Repo URL
golang,go,115k,https://github.com/golang/go
avelino,awesome-go,110k,https://github.com/avelino/awesome-go
kubernetes,kubernetes,102k,https://github.com/kubernetes/kubernetes
fatedier,frp,72.5k,https://github.com/fatedier/frp
gin-gonic,gin,71.9k,https://github.com/gin-gonic/gin
gohugoio,hugo,69.3k,https://github.com/gohugoio/hugo
moby,moby,66.8k,https://github.com/moby/moby
grafana,grafana,57.4k,https://github.com/grafana/grafana
junegunn,fzf,54.7k,https://github.com/junegunn/fzf
syncthing,syncthing,54.7k,https://github.com/syncthing/syncthing
caddyserver,caddy,50k,https://github.com/caddyserver/caddy
traefik,traefik,44.9k,https://github.com/traefik/traefik
etcd-io,etcd,44.6k,https://github.com/etcd-io/etcd
ethereum,go-ethereum,43.8k,https://github.com/ethereum/go-ethereum
gogs,gogs,43k,https://github.com/gogs/gogs
youngyangyang04,leetcode-master,42.5k,https://github.com/youngyangyang04/leetcode-master
golang-standards,project-layout,42.3k,https://github.com/golang-standards/project-layout
minio,minio,41k,https://github.com/minio/minio
rclone,rclone,40.6k,https://github.com/rclone/rclone
go-gitea,gitea,38.6k,https://github.com/go-gitea/gitea
pingcap,tidb,35k,https://github.com/pingcap/tidb
go-gorm,gorm,33.8k,https://github.com/go-gorm/gorm
spf13,cobra,33.6k,https://github.com/spf13/cobra
unknwon,the-way-to-go_ZH_CN,33.5k,https://github.com/unknwon/the-way-to-go_ZH_CN
coreybutler,nvm-windows,30.8k,https://github.com/coreybutler/nvm-windows
halfrost,LeetCode-Go,30.7k,https://github.com/halfrost/LeetCode-Go
docker,compose,30.6k,https://github.com/docker/compose
beego,beego,30.3k,https://github.com/beego/beego
harness,gitness,29.5k,https://github.com/harness/gitness
gofiber,fiber,28.7k,https://github.com/gofiber/fiber
hashicorp,vault,28.5k,https://github.com/hashicorp/vault
cockroachdb,cockroach,27.9k,https://github.com/cockroachdb/cockroach
kubernetes,minikube,27.3k,https://github.com/kubernetes/minikube
ehang-io,nps,27.3k,https://github.com/ehang-io/nps
labstack,echo,26.8k,https://github.com/labstack/echo
influxdata,influxdb,26.4k,https://github.com/influxdata/influxdb
zeromicro,go-zero,25.6k,https://github.com/zeromicro/go-zero
go-kit,kit,25.5k,https://github.com/go-kit/kit
kataras,iris,24.4k,https://github.com/kataras/iris
nsqio,nsq,23.8k,https://github.com/nsqio/nsq
sirupsen,logrus,23.3k,https://github.com/sirupsen/logrus
tmrts,go-patterns,22.9k,https://github.com/tmrts/go-patterns
zyedidia,micro,22.8k,https://github.com/zyedidia/micro
mislav,hub,22.5k,https://github.com/mislav/hub
derailed,k9s,22.4k,https://github.com/derailed/k9s
iawia002,lux,22.2k,https://github.com/iawia002/lux
tsenart,vegeta,21.9k,https://github.com/tsenart/vegeta
grafana,k6,21.7k,https://github.com/grafana/k6
fyne-io,fyne,21.5k,https://github.com/fyne-io/fyne
go-kratos,kratos,21.5k,https://github.com/go-kratos/kratos
restic,restic,21.3k,https://github.com/restic/restic
google,flatbuffers,21.2k,https://github.com/google/flatbuffers
go-delve,delve,21.1k,https://github.com/go-delve/delve
go-micro,go-micro,20.9k,https://github.com/go-micro/go-micro
gocolly,colly,20.9k,https://github.com/gocolly/colly
urfave,cli,20.8k,https://github.com/urfave/cli
stretchr,testify,20.7k,https://github.com/stretchr/testify
quii,learn-go-with-tests,20.3k,https://github.com/quii/learn-go-with-tests
kovidgoyal,kitty,20k,https://github.com/kovidgoyal/kitty
charmbracelet,bubbletea,20k,https://github.com/charmbracelet/bubbletea
gorilla,websocket,19.9k,https://github.com/gorilla/websocket
dgraph-io,dgraph,19.7k,https://github.com/dgraph-io/dgraph
usememos,memos,19.5k,https://github.com/usememos/memos
gorilla,mux,19.3k,https://github.com/gorilla/mux
grpc,grpc-go,18.9k,https://github.com/grpc/grpc-go
aquasecurity,trivy,18.9k,https://github.com/aquasecurity/trivy
chai2010,advanced-go-programming-book,18.8k,https://github.com/chai2010/advanced-go-programming-book
flipped-aurora,gin-vue-admin,18.4k,https://github.com/flipped-aurora/gin-vue-admin
wailsapp,wails,18.2k,https://github.com/wailsapp/wails
redis,go-redis,18.1k,https://github.com/redis/go-redis
yudai,gotty,18.1k,https://github.com/yudai/gotty
buger,goreplay,17.9k,https://github.com/buger/goreplay
pulumi,pulumi,17.8k,https://github.com/pulumi/pulumi
inancgumus,learngo,17.7k,https://github.com/inancgumus/learngo
slimtoolkit,slim,17.3k,https://github.com/slimtoolkit/slim
Alikhll,golang-developer-roadmap,17.1k,https://github.com/Alikhll/golang-developer-roadmap
grpc-ecosystem,grpc-gateway,16.1k,https://github.com/grpc-ecosystem/grpc-gateway
qax-os,excelize,16k,https://github.com/qax-os/excelize
julienschmidt,httprouter,15.8k,https://github.com/julienschmidt/httprouter
casbin,casbin,15.8k,https://github.com/casbin/casbin
fatih,vim-go,15.6k,https://github.com/fatih/vim-go
go-chi,chi,15.5k,https://github.com/go-chi/chi
zincsearch,zincsearch,15.5k,https://github.com/zincsearch/zincsearch
