Username,Repository,Stars,Repo URL
gradle,gradle,15.3k,https://github.com/gradle/gradle
GoogleContainerTools,jib,13k,https://github.com/GoogleContainerTools/jib
inferjay,AndroidDevTools,7.6k,https://github.com/inferjay/AndroidDevTools
Meituan-Dianping,walle,6.7k,https://github.com/Meituan-Dianping/walle
cabaletta,baritone,6.2k,https://github.com/cabaletta/baritone
igorwojda,android-showcase,6.2k,https://github.com/igorwojda/android-showcase
hibernate,hibernate-orm,5.6k,https://github.com/hibernate/hibernate-orm
mcxiaoke,packer-ng-plugin,4.8k,https://github.com/mcxiaoke/packer-ng-plugin
nisrulz,android-tips-tricks,4.7k,https://github.com/nisrulz/android-tips-tricks
Meituan-Dianping,Robust,4.3k,https://github.com/Meituan-Dianping/Robust
cesarferreira,dryrun,3.8k,https://github.com/cesarferreira/dryrun
diffplug,spotless,3.8k,https://github.com/diffplug/spotless
gradle,kotlin-dsl-samples,3.7k,https://github.com/gradle/kotlin-dsl-samples
Kotlin,kotlin-examples,3.2k,https://github.com/Kotlin/kotlin-examples
KeepSafe,dexcount-gradle-plugin,3k,https://github.com/KeepSafe/dexcount-gradle-plugin
bytedance,ByteX,3k,https://github.com/bytedance/ByteX
Tencent,VasDolly,2.9k,https://github.com/Tencent/VasDolly
EngineHub,WorldEdit,2.9k,https://github.com/EngineHub/WorldEdit
north2016,T-MVP,2.7k,https://github.com/north2016/T-MVP
Qihoo360,ArgusAPM,2.6k,https://github.com/Qihoo360/ArgusAPM
jitpack,jitpack.io,2.4k,https://github.com/jitpack/jitpack.io
AnyChart,AnyChart-Android,2.1k,https://github.com/AnyChart/AnyChart-Android
jeanboydev,Android-ReadTheFuckingSourceCode,2.1k,https://github.com/jeanboydev/Android-ReadTheFuckingSourceCode
mancj,MaterialSearchBar,2k,https://github.com/mancj/MaterialSearchBar
julian-klode,dns66,2k,https://github.com/julian-klode/dns66
sanluan,PublicCMS,1.9k,https://github.com/sanluan/PublicCMS
crazyqiang,AndroidStudy,1.9k,https://github.com/crazyqiang/AndroidStudy
REBOOTERS,AndroidAnimationExercise,1.8k,https://github.com/REBOOTERS/AndroidAnimationExercise
freedomofdevelopers,fod,1.7k,https://github.com/freedomofdevelopers/fod
cortinico,kotlin-android-template,1.6k,https://github.com/cortinico/kotlin-android-template
Splitties,refreshVersions,1.6k,https://github.com/Splitties/refreshVersions
tonyofrancis,Fetch,1.6k,https://github.com/tonyofrancis/Fetch
javiersantos,PiracyChecker,1.5k,https://github.com/javiersantos/PiracyChecker
uber,okbuck,1.5k,https://github.com/uber/okbuck
typ0520,fastdex,1.5k,https://github.com/typ0520/fastdex
MegatronKing,StringFog,1.4k,https://github.com/MegatronKing/StringFog
robertlevonyan,material-chip-view,1.4k,https://github.com/robertlevonyan/material-chip-view
JetBrains,gradle-intellij-plugin,1.3k,https://github.com/JetBrains/gradle-intellij-plugin
MewX,light-novel-library_Wenku8_Android,1.3k,https://github.com/MewX/light-novel-library_Wenku8_Android
Leaking,Hunter,1.3k,https://github.com/Leaking/Hunter
linisme,Cipher.so,1.3k,https://github.com/linisme/Cipher.so
minecraft-dev,MinecraftDev,1.3k,https://github.com/minecraft-dev/MinecraftDev
JLLeitschuh,ktlint-gradle,1.3k,https://github.com/JLLeitschuh/ktlint-gradle
AndroidIDEOfficial,AndroidIDE,1.3k,https://github.com/AndroidIDEOfficial/AndroidIDE
SpongePowered,Mixin,1.2k,https://github.com/SpongePowered/Mixin
javiersantos,MaterialStyledDialogs,1.2k,https://github.com/javiersantos/MaterialStyledDialogs
smallSohoSolo,McImage,1.2k,https://github.com/smallSohoSolo/McImage
SpongePowered,SpongeForge,1.1k,https://github.com/SpongePowered/SpongeForge
SpongePowered,SpongeAPI,1.1k,https://github.com/SpongePowered/SpongeAPI
thyrlian,AndroidSDK,1.1k,https://github.com/thyrlian/AndroidSDK
dzikoysk,reposilite,1.1k,https://github.com/dzikoysk/reposilite
UCodeUStory,S-MVP,1.1k,https://github.com/UCodeUStory/S-MVP
spotify,ruler,1.1k,https://github.com/spotify/ruler
Leifzhang,AndroidAutoTrack,1k,https://github.com/Leifzhang/AndroidAutoTrack
G-Joker,WeaponApp,1k,https://github.com/G-Joker/WeaponApp
vanniktech,gradle-maven-publish-plugin,1k,https://github.com/vanniktech/gradle-maven-publish-plugin
IanDarwin,Android-Cookbook-Examples,1k,https://github.com/IanDarwin/Android-Cookbook-Examples
gradle,gradle-completion,978,https://github.com/gradle/gradle-completion
TangXiaoLv,Android-Easy-MultiDex,976,https://github.com/TangXiaoLv/Android-Easy-MultiDex
pengMaster,BestNote,968,https://github.com/pengMaster/BestNote
playgameservices,android-basic-samples,954,https://github.com/playgameservices/android-basic-samples
Meituan-Dianping,Shield,936,https://github.com/Meituan-Dianping/Shield
rock3r,deep-clean,905,https://github.com/rock3r/deep-clean
SkriptLang,Skript,896,https://github.com/SkriptLang/Skript
bernaferrari,GradleKotlinConverter,875,https://github.com/bernaferrari/GradleKotlinConverter
fvarrui,JavaPackager,851,https://github.com/fvarrui/JavaPackager
jreleaser,jreleaser,828,https://github.com/jreleaser/jreleaser
trycatchx,RocketX,819,https://github.com/trycatchx/RocketX
gogradle,gogradle,772,https://github.com/gogradle/gogradle
radarsh,gradle-test-logger-plugin,770,https://github.com/radarsh/gradle-test-logger-plugin
mcxiaoke,Android-Next,766,https://github.com/mcxiaoke/Android-Next
spockframework,spock-example,749,https://github.com/spockframework/spock-example
JamesZBL,FS-Blog,740,https://github.com/JamesZBL/FS-Blog
xuexiangjys,XAOP,725,https://github.com/xuexiangjys/XAOP
palantir,gradle-docker,723,https://github.com/palantir/gradle-docker
nebula-plugins,gradle-lint-plugin,696,https://github.com/nebula-plugins/gradle-lint-plugin
hydraxman,hibeaver,696,https://github.com/hydraxman/hibeaver
rocketshipapps,adblockfast,695,https://github.com/rocketshipapps/adblockfast
GDGAhmedabad,Awesome-Learning-Resources,691,https://github.com/GDGAhmedabad/Awesome-Learning-Resources
android,android-studio-poet,689,https://github.com/android/android-studio-poet
Drjacky,MVVMTemplate,678,https://github.com/Drjacky/MVVMTemplate
scana,ok-gradle,670,https://github.com/scana/ok-gradle
Jire,Charlatano,667,https://github.com/Jire/Charlatano
runningcode,gradle-doctor,666,https://github.com/runningcode/gradle-doctor
Flank,flank,657,https://github.com/Flank/flank
javiersantos,BottomDialogs,647,https://github.com/javiersantos/BottomDialogs
Transmode,gradle-docker,643,https://github.com/Transmode/gradle-docker
Esri,arcgis-runtime-samples-android,639,https://github.com/Esri/arcgis-runtime-samples-android
michel-kraemer,gradle-download-task,630,https://github.com/michel-kraemer/gradle-download-task
melix,jmh-gradle-plugin,599,https://github.com/melix/jmh-gradle-plugin
moallemi,gradle-advanced-build-version,592,https://github.com/moallemi/gradle-advanced-build-version
xm0625,VBrowser-Android,591,https://github.com/xm0625/VBrowser-Android
zielu,GitToolBox,586,https://github.com/zielu/GitToolBox
watson-developer-cloud,java-sdk,585,https://github.com/watson-developer-cloud/java-sdk
gradle,gradle-build-action,580,https://github.com/gradle/gradle-build-action
shiburagi,Drawer-Behavior,580,https://github.com/shiburagi/Drawer-Behavior
linkedin,pygradle,574,https://github.com/linkedin/pygradle
Kotlin,kotlin-frontend-plugin,568,https://github.com/Kotlin/kotlin-frontend-plugin
cdsap,Talaiot,561,https://github.com/cdsap/Talaiot
ajoberstar,gradle-git,561,https://github.com/ajoberstar/gradle-git
