Username,Repository,Stars,Repo URL
supabase,supabase,58k,https://github.com/supabase/supabase
strapi,strapi,56.6k,https://github.com/strapi/strapi
hoppscotch,hoppscotch,55.5k,https://github.com/hoppscotch/hoppscotch
gatsbyjs,gatsby,54.8k,https://github.com/gatsbyjs/gatsby
prettier,prettier,46.8k,https://github.com/prettier/prettier
TanStack,query,36.6k,https://github.com/TanStack/query
Kong,insomnia,30.8k,https://github.com/Kong/insomnia
hasura,graphql-engine,30.2k,https://github.com/hasura/graphql-engine
directus,directus,23.4k,https://github.com/directus/directus
marmelab,react-admin,23k,https://github.com/marmelab/react-admin
kriasoft,react-starter-kit,22.2k,https://github.com/kriasoft/react-starter-kit
heyxyz,hey,21.3k,https://github.com/heyxyz/hey
parse-community,parse-server,20.4k,https://github.com/parse-community/parse-server
pubkey,rxdb,19.7k,https://github.com/pubkey/rxdb
graphql,graphql-js,19.7k,https://github.com/graphql/graphql-js
dgraph-io,dgraph,19.7k,https://github.com/dgraph-io/dgraph
saleor,saleor,19.2k,https://github.com/saleor/saleor
apollographql,apollo-client,19k,https://github.com/apollographql/apollo-client
prisma,prisma1,16.6k,https://github.com/prisma/prisma1
redwoodjs,redwood,16.4k,https://github.com/redwoodjs/redwood
graphql,graphiql,15.3k,https://github.com/graphql/graphiql
learn-anything,learn-anything.xyz,15.1k,https://github.com/learn-anything/learn-anything.xyz
refinedev,refine,15k,https://github.com/refinedev/refine
chentsulin,awesome-graphql,14.2k,https://github.com/chentsulin/awesome-graphql
apollographql,apollo-server,13.5k,https://github.com/apollographql/apollo-server
payloadcms,payload,13k,https://github.com/payloadcms/payload
amplication,amplication,12.7k,https://github.com/amplication/amplication
spree,spree,12.4k,https://github.com/spree/spree
graphql,dataloader,12.4k,https://github.com/graphql/dataloader
graphile,crystal,12.2k,https://github.com/graphile/crystal
reactioncommerce,reaction,12.1k,https://github.com/reactioncommerce/reaction
edgedb,edgedb,11.7k,https://github.com/edgedb/edgedb
withspectrum,spectrum,10.8k,https://github.com/withspectrum/spectrum
glideapps,quicktype,10.7k,https://github.com/glideapps/quicktype
dotansimha,graphql-code-generator,10.3k,https://github.com/dotansimha/graphql-code-generator
graphql-go,graphql,9.5k,https://github.com/graphql-go/graphql
devhubapp,devhub,9.2k,https://github.com/devhubapp/devhub
99designs,gqlgen,9.2k,https://github.com/99designs/gqlgen
TykTechnologies,tyk,8.8k,https://github.com/TykTechnologies/tyk
apex,up,8.7k,https://github.com/apex/up
howtographql,howtographql,8.6k,https://github.com/howtographql/howtographql
graphql,graphql-playground,8.6k,https://github.com/graphql/graphql-playground
gridsome,gridsome,8.5k,https://github.com/gridsome/gridsome
keystonejs,keystone,8.4k,https://github.com/keystonejs/keystone
urql-graphql,urql,8.2k,https://github.com/urql-graphql/urql
api-platform,api-platform,8.1k,https://github.com/api-platform/api-platform
VulcanJS,Vulcan,8k,https://github.com/VulcanJS/Vulcan
MichalLytek,type-graphql,7.9k,https://github.com/MichalLytek/type-graphql
weaviate,weaviate,7.8k,https://github.com/weaviate/weaviate
graphql-python,graphene,7.8k,https://github.com/graphql-python/graphene
dotansimha,graphql-yoga,7.8k,https://github.com/dotansimha/graphql-yoga
graphql-kit,graphql-voyager,7.4k,https://github.com/graphql-kit/graphql-voyager
nhost,nhost,7.1k,https://github.com/nhost/nhost
apollographql,react-apollo,6.9k,https://github.com/apollographql/react-apollo
webiny,webiny-js,6.8k,https://github.com/webiny/webiny-js
stashapp,stash,6.5k,https://github.com/stashapp/stash
graphql,express-graphql,6.4k,https://github.com/graphql/express-graphql
ritz078,transform,6.2k,https://github.com/ritz078/transform
vuejs,apollo,6k,https://github.com/vuejs/apollo
graphql-java,graphql-java,5.9k,https://github.com/graphql-java/graphql-java
graphql-editor,graphql-editor,5.9k,https://github.com/graphql-editor/graphql-editor
graphql-dotnet,graphql-dotnet,5.6k,https://github.com/graphql-dotnet/graphql-dotnet
jasonkuhrt,graphql-request,5.5k,https://github.com/jasonkuhrt/graphql-request
prisma,prisma-examples,5.5k,https://github.com/prisma/prisma-examples
este,este,5.4k,https://github.com/este/este
graphql-rust,juniper,5.3k,https://github.com/graphql-rust/juniper
rmosolgo,graphql-ruby,5.3k,https://github.com/rmosolgo/graphql-ruby
ardatan,graphql-tools,5.2k,https://github.com/ardatan/graphql-tools
learnapollo,learnapollo,5.2k,https://github.com/learnapollo/learnapollo
xinliangnote,go-gin-api,5k,https://github.com/xinliangnote/go-gin-api
twentyhq,twenty,4.9k,https://github.com/twentyhq/twenty
altair-graphql,altair,4.9k,https://github.com/altair-graphql/altair
vendure-ecommerce,vendure,4.8k,https://github.com/vendure-ecommerce/vendure
ChilliCream,graphql-platform,4.7k,https://github.com/ChilliCream/graphql-platform
relatedcode,Messenger,4.6k,https://github.com/relatedcode/Messenger
Huachao,vscode-restclient,4.6k,https://github.com/Huachao/vscode-restclient
webonyx,graphql-php,4.5k,https://github.com/webonyx/graphql-php
