Username,Repository,Stars,Repo URL
miniMAC,magic,8.2k,https://github.com/miniMAC/magic
vigetlabs,blendid,5k,https://github.com/vigetlabs/blendid
nieweidong,fetool,4.4k,https://github.com/nieweidong/fetool
assemble,assemble,4.2k,https://github.com/assemble/assemble
yeoman,generator-webapp,3.8k,https://github.com/yeoman/generator-webapp
Tencent,WeFlow,3.2k,https://github.com/Tencent/WeFlow
EmailThis,extension-boilerplate,3.2k,https://github.com/EmailThis/extension-boilerplate
MicrosoftDX,Vorlonjs,2.9k,https://github.com/MicrosoftDX/Vorlonjs
nas5w,100-days-of-code-frontend,2.6k,https://github.com/nas5w/100-days-of-code-frontend
Tencent,tmt-workflow,2.2k,https://github.com/Tencent/tmt-workflow
ykob,sketch-threejs,2.1k,https://github.com/ykob/sketch-threejs
egoist,maid,2k,https://github.com/egoist/maid
summerblue,phphub5,2k,https://github.com/summerblue/phphub5
PatrickJS,NG6-starter,1.9k,https://github.com/PatrickJS/NG6-starter
nicejade,Front-end-tutorial,1.7k,https://github.com/nicejade/Front-end-tutorial
luangjokaj,wordpressify,1.6k,https://github.com/luangjokaj/wordpressify
flatlogic,angular-material-dashboard,1.3k,https://github.com/flatlogic/angular-material-dashboard
FountainJS,generator-fountain-webapp,970,https://github.com/FountainJS/generator-fountain-webapp
nicejade,nice-front-end-tutorial,905,https://github.com/nicejade/nice-front-end-tutorial
logeshpaul,Frontend-Cheat-Sheets,865,https://github.com/logeshpaul/Frontend-Cheat-Sheets
cferdinandi,gulp-boilerplate,846,https://github.com/cferdinandi/gulp-boilerplate
Platform-CUF,use-gulp,842,https://github.com/Platform-CUF/use-gulp
themesberg,neumorphism-ui-bootstrap,816,https://github.com/themesberg/neumorphism-ui-bootstrap
tars,tars,802,https://github.com/tars/tars
minamarkham,sassy-starter,755,https://github.com/minamarkham/sassy-starter
jonschlinkert,gulp-htmlmin,732,https://github.com/jonschlinkert/gulp-htmlmin
ericmdantas,generator-ng-fullstack,703,https://github.com/ericmdantas/generator-ng-fullstack
aermin,vue-chat,702,https://github.com/aermin/vue-chat
xsynaptic,wordpress-gulp-starter-kit,676,https://github.com/xsynaptic/wordpress-gulp-starter-kit
BootstrapDash,PurpleAdmin-Free-Admin-Template,675,https://github.com/BootstrapDash/PurpleAdmin-Free-Admin-Template
jh3y,tyto,669,https://github.com/jh3y/tyto
scniro,gulp-clean-css,650,https://github.com/scniro/gulp-clean-css
brianmaierjr,long-haul,633,https://github.com/brianmaierjr/long-haul
nicothin,NTH-start-project,620,https://github.com/nicothin/NTH-start-project
alferov,awesome-gulp,608,https://github.com/alferov/awesome-gulp
foundation,panini,589,https://github.com/foundation/panini
HosseinKarami,fastshell,553,https://github.com/HosseinKarami/fastshell
andrewalexeich,gulp-scss-starter,538,https://github.com/andrewalexeich/gulp-scss-starter
JacksonGariety,gulp-nodemon,528,https://github.com/JacksonGariety/gulp-nodemon
themesberg,pixel-bootstrap-ui-kit,528,https://github.com/themesberg/pixel-bootstrap-ui-kit
antonybudianto,angular-starter,525,https://github.com/antonybudianto/angular-starter
miickel,gulp-angular-templatecache,524,https://github.com/miickel/gulp-angular-templatecache
gulp-community,gulp-pug,522,https://github.com/gulp-community/gulp-pug
mahnunchik,gulp-responsive,507,https://github.com/mahnunchik/gulp-responsive
xiugangzhang,video.github.io,488,https://github.com/xiugangzhang/video.github.io
taobataoma,meanTorrent,487,https://github.com/taobataoma/meanTorrent
sun-zheng-an,gulp-shell,481,https://github.com/sun-zheng-an/gulp-shell
TryKickoff,kickoff,463,https://github.com/TryKickoff/kickoff
mmistakes,made-mistakes-jekyll,443,https://github.com/mmistakes/made-mistakes-jekyll
SnowdogApps,magento2-frontools,432,https://github.com/SnowdogApps/magento2-frontools
oukingtim,king-admin,414,https://github.com/oukingtim/king-admin
Alecaddd,awps,405,https://github.com/Alecaddd/awps
stephenlacy,gulp-git,400,https://github.com/stephenlacy/gulp-git
pgherveou,gulp-awspublish,397,https://github.com/pgherveou/gulp-awspublish
usulpro,js-stack-from-scratch,395,https://github.com/usulpro/js-stack-from-scratch
suruibuas,eui,392,https://github.com/suruibuas/eui
morris,vinyl-ftp,388,https://github.com/morris/vinyl-ftp
gulpjs,gulp-cli,384,https://github.com/gulpjs/gulp-cli
kogakure,gulp-tutorial,384,https://github.com/kogakure/gulp-tutorial
summerblue,news.laravel-china.org,366,https://github.com/summerblue/news.laravel-china.org
sondr3,generator-jekyllized,326,https://github.com/sondr3/generator-jekyllized
phase2,particle,317,https://github.com/phase2/particle
engageinteractive,core,309,https://github.com/engageinteractive/core
SimonPadbury,b4st,309,https://github.com/SimonPadbury/b4st
andrewalexeich,gulp-pug-starter,300,https://github.com/andrewalexeich/gulp-pug-starter
Selvin11,login,298,https://github.com/Selvin11/login
huangx916,GameplayFramework,297,https://github.com/huangx916/GameplayFramework
