Username,Repository,Stars,Repo URL
freeCodeCamp,freeCodeCamp,376k,https://github.com/freeCodeCamp/freeCodeCamp
EbookFoundation,free-programming-books,300k,https://github.com/EbookFoundation/free-programming-books
TheAlgorithms,Python,171k,https://github.com/TheAlgorithms/Python
ohmyzsh,ohmyzsh,163k,https://github.com/ohmyzsh/ohmyzsh
huggingface,transformers,113k,https://github.com/huggingface/transformers
avelino,awesome-go,110k,https://github.com/avelino/awesome-go
axios,axios,102k,https://github.com/axios/axios
microsoft,terminal,91k,https://github.com/microsoft/terminal
mui,material-ui,89.3k,https://github.com/mui/material-ui
rust-lang,rust,86.2k,https://github.com/rust-lang/rust
iluwatar,java-design-patterns,84.2k,https://github.com/iluwatar/java-design-patterns
godotengine,godot,76.3k,https://github.com/godotengine/godot
tauri-apps,tauri,69.3k,https://github.com/tauri-apps/tauri
florinpop17,app-ideas,67.5k,https://github.com/florinpop17/app-ideas
home-assistant,core,63.4k,https://github.com/home-assistant/core
mermaid-js,mermaid,61.9k,https://github.com/mermaid-js/mermaid
nestjs,nest,60.3k,https://github.com/nestjs/nest
anuraghazra,github-readme-stats,60.1k,https://github.com/anuraghazra/github-readme-stats
leonardomso,33-js-concepts,59.3k,https://github.com/leonardomso/33-js-concepts
ansible,ansible,58.9k,https://github.com/ansible/ansible
grafana,grafana,57.6k,https://github.com/grafana/grafana
strapi,strapi,56.6k,https://github.com/strapi/strapi
excalidraw,excalidraw,56.4k,https://github.com/excalidraw/excalidraw
chrislgarry,Apollo-11,55.6k,https://github.com/chrislgarry/Apollo-11
hoppscotch,hoppscotch,55.5k,https://github.com/hoppscotch/hoppscotch
TheAlgorithms,Java,54.3k,https://github.com/TheAlgorithms/Java
tesseract-ocr,tesseract,54k,https://github.com/tesseract-ocr/tesseract
sdmg15,Best-websites-a-programmer-should-visit,52.5k,https://github.com/sdmg15/Best-websites-a-programmer-should-visit
swisskyrepo,PayloadsAllTheThings,51.5k,https://github.com/swisskyrepo/PayloadsAllTheThings
prometheus,prometheus,50.3k,https://github.com/prometheus/prometheus
caddyserver,caddy,50.1k,https://github.com/caddyserver/caddy
scrapy,scrapy,48.9k,https://github.com/scrapy/scrapy
rustdesk,rustdesk,48.8k,https://github.com/rustdesk/rustdesk
facebook,docusaurus,48.6k,https://github.com/facebook/docusaurus
nuxt,nuxt,47.8k,https://github.com/nuxt/nuxt
git,git,47.6k,https://github.com/git/git
ryanoasis,nerd-fonts,47k,https://github.com/ryanoasis/nerd-fonts
tldr-pages,tldr,46k,https://github.com/tldr-pages/tldr
DefinitelyTyped,DefinitelyTyped,45.5k,https://github.com/DefinitelyTyped/DefinitelyTyped
TryGhost,Ghost,44.2k,https://github.com/TryGhost/Ghost
sherlock-project,sherlock,43.9k,https://github.com/sherlock-project/sherlock
meteor,meteor,43.8k,https://github.com/meteor/meteor
sharkdp,bat,43.4k,https://github.com/sharkdp/bat
JuliaLang,julia,43.4k,https://github.com/JuliaLang/julia
typescript-cheatsheets,react,42.5k,https://github.com/typescript-cheatsheets/react
x64dbg,x64dbg,41.8k,https://github.com/x64dbg/x64dbg
PowerShell,PowerShell,41.1k,https://github.com/PowerShell/PowerShell
louislam,uptime-kuma,39.5k,https://github.com/louislam/uptime-kuma
AppFlowy-IO,AppFlowy,39.5k,https://github.com/AppFlowy-IO/AppFlowy
go-gitea,gitea,38.8k,https://github.com/go-gitea/gitea
Leaflet,Leaflet,38.6k,https://github.com/Leaflet/Leaflet
nocodb,nocodb,38.2k,https://github.com/nocodb/nocodb
fastlane,fastlane,37.6k,https://github.com/fastlane/fastlane
RocketChat,Rocket.Chat,37.3k,https://github.com/RocketChat/Rocket.Chat
serhii-londar,open-source-mac-os-apps,37.2k,https://github.com/serhii-londar/open-source-mac-os-apps
appwrite,appwrite,37.1k,https://github.com/appwrite/appwrite
getsentry,sentry,35.3k,https://github.com/getsentry/sentry
pingcap,tidb,35k,https://github.com/pingcap/tidb
iina,iina,34.7k,https://github.com/iina/iina
sahat,hackathon-starter,34.5k,https://github.com/sahat/hackathon-starter
psf,black,34k,https://github.com/psf/black
dotnet,aspnetcore,32.8k,https://github.com/dotnet/aspnetcore
freeCodeCamp,devdocs,32.5k,https://github.com/freeCodeCamp/devdocs
date-fns,date-fns,32.5k,https://github.com/date-fns/date-fns
typeorm,typeorm,32.3k,https://github.com/typeorm/typeorm
curl,curl,31.9k,https://github.com/curl/curl
rapid7,metasploit-framework,31.4k,https://github.com/rapid7/metasploit-framework
ClickHouse,ClickHouse,31.2k,https://github.com/ClickHouse/ClickHouse
markedjs,marked,30.7k,https://github.com/markedjs/marked
WerWolv,ImHex,30.3k,https://github.com/WerWolv/ImHex
harness,gitness,30.1k,https://github.com/harness/gitness
novuhq,novu,29.8k,https://github.com/novuhq/novu
appsmithorg,appsmith,29.4k,https://github.com/appsmithorg/appsmith
TheAlgorithms,JavaScript,29.2k,https://github.com/TheAlgorithms/JavaScript
sharkdp,fd,29.1k,https://github.com/sharkdp/fd
geekan,MetaGPT,28.8k,https://github.com/geekan/MetaGPT
