Username,Repository,Stars,Repo URL
koalaman,shellcheck,33.3k,https://github.com/koalaman/shellcheck
hasura,graphql-engine,30.2k,https://github.com/hasura/graphql-engine
jgm,pandoc,30.1k,https://github.com/jgm/pandoc
PostgREST,postgrest,21.2k,https://github.com/PostgREST/postgrest
compiler-explorer,compiler-explorer,14k,https://github.com/compiler-explorer/compiler-explorer
hmemcpy,milewski-ctfp-pdf,10.4k,https://github.com/hmemcpy/milewski-ctfp-pdf
lk-geimfari,awesomo,9.1k,https://github.com/lk-geimfari/awesomo
hadolint,hadolint,9k,https://github.com/hadolint/hadolint
purescript,purescript,8.3k,https://github.com/purescript/purescript
wasp-lang,wasp,6.3k,https://github.com/wasp-lang/wasp
liuxinyu95,AlgoXY,5.9k,https://github.com/liuxinyu95/AlgoXY
unisonweb,unison,5.3k,https://github.com/unisonweb/unison
simplex-chat,simplex-chat,4.3k,https://github.com/simplex-chat/simplex-chat
digitallyinduced,ihp,4.1k,https://github.com/digitallyinduced/ihp
input-output-hk,cardano-sl,3.8k,https://github.com/input-output-hk/cardano-sl
xmonad,xmonad,3.1k,https://github.com/xmonad/xmonad
koka-lang,koka,2.8k,https://github.com/koka-lang/koka
extism,extism,2.7k,https://github.com/extism/extism
BayesWitnesses,m2cgen,2.6k,https://github.com/BayesWitnesses/m2cgen
typelead,eta,2.6k,https://github.com/typelead/eta
wireapp,wire-server,2.6k,https://github.com/wireapp/wire-server
simonmichael,hledger,2.5k,https://github.com/simonmichael/hledger
sdiehl,wiwinwlh,2.5k,https://github.com/sdiehl/wiwinwlh
IHaskell,IHaskell,2.5k,https://github.com/IHaskell/IHaskell
haskell,haskell-language-server,2.4k,https://github.com/haskell/haskell-language-server
haskell,haskell-ide-engine,2.4k,https://github.com/haskell/haskell-ide-engine
dmjio,miso,2.1k,https://github.com/dmjio/miso
jaspervdj,patat,2k,https://github.com/jaspervdj/patat
tweag,asterius,2k,https://github.com/tweag/asterius
tidalcycles,Tidal,2k,https://github.com/tidalcycles/Tidal
kaxap,arl,1.8k,https://github.com/kaxap/arl
nayuki,Project-Euler-solutions,1.8k,https://github.com/nayuki/Project-Euler-solutions
haskell-servant,servant,1.7k,https://github.com/haskell-servant/servant
smallhadroncollider,taskell,1.6k,https://github.com/smallhadroncollider/taskell
netgusto,nodebook,1.6k,https://github.com/netgusto/nodebook
LuxLang,lux,1.6k,https://github.com/LuxLang/lux
fosskers,aura,1.6k,https://github.com/fosskers/aura
huangz1990,real-world-haskell-cn,1.5k,https://github.com/huangz1990/real-world-haskell-cn
haskell,cabal,1.5k,https://github.com/haskell/cabal
jtdaugherty,brick,1.5k,https://github.com/jtdaugherty/brick
valderman,haste-compiler,1.4k,https://github.com/valderman/haste-compiler
HuwCampbell,grenade,1.4k,https://github.com/HuwCampbell/grenade
rikvdkleij,intellij-haskell,1.3k,https://github.com/rikvdkleij/intellij-haskell
clash-lang,clash-compiler,1.3k,https://github.com/clash-lang/clash-compiler
haskell,haskell-mode,1.3k,https://github.com/haskell/haskell-mode
fabrizioschiavi,pragmatapro,1.3k,https://github.com/fabrizioschiavi/pragmatapro
lettier,gifcurry,1.3k,https://github.com/lettier/gifcurry
Haskell-Things,ImplicitCAD,1.2k,https://github.com/Haskell-Things/ImplicitCAD
google,codeworld,1.2k,https://github.com/google/codeworld
quchen,articles,1.2k,https://github.com/quchen/articles
haskell-beginners-2022,course-plan,1.1k,https://github.com/haskell-beginners-2022/course-plan
ucsd-progsys,liquidhaskell,1.1k,https://github.com/ucsd-progsys/liquidhaskell
hzlmn,haskell-must-watch,1.1k,https://github.com/hzlmn/haskell-must-watch
reanimate,reanimate,1.1k,https://github.com/reanimate/reanimate
evincarofautumn,kitten,1k,https://github.com/evincarofautumn/kitten
GaloisInc,HaLVM,1k,https://github.com/GaloisInc/HaLVM
reflex-frp,reflex,1k,https://github.com/reflex-frp/reflex
chrisdone,intero,1k,https://github.com/chrisdone/intero
sdiehl,kaleidoscope,1k,https://github.com/sdiehl/kaleidoscope
grin-compiler,grin,1k,https://github.com/grin-compiler/grin
matterhorn-chat,matterhorn,975,https://github.com/matterhorn-chat/matterhorn
thma,LtuPatternFactory,960,https://github.com/thma/LtuPatternFactory
haskell,stylish-haskell,946,https://github.com/haskell/stylish-haskell
kowainik,learn4haskell,928,https://github.com/kowainik/learn4haskell
Gabriella439,turtle,921,https://github.com/Gabriella439/turtle
phuhl,linux_notification_center,918,https://github.com/phuhl/linux_notification_center
obsidiansystems,obelisk,881,https://github.com/obsidiansystems/obelisk
dhall-lang,dhall-haskell,879,https://github.com/dhall-lang/dhall-haskell
pcapriotti,optparse-applicative,877,https://github.com/pcapriotti/optparse-applicative
mrkkrp,megaparsec,873,https://github.com/mrkkrp/megaparsec
AccelerateHS,accelerate,872,https://github.com/AccelerateHS/accelerate
tweag,ormolu,871,https://github.com/tweag/ormolu
erkmos,haskell-companies,868,https://github.com/erkmos/haskell-companies
superfluid-finance,protocol-monorepo,861,https://github.com/superfluid-finance/protocol-monorepo
joshuaclayton,unused,861,https://github.com/joshuaclayton/unused
agentm,project-m36,859,https://github.com/agentm/project-m36
lierdakil,pandoc-crossref,842,https://github.com/lierdakil/pandoc-crossref
composewell,streamly,825,https://github.com/composewell/streamly
cdleon,awesome-terminals,810,https://github.com/cdleon/awesome-terminals
soupi,haskell-study-plan,804,https://github.com/soupi/haskell-study-plan
samtay,tetris,788,https://github.com/samtay/tetris
2mol,pboy,728,https://github.com/2mol/pboy
hspec,hspec,724,https://github.com/hspec/hspec
rgleichman,glance,701,https://github.com/rgleichman/glance
jonschoning,espial,698,https://github.com/jonschoning/espial
reflex-frp,reflex-platform,698,https://github.com/reflex-frp/reflex-platform
haskell-distributed,distributed-process,694,https://github.com/haskell-distributed/distributed-process
kowainik,summoner,687,https://github.com/kowainik/summoner
snowleopard,alga,679,https://github.com/snowleopard/alga
wx-chevalier,CS-Notes,678,https://github.com/wx-chevalier/CS-Notes
kowainik,relude,670,https://github.com/kowainik/relude
agrafix,Spock,670,https://github.com/agrafix/Spock
taffybar,taffybar,663,https://github.com/taffybar/taffybar
caiorss,C-Cpp-Notes,663,https://github.com/caiorss/C-Cpp-Notes
srid,emanote,660,https://github.com/srid/emanote
hedgehogqa,haskell-hedgehog,657,https://github.com/hedgehogqa/haskell-hedgehog
cachix,cachix,655,https://github.com/cachix/cachix
hstreamdb,hstream,648,https://github.com/hstreamdb/hstream
transient-haskell,transient,627,https://github.com/transient-haskell/transient
UnkindPartition,tasty,624,https://github.com/UnkindPartition/tasty
