Username,Repository,Stars,Repo URL
homebridge,homebridge,22.5k,https://github.com/homebridge/homebridge
homebridge,docker-homebridge,2.5k,https://github.com/homebridge/docker-homebridge
homebridge,homebridge-config-ui-x,2.4k,https://github.com/homebridge/homebridge-config-ui-x
hjdhjd,homebridge-unifi-protect,1.2k,https://github.com/hjdhjd/homebridge-unifi-protect
YinHangCode,homebridge-mi-aqara,1.1k,https://github.com/YinHangCode/homebridge-mi-aqara
dgreif,ring,1k,https://github.com/dgreif/ring
Sunoo,homebridge-camera-ffmpeg,1k,https://github.com/Sunoo/homebridge-camera-ffmpeg
homebridge,homebridge-raspbian-image,989,https://github.com/homebridge/homebridge-raspbian-image
merdok,homebridge-webos-tv,612,https://github.com/merdok/homebridge-webos-tv
tavicu,homebridge-samsung-tizen,603,https://github.com/tavicu/homebridge-samsung-tizen
sieren,Homepoint,589,https://github.com/sieren/Homepoint
homebridge,homebridge-syno-spk,570,https://github.com/homebridge/homebridge-syno-spk
lprhodes,homebridge-broadlink-rm,567,https://github.com/lprhodes/homebridge-broadlink-rm
seydx,homebridge-camera-ui,552,https://github.com/seydx/homebridge-camera-ui
hoobs-org,HOOBS,541,https://github.com/hoobs-org/HOOBS
hjdhjd,homebridge-myq,472,https://github.com/hjdhjd/homebridge-myq
taligentx,dscKeybusInterface,448,https://github.com/taligentx/dscKeybusInterface
seydx,camera.ui,447,https://github.com/seydx/camera.ui
plasticrake,homebridge-tplink-smarthome,436,https://github.com/plasticrake/homebridge-tplink-smarthome
oznu,homebridge-gsh,378,https://github.com/oznu/homebridge-gsh
tonesto7,homebridge-smartthings,377,https://github.com/tonesto7/homebridge-smartthings
bwp91,homebridge-ewelink,360,https://github.com/bwp91/homebridge-ewelink
homebridge-xiaomi-roborock-vacuum,homebridge-xiaomi-roborock-vacuum,346,https://github.com/homebridge-xiaomi-roborock-vacuum/homebridge-xiaomi-roborock-vacuum
homebridge,verified,345,https://github.com/homebridge/verified
seydx,homebridge-bravia-tvos,323,https://github.com/seydx/homebridge-bravia-tvos
tuya,tuya-homebridge,309,https://github.com/tuya/tuya-homebridge
merdok,homebridge-miot,304,https://github.com/merdok/homebridge-miot
ParadoxAlarmInterface,pai,301,https://github.com/ParadoxAlarmInterface/pai
bwp91,homebridge-govee,293,https://github.com/bwp91/homebridge-govee
naofireblade,homebridge-weather-plus,292,https://github.com/naofireblade/homebridge-weather-plus
alexryd,homebridge-shelly,267,https://github.com/alexryd/homebridge-shelly
