Username,Repository,Stars,Repo URL
ryanoasis,nerd-fonts,47k,https://github.com/ryanoasis/nerd-fonts
neutraltone,awesome-stock-resources,11.9k,https://github.com/neutraltone/awesome-stock-resources
akveo,eva-icons,8.5k,https://github.com/akveo/eva-icons
Remix-Design,RemixIcon,5.8k,https://github.com/Remix-Design/RemixIcon
ecomfe,fontmin,5.3k,https://github.com/ecomfe/fontmin
mikepenz,Android-Iconics,5.1k,https://github.com/mikepenz/Android-Iconics
phosphor-icons,homepage,3k,https://github.com/phosphor-icons/homepage
refscn,rplibs,2.9k,https://github.com/refscn/rplibs
atisawd,boxicons,2.5k,https://github.com/atisawd/boxicons
keremciu,sketch-iconfont,2k,https://github.com/keremciu/sketch-iconfont
coreui,coreui-icons,2k,https://github.com/coreui/coreui-icons
home-assistant,Iconic,1.6k,https://github.com/home-assistant/Iconic
ForkAwesome,Fork-Awesome,1.3k,https://github.com/ForkAwesome/Fork-Awesome
brabadu,awesome-fonts,1.3k,https://github.com/brabadu/awesome-fonts
dongjunkun,GanK,1.2k,https://github.com/dongjunkun/GanK
vkarampinis,awesome-icons,1.1k,https://github.com/vkarampinis/awesome-icons
leungwensen,svg-icon,1k,https://github.com/leungwensen/svg-icon
pfefferle,openwebicons,848,https://github.com/pfefferle/openwebicons
phosphor-icons,react,807,https://github.com/phosphor-icons/react
jpswalsh,academicons,745,https://github.com/jpswalsh/academicons
thomaspark,glyphsearch,482,https://github.com/thomaspark/glyphsearch
kenangundogan,fontisto,479,https://github.com/kenangundogan/fontisto
jaywcjlove,svgtofont,440,https://github.com/jaywcjlove/svgtofont
Richard9394,MingCute,434,https://github.com/Richard9394/MingCute
andrewgioia,keyrune,399,https://github.com/andrewgioia/keyrune
lukas-w,font-logos,392,https://github.com/lukas-w/font-logos
victor-valencia,bootstrap-iconpicker,365,https://github.com/victor-valencia/bootstrap-iconpicker
lvwzhen,iconpark,360,https://github.com/lvwzhen/iconpark
phosphor-icons,web,317,https://github.com/phosphor-icons/web
PrestaShop,prestashop-icon-font,314,https://github.com/PrestaShop/prestashop-icon-font
ccforward,rubik,282,https://github.com/ccforward/rubik
pluwen,awesome-iconjar,239,https://github.com/pluwen/awesome-iconjar
Pythonity,icon-font-to-png,205,https://github.com/Pythonity/icon-font-to-png
XiangWuShuo,EFIconFont,203,https://github.com/XiangWuShuo/EFIconFont
framework7io,framework7-icons,194,https://github.com/framework7io/framework7-icons
JohnWong,IconFont,189,https://github.com/JohnWong/IconFont
jeerbl,webfonts-loader,188,https://github.com/jeerbl/webfonts-loader
simplelineicons,simplelineicons.github.io,172,https://github.com/simplelineicons/simplelineicons.github.io
phosphor-icons,vue,152,https://github.com/phosphor-icons/vue
akabekobeko,redmine-theme-minimalflat2,148,https://github.com/akabekobeko/redmine-theme-minimalflat2
uiwjs,icons,131,https://github.com/uiwjs/icons
tagliala,vectoriconsroundup,125,https://github.com/tagliala/vectoriconsroundup
file-icons,DevOpicons,124,https://github.com/file-icons/DevOpicons
Shinmera,promptfont,115,https://github.com/Shinmera/promptfont
