Username,Repository,Stars,Repo URL
CyC2018,CS-Notes,167k,https://github.com/CyC2018/CS-Notes
Snailclimb,JavaGuide,138k,https://github.com/Snailclimb/JavaGuide
iluwatar,java-design-patterns,84k,https://github.com/iluwatar/java-design-patterns
doocs,advanced-java,71.7k,https://github.com/doocs/advanced-java
macrozheng,mall,70.5k,https://github.com/macrozheng/mall
spring-projects,spring-boot,69.6k,https://github.com/spring-projects/spring-boot
elastic,elasticsearch,65.3k,https://github.com/elastic/elasticsearch
kdn251,interviews,60.5k,https://github.com/kdn251/interviews
TheAlgorithms,Java,54.1k,https://github.com/TheAlgorithms/Java
azl397985856,leetcode,52.6k,https://github.com/azl397985856/leetcode
google,guava,48.4k,https://github.com/google/guava
ReactiveX,RxJava,47.3k,https://github.com/ReactiveX/RxJava
square,okhttp,44.6k,https://github.com/square/okhttp
youngyangyang04,leetcode-master,42.5k,https://github.com/youngyangyang04/leetcode-master
square,retrofit,42k,https://github.com/square/retrofit
apache,dubbo,39.4k,https://github.com/apache/dubbo
apache,spark,36.9k,https://github.com/apache/spark
PhilJay,MPAndroidChart,36.8k,https://github.com/PhilJay/MPAndroidChart
skylot,jadx,36.5k,https://github.com/skylot/jadx
jeecgboot,jeecg-boot,36k,https://github.com/jeecgboot/jeecg-boot
AobingJava,JavaFamily,34.5k,https://github.com/AobingJava/JavaFamily
dbeaver,dbeaver,34k,https://github.com/dbeaver/dbeaver
alibaba,arthas,33.4k,https://github.com/alibaba/arthas
zxing,zxing,31.6k,https://github.com/zxing/zxing
xkcoding,spring-boot-demo,30.6k,https://github.com/xkcoding/spring-boot-demo
ityouknow,spring-boot-examples,29.4k,https://github.com/ityouknow/spring-boot-examples
appsmithorg,appsmith,29.3k,https://github.com/appsmithorg/appsmith
alibaba,easyexcel,29.1k,https://github.com/alibaba/easyexcel
square,leakcanary,28.7k,https://github.com/square/leakcanary
Wechat-Group,WxJava,28.2k,https://github.com/Wechat-Group/WxJava
ray-project,ray,28.1k,https://github.com/ray-project/ray
SeleniumHQ,selenium,28k,https://github.com/SeleniumHQ/selenium
dromara,hutool,27.2k,https://github.com/dromara/hutool
crossoverJie,JCSprout,27k,https://github.com/crossoverJie/JCSprout
alibaba,spring-cloud-alibaba,26.5k,https://github.com/alibaba/spring-cloud-alibaba
alibaba,fastjson,25.5k,https://github.com/alibaba/fastjson
xuxueli,xxl-job,25.3k,https://github.com/xuxueli/xxl-job
hollischuang,toBeTopJavaer,24.9k,https://github.com/hollischuang/toBeTopJavaer
GitHubDaily,GitHubDaily,24.2k,https://github.com/GitHubDaily/GitHubDaily
doocs,leetcode,23.4k,https://github.com/doocs/leetcode
NativeScript,NativeScript,23k,https://github.com/NativeScript/NativeScript
libgdx,libgdx,22k,https://github.com/libgdx/libgdx
apache,flink,22k,https://github.com/apache/flink
redisson,redisson,21.9k,https://github.com/redisson/redisson
jenkinsci,jenkins,21.5k,https://github.com/jenkinsci/jenkins
alibaba,Sentinel,21.4k,https://github.com/alibaba/Sentinel
google,flatbuffers,21.2k,https://github.com/google/flatbuffers
judasn,IntelliJ-IDEA-Tutorial,21.2k,https://github.com/judasn/IntelliJ-IDEA-Tutorial
google,ExoPlayer,21.1k,https://github.com/google/ExoPlayer
jhipster,generator-jhipster,20.9k,https://github.com/jhipster/generator-jhipster
apache,rocketmq,19.9k,https://github.com/apache/rocketmq
Anuken,Mindustry,19.2k,https://github.com/Anuken/Mindustry
oracle,graal,19.1k,https://github.com/oracle/graal
mybatis,mybatis-3,19k,https://github.com/mybatis/mybatis-3
brettwooldridge,HikariCP,18.7k,https://github.com/brettwooldridge/HikariCP
dianping,cat,18.1k,https://github.com/dianping/cat
microsoft,CNTK,17.4k,https://github.com/microsoft/CNTK
openjdk,jdk,17k,https://github.com/openjdk/jdk
winterbe,java8-tutorial,16.5k,https://github.com/winterbe/java8-tutorial
LMAX-Exchange,disruptor,16.4k,https://github.com/LMAX-Exchange/disruptor
imarvinle,awesome-cs-books,16.3k,https://github.com/imarvinle/awesome-cs-books
forthespada,CS-Books,16.1k,https://github.com/forthespada/CS-Books
medcl,elasticsearch-analysis-ik,15.5k,https://github.com/medcl/elasticsearch-analysis-ik
android10,Android-CleanArchitecture,15.4k,https://github.com/android10/Android-CleanArchitecture
antlr,antlr4,15.3k,https://github.com/antlr/antlr4
gradle,gradle,15.3k,https://github.com/gradle/gradle
prestodb,presto,15.1k,https://github.com/prestodb/presto
thingsboard,thingsboard,14.4k,https://github.com/thingsboard/thingsboard
Grasscutters,Grasscutter,14.4k,https://github.com/Grasscutters/Grasscutter
facebook,infer,14.4k,https://github.com/facebook/infer
lionsoul2014,ip2region,14.2k,https://github.com/lionsoul2014/ip2region
mockito,mockito,14.2k,https://github.com/mockito/mockito
dromara,Sa-Token,14k,https://github.com/dromara/Sa-Token
Konloch,bytecode-viewer,14k,https://github.com/Konloch/bytecode-viewer
eclipse-vertx,vert.x,13.8k,https://github.com/eclipse-vertx/vert.x
CoatiSoftware,Sourcetrail,13.7k,https://github.com/CoatiSoftware/Sourcetrail
orhanobut,logger,13.7k,https://github.com/orhanobut/logger
elastic,logstash,13.7k,https://github.com/elastic/logstash
kunal-kushwaha,DSA-Bootcamp-Java,13.6k,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java
open-android,Android,13.6k,https://github.com/open-android/Android
aalansehaiyang,technology-talk,13.5k,https://github.com/aalansehaiyang/technology-talk
mamoe,mirai,13.3k,https://github.com/mamoe/mirai
google,tink,13.3k,https://github.com/google/tink
deeplearning4j,deeplearning4j,13.2k,https://github.com/deeplearning4j/deeplearning4j
GoogleContainerTools,jib,13k,https://github.com/GoogleContainerTools/jib
francistao,LearningNotes,12.9k,https://github.com/francistao/LearningNotes
questdb,questdb,12.8k,https://github.com/questdb/questdb
yuliskov,SmartTubeNext,12.8k,https://github.com/yuliskov/SmartTubeNext
arthurspk,guiadevbrasil,12.6k,https://github.com/arthurspk/guiadevbrasil
playframework,playframework,12.4k,https://github.com/playframework/playframework
quarkusio,quarkus,12.4k,https://github.com/quarkusio/quarkus
Tamsiree,RxTool,12.1k,https://github.com/Tamsiree/RxTool
airbytehq,airbyte,11.9k,https://github.com/airbytehq/airbyte
codecentric,spring-boot-admin,11.9k,https://github.com/codecentric/spring-boot-admin
gyoogle,tech-interview-for-developer,11.9k,https://github.com/gyoogle/tech-interview-for-developer
mikepenz,MaterialDrawer,11.6k,https://github.com/mikepenz/MaterialDrawer
Yalantis,uCrop,11.6k,https://github.com/Yalantis/uCrop
apache,zookeeper,11.6k,https://github.com/apache/zookeeper
realm,realm-java,11.4k,https://github.com/realm/realm-java
