Username,Repository,Stars,Repo URL
jekyll,jekyll,47.4k,https://github.com/jekyll/jekyll
tabler,tabler,35.7k,https://github.com/tabler/tabler
mmistakes,minimal-mistakes,11.4k,https://github.com/mmistakes/minimal-mistakes
primer,octicons,7.9k,https://github.com/primer/octicons
alshedivat,al-folio,7.1k,https://github.com/alshedivat/al-folio
just-the-docs,just-the-docs,6.4k,https://github.com/just-the-docs/just-the-docs
mqtt,mqtt.org,5k,https://github.com/mqtt/mqtt.org
cotes2020,jekyll-theme-chirpy,5k,https://github.com/cotes2020/jekyll-theme-chirpy
daattali,beautiful-jekyll,4.9k,https://github.com/daattali/beautiful-jekyll
home-assistant,home-assistant.io,4k,https://github.com/home-assistant/home-assistant.io
poole,hyde,3.5k,https://github.com/poole/hyde
fastai,fastpages,3.5k,https://github.com/fastai/fastpages
github,choosealicense.com,3.4k,https://github.com/github/choosealicense.com
poole,lanyon,3.2k,https://github.com/poole/lanyon
jekyll,minima,3.1k,https://github.com/jekyll/minima
kitian616,jekyll-TeXt-theme,2.9k,https://github.com/kitian616/jekyll-TeXt-theme
poole,poole,2.8k,https://github.com/poole/poole
jekyll,jekyll-admin,2.8k,https://github.com/jekyll/jekyll-admin
sharu725,online-cv,2.8k,https://github.com/sharu725/online-cv
sergiokopplin,indigo,2.5k,https://github.com/sergiokopplin/indigo
eduardoboucas,staticman,2.3k,https://github.com/eduardoboucas/staticman
TaylanTatli,Moon,2.2k,https://github.com/TaylanTatli/Moon
dtinth,comic-mono-font,2.2k,https://github.com/dtinth/comic-mono-font
mmistakes,so-simple-theme,1.9k,https://github.com/mmistakes/so-simple-theme
Gaohaoyang,gaohaoyang.github.io,1.8k,https://github.com/Gaohaoyang/gaohaoyang.github.io
sproogen,modern-resume-theme,1.8k,https://github.com/sproogen/modern-resume-theme
github,pages-gem,1.8k,https://github.com/github/pages-gem
jglovier,resume-template,1.7k,https://github.com/jglovier/resume-template
jglovier,gifs,1.6k,https://github.com/jglovier/gifs
jekyll,jekyll-seo-tag,1.6k,https://github.com/jekyll/jekyll-seo-tag
mzlogin,mzlogin.github.io,1.5k,https://github.com/mzlogin/mzlogin.github.io
remote-jp,remote-in-japan,1.4k,https://github.com/remote-jp/remote-in-japan
jeromelachaud,freelancer-theme,1.4k,https://github.com/jeromelachaud/freelancer-theme
pages-themes,minimal,1.3k,https://github.com/pages-themes/minimal
christian-fei,Simple-Jekyll-Search,1.3k,https://github.com/christian-fei/Simple-Jekyll-Search
hydecorp,hydejack,1.2k,https://github.com/hydecorp/hydejack
Homebrew,formulae.brew.sh,1.2k,https://github.com/Homebrew/formulae.brew.sh
elipapa,markdown-cv,1.2k,https://github.com/elipapa/markdown-cv
nielsenramon,chalk,1.2k,https://github.com/nielsenramon/chalk
wowthemesnet,mediumish-theme-jekyll,1.2k,https://github.com/wowthemesnet/mediumish-theme-jekyll
envygeeks,jekyll-assets,1.1k,https://github.com/envygeeks/jekyll-assets
inukshuk,jekyll-scholar,1.1k,https://github.com/inukshuk/jekyll-scholar
pages-themes,cayman,1.1k,https://github.com/pages-themes/cayman
benbalter,wordpress-to-jekyll-exporter,1k,https://github.com/benbalter/wordpress-to-jekyll-exporter
artsy,artsy.github.io,1k,https://github.com/artsy/artsy.github.io
nrandecker,particle,988,https://github.com/nrandecker/particle
jarrekk,Jalpc,985,https://github.com/jarrekk/Jalpc
mmistakes,jekyll-theme-hpstr,982,https://github.com/mmistakes/jekyll-theme-hpstr
sparanoid,7z,980,https://github.com/sparanoid/7z
andrewbanchich,forty-jekyll-theme,979,https://github.com/andrewbanchich/forty-jekyll-theme
envygeeks,jekyll-docker,977,https://github.com/envygeeks/jekyll-docker
chesterhow,tale,933,https://github.com/chesterhow/tale
mattn,memo,925,https://github.com/mattn/memo
renyuanz,leonids,866,https://github.com/renyuanz/leonids
YoussefRaafatNasry,portfolYOU,863,https://github.com/YoussefRaafatNasry/portfolYOU
ruby,www.ruby-lang.org,856,https://github.com/ruby/www.ruby-lang.org
riggraz,no-style-please,845,https://github.com/riggraz/no-style-please
benbalter,jekyll-auth,843,https://github.com/benbalter/jekyll-auth
Phlow,feeling-responsive,830,https://github.com/Phlow/feeling-responsive
mblode,burger,825,https://github.com/mblode/burger
pages-themes,hacker,819,https://github.com/pages-themes/hacker
mmistakes,jekyll-theme-basically-basic,803,https://github.com/mmistakes/jekyll-theme-basically-basic
mmistakes,jekyll-theme-skinny-bones,797,https://github.com/mmistakes/jekyll-theme-skinny-bones
Simpleyyt,jekyll-theme-next,788,https://github.com/Simpleyyt/jekyll-theme-next
shahednasser,awesome-resources,786,https://github.com/shahednasser/awesome-resources
rampatra,photography,772,https://github.com/rampatra/photography
jeffreytse,jekyll-theme-yat,769,https://github.com/jeffreytse/jekyll-theme-yat
huangyz0918,moving,768,https://github.com/huangyz0918/moving
thiagorossener,jekflix-template,766,https://github.com/thiagorossener/jekflix-template
sylhare,Type-on-Strap,758,https://github.com/sylhare/Type-on-Strap
piharpi,jekyll-klise,754,https://github.com/piharpi/jekyll-klise
jekyll,jekyll-redirect-from,752,https://github.com/jekyll/jekyll-redirect-from
maximevaillancourt,digital-garden-jekyll-template,748,https://github.com/maximevaillancourt/digital-garden-jekyll-template
amitmerchant1990,reverie,746,https://github.com/amitmerchant1990/reverie
circleci,circleci-docs,738,https://github.com/circleci/circleci-docs
jekyllt,jasper2,737,https://github.com/jekyllt/jasper2
daviddarnes,alembic,706,https://github.com/daviddarnes/alembic
artemsheludko,flexible-jekyll,702,https://github.com/artemsheludko/flexible-jekyll
rohanchandra,type-theme,699,https://github.com/rohanchandra/type-theme
bchiang7,bchiang7.github.io,697,https://github.com/bchiang7/bchiang7.github.io
wowthemesnet,mundana-theme-jekyll,665,https://github.com/wowthemesnet/mundana-theme-jekyll
hteumeuleu,caniemail,658,https://github.com/hteumeuleu/caniemail
microsoft,opensource.microsoft.com,657,https://github.com/microsoft/opensource.microsoft.com
georgemandis,jekyll-rss-feeds,640,https://github.com/georgemandis/jekyll-rss-feeds
hack-different,apple-knowledge,640,https://github.com/hack-different/apple-knowledge
brianmaierjr,long-haul,633,https://github.com/brianmaierjr/long-haul
yous,whiteglass,632,https://github.com/yous/whiteglass
zerostaticthemes,jekyll-serif-theme,629,https://github.com/zerostaticthemes/jekyll-serif-theme
LeNPaul,Lagrange,625,https://github.com/LeNPaul/Lagrange
joshgerdes,jekyll-uno,616,https://github.com/joshgerdes/jekyll-uno
sandoche,Mobile-app-landingpage-template,603,https://github.com/sandoche/Mobile-app-landingpage-template
Code52,pretzel,599,https://github.com/Code52/pretzel
rbuchberger,jekyll_picture_tag,593,https://github.com/rbuchberger/jekyll_picture_tag
b2a3e8,jekyll-theme-console,585,https://github.com/b2a3e8/jekyll-theme-console
jekyllt,jasper,575,https://github.com/jekyllt/jasper
ankitsultana,researcher,567,https://github.com/ankitsultana/researcher
fongandrew,hydeout,565,https://github.com/fongandrew/hydeout
dbtek,dbyll,556,https://github.com/dbtek/dbyll
jeffreytse,jekyll-spaceship,556,https://github.com/jeffreytse/jekyll-spaceship
heiswayi,thinkspace,554,https://github.com/heiswayi/thinkspace
