Username,Repository,Stars,Repo URL
jakevdp,PythonDataScienceHandbook,39.8k,https://github.com/jakevdp/PythonDataScienceHandbook
CamDavidsonPilon,Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,25.9k,https://github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers
ageron,handson-ml,25k,https://github.com/ageron/handson-ml
trekhleb,homemade-machine-learning,21.9k,https://github.com/trekhleb/homemade-machine-learning
MLEveryday,100-Days-Of-ML-Code,20.3k,https://github.com/MLEveryday/100-Days-Of-ML-Code
recommenders-team,recommenders,16.5k,https://github.com/recommenders-team/recommenders
plotly,plotly.py,14.3k,https://github.com/plotly/plotly.py
emilwallner,Screenshot-to-code,14.1k,https://github.com/emilwallner/Screenshot-to-code
chenyuntc,pytorch-book,11.3k,https://github.com/chenyuntc/pytorch-book
ydataai,ydata-profiling,11.3k,https://github.com/ydataai/ydata-profiling
jupyter,notebook,10.6k,https://github.com/jupyter/notebook
marceloprates,prettymaps,10.4k,https://github.com/marceloprates/prettymaps
dunovank,jupyter-themes,9.6k,https://github.com/dunovank/jupyter-themes
AkashSingh3031,The-Complete-FAANG-Preparation,9.5k,https://github.com/AkashSingh3031/The-Complete-FAANG-Preparation
microsoft,computervision-recipes,9.1k,https://github.com/microsoft/computervision-recipes
aws,amazon-sagemaker-examples,8.9k,https://github.com/aws/amazon-sagemaker-examples
jupyter,docker-stacks,7.5k,https://github.com/jupyter/docker-stacks
jupyterhub,jupyterhub,7.4k,https://github.com/jupyterhub/jupyterhub
firmai,industry-machine-learning,6.9k,https://github.com/firmai/industry-machine-learning
Atcold,NYU-DLSP20,6.6k,https://github.com/Atcold/NYU-DLSP20
codebasics,py,6.4k,https://github.com/codebasics/py
mwouts,jupytext,6.2k,https://github.com/mwouts/jupytext
nteract,nteract,6.1k,https://github.com/nteract/nteract
jerry-git,learn-python3,6k,https://github.com/jerry-git/learn-python3
voila-dashboards,voila,5k,https://github.com/voila-dashboards/voila
tensorflow,lucid,4.6k,https://github.com/tensorflow/lucid
BrambleXu,pydata-notebook,4.5k,https://github.com/BrambleXu/pydata-notebook
man-group,dtale,4.3k,https://github.com/man-group/dtale
