Username,Repository,Stars,Repo URL
kubernetes,kubernetes,102k,https://github.com/kubernetes/kubernetes
netdata,netdata,65.5k,https://github.com/netdata/netdata
bregman-arie,devops-exercises,58.6k,https://github.com/bregman-arie/devops-exercises
traefik,traefik,45k,https://github.com/traefik/traefik
etcd-io,etcd,44.7k,https://github.com/etcd-io/etcd
minio,minio,41.2k,https://github.com/minio/minio
Kong,kong,36k,https://github.com/Kong/kong
LeCoupa,awesome-cheatsheets,34.8k,https://github.com/LeCoupa/awesome-cheatsheets
istio,istio,33.8k,https://github.com/istio/istio
alibaba,nacos,27.7k,https://github.com/alibaba/nacos
kubernetes,minikube,27.4k,https://github.com/kubernetes/minikube
hashicorp,consul,27.2k,https://github.com/hashicorp/consul
portainer,portainer,26.8k,https://github.com/portainer/portainer
helm,helm,25.1k,https://github.com/helm/helm
dokku,dokku,25.1k,https://github.com/dokku/dokku
GitHubDaily,GitHubDaily,24.7k,https://github.com/GitHubDaily/GitHubDaily
k3s-io,k3s,24.7k,https://github.com/k3s-io/k3s
ToolJet,ToolJet,24.5k,https://github.com/ToolJet/ToolJet
MichaelCade,90DaysOfDevOps,24k,https://github.com/MichaelCade/90DaysOfDevOps
openfaas,faas,23.6k,https://github.com/openfaas/faas
yeasy,docker_practice,23k,https://github.com/yeasy/docker_practice
derailed,k9s,22.5k,https://github.com/derailed/k9s
dapr,dapr,22.4k,https://github.com/dapr/dapr
lensapp,lens,21.6k,https://github.com/lensapp/lens
rancher,rancher,21.6k,https://github.com/rancher/rancher
goharbor,harbor,21k,https://github.com/goharbor/harbor
jhipster,generator-jhipster,20.9k,https://github.com/jhipster/generator-jhipster
eip-work,kuboard-press,19.5k,https://github.com/eip-work/kuboard-press
containers,podman,19.4k,https://github.com/containers/podman
jina-ai,jina,19.2k,https://github.com/jina-ai/jina
aquasecurity,trivy,19k,https://github.com/aquasecurity/trivy
seaweedfs,seaweedfs,18.4k,https://github.com/seaweedfs/seaweedfs
pulumi,pulumi,17.8k,https://github.com/pulumi/pulumi
authelia,authelia,17.6k,https://github.com/authelia/authelia
vitessio,vitess,16.9k,https://github.com/vitessio/vitess
cilium,cilium,16.7k,https://github.com/cilium/cilium
recommenders-team,recommenders,16.5k,https://github.com/recommenders-team/recommenders
ahmetb,kubectx,16k,https://github.com/ahmetb/kubectx
kubernetes,ingress-nginx,15.8k,https://github.com/kubernetes/ingress-nginx
helm,charts,15.5k,https://github.com/helm/charts
verdaccio,verdaccio,15.3k,https://github.com/verdaccio/verdaccio
kubernetes,kops,15.2k,https://github.com/kubernetes/kops
gravitational,teleport,15.2k,https://github.com/gravitational/teleport
containerd,containerd,15k,https://github.com/containerd/containerd
GoogleCloudPlatform,microservices-demo,14.9k,https://github.com/GoogleCloudPlatform/microservices-demo
kubernetes-sigs,kubespray,14.6k,https://github.com/kubernetes-sigs/kubespray
argoproj,argo-cd,14.4k,https://github.com/argoproj/argo-cd
ramitsurana,awesome-kubernetes,14.3k,https://github.com/ramitsurana/awesome-kubernetes
google,gvisor,14.3k,https://github.com/google/gvisor
GoogleContainerTools,skaffold,14.3k,https://github.com/GoogleContainerTools/skaffold
abiosoft,colima,14k,https://github.com/abiosoft/colima
argoproj,argo-workflows,13.5k,https://github.com/argoproj/argo-workflows
kubesphere,kubesphere,13.5k,https://github.com/kubesphere/kubesphere
kubeflow,kubeflow,13.1k,https://github.com/kubeflow/kubeflow
GoogleContainerTools,kaniko,13k,https://github.com/GoogleContainerTools/kaniko
GoogleContainerTools,jib,13k,https://github.com/GoogleContainerTools/jib
apache,apisix,12.7k,https://github.com/apache/apisix
ceph,ceph,12.5k,https://github.com/ceph/ceph
quarkusio,quarkus,12.4k,https://github.com/quarkusio/quarkus
go-skynet,LocalAI,12.2k,https://github.com/go-skynet/LocalAI
kubernetes-sigs,kind,12.1k,https://github.com/kubernetes-sigs/kind
theonedev,onedev,12k,https://github.com/theonedev/onedev
docker-mailserver,docker-mailserver,11.9k,https://github.com/docker-mailserver/docker-mailserver
labring,sealos,11.5k,https://github.com/labring/sealos
rook,rook,11.5k,https://github.com/rook/rook
kubernetes,community,11.3k,https://github.com/kubernetes/community
GoogleCloudPlatform,terraformer,10.9k,https://github.com/GoogleCloudPlatform/terraformer
cert-manager,cert-manager,10.8k,https://github.com/cert-manager/cert-manager
rootsongjc,kubernetes-handbook,10.8k,https://github.com/rootsongjc/kubernetes-handbook
macrozheng,mall-swarm,10.8k,https://github.com/macrozheng/mall-swarm
gogf,gf,10.1k,https://github.com/gogf/gf
linkerd,linkerd2,9.9k,https://github.com/linkerd/linkerd2
quay,clair,9.7k,https://github.com/quay/clair
kubeshark,kubeshark,9.6k,https://github.com/kubeshark/kubeshark
easzlab,kubeasz,9.6k,https://github.com/easzlab/kubeasz
VictoriaMetrics,VictoriaMetrics,9.5k,https://github.com/VictoriaMetrics/VictoriaMetrics
microsoft,computervision-recipes,9.1k,https://github.com/microsoft/computervision-recipes
kubescape,kubescape,9k,https://github.com/kubescape/kubescape
TykTechnologies,tyk,8.8k,https://github.com/TykTechnologies/tyk
kubernetes,kompose,8.8k,https://github.com/kubernetes/kompose
dexidp,dex,8.5k,https://github.com/dexidp/dex
openshift,origin,8.4k,https://github.com/openshift/origin
openebs,openebs,8.4k,https://github.com/openebs/openebs
prometheus-operator,prometheus-operator,8.3k,https://github.com/prometheus-operator/prometheus-operator
flannel-io,flannel,8.2k,https://github.com/flannel-io/flannel
yugabyte,yugabyte-db,8.1k,https://github.com/yugabyte/yugabyte-db
gravitl,netmaker,8.1k,https://github.com/gravitl/netmaker
tektoncd,pipeline,8k,https://github.com/tektoncd/pipeline
fenixsoft,awesome-fenix,8k,https://github.com/fenixsoft/awesome-fenix
redpanda-data,redpanda,7.9k,https://github.com/redpanda-data/redpanda
ddosify,ddosify,7.9k,https://github.com/ddosify/ddosify
fission,fission,7.9k,https://github.com/fission/fission
canonical,microk8s,7.7k,https://github.com/canonical/microk8s
vmware-tanzu,velero,7.7k,https://github.com/vmware-tanzu/velero
bitnami,charts,7.7k,https://github.com/bitnami/charts
crossplane,crossplane,7.6k,https://github.com/crossplane/crossplane
dgkanatsios,CKAD-exercises,7.6k,https://github.com/dgkanatsios/CKAD-exercises
geerlingguy,ansible-for-devops,7.6k,https://github.com/geerlingguy/ansible-for-devops
opsnull,follow-me-install-kubernetes-cluster,7.3k,https://github.com/opsnull/follow-me-install-kubernetes-cluster
khuedoan,homelab,7.2k,https://github.com/khuedoan/homelab
