Username,Repository,Stars,Repo URL
marktext,marktext,41.6k,https://github.com/marktext/marktext
posquit0,Awesome-CV,20.2k,https://github.com/posquit0/Awesome-CV
HarisIqbal88,PlotNeuralNet,20.1k,https://github.com/HarisIqbal88/PlotNeuralNet
KaTeX,KaTeX,17.1k,https://github.com/KaTeX/KaTeX
hmemcpy,milewski-ctfp-pdf,10.4k,https://github.com/hmemcpy/milewski-ctfp-pdf
mathjax,MathJax,9.6k,https://github.com/mathjax/MathJax
billryan,resume,7.9k,https://github.com/billryan/resume
garrettj403,SciencePlots,5.8k,https://github.com/garrettj403/SciencePlots
Wandmalfarbe,pandoc-latex-template,5.4k,https://github.com/Wandmalfarbe/pandoc-latex-template
lukas-blecher,LaTeX-OCR,5k,https://github.com/lukas-blecher/LaTeX-OCR
lervag,vimtex,4.8k,https://github.com/lervag/vimtex
google-research,arxiv-latex-cleaner,4.3k,https://github.com/google-research/arxiv-latex-cleaner
retorquere,zotero-better-bibtex,4.2k,https://github.com/retorquere/zotero-better-bibtex
sb2nov,resume,4.1k,https://github.com/sb2nov/resume
tuna,thuthesis,4.1k,https://github.com/tuna/thuthesis
Keldos-Li,typora-latex-theme,4k,https://github.com/Keldos-Li/typora-latex-theme
Wookai,paper-tips-and-tricks,3.5k,https://github.com/Wookai/paper-tips-and-tricks
rstudio,bookdown,3.5k,https://github.com/rstudio/bookdown
luong-komorebi,Begin-Latex-in-minutes,3.2k,https://github.com/luong-komorebi/Begin-Latex-in-minutes
dyweb,awesome-resume-for-chinese,3.2k,https://github.com/dyweb/awesome-resume-for-chinese
JabRef,jabref,3.1k,https://github.com/JabRef/jabref
noraj,OSCP-Exam-Report-Template-Markdown,3k,https://github.com/noraj/OSCP-Exam-Report-Template-Markdown
saadq,resumake.io,3k,https://github.com/saadq/resumake.io
sjtug,SJTUThesis,3k,https://github.com/sjtug/SJTUThesis
IceEnd,Yosoro,2.7k,https://github.com/IceEnd/Yosoro
vincentdoerig,latex-css,2.6k,https://github.com/vincentdoerig/latex-css
jankapunkt,latexcv,2.4k,https://github.com/jankapunkt/latexcv
Hedgehog-Computing,hedgehog-lab,2.4k,https://github.com/Hedgehog-Computing/hedgehog-lab
texstudio-org,texstudio,2.3k,https://github.com/texstudio-org/texstudio
personqianduixue,Math_Model,2.3k,https://github.com/personqianduixue/Math_Model
yuchenlin,rebiber,2.2k,https://github.com/yuchenlin/rebiber
varkor,quiver,2.2k,https://github.com/varkor/quiver
susam,texme,2.2k,https://github.com/susam/texme
nschloe,tikzplotlib,2.2k,https://github.com/nschloe/tikzplotlib
Hufe921,canvas-editor,2.1k,https://github.com/Hufe921/canvas-editor
TheNetAdmin,zjuthesis,2k,https://github.com/TheNetAdmin/zjuthesis
SwiftLaTeX,SwiftLaTeX,2k,https://github.com/SwiftLaTeX/SwiftLaTeX
freeplane,freeplane,1.8k,https://github.com/freeplane/freeplane
yishn,tikzcd-editor,1.8k,https://github.com/yishn/tikzcd-editor
rstudio,gt,1.8k,https://github.com/rstudio/gt
kingyiusuen,image-to-latex,1.8k,https://github.com/kingyiusuen/image-to-latex
latex3,latex3,1.7k,https://github.com/latex3/latex3
dnl-blkv,mcdowell-cv,1.7k,https://github.com/dnl-blkv/mcdowell-cv
latex3,latex2e,1.6k,https://github.com/latex3/latex2e
guanyingc,latex_paper_writing_tips,1.6k,https://github.com/guanyingc/latex_paper_writing_tips
Tufte-LaTeX,tufte-latex,1.5k,https://github.com/Tufte-LaTeX/tufte-latex
