Username,Repository,Stars,Repo URL
laravel,laravel,74.9k,https://github.com/laravel/laravel
laravel,framework,30.3k,https://github.com/laravel/framework
monicahq,monica,19.7k,https://github.com/monicahq/monica
barryvdh,laravel-debugbar,15.6k,https://github.com/barryvdh/laravel-debugbar
koel,koel,15k,https://github.com/koel/koel
flarum,flarum,14.4k,https://github.com/flarum/flarum
Intervention,image,13.4k,https://github.com/Intervention/image
barryvdh,laravel-ide-helper,13.4k,https://github.com/barryvdh/laravel-ide-helper
cachethq,cachet,13.4k,https://github.com/cachethq/cachet
BookStackApp,BookStack,12.3k,https://github.com/BookStackApp/BookStack
roots,sage,12.3k,https://github.com/roots/sage
chiraggude,awesome-laravel,12k,https://github.com/chiraggude/awesome-laravel
SpartnerNL,Laravel-Excel,11.7k,https://github.com/SpartnerNL/Laravel-Excel
thedevdojo,voyager,11.5k,https://github.com/thedevdojo/voyager
spatie,laravel-permission,11.5k,https://github.com/spatie/laravel-permission
tymondesigns,jwt-auth,11k,https://github.com/tymondesigns/jwt-auth
octobercms,october,10.9k,https://github.com/octobercms/october
alexeymezenin,laravel-best-practices,10.1k,https://github.com/alexeymezenin/laravel-best-practices
filamentphp,filament,9.6k,https://github.com/filamentphp/filament
guyueyingmu,avbook,9.1k,https://github.com/guyueyingmu/avbook
bagisto,bagisto,8.3k,https://github.com/bagisto/bagisto
laravel,lumen,7.6k,https://github.com/laravel/lumen
invoiceninja,invoiceninja,7.3k,https://github.com/invoiceninja/invoiceninja
crater-invoice,crater,7.3k,https://github.com/crater-invoice/crater
laravel,tinker,7.2k,https://github.com/laravel/tinker
Laravel-Lang,lang,7.2k,https://github.com/Laravel-Lang/lang
akaunting,akaunting,6.8k,https://github.com/akaunting/akaunting
mongodb,laravel-mongodb,6.6k,https://github.com/mongodb/laravel-mongodb
aimeos,aimeos-laravel,6.5k,https://github.com/aimeos/aimeos-laravel
ecrmnn,collect.js,6.4k,https://github.com/ecrmnn/collect.js
fruitcake,laravel-cors,6.3k,https://github.com/fruitcake/laravel-cors
barryvdh,laravel-dompdf,6.1k,https://github.com/barryvdh/laravel-dompdf
flarum,framework,6.1k,https://github.com/flarum/framework
rappasoft,laravel-boilerplate,5.5k,https://github.com/rappasoft/laravel-boilerplate
spatie,laravel-medialibrary,5.4k,https://github.com/spatie/laravel-medialibrary
laravel,socialite,5.4k,https://github.com/laravel/socialite
pterodactyl,panel,5.4k,https://github.com/pterodactyl/panel
spatie,laravel-backup,5.3k,https://github.com/spatie/laravel-backup
laravel-mix,laravel-mix,5.2k,https://github.com/laravel-mix/laravel-mix
itsgoingd,clockwork,5.2k,https://github.com/itsgoingd/clockwork
pixelfed,pixelfed,5.1k,https://github.com/pixelfed/pixelfed
nWidart,laravel-modules,5k,https://github.com/nWidart/laravel-modules
spatie,laravel-activitylog,4.9k,https://github.com/spatie/laravel-activitylog
beyondcode,laravel-websockets,4.9k,https://github.com/beyondcode/laravel-websockets
nunomaduro,larastan,4.8k,https://github.com/nunomaduro/larastan
cydrobolt,polr,4.8k,https://github.com/cydrobolt/polr
thedevdojo,wave,4.6k,https://github.com/thedevdojo/wave
yajra,laravel-datatables,4.6k,https://github.com/yajra/laravel-datatables
laravel,telescope,4.6k,https://github.com/laravel/telescope
webhooksite,webhook.site,4.4k,https://github.com/webhooksite/webhook.site
nunomaduro,collision,4.3k,https://github.com/nunomaduro/collision
corcel,corcel,4.1k,https://github.com/corcel/corcel
swooletw,laravel-swoole,4k,https://github.com/swooletw/laravel-swoole
orchidsoftware,platform,3.9k,https://github.com/orchidsoftware/platform
lando,lando,3.8k,https://github.com/lando/lando
hhxsv5,laravel-s,3.8k,https://github.com/hhxsv5/laravel-s
laravel,jetstream,3.8k,https://github.com/laravel/jetstream
Attendize,Attendize,3.8k,https://github.com/Attendize/Attendize
spatie,laravel-query-builder,3.8k,https://github.com/spatie/laravel-query-builder
cviebrock,eloquent-sluggable,3.7k,https://github.com/cviebrock/eloquent-sluggable
laravel,horizon,3.7k,https://github.com/laravel/horizon
InfyOmLabs,laravel-generator,3.7k,https://github.com/InfyOmLabs/laravel-generator
jeroennoten,Laravel-AdminLTE,3.6k,https://github.com/jeroennoten/Laravel-AdminLTE
jqhph,dcat-admin,3.6k,https://github.com/jqhph/dcat-admin
johnlui,Learn-Laravel-5,3.5k,https://github.com/johnlui/Learn-Laravel-5
laravel,octane,3.5k,https://github.com/laravel/octane
lazychaser,laravel-nestedset,3.5k,https://github.com/lazychaser/laravel-nestedset
aimeos,aimeos,3.5k,https://github.com/aimeos/aimeos
tighten,ziggy,3.4k,https://github.com/tighten/ziggy
laravel-zero,laravel-zero,3.4k,https://github.com/laravel-zero/laravel-zero
area17,twill,3.4k,https://github.com/area17/twill
lsky-org,lsky-pro,3.4k,https://github.com/lsky-org/lsky-pro
mpociot,laravel-apidoc-generator,3.4k,https://github.com/mpociot/laravel-apidoc-generator
shufo,vscode-blade-formatter,3.3k,https://github.com/shufo/vscode-blade-formatter
krayin,laravel-crm,3.3k,https://github.com/krayin/laravel-crm
librenms,librenms,3.3k,https://github.com/librenms/librenms
JosephSilber,bouncer,3.3k,https://github.com/JosephSilber/bouncer
nuwave,lighthouse,3.2k,https://github.com/nuwave/lighthouse
mcamara,laravel-localization,3.2k,https://github.com/mcamara/laravel-localization
austintoddj,canvas,3.2k,https://github.com/austintoddj/canvas
laravel,passport,3.2k,https://github.com/laravel/passport
pyrocms,pyrocms,3.1k,https://github.com/pyrocms/pyrocms
archtechx,tenancy,3.1k,https://github.com/archtechx/tenancy
rap2hpoutre,laravel-log-viewer,3k,https://github.com/rap2hpoutre/laravel-log-viewer
cretueusebiu,laravel-vue-spa,3k,https://github.com/cretueusebiu/laravel-vue-spa
statamic,cms,3k,https://github.com/statamic/cms
spatie,laravel-analytics,2.9k,https://github.com/spatie/laravel-analytics
unicodeveloper,awesome-opensource-apps,2.9k,https://github.com/unicodeveloper/awesome-opensource-apps
jeremykenedy,laravel-auth,2.9k,https://github.com/jeremykenedy/laravel-auth
artesaos,seotools,2.9k,https://github.com/artesaos/seotools
jcc,blog,2.9k,https://github.com/jcc/blog
nicoverbruggen,phpmon,2.9k,https://github.com/nicoverbruggen/phpmon
opcodesio,log-viewer,2.9k,https://github.com/opcodesio/log-viewer
gitscrum-team,laravel-gitscrum,2.8k,https://github.com/gitscrum-team/laravel-gitscrum
antonioribeiro,tracker,2.8k,https://github.com/antonioribeiro/tracker
microweber,microweber,2.8k,https://github.com/microweber/microweber
themsaid,wink,2.8k,https://github.com/themsaid/wink
laravel,docs,2.8k,https://github.com/laravel/docs
Laravel-Backpack,CRUD,2.8k,https://github.com/Laravel-Backpack/CRUD
CodelyTV,php-ddd-example,2.8k,https://github.com/CodelyTV/php-ddd-example
