Username,Repository,Stars,Repo URL
facebook,react,214k,https://github.com/facebook/react
ocornut,imgui,50.9k,https://github.com/ocornut/imgui
curl,curl,31.6k,https://github.com/curl/curl
ccxt,ccxt,29.3k,https://github.com/ccxt/ccxt
acheong08,ChatGPT,27.4k,https://github.com/acheong08/ChatGPT
mojs,mojs,18.1k,https://github.com/mojs/mojs
framework7io,framework7,17.5k,https://github.com/framework7io/framework7
nextui-org,nextui,16k,https://github.com/nextui-org/nextui
OpenGenus,cosmos,13.4k,https://github.com/OpenGenus/cosmos
dgraph-io,badger,12.8k,https://github.com/dgraph-io/badger
webview,webview,11.6k,https://github.com/webview/webview
Ramotion,animated-tab-bar,11.1k,https://github.com/Ramotion/animated-tab-bar
barbajs,barba,11k,https://github.com/barbajs/barba
felangel,bloc,10.9k,https://github.com/felangel/bloc
WenchaoD,FSCalendar,10.4k,https://github.com/WenchaoD/FSCalendar
Ramotion,folding-cell,10.2k,https://github.com/Ramotion/folding-cell
cdnjs,cdnjs,10k,https://github.com/cdnjs/cdnjs
apache,thrift,9.9k,https://github.com/apache/thrift
FreeRDP,FreeRDP,9.2k,https://github.com/FreeRDP/FreeRDP
libgit2,libgit2,9.2k,https://github.com/libgit2/libgit2
roughike,BottomBar,8.4k,https://github.com/roughike/BottomBar
LonamiWebs,Telethon,8.2k,https://github.com/LonamiWebs/Telethon
ColorfulCat,AndroidLibs,7.6k,https://github.com/ColorfulCat/AndroidLibs
patrickmn,go-cache,7.5k,https://github.com/patrickmn/go-cache
gruns,icecream,7.3k,https://github.com/gruns/icecream
IntelRealSense,librealsense,7k,https://github.com/IntelRealSense/librealsense
sbstjn,timesheet.js,6.9k,https://github.com/sbstjn/timesheet.js
thu-ml,tianshou,6.7k,https://github.com/thu-ml/tianshou
needim,noty,6.7k,https://github.com/needim/noty
wolfpld,tracy,6.4k,https://github.com/wolfpld/tracy
kubernetes-client,python,6k,https://github.com/kubernetes-client/python
SwiftUIX,SwiftUIX,6k,https://github.com/SwiftUIX/SwiftUIX
tdlib,td,6k,https://github.com/tdlib/td
libimobiledevice,libimobiledevice,5.9k,https://github.com/libimobiledevice/libimobiledevice
lpereira,lwan,5.8k,https://github.com/lpereira/lwan
Devlight,InfiniteCycleViewPager,5.8k,https://github.com/Devlight/InfiniteCycleViewPager
libcpr,cpr,5.8k,https://github.com/libcpr/cpr
microsoft,FASTER,5.7k,https://github.com/microsoft/FASTER
grpc-ecosystem,go-grpc-middleware,5.7k,https://github.com/grpc-ecosystem/go-grpc-middleware
lusaxweb,vuesax,5.6k,https://github.com/lusaxweb/vuesax
Hopding,pdf-lib,5.6k,https://github.com/Hopding/pdf-lib
angus-c,just,5.6k,https://github.com/angus-c/just
Ramotion,expanding-collection,5.5k,https://github.com/Ramotion/expanding-collection
MontFerret,ferret,5.5k,https://github.com/MontFerret/ferret
mrousavy,react-native-vision-camera,5k,https://github.com/mrousavy/react-native-vision-camera
Devlight,NavigationTabBar,5k,https://github.com/Devlight/NavigationTabBar
dgraph-io,ristretto,4.9k,https://github.com/dgraph-io/ristretto
KrauseFx,TSMessages,4.9k,https://github.com/KrauseFx/TSMessages
Ramotion,folding-cell-android,4.9k,https://github.com/Ramotion/folding-cell-android
transitive-bullshit,create-react-library,4.8k,https://github.com/transitive-bullshit/create-react-library
AngleSharp,AngleSharp,4.8k,https://github.com/AngleSharp/AngleSharp
androidx,androidx,4.8k,https://github.com/androidx/androidx
arvidn,libtorrent,4.7k,https://github.com/arvidn/libtorrent
bitcoinj,bitcoinj,4.7k,https://github.com/bitcoinj/bitcoinj
vugu,vugu,4.7k,https://github.com/vugu/vugu
pypa,virtualenv,4.6k,https://github.com/pypa/virtualenv
nayuki,QR-Code-generator,4.3k,https://github.com/nayuki/QR-Code-generator
alexjoverm,typescript-library-starter,4.3k,https://github.com/alexjoverm/typescript-library-starter
faiface,pixel,4.3k,https://github.com/faiface/pixel
pterm,pterm,4.2k,https://github.com/pterm/pterm
roberthein,BouncyLayout,4.2k,https://github.com/roberthein/BouncyLayout
apache,shiro,4.2k,https://github.com/apache/shiro
imbrn,v8n,4.2k,https://github.com/imbrn/v8n
CGAL,cgal,4.2k,https://github.com/CGAL/cgal
jamiebuilds,unstated-next,4.1k,https://github.com/jamiebuilds/unstated-next
Yummypets,YPImagePicker,4.1k,https://github.com/Yummypets/YPImagePicker
Arduino-IRremote,Arduino-IRremote,4.1k,https://github.com/Arduino-IRremote/Arduino-IRremote
alecthomas,chroma,4k,https://github.com/alecthomas/chroma
Slackadays,Clipboard,4k,https://github.com/Slackadays/Clipboard
RandyGaul,cute_headers,3.9k,https://github.com/RandyGaul/cute_headers
roberthein,TinyConstraints,3.9k,https://github.com/roberthein/TinyConstraints
mpetroff,pannellum,3.9k,https://github.com/mpetroff/pannellum
attractivechaos,klib,3.9k,https://github.com/attractivechaos/klib
google,promises,3.8k,https://github.com/google/promises
pyrogram,pyrogram,3.7k,https://github.com/pyrogram/pyrogram
Ramotion,swift-ui-animation-components-and-libraries,3.7k,https://github.com/Ramotion/swift-ui-animation-components-and-libraries
micku7zu,vanilla-tilt.js,3.6k,https://github.com/micku7zu/vanilla-tilt.js
fo40225,tensorflow-windows-wheel,3.6k,https://github.com/fo40225/tensorflow-windows-wheel
schollz,progressbar,3.5k,https://github.com/schollz/progressbar
stdlib-js,stdlib,3.5k,https://github.com/stdlib-js/stdlib
Ramotion,circle-menu,3.4k,https://github.com/Ramotion/circle-menu
willowtreeapps,spruce-ios,3.4k,https://github.com/willowtreeapps/spruce-ios
bitjson,typescript-starter,3.4k,https://github.com/bitjson/typescript-starter
ChuckerTeam,chucker,3.4k,https://github.com/ChuckerTeam/chucker
parnurzeal,gorequest,3.3k,https://github.com/parnurzeal/gorequest
Ramotion,paper-onboarding,3.3k,https://github.com/Ramotion/paper-onboarding
oneapi-src,oneDNN,3.3k,https://github.com/oneapi-src/oneDNN
harfbuzz,harfbuzz,3.2k,https://github.com/harfbuzz/harfbuzz
ml-tooling,best-of-python,3.2k,https://github.com/ml-tooling/best-of-python
amitshekhariitbhu,PRDownloader,3.2k,https://github.com/amitshekhariitbhu/PRDownloader
apache,logging-log4j2,3.2k,https://github.com/apache/logging-log4j2
jorisschellekens,borb,3.1k,https://github.com/jorisschellekens/borb
KingSora,OverlayScrollbars,3.1k,https://github.com/KingSora/OverlayScrollbars
duke-git,lancet,3k,https://github.com/duke-git/lancet
gruns,ImmortalDB,3k,https://github.com/gruns/ImmortalDB
fragglet,c-algorithms,3k,https://github.com/fragglet/c-algorithms
nabla-c0d3,sslyze,3k,https://github.com/nabla-c0d3/sslyze
jkbrzt,rrule,3k,https://github.com/jkbrzt/rrule
tholman,cursor-effects,3k,https://github.com/tholman/cursor-effects
Ramotion,paper-switch,2.9k,https://github.com/Ramotion/paper-switch
