Username,Repository,Stars,Repo URL
AtsushiSakai,PythonRobotics,19.9k,https://github.com/AtsushiSakai/PythonRobotics
frappe,erpnext,14.9k,https://github.com/frappe/erpnext
formatjs,formatjs,13.9k,https://github.com/formatjs/formatjs
SwiftGen,SwiftGen,8.9k,https://github.com/SwiftGen/SwiftGen
Humanizr,Humanizer,8k,https://github.com/Humanizr/Humanizer
cartographer-project,cartographer,6.7k,https://github.com/cartographer-project/cartographer
lingui,js-lingui,3.9k,https://github.com/lingui/js-lingui
WeblateOrg,weblate,3.8k,https://github.com/WeblateOrg/weblate
jeremykenedy,laravel-auth,2.9k,https://github.com/jeremykenedy/laravel-auth
hybridsjs,hybrids,2.9k,https://github.com/hybridsjs/hybrids
github,relative-time-element,2.8k,https://github.com/github/relative-time-element
symfony,intl,2.6k,https://github.com/symfony/intl
aralroca,next-translate,2.4k,https://github.com/aralroca/next-translate
introlab,rtabmap,2.3k,https://github.com/introlab/rtabmap
ever-co,ever-traduora,1.9k,https://github.com/ever-co/ever-traduora
ivanhofer,typesafe-i18n,1.9k,https://github.com/ivanhofer/typesafe-i18n
onlytailei,CppRobotics,1.5k,https://github.com/onlytailei/CppRobotics
igorkulman,iOSLocalizationEditor,1.4k,https://github.com/igorkulman/iOSLocalizationEditor
mozilla,pontoon,1.3k,https://github.com/mozilla/pontoon
FlineDev,BartyCrouch,1.3k,https://github.com/FlineDev/BartyCrouch
MIT-SPARK,Kimera-VIO,1.3k,https://github.com/MIT-SPARK/Kimera-VIO
overtrue,laravel-lang,1.3k,https://github.com/overtrue/laravel-lang
projectfluent,fluent,1.2k,https://github.com/projectfluent/fluent
willpowell8,LocalizationKit_iOS,1.2k,https://github.com/willpowell8/LocalizationKit_iOS
cvg,nice-slam,1.1k,https://github.com/cvg/nice-slam
unicode-org,icu4x,1.1k,https://github.com/unicode-org/icu4x
dtlnor,stable-diffusion-webui-localization-zh_CN,1.1k,https://github.com/dtlnor/stable-diffusion-webui-localization-zh_CN
axuno,SmartFormat,977,https://github.com/axuno/SmartFormat
shioyama,mobility,917,https://github.com/shioyama/mobility
mohakapt,Stringz,902,https://github.com/mohakapt/Stringz
tolgee,tolgee-platform,901,https://github.com/tolgee/tolgee-platform
wh200720041,floam,895,https://github.com/wh200720041/floam
lucascudo,laravel-pt-BR-localization,878,https://github.com/lucascudo/laravel-pt-BR-localization
projectfluent,fluent-rs,869,https://github.com/projectfluent/fluent-rs
projectfluent,fluent.js,862,https://github.com/projectfluent/fluent.js
myfreeer,cppreference2mshelp,854,https://github.com/myfreeer/cppreference2mshelp
workalendar,workalendar,849,https://github.com/workalendar/workalendar
ucla-vision,xivo,808,https://github.com/ucla-vision/xivo
koala-interactive,frenchkiss.js,801,https://github.com/koala-interactive/frenchkiss.js
translate,translate,789,https://github.com/translate/translate
