Username,Repository,Stars,Repo URL
tensorflow,tensorflow,178k,https://github.com/tensorflow/tensorflow
huggingface,transformers,113k,https://github.com/huggingface/transformers
pytorch,pytorch,71.7k,https://github.com/pytorch/pytorch
netdata,netdata,65.5k,https://github.com/netdata/netdata
Developer-Y,cs-video-courses,60.8k,https://github.com/Developer-Y/cs-video-courses
keras-team,keras,59.5k,https://github.com/keras-team/keras
scikit-learn,scikit-learn,56.2k,https://github.com/scikit-learn/scikit-learn
tesseract-ocr,tesseract,54k,https://github.com/tesseract-ocr/tesseract
microsoft,ML-For-Beginners,53.9k,https://github.com/microsoft/ML-For-Beginners
d2l-ai,d2l-zh,49.8k,https://github.com/d2l-ai/d2l-zh
ageitgey,face_recognition,49.6k,https://github.com/ageitgey/face_recognition
binhnguyennus,awesome-scalability,48.8k,https://github.com/binhnguyennus/awesome-scalability
deepfakes,faceswap,47.3k,https://github.com/deepfakes/faceswap
JuliaLang,julia,43.4k,https://github.com/JuliaLang/julia
aymericdamien,TensorFlow-Examples,43k,https://github.com/aymericdamien/TensorFlow-Examples
iperov,DeepFaceLab,42.9k,https://github.com/iperov/DeepFaceLab
ultralytics,yolov5,42.3k,https://github.com/ultralytics/yolov5
Avik-Jain,100-Days-Of-ML-Code,42k,https://github.com/Avik-Jain/100-Days-Of-ML-Code
labmlai,annotated_deep_learning_paper_implementations,37.1k,https://github.com/labmlai/annotated_deep_learning_paper_implementations
LAION-AI,Open-Assistant,35.4k,https://github.com/LAION-AI/Open-Assistant
GokuMohandas,Made-With-ML,34.3k,https://github.com/GokuMohandas/Made-With-ML
BVLC,caffe,33.6k,https://github.com/BVLC/caffe
google-research,google-research,31.1k,https://github.com/google-research/google-research
photoprism,photoprism,29.1k,https://github.com/photoprism/photoprism
fengdu78,Coursera-ML-AndrewNg-Notes,29k,https://github.com/fengdu78/Coursera-ML-AndrewNg-Notes
microsoft,DeepSpeed,28.9k,https://github.com/microsoft/DeepSpeed
CMU-Perceptual-Computing-Lab,openpose,28.3k,https://github.com/CMU-Perceptual-Computing-Lab/openpose
ray-project,ray,28.2k,https://github.com/ray-project/ray
streamlit,streamlit,27.9k,https://github.com/streamlit/streamlit
explosion,spaCy,27.3k,https://github.com/explosion/spaCy
ZuzooVn,machine-learning-for-software-engineers,27.3k,https://github.com/ZuzooVn/machine-learning-for-software-engineers
AMAI-GmbH,AI-Expert-Roadmap,27k,https://github.com/AMAI-GmbH/AI-Expert-Roadmap
TheAlgorithms,C-Plus-Plus,26.3k,https://github.com/TheAlgorithms/C-Plus-Plus
donnemartin,data-science-ipython-notebooks,25.7k,https://github.com/donnemartin/data-science-ipython-notebooks
ageron,handson-ml,25k,https://github.com/ageron/handson-ml
Lightning-AI,lightning,24.9k,https://github.com/Lightning-AI/lightning
dmlc,xgboost,24.8k,https://github.com/dmlc/xgboost
eugeneyan,applied-ml,24.8k,https://github.com/eugeneyan/applied-ml
terryum,awesome-deep-learning-papers,24.8k,https://github.com/terryum/awesome-deep-learning-papers
fastai,fastai,24.6k,https://github.com/fastai/fastai
OpenBB-finance,OpenBBTerminal,24.6k,https://github.com/OpenBB-finance/OpenBBTerminal
lutzroeder,netron,24.2k,https://github.com/lutzroeder/netron
google,mediapipe,23.7k,https://github.com/google/mediapipe
mozilla,DeepSpeech,23.2k,https://github.com/mozilla/DeepSpeech
gradio-app,gradio,22.7k,https://github.com/gradio-app/gradio
eriklindernoren,ML-From-Scratch,22.5k,https://github.com/eriklindernoren/ML-From-Scratch
datawhalechina,pumpkin-book,22.2k,https://github.com/datawhalechina/pumpkin-book
academic,awesome-datascience,22k,https://github.com/academic/awesome-datascience
sebastianruder,NLP-progress,21.9k,https://github.com/sebastianruder/NLP-progress
mxgmn,WaveFunctionCollapse,21.9k,https://github.com/mxgmn/WaveFunctionCollapse
trekhleb,homemade-machine-learning,21.9k,https://github.com/trekhleb/homemade-machine-learning
ChristosChristofidis,awesome-deep-learning,21.7k,https://github.com/ChristosChristofidis/awesome-deep-learning
PaddlePaddle,Paddle,20.9k,https://github.com/PaddlePaddle/Paddle
MLEveryday,100-Days-Of-ML-Code,20.3k,https://github.com/MLEveryday/100-Days-Of-ML-Code
shap,shap,20.3k,https://github.com/shap/shap
JaidedAI,EasyOCR,19.8k,https://github.com/JaidedAI/EasyOCR
d2l-ai,d2l-en,19.4k,https://github.com/d2l-ai/d2l-en
fastai,fastbook,19.4k,https://github.com/fastai/fastbook
spmallick,learnopencv,19.4k,https://github.com/spmallick/learnopencv
jina-ai,jina,19.2k,https://github.com/jina-ai/jina
zergtant,pytorch-handbook,18.9k,https://github.com/zergtant/pytorch-handbook
iperov,DeepFaceLive,18.6k,https://github.com/iperov/DeepFaceLive
mindsdb,mindsdb,18.4k,https://github.com/mindsdb/mindsdb
openai,CLIP,18.2k,https://github.com/openai/CLIP
microsoft,AI-For-Beginners,17.8k,https://github.com/microsoft/AI-For-Beginners
tensorflow,tfjs,17.7k,https://github.com/tensorflow/tfjs
amark,gun,17.5k,https://github.com/amark/gun
microsoft,CNTK,17.4k,https://github.com/microsoft/CNTK
huggingface,datasets,17.3k,https://github.com/huggingface/datasets
RasaHQ,rasa,17.1k,https://github.com/RasaHQ/rasa
TheAlgorithms,C,17.1k,https://github.com/TheAlgorithms/C
recommenders-team,recommenders,16.5k,https://github.com/recommenders-team/recommenders
afshinea,stanford-cs-229-machine-learning,16k,https://github.com/afshinea/stanford-cs-229-machine-learning
onnx,onnx,15.7k,https://github.com/onnx/onnx
mlflow,mlflow,15.6k,https://github.com/mlflow/mlflow
oxford-cs-deepnlp-2017,lectures,15.5k,https://github.com/oxford-cs-deepnlp-2017/lectures
microsoft,LightGBM,15.5k,https://github.com/microsoft/LightGBM
Unity-Technologies,ml-agents,15.5k,https://github.com/Unity-Technologies/ml-agents
zziz,pwc,15.4k,https://github.com/zziz/pwc
keon,awesome-nlp,15.3k,https://github.com/keon/awesome-nlp
modularml,mojo,15k,https://github.com/modularml/mojo
kailashahirwar,cheatsheets-ai,14.8k,https://github.com/kailashahirwar/cheatsheets-ai
RaRe-Technologies,gensim,14.7k,https://github.com/RaRe-Technologies/gensim
pytorch,vision,14.7k,https://github.com/pytorch/vision
ml-tooling,best-of-ml-python,14.5k,https://github.com/ml-tooling/best-of-ml-python
EthicalML,awesome-production-machine-learning,14.5k,https://github.com/EthicalML/awesome-production-machine-learning
bharathgs,Awesome-pytorch-list,14.5k,https://github.com/bharathgs/Awesome-pytorch-list
ty4z2008,Qix,14.4k,https://github.com/ty4z2008/Qix
NLP-LOVE,ML-NLP,14.3k,https://github.com/NLP-LOVE/ML-NLP
ramitsurana,awesome-kubernetes,14.3k,https://github.com/ramitsurana/awesome-kubernetes
tensorflow,tensor2tensor,14.2k,https://github.com/tensorflow/tensor2tensor
emilwallner,Screenshot-to-code,14.1k,https://github.com/emilwallner/Screenshot-to-code
NVlabs,instant-ngp,14.1k,https://github.com/NVlabs/instant-ngp
ddbourgin,numpy-ml,14.1k,https://github.com/ddbourgin/numpy-ml
ujjwalkarn,Machine-Learning-Tutorials,14k,https://github.com/ujjwalkarn/Machine-Learning-Tutorials
ultralytics,ultralytics,13.9k,https://github.com/ultralytics/ultralytics
aleju,imgaug,13.8k,https://github.com/aleju/imgaug
amusi,CVPR2023-Papers-with-Code,13.8k,https://github.com/amusi/CVPR2023-Papers-with-Code
unifyai,ivy,13.7k,https://github.com/unifyai/ivy
gunthercox,ChatterBot,13.6k,https://github.com/gunthercox/ChatterBot
