Username,Repository,Stars,Repo URL
mastodon,mastodon,44.3k,https://github.com/mastodon/mastodon
elk-zone,elk,4.5k,https://github.com/elk-zone/elk
Dimillian,IceCubesApp,3.7k,https://github.com/Dimillian/IceCubesApp
superseriousbusiness,gotosocial,3.1k,https://github.com/superseriousbusiness/gotosocial
TwidereProject,Twidere-Android,2.7k,https://github.com/TwidereProject/Twidere-Android
tuskyapp,Tusky,2.3k,https://github.com/tuskyapp/Tusky
mastodon,mastodon-ios,1.9k,https://github.com/mastodon/mastodon-ios
mastodon,documentation,1.7k,https://github.com/mastodon/documentation
mastodon,mastodon-android,1.5k,https://github.com/mastodon/mastodon-android
wabarc,wayback,1.5k,https://github.com/wabarc/wayback
nolanlawson,pinafore,1k,https://github.com/nolanlawson/pinafore
ihabunek,toot,1k,https://github.com/ihabunek/toot
joyeusenoelle,GuideToMastodon,893,https://github.com/joyeusenoelle/GuideToMastodon
h3poteto,whalebird-desktop,870,https://github.com/h3poteto/whalebird-desktop
nathanlesage,academics-on-mastodon,843,https://github.com/nathanlesage/academics-on-mastodon
tleb,awesome-mastodon,841,https://github.com/tleb/awesome-mastodon
rustodon,rustodon,832,https://github.com/rustodon/rustodon
halcy,Mastodon.py,815,https://github.com/halcy/Mastodon.py
renatolond,mastodon-twitter-poster,809,https://github.com/renatolond/mastodon-twitter-poster
metabolist,metatext,735,https://github.com/metabolist/metatext
ethibox,awesome-stacks,701,https://github.com/ethibox/awesome-stacks
kha7iq,pingme,669,https://github.com/kha7iq/pingme
kennbroorg,iKy,668,https://github.com/kennbroorg/iKy
neet,masto.js,651,https://github.com/neet/masto.js
mattn,go-mastodon,576,https://github.com/mattn/go-mastodon
NicolasConstant,sengi,498,https://github.com/NicolasConstant/sengi
nextcloud,social,474,https://github.com/nextcloud/social
Aardwolf-Social,aardwolf,467,https://github.com/Aardwolf-Social/aardwolf
sk22,megalodon,464,https://github.com/sk22/megalodon
terhechte,Ebou,453,https://github.com/terhechte/Ebou
Automattic,wordpress-activitypub,409,https://github.com/Automattic/wordpress-activitypub
bleakgrey,tootle,407,https://github.com/bleakgrey/tootle
cheeaun,phanpy,396,https://github.com/cheeaun/phanpy
Wonderfall,dockerfiles,395,https://github.com/Wonderfall/dockerfiles
AndroidDev-social,DodoForMastodon,393,https://github.com/AndroidDev-social/DodoForMastodon
RasmusLindroth,tut,391,https://github.com/RasmusLindroth/tut
rhysd,Mstdn,389,https://github.com/rhysd/Mstdn
emilebosch,awesome-fediverse,387,https://github.com/emilebosch/awesome-fediverse
Kaiteki-Fedi,Kaiteki,386,https://github.com/Kaiteki-Fedi/Kaiteki
GeopJr,Tuba,377,https://github.com/GeopJr/Tuba
snarfed,granary,377,https://github.com/snarfed/granary
FedStoa,moa,357,https://github.com/FedStoa/moa
ckolderup,postmarks,357,https://github.com/ckolderup/postmarks
tomMoulard,make-my-server,345,https://github.com/tomMoulard/make-my-server
elk-zone,elk-native,343,https://github.com/elk-zone/elk-native
rjindael,ca-dmv-bot,331,https://github.com/rjindael/ca-dmv-bot
TootSDK,TootSDK,316,https://github.com/TootSDK/TootSDK
MobileFirstLLC,social-media-hacker-list,315,https://github.com/MobileFirstLLC/social-media-hacker-list
LucasGGamerM,moshidon,293,https://github.com/LucasGGamerM/moshidon
ncarlier,feedpushr,289,https://github.com/ncarlier/feedpushr
norweeg,self-hosted-docker-server-templates,271,https://github.com/norweeg/self-hosted-docker-server-templates
cutls,TheDesk,267,https://github.com/cutls/TheDesk
SuperIlu,DOStodon,267,https://github.com/SuperIlu/DOStodon
magicalraccoon,tootstream,256,https://github.com/magicalraccoon/tootstream
yukimochi,Activity-Relay,255,https://github.com/yukimochi/Activity-Relay
klausi,mastodon-twitter-sync,241,https://github.com/klausi/mastodon-twitter-sync
MastodonKit,MastodonKit,239,https://github.com/MastodonKit/MastodonKit
rugk,mastodon-simplified-federation,237,https://github.com/rugk/mastodon-simplified-federation
tvler,streetpass,234,https://github.com/tvler/streetpass
smallsco,macstodon,233,https://github.com/smallsco/macstodon
neodb-social,neodb,232,https://github.com/neodb-social/neodb
h3poteto,megalodon,227,https://github.com/h3poteto/megalodon
TheKinrar,instances,223,https://github.com/TheKinrar/instances
tooot-app,app,222,https://github.com/tooot-app/app
mastodon,joinmastodon,219,https://github.com/mastodon/joinmastodon
tateisu,SubwayTooter,217,https://github.com/tateisu/SubwayTooter
nuclearfog,Shitter,214,https://github.com/nuclearfog/Shitter
pantasystem,Milktea,212,https://github.com/pantasystem/Milktea
kitsune-soc,kitsune,211,https://github.com/kitsune-soc/kitsune
C3n7ral051nt4g3ncy,Masto,208,https://github.com/C3n7ral051nt4g3ncy/Masto
davecheney,pub,202,https://github.com/davecheney/pub
nanos,FediFetcher,197,https://github.com/nanos/FediFetcher
McKael,madonctl,191,https://github.com/McKael/madonctl
nileane,TangerineUI-for-Mastodon,191,https://github.com/nileane/TangerineUI-for-Mastodon
yogthos,mastodon-bot,190,https://github.com/yogthos/mastodon-bot
cqcore,Social-Media-OSINT,189,https://github.com/cqcore/Social-Media-OSINT
soatok,mastodon-e2ee-specification,189,https://github.com/soatok/mastodon-e2ee-specification
lucyllewy,twitodon,186,https://github.com/lucyllewy/twitodon
LinuxCafeFederation,awesome-alternatives,185,https://github.com/LinuxCafeFederation/awesome-alternatives
buckket,go-blurhash,181,https://github.com/buckket/go-blurhash
pbzweihander,rust-trending,178,https://github.com/pbzweihander/rust-trending
hyperspacedev,hyperspace,178,https://github.com/hyperspacedev/hyperspace
Arkanosis,microstatus,171,https://github.com/Arkanosis/microstatus
thefederationinfo,the-federation.info,169,https://github.com/thefederationinfo/the-federation.info
mooseyboots,mastodon.el,167,https://github.com/mooseyboots/mastodon.el
mastodon,mastodon-api,162,https://github.com/mastodon/mastodon-api
brodi1,activitypub-relays,159,https://github.com/brodi1/activitypub-relays
mastodon,mastodon-ansible,151,https://github.com/mastodon/mastodon-ansible
codl,forget,149,https://github.com/codl/forget
n1k0,tooty,148,https://github.com/n1k0/tooty
NickColley,semaphore,146,https://github.com/NickColley/semaphore
jfmcbrayer,brutaldon,146,https://github.com/jfmcbrayer/brutaldon
shuiRong,Gakki,144,https://github.com/shuiRong/Gakki
Anthchirp,mastodon-defederate,133,https://github.com/Anthchirp/mastodon-defederate
bbrks,go-blurhash,130,https://github.com/bbrks/go-blurhash
widdix,mastodon-on-aws,130,https://github.com/widdix/mastodon-on-aws
mastotron,mastotron,128,https://github.com/mastotron/mastotron
tsuruclient,tsuru,124,https://github.com/tsuruclient/tsuru
mastodon,chart,124,https://github.com/mastodon/chart
Big-Fig,Fediverse.app,123,https://github.com/Big-Fig/Fediverse.app
