Username,Repository,Stars,Repo URL
GoogleContainerTools,jib,13k,https://github.com/GoogleContainerTools/jib
bytedeco,javacv,6.9k,https://github.com/bytedeco/javacv
zhanglei-workspace,shopping-management-system,4.6k,https://github.com/zhanglei-workspace/shopping-management-system
rubenlagus,TelegramBots,4k,https://github.com/rubenlagus/TelegramBots
apache,maven,3.9k,https://github.com/apache/maven
diffplug,spotless,3.7k,https://github.com/diffplug/spotless
ZHENFENG13,My-Blog,3.3k,https://github.com/ZHENFENG13/My-Blog
java-aodeng,hope-boot,3.3k,https://github.com/java-aodeng/hope-boot
Kotlin,kotlin-examples,3.2k,https://github.com/Kotlin/kotlin-examples
spotify,dockerfile-maven,2.7k,https://github.com/spotify/dockerfile-maven
spotify,docker-maven-plugin,2.7k,https://github.com/spotify/docker-maven-plugin
apache,maven-mvnd,2.6k,https://github.com/apache/maven-mvnd
bytedeco,javacpp-presets,2.5k,https://github.com/bytedeco/javacpp-presets
jitpack,jitpack.io,2.4k,https://github.com/jitpack/jitpack.io
bonigarcia,webdrivermanager,2.4k,https://github.com/bonigarcia/webdrivermanager
vector4wang,spring-boot-quick,2.3k,https://github.com/vector4wang/spring-boot-quick
sanluan,PublicCMS,1.9k,https://github.com/sanluan/PublicCMS
fabric8io,docker-maven-plugin,1.8k,https://github.com/fabric8io/docker-maven-plugin
ZHENFENG13,ssm-demo,1.8k,https://github.com/ZHENFENG13/ssm-demo
henryyan,kft-activiti-demo,1.6k,https://github.com/henryyan/kft-activiti-demo
iBase4J,iBase4J,1.6k,https://github.com/iBase4J/iBase4J
codenameone,CodenameOne,1.6k,https://github.com/codenameone/CodenameOne
git-commit-id,git-commit-id-maven-plugin,1.5k,https://github.com/git-commit-id/git-commit-id-maven-plugin
aliyun,aliyun-openapi-java-sdk,1.4k,https://github.com/aliyun/aliyun-openapi-java-sdk
apereo,cas-overlay-template,1.2k,https://github.com/apereo/cas-overlay-template
scala-steward-org,scala-steward,1.1k,https://github.com/scala-steward-org/scala-steward
dzikoysk,reposilite,1.1k,https://github.com/dzikoysk/reposilite
vanniktech,gradle-maven-publish-plugin,1k,https://github.com/vanniktech/gradle-maven-publish-plugin
IanDarwin,Android-Cookbook-Examples,1k,https://github.com/IanDarwin/Android-Cookbook-Examples
coderzcr,JavaWeb-Project-Source-Share,898,https://github.com/coderzcr/JavaWeb-Project-Source-Share
gardncl,elements-of-programming-interviews,884,https://github.com/gardncl/elements-of-programming-interviews
fvarrui,JavaPackager,844,https://github.com/fvarrui/JavaPackager
javafx-maven-plugin,javafx-maven-plugin,826,https://github.com/javafx-maven-plugin/javafx-maven-plugin
jreleaser,jreleaser,825,https://github.com/jreleaser/jreleaser
Byron4j,CookBook,756,https://github.com/Byron4j/CookBook
spockframework,spock-example,748,https://github.com/spockframework/spock-example
rieckpil,blog-tutorials,719,https://github.com/rieckpil/blog-tutorials
scana,ok-gradle,669,https://github.com/scana/ok-gradle
ZHENFENG13,perfect-ssm,640,https://github.com/ZHENFENG13/perfect-ssm
visma-prodsec,confused,605,https://github.com/visma-prodsec/confused
GoogTech,sms-ssm,600,https://github.com/GoogTech/sms-ssm
aws-samples,kubernetes-for-java-developers,568,https://github.com/aws-samples/kubernetes-for-java-developers
strongbox,strongbox,554,https://github.com/strongbox/strongbox
Baidu-AIP,java-sdk,552,https://github.com/Baidu-AIP/java-sdk
wvengen,proguard-maven-plugin,541,https://github.com/wvengen/proguard-maven-plugin
openjfx,samples,534,https://github.com/openjfx/samples
bluebird75,luaunit,526,https://github.com/bluebird75/luaunit
gaarason,database-all,503,https://github.com/gaarason/database-all
adobe,aem-project-archetype,502,https://github.com/adobe/aem-project-archetype
aleksandr-m,gitflow-maven-plugin,472,https://github.com/aleksandr-m/gitflow-maven-plugin
AbdurRKhalid,Design-Patterns,471,https://github.com/AbdurRKhalid/Design-Patterns
Ardesco,Selenium-Maven-Template,451,https://github.com/Ardesco/Selenium-Maven-Template
insidersec,insider,449,https://github.com/insidersec/insider
lrwinx,shop,435,https://github.com/lrwinx/shop
fanchaoo,hahu,430,https://github.com/fanchaoo/hahu
nnngu,nguSeckill,428,https://github.com/nnngu/nguSeckill
javadevjournal,javadevjournal,421,https://github.com/javadevjournal/javadevjournal
gaoyuyue,MyUploader-Backend,417,https://github.com/gaoyuyue/MyUploader-Backend
Humsen,highdsa,407,https://github.com/Humsen/highdsa
wx-chevalier,ms-backend-boilerplates,397,https://github.com/wx-chevalier/ms-backend-boilerplates
apache,maven-surefire,396,https://github.com/apache/maven-surefire
hisenyuan,SSM_BookSystem,395,https://github.com/hisenyuan/SSM_BookSystem
spring-petclinic,spring-framework-petclinic,394,https://github.com/spring-petclinic/spring-framework-petclinic
liquidz,antq,362,https://github.com/liquidz/antq
daydreamdev,seconds-kill,358,https://github.com/daydreamdev/seconds-kill
Alovoa,alovoa,355,https://github.com/Alovoa/alovoa
ErnestOrt,Trampoline,351,https://github.com/ErnestOrt/Trampoline
Manphil,shop,344,https://github.com/Manphil/shop
fabric8io,fabric8-maven-plugin,334,https://github.com/fabric8io/fabric8-maven-plugin
CryptoMorin,XSeries,325,https://github.com/CryptoMorin/XSeries
ORCID,ORCID-Source,320,https://github.com/ORCID/ORCID-Source
apache,incubator-kie-optaplanner-quickstarts,305,https://github.com/apache/incubator-kie-optaplanner-quickstarts
mojohaus,versions,303,https://github.com/mojohaus/versions
policeman-tools,forbidden-apis,303,https://github.com/policeman-tools/forbidden-apis
TheHolyWaffle,TeamSpeak-3-Java-API,303,https://github.com/TheHolyWaffle/TeamSpeak-3-Java-API
refactorfirst,RefactorFirst,299,https://github.com/refactorfirst/RefactorFirst
graalvm,native-build-tools,298,https://github.com/graalvm/native-build-tools
micyo202,yan,296,https://github.com/micyo202/yan
antkaynak,Keyist-Ecommerce,296,https://github.com/antkaynak/Keyist-Ecommerce
Ekryd,sortpom,296,https://github.com/Ekryd/sortpom
wiverson,maven-jpackage-template,294,https://github.com/wiverson/maven-jpackage-template
bmuschko,gradle-nexus-plugin,290,https://github.com/bmuschko/gradle-nexus-plugin
yrojha4ever,JavaStud,287,https://github.com/yrojha4ever/JavaStud
bazelbuild,rules_jvm_external,287,https://github.com/bazelbuild/rules_jvm_external
yegor256,qulice,287,https://github.com/yegor256/qulice
thrsky,ThrskyShop,280,https://github.com/thrsky/ThrskyShop
ueboot,ueboot,279,https://github.com/ueboot/ueboot
qoomon,maven-git-versioning-extension,279,https://github.com/qoomon/maven-git-versioning-extension
JiuBanA1,IT-Learning-Notes,279,https://github.com/JiuBanA1/IT-Learning-Notes
ShaftHQ,SHAFT_ENGINE,277,https://github.com/ShaftHQ/SHAFT_ENGINE
dhis2,dhis2-core,260,https://github.com/dhis2/dhis2-core
revelc,formatter-maven-plugin,255,https://github.com/revelc/formatter-maven-plugin
OpticFusion1,MCAntiMalware,252,https://github.com/OpticFusion1/MCAntiMalware
adobe,aem-guides-wknd,250,https://github.com/adobe/aem-guides-wknd
jfrog,frogbot,240,https://github.com/jfrog/frogbot
apache,maven-plugins,239,https://github.com/apache/maven-plugins
soyjuanmalopez,clean-architecture,238,https://github.com/soyjuanmalopez/clean-architecture
CycloneDX,cyclonedx-maven-plugin,230,https://github.com/CycloneDX/cyclonedx-maven-plugin
cioccarellia,ksprefs,226,https://github.com/cioccarellia/ksprefs
reficio,p2-maven-plugin,222,https://github.com/reficio/p2-maven-plugin
