Username,Repository,Stars,Repo URL
flutter,flutter,157k,https://github.com/flutter/flutter
facebook,react-native,112k,https://github.com/facebook/react-native
ionic-team,ionic-framework,49.5k,https://github.com/ionic-team/ionic-framework
Solido,awesome-flutter,48.8k,https://github.com/Solido/awesome-flutter
fastlane,fastlane,37.6k,https://github.com/fastlane/fastlane
nolimits4web,swiper,36.9k,https://github.com/nolimits4web/swiper
jondot,awesome-react-native,33.4k,https://github.com/jondot/awesome-react-native
expo,expo,23.9k,https://github.com/expo/expo
youzan,vant,22k,https://github.com/youzan/vant
AvaloniaUI,Avalonia,19.9k,https://github.com/AvaloniaUI/Avalonia
matomo-org,matomo,18.3k,https://github.com/matomo-org/matomo
alibaba,weex,18.2k,https://github.com/alibaba/weex
framework7io,framework7,17.6k,https://github.com/framework7io/framework7
ElemeFE,mint-ui,16.6k,https://github.com/ElemeFE/mint-ui
liriliri,eruda,16.3k,https://github.com/liriliri/eruda
Tencent,vConsole,16k,https://github.com/Tencent/vConsole
realm,realm-swift,16k,https://github.com/realm/realm-swift
aurelia,framework,11.8k,https://github.com/aurelia/framework
taye,interact.js,11.7k,https://github.com/taye/interact.js
realm,realm-java,11.4k,https://github.com/realm/realm-java
ant-design,ant-design-mobile,11.2k,https://github.com/ant-design/ant-design-mobile
vuestorefront,vue-storefront,10.3k,https://github.com/vuestorefront/vue-storefront
AlloyTeam,Mars,9.6k,https://github.com/AlloyTeam/Mars
mvt-project,mvt,9.2k,https://github.com/mvt-project/mvt
jonataslaw,getx,9.2k,https://github.com/jonataslaw/getx
didi,chameleon,9k,https://github.com/didi/chameleon
alibaba,rax,7.9k,https://github.com/alibaba/rax
antvis,F2,7.8k,https://github.com/antvis/F2
Tencent,Hippy,7.6k,https://github.com/Tencent/Hippy
uber,RIBs,7.5k,https://github.com/uber/RIBs
organicmaps,organicmaps,7.4k,https://github.com/organicmaps/organicmaps
ctf-wiki,ctf-wiki,7.2k,https://github.com/ctf-wiki/ctf-wiki
PaddlePaddle,Paddle-Lite,6.7k,https://github.com/PaddlePaddle/Paddle-Lite
sensepost,objection,6.5k,https://github.com/sensepost/objection
sshahine,JFoenix,6.2k,https://github.com/sshahine/JFoenix
microg,GmsCore,6k,https://github.com/microg/GmsCore
atinfo,awesome-test-automation,5.9k,https://github.com/atinfo/awesome-test-automation
blinksh,blink,5.9k,https://github.com/blinksh/blink
apache,incubator-weex-ui,4.8k,https://github.com/apache/incubator-weex-ui
TeamAmaze,AmazeFileManager,4.7k,https://github.com/TeamAmaze/AmazeFileManager
SwiftOldDriver,iOS-Weekly,4.6k,https://github.com/SwiftOldDriver/iOS-Weekly
varletjs,varlet,4.4k,https://github.com/varletjs/varlet
objectbox,objectbox-java,4.2k,https://github.com/objectbox/objectbox-java
kdchang,reactjs101,4.2k,https://github.com/kdchang/reactjs101
rcbyr,keen-slider,4.2k,https://github.com/rcbyr/keen-slider
Triple-T,gradle-play-publisher,4k,https://github.com/Triple-T/gradle-play-publisher
willmcpo,body-scroll-lock,4k,https://github.com/willmcpo/body-scroll-lock
matthewhudson,current-device,3.9k,https://github.com/matthewhudson/current-device
AlmasB,FXGL,3.8k,https://github.com/AlmasB/FXGL
status-im,status-mobile,3.7k,https://github.com/status-im/status-mobile
alibaba,LuaViewSDK,3.7k,https://github.com/alibaba/LuaViewSDK
davidjerleke,embla-carousel,3.6k,https://github.com/davidjerleke/embla-carousel
nextcloud,android,3.6k,https://github.com/nextcloud/android
apache,cordova-android,3.5k,https://github.com/apache/cordova-android
wangdahoo,vonic,3.4k,https://github.com/wangdahoo/vonic
think2011,localResizeIMG,3.2k,https://github.com/think2011/localResizeIMG
wireapp,wire-ios_legacy,3.2k,https://github.com/wireapp/wire-ios_legacy
WithSecureLabs,drozer,3.2k,https://github.com/WithSecureLabs/drozer
stackshareio,awesome-stacks,3.2k,https://github.com/stackshareio/awesome-stacks
sahin,mobileplayer-ios,3k,https://github.com/sahin/mobileplayer-ios
konstaui,konsta,3k,https://github.com/konstaui/konsta
KwaiAppTeam,KOOM,2.9k,https://github.com/KwaiAppTeam/KOOM
wordpress-mobile,WordPress-Android,2.8k,https://github.com/wordpress-mobile/WordPress-Android
rikschennink,shiny,2.8k,https://github.com/rikschennink/shiny
ydcss,vue-ydui,2.8k,https://github.com/ydcss/vue-ydui
pichillilorenzo,flutter_inappwebview,2.7k,https://github.com/pichillilorenzo/flutter_inappwebview
tidev,titanium-sdk,2.7k,https://github.com/tidev/titanium-sdk
vaib25vicky,awesome-mobile-security,2.6k,https://github.com/vaib25vicky/awesome-mobile-security
orgzly,orgzly-android,2.6k,https://github.com/orgzly/orgzly-android
duskload,react-device-detect,2.5k,https://github.com/duskload/react-device-detect
leandrowd,react-responsive-carousel,2.5k,https://github.com/leandrowd/react-responsive-carousel
naver,egjs-flicking,2.5k,https://github.com/naver/egjs-flicking
remirror,remirror,2.4k,https://github.com/remirror/remirror
MarnoDev,react-native-open-project,2.4k,https://github.com/MarnoDev/react-native-open-project
delight-im,Android-AdvancedWebView,2.4k,https://github.com/delight-im/Android-AdvancedWebView
mobi-css,mobi.css,2.3k,https://github.com/mobi-css/mobi.css
Benjamin-Dobell,Heimdall,2.3k,https://github.com/Benjamin-Dobell/Heimdall
OAID,TengineKit,2.3k,https://github.com/OAID/TengineKit
coronalabs,corona,2.3k,https://github.com/coronalabs/corona
NathanWalker,angular-seed-advanced,2.3k,https://github.com/NathanWalker/angular-seed-advanced
apache,cordova-ios,2.1k,https://github.com/apache/cordova-ios
Tencent,Hardcoder,2.1k,https://github.com/Tencent/Hardcoder
OnionBrowser,OnionBrowser,2.1k,https://github.com/OnionBrowser/OnionBrowser
yanhaijing,zepto.fullpage,2.1k,https://github.com/yanhaijing/zepto.fullpage
jssor,slider,2.1k,https://github.com/jssor/slider
mazzzystar,Queryable,2.1k,https://github.com/mazzzystar/Queryable
robertodoering,harpy,2k,https://github.com/robertodoering/harpy
UnityTech,UIWidgets,2k,https://github.com/UnityTech/UIWidgets
FormidableLabs,react-swipeable,1.9k,https://github.com/FormidableLabs/react-swipeable
vant-ui,vant-demo,1.8k,https://github.com/vant-ui/vant-demo
OWASP,owasp-masvs,1.8k,https://github.com/OWASP/owasp-masvs
kubenav,kubenav,1.8k,https://github.com/kubenav/kubenav
redsolution,xabber-android,1.8k,https://github.com/redsolution/xabber-android
JideGuru,FlutterSocialAppUIKit,1.8k,https://github.com/JideGuru/FlutterSocialAppUIKit
CommunityToolkit,Maui,1.8k,https://github.com/CommunityToolkit/Maui
hoosin,mobile-web-favorites,1.7k,https://github.com/hoosin/mobile-web-favorites
vladocar,screenshoteer,1.7k,https://github.com/vladocar/screenshoteer
WebPraktikos,universal-resume,1.7k,https://github.com/WebPraktikos/universal-resume
ZhongAnTech,zarm,1.7k,https://github.com/ZhongAnTech/zarm
labmlai,labml,1.6k,https://github.com/labmlai/labml
