Username,Repository,Stars,Repo URL
bailicangdu,node-elm,12.1k,https://github.com/bailicangdu/node-elm
hagopj13,node-express-boilerplate,5.9k,https://github.com/hagopj13/node-express-boilerplate
santiq,bulletproof-nodejs,5.2k,https://github.com/santiq/bulletproof-nodejs
madhums,node-express-mongoose-demo,5.1k,https://github.com/madhums/node-express-mongoose-demo
async-labs,builderbook,3.6k,https://github.com/async-labs/builderbook
async-labs,saas,3.6k,https://github.com/async-labs/saas
kunalkapadia,express-mongoose-es6-rest-api,2.9k,https://github.com/kunalkapadia/express-mongoose-es6-rest-api
konstantinmuenster,notion-clone,2.8k,https://github.com/konstantinmuenster/notion-clone
developit,express-es6-rest-api,2.4k,https://github.com/developit/express-es6-rest-api
janishar,nodejs-backend-architecture-typescript,2.4k,https://github.com/janishar/nodejs-backend-architecture-typescript
emadehsan,thal,2.4k,https://github.com/emadehsan/thal
nodkz,mongodb-memory-server,2.3k,https://github.com/nodkz/mongodb-memory-server
ljlm0402,typescript-express-starter,2.3k,https://github.com/ljlm0402/typescript-express-starter
ladjs,lad,2.2k,https://github.com/ladjs/lad
danielfsousa,express-rest-boilerplate,2.2k,https://github.com/danielfsousa/express-rest-boilerplate
typegoose,typegoose,2.1k,https://github.com/typegoose/typegoose
Nealyang,React-Express-Blog-Demo,1.9k,https://github.com/Nealyang/React-Express-Blog-Demo
diegohaz,rest,1.8k,https://github.com/diegohaz/rest
basir,node-react-ecommerce,1.6k,https://github.com/basir/node-react-ecommerce
panshak,accountill,1.5k,https://github.com/panshak/accountill
DavideViolante,Angular-Full-Stack,1.4k,https://github.com/DavideViolante/Angular-Full-Stack
OmarElgabry,chat.io,1.4k,https://github.com/OmarElgabry/chat.io
madhums,node-express-mongoose,1.4k,https://github.com/madhums/node-express-mongoose
open-source-labs,PreVue,1.3k,https://github.com/open-source-labs/PreVue
azat-co,cheatsheets,1.3k,https://github.com/azat-co/cheatsheets
surmon-china,nodepress,1.3k,https://github.com/surmon-china/nodepress
szokodiakos,typegoose,1.2k,https://github.com/szokodiakos/typegoose
mengsixing,cdfang-spider,1.2k,https://github.com/mengsixing/cdfang-spider
JKHeadley,rest-hapi,1.2k,https://github.com/JKHeadley/rest-hapi
mohamedsamara,mern-ecommerce,1.1k,https://github.com/mohamedsamara/mern-ecommerce
mongoosastic,mongoosastic,1.1k,https://github.com/mongoosastic/mongoosastic
DrTimothyAldenDavis,SuiteSparse,910,https://github.com/DrTimothyAldenDavis/SuiteSparse
davellanedam,node-express-mongodb-jwt-rest-api-skeleton,869,https://github.com/davellanedam/node-express-mongodb-jwt-rest-api-skeleton
madlabsinc,mevn-cli,813,https://github.com/madlabsinc/mevn-cli
doug-martin,nestjs-query,768,https://github.com/doug-martin/nestjs-query
Denrox,nestjs-microservices-example,741,https://github.com/Denrox/nestjs-microservices-example
graphql-compose,graphql-compose-mongoose,703,https://github.com/graphql-compose/graphql-compose-mongoose
FrontendMasters,api-design-node-v3,693,https://github.com/FrontendMasters/api-design-node-v3
dissorial,doc-chatbot,690,https://github.com/dissorial/doc-chatbot
Ma63d,kov-blog,637,https://github.com/Ma63d/kov-blog
techreagan,youtube-clone-nodejs-api,599,https://github.com/techreagan/youtube-clone-nodejs-api
BUPT-HJM,vue-blog,597,https://github.com/BUPT-HJM/vue-blog
heimi-block,egg-RESTfulAPI,583,https://github.com/heimi-block/egg-RESTfulAPI
basir,amazona,567,https://github.com/basir/amazona
biaochenxuying,blog-node,532,https://github.com/biaochenxuying/blog-node
lawrenceamer,0xsp-Mongoose,525,https://github.com/lawrenceamer/0xsp-Mongoose
Shyam-Chen,Express-Starter,519,https://github.com/Shyam-Chen/Express-Starter
neroneroffy,private-project,490,https://github.com/neroneroffy/private-project
dan-divy,spruce,488,https://github.com/dan-divy/spruce
taobataoma,meanTorrent,487,https://github.com/taobataoma/meanTorrent
e-oj,Fawn,486,https://github.com/e-oj/Fawn
aravindnc,mongoose-paginate-v2,473,https://github.com/aravindnc/mongoose-paginate-v2
buunguyen,mongoose-deep-populate,469,https://github.com/buunguyen/mongoose-deep-populate
techreagan,vue-nodejs-youtube-clone,465,https://github.com/techreagan/vue-nodejs-youtube-clone
nestjs,mongoose,442,https://github.com/nestjs/mongoose
aerogear,create-graphql,441,https://github.com/aerogear/create-graphql
EQuimper,nodejs-api-boilerplate,441,https://github.com/EQuimper/nodejs-api-boilerplate
eggjs,egg-mongoose,433,https://github.com/eggjs/egg-mongoose
RivaanRanawat,flutter-amazon-clone-tutorial,421,https://github.com/RivaanRanawat/flutter-amazon-clone-tutorial
coderdost,full-stack-dev-2023,419,https://github.com/coderdost/full-stack-dev-2023
forms-angular,forms-angular,411,https://github.com/forms-angular/forms-angular
andrechristikan,ack-nestjs-boilerplate,406,https://github.com/andrechristikan/ack-nestjs-boilerplate
alonronin,mockingoose,374,https://github.com/alonronin/mockingoose
yuvraj24,WhatsApp-Clone,352,https://github.com/yuvraj24/WhatsApp-Clone
nemanjam,mern-boilerplate,346,https://github.com/nemanjam/mern-boilerplate
nartc,nest-mean,344,https://github.com/nartc/nest-mean
