Username,Repository,Stars,Repo URL
MvvmCross,MvvmCross,3.8k,https://github.com/MvvmCross/MvvmCross
MvvmCross,MvvmCross-Samples,337,https://github.com/MvvmCross/MvvmCross-Samples
MvvmCross,NPlus1DaysOfMvvmCross,150,https://github.com/MvvmCross/NPlus1DaysOfMvvmCross
Baseflow,Chameleon,150,https://github.com/Baseflow/Chameleon
Plac3hold3r,MvxScaffolding,123,https://github.com/Plac3hold3r/MvxScaffolding
Cheesebaron,Cheesebaron.MvxPlugins,89,https://github.com/Cheesebaron/Cheesebaron.MvxPlugins
Nethereum,Nethereum.UI.Wallet.Sample,74,https://github.com/Nethereum/Nethereum.UI.Wallet.Sample
DominicMaas,SoundByteOSS,47,https://github.com/DominicMaas/SoundByteOSS
Baseflow,MvxForms,46,https://github.com/Baseflow/MvxForms
rogerwcpt,xamarin-mvvvm-frameworks,43,https://github.com/rogerwcpt/xamarin-mvvvm-frameworks
grendio,XBottomSheet,36,https://github.com/grendio/XBottomSheet
mgj,MvvmCross-Dreams,30,https://github.com/mgj/MvvmCross-Dreams
JTOne123,XamFormsMvxTemplate,26,https://github.com/JTOne123/XamFormsMvxTemplate
softlion,XamSvg-Samples,25,https://github.com/softlion/XamSvg-Samples
zleao,MvvmCross-Extensions,21,https://github.com/zleao/MvvmCross-Extensions
nmilcoff,TagsView,20,https://github.com/nmilcoff/TagsView
AppRopio,AppRopio.Mobile,18,https://github.com/AppRopio/AppRopio.Mobile
jimbobbennett,MvvmCross-VisualStudioAddIn,14,https://github.com/jimbobbennett/MvvmCross-VisualStudioAddIn
entdark,JKChat,13,https://github.com/entdark/JKChat
mkromis,MinoriEditorShell,13,https://github.com/mkromis/MinoriEditorShell
isax5,Hymnal-Xamarin,13,https://github.com/isax5/Hymnal-Xamarin
wcoder,MvvmCrossStarterKit,12,https://github.com/wcoder/MvvmCrossStarterKit
Danielbahe,Xamarin.Popups,10,https://github.com/Danielbahe/Xamarin.Popups
MeshackMusundi,StaffStuff-MvvmCross,9,https://github.com/MeshackMusundi/StaffStuff-MvvmCross
jsuarezruiz,mvxforms-samples,9,https://github.com/jsuarezruiz/mvxforms-samples
heytherewill,MvvmCross.FSharp,8,https://github.com/heytherewill/MvvmCross.FSharp
eiadxp,MvvmCross.Platforms.Wpf.ItemsViewPresenter,7,https://github.com/eiadxp/MvvmCross.Platforms.Wpf.ItemsViewPresenter
Plac3hold3r,PH.SharedElement,7,https://github.com/Plac3hold3r/PH.SharedElement
prin53,demo-xamarin-mvvmcross-popups,5,https://github.com/prin53/demo-xamarin-mvvmcross-popups
daniel-p,XamarinWorkshop-GetReal,5,https://github.com/daniel-p/XamarinWorkshop-GetReal
rogerwcpt,weissdigital.xamarin.addins.mvxcontentpage,5,https://github.com/rogerwcpt/weissdigital.xamarin.addins.mvxcontentpage
roygarbriceno,ARDemo,5,https://github.com/roygarbriceno/ARDemo
canbilgin,mvvmcross-samples,4,https://github.com/canbilgin/mvvmcross-samples
g0rdan,g0rdan.MvxPlugin.AlertDialog,4,https://github.com/g0rdan/g0rdan.MvxPlugin.AlertDialog
orestesgaolin,bottomnavview-xamarin-example,4,https://github.com/orestesgaolin/bottomnavview-xamarin-example
Strifex,MvvmCross_Sample,4,https://github.com/Strifex/MvvmCross_Sample
mharrisonbit,FireTvApp,4,https://github.com/mharrisonbit/FireTvApp
mikeacosta,mvx-custom-binding,4,https://github.com/mikeacosta/mvx-custom-binding
Danielbahe,Fluxamarin,3,https://github.com/Danielbahe/Fluxamarin
dawcza3,MvvmCross-Qr-Code-Scanner,3,https://github.com/dawcza3/MvvmCross-Qr-Code-Scanner
yash786agg,AndroidArchitectureComponent,3,https://github.com/yash786agg/AndroidArchitectureComponent
mr-kg,XamarinMvvmCrossExamples,3,https://github.com/mr-kg/XamarinMvvmCrossExamples
LogoFX,logofx-client-mvvm-viewmodelfactory,3,https://github.com/LogoFX/logofx-client-mvvm-viewmodelfactory
eiadxp,MvvmTools,3,https://github.com/eiadxp/MvvmTools
mgj,MvvmCross-Plugins,3,https://github.com/mgj/MvvmCross-Plugins
jimbobbennett,CrossPlatformSummit,3,https://github.com/jimbobbennett/CrossPlatformSummit
NAXAM,busuu-clone-xamarin-app,3,https://github.com/NAXAM/busuu-clone-xamarin-app
sbytedev,Net.MvvmCross.Plugins.UserAgent,2,https://github.com/sbytedev/Net.MvvmCross.Plugins.UserAgent
rodolphocastro,ARDC.BizCard,2,https://github.com/rodolphocastro/ARDC.BizCard
klzig,MapX,2,https://github.com/klzig/MapX
sbytedev,Net.MvvmCross.Plugins.WebBrowser,2,https://github.com/sbytedev/Net.MvvmCross.Plugins.WebBrowser
riseworld27,MvvmCross-SMS-Example,2,https://github.com/riseworld27/MvvmCross-SMS-Example
gentilijuanmanuel,xamarin-playground,2,https://github.com/gentilijuanmanuel/xamarin-playground
sbytedev,Net.MvvmCross.Plugins.DateTimeConverter,2,https://github.com/sbytedev/Net.MvvmCross.Plugins.DateTimeConverter
b099l3,MvxTutorials,2,https://github.com/b099l3/MvxTutorials
Xablu,Meetups,2,https://github.com/Xablu/Meetups
flyingxu,MvvmCross-Tutorials,2,https://github.com/flyingxu/MvvmCross-Tutorials
flyingxu,mvvmcorss-reactiveui-interop,2,https://github.com/flyingxu/mvvmcorss-reactiveui-interop
Tyron18,TMapViews,2,https://github.com/Tyron18/TMapViews
herbat73,mcforms,1,https://github.com/herbat73/mcforms
sbytedev,Net.MvvmCross.Extensions,1,https://github.com/sbytedev/Net.MvvmCross.Extensions
smolyakoff,food-by-me,0,https://github.com/smolyakoff/food-by-me
sbytedev,Net.MvvmCross.Plugins.FeatureRegistry,0,https://github.com/sbytedev/Net.MvvmCross.Plugins.FeatureRegistry
gabrieldelaparra,TaskLog,0,https://github.com/gabrieldelaparra/TaskLog
tbalcom,MvxRecyclerViewSelection,0,https://github.com/tbalcom/MvxRecyclerViewSelection
rogerwcpt,xamarin-forms-mvvmcross-bottomtabbar,0,https://github.com/rogerwcpt/xamarin-forms-mvvmcross-bottomtabbar
tnapes96,RPECalc,0,https://github.com/tnapes96/RPECalc
csharpnl,Breakout,0,https://github.com/csharpnl/Breakout
preetanshumishra,basic-mvvmcross-setup-xamarin-native,0,https://github.com/preetanshumishra/basic-mvvmcross-setup-xamarin-native
minhnguyenlinknode,IncidentApp,0,https://github.com/minhnguyenlinknode/IncidentApp
digitalrmdy,mvx-scaffolding,0,https://github.com/digitalrmdy/mvx-scaffolding
qdzungpham,SCRecover,0,https://github.com/qdzungpham/SCRecover
cachely,MvvmCross-Drawer-Navigation-with-Fragments,0,https://github.com/cachely/MvvmCross-Drawer-Navigation-with-Fragments
CiBuildOrg,Xamarin-Starter,0,https://github.com/CiBuildOrg/Xamarin-Starter
vincenzo-petronio,LearningXamarin,0,https://github.com/vincenzo-petronio/LearningXamarin
darkmortem,TestMvvmCross,0,https://github.com/darkmortem/TestMvvmCross
prin53,demo-xamarin-mvvmcorss-storyboards,0,https://github.com/prin53/demo-xamarin-mvvmcorss-storyboards
Sridhare29,MvvmCross-Form-Authentication-App,0,https://github.com/Sridhare29/MvvmCross-Form-Authentication-App
preetanshumishra,basic-mvvmcross-setup-xamarin-forms,0,https://github.com/preetanshumishra/basic-mvvmcross-setup-xamarin-forms
EnzoA,Movies-App,0,https://github.com/EnzoA/Movies-App
mr-kg,XamarinProjectTemplates,0,https://github.com/mr-kg/XamarinProjectTemplates
Iwaneq,KZMaker,0,https://github.com/Iwaneq/KZMaker
SyncfusionExamples,How-to-bind-appointments-in-Xamarin.Forms-Schedule-using-MVVMCross,0,https://github.com/SyncfusionExamples/How-to-bind-appointments-in-Xamarin.Forms-Schedule-using-MVVMCross
SyncfusionExamples,listview_MVVMCross,0,https://github.com/SyncfusionExamples/listview_MVVMCross
llyb120,cube.js,0,https://github.com/llyb120/cube.js
tbalcom,MvxNotificationNavigation,0,https://github.com/tbalcom/MvxNotificationNavigation
MarcinSzyszka,Xamarin.AndroidInThreeWays,0,https://github.com/MarcinSzyszka/Xamarin.AndroidInThreeWays
mathieumack,MvvX.Plugins.AppCenter,0,https://github.com/mathieumack/MvvX.Plugins.AppCenter
CTLandry,xam-native-users,0,https://github.com/CTLandry/xam-native-users
azhe403,MvvmCross-MahApps-WPF,0,https://github.com/azhe403/MvvmCross-MahApps-WPF
pallaviak1,RestaurantBilling.Droid,0,https://github.com/pallaviak1/RestaurantBilling.Droid
JonathanMiz,TravelApp,0,https://github.com/JonathanMiz/TravelApp
McXinuS,IwantIcan,0,https://github.com/McXinuS/IwantIcan
RomaRudyak,xam-sdc,0,https://github.com/RomaRudyak/xam-sdc
thewayibyte,ContactsList,0,https://github.com/thewayibyte/ContactsList
