Username,Repository,Stars,Repo URL
NativeScript,NativeScript,23.1k,https://github.com/NativeScript/NativeScript
nativescript-vue,nativescript-vue,5.2k,https://github.com/nativescript-vue/nativescript-vue
alibaba,LuaViewSDK,3.7k,https://github.com/alibaba/LuaViewSDK
ngx-formly,ngx-formly,2.6k,https://github.com/ngx-formly/ngx-formly
NathanWalker,angular-seed-advanced,2.3k,https://github.com/NathanWalker/angular-seed-advanced
momotech,MLN,1.6k,https://github.com/momotech/MLN
NativeScript,nativescript-angular,1.2k,https://github.com/NativeScript/nativescript-angular
NativeScript,nativescript-cli,1k,https://github.com/NativeScript/nativescript-cli
EddyVerbruggen,nativescript-plugin-firebase,1k,https://github.com/EddyVerbruggen/nativescript-plugin-firebase
NativeScript,android,504,https://github.com/NativeScript/android
NativeScript,docs-v7,446,https://github.com/NativeScript/docs-v7
OpenNative,open-native,406,https://github.com/OpenNative/open-native
nstudio,xplat,356,https://github.com/nstudio/xplat
ShadowApex,godot-go,347,https://github.com/ShadowApex/godot-go
tralves,groceries-ns-vue,303,https://github.com/tralves/groceries-ns-vue
NativeScript,ios-jsc,295,https://github.com/NativeScript/ios-jsc
EddyVerbruggen,nativescript-barcodescanner,292,https://github.com/EddyVerbruggen/nativescript-barcodescanner
nstudio,nativescript-cardview,284,https://github.com/nstudio/nativescript-cardview
aptabase,aptabase,280,https://github.com/aptabase/aptabase
shirakaba,react-nativescript,269,https://github.com/shirakaba/react-nativescript
TeamMaestro,angular-native-seed,266,https://github.com/TeamMaestro/angular-native-seed
anihalaney,rwa-trivia,254,https://github.com/anihalaney/rwa-trivia
dapriett,nativescript-google-maps-sdk,243,https://github.com/dapriett/nativescript-google-maps-sdk
NativeScript,nativescript-app-templates,214,https://github.com/NativeScript/nativescript-app-templates
nativescript-community,ui-material-components,209,https://github.com/nativescript-community/ui-material-components
Yermo,nativescript-mapbox,194,https://github.com/Yermo/nativescript-mapbox
NativeScript,nativescript-schematics,187,https://github.com/NativeScript/nativescript-schematics
nativescript-community,ble,178,https://github.com/nativescript-community/ble
EddyVerbruggen,nativescript-pluginshowcase,176,https://github.com/EddyVerbruggen/nativescript-pluginshowcase
nativescript-community,ui-lottie,175,https://github.com/nativescript-community/ui-lottie
NativeScript,plugins,175,https://github.com/NativeScript/plugins
mean-expert-official,fireloop.io,173,https://github.com/mean-expert-official/fireloop.io
manijak,nativescript-carousel,162,https://github.com/manijak/nativescript-carousel
EddyVerbruggen,nativescript-local-notifications,162,https://github.com/EddyVerbruggen/nativescript-local-notifications
nstudio,nativescript-pulltorefresh,144,https://github.com/nstudio/nativescript-pulltorefresh
Gonzalo2310,awesome-nativescript-vue,144,https://github.com/Gonzalo2310/awesome-nativescript-vue
NativeScript,nativescript-geolocation,138,https://github.com/NativeScript/nativescript-geolocation
nstudio,nativescript-floatingactionbutton,137,https://github.com/nstudio/nativescript-floatingactionbutton
EddyVerbruggen,nativescript-fingerprint-auth,133,https://github.com/EddyVerbruggen/nativescript-fingerprint-auth
NativeScript,tailwind,133,https://github.com/NativeScript/tailwind
nstudio,nativescript-videoplayer,132,https://github.com/nstudio/nativescript-videoplayer
EddyVerbruggen,nativescript-feedback,128,https://github.com/EddyVerbruggen/nativescript-feedback
NativeScript,push-plugin,122,https://github.com/NativeScript/push-plugin
NativeScript,nativescript-app-sync,122,https://github.com/NativeScript/nativescript-app-sync
NativeScript,ios,119,https://github.com/NativeScript/ios
nstudio,nativescript-checkbox,118,https://github.com/nstudio/nativescript-checkbox
EddyVerbruggen,nativescript-ar,117,https://github.com/EddyVerbruggen/nativescript-ar
ProgressNS,nativescript-ui-feedback,114,https://github.com/ProgressNS/nativescript-ui-feedback
EddyVerbruggen,nativescript-secure-storage,109,https://github.com/EddyVerbruggen/nativescript-secure-storage
PeterStaev,NativeScript-Drop-Down,104,https://github.com/PeterStaev/NativeScript-Drop-Down
NativeScript,nativescript-imagepicker,103,https://github.com/NativeScript/nativescript-imagepicker
rdlauer,plum,102,https://github.com/rdlauer/plum
NativeScript,nativescript-plugin-seed,102,https://github.com/NativeScript/nativescript-plugin-seed
NativeScript,nativescript-dev-webpack,97,https://github.com/NativeScript/nativescript-dev-webpack
nativescript-vue,nativescript-vue-navigator,97,https://github.com/nativescript-vue/nativescript-vue-navigator
Yoonit-Labs,nativescript-yoonit-camera,93,https://github.com/Yoonit-Labs/nativescript-yoonit-camera
