Username,Repository,Stars,Repo URL
nim-lang,Nim,15.6k,https://github.com/nim-lang/Nim
zedeus,nitter,8.5k,https://github.com/zedeus/nitter
kaitai-io,kaitai_struct,3.6k,https://github.com/kaitai-io/kaitai_struct
Dav1dde,glad,3.2k,https://github.com/Dav1dde/glad
dom96,jester,1.5k,https://github.com/dom96/jester
nim-lang,nimble,1.2k,https://github.com/nim-lang/nimble
planety,prologue,1.2k,https://github.com/planety/prologue
mratsim,Arraymancer,1.2k,https://github.com/mratsim/Arraymancer
yglukhov,nimx,1k,https://github.com/yglukhov/nimx
aduros,wasm4,968,https://github.com/aduros/wasm4
ringabout,awesome-nim,882,https://github.com/ringabout/awesome-nim
Pebaz,nimporter,790,https://github.com/Pebaz/nimporter
nim-lang,nimforum,734,https://github.com/nim-lang/nimforum
codic12,worm,681,https://github.com/codic12/worm
simonkrauter,NiGui,661,https://github.com/simonkrauter/NiGui
VPashkov,awesome-nim,652,https://github.com/VPashkov/awesome-nim
arnetheduck,nlvm,639,https://github.com/arnetheduck/nlvm
dom96,choosenim,637,https://github.com/dom96/choosenim
inim-repl,INim,615,https://github.com/inim-repl/INim
brentp,mosdepth,601,https://github.com/brentp/mosdepth
dom96,nimkernel,597,https://github.com/dom96/nimkernel
ftsf,nico,571,https://github.com/ftsf/nico
fox0430,moe,560,https://github.com/fox0430/moe
aeverj,NimShellCodeLoader,556,https://github.com/aeverj/NimShellCodeLoader
py2many,py2many,551,https://github.com/py2many/py2many
status-im,nimbus-eth1,538,https://github.com/status-im/nimbus-eth1
frol,completely-unscientific-benchmarks,529,https://github.com/frol/completely-unscientific-benchmarks
hanabi1224,Programming-Language-Benchmarks,500,https://github.com/hanabi1224/Programming-Language-Benchmarks
pragmagic,godot-nim,486,https://github.com/pragmagic/godot-nim
adeemm,WinAPI-Fun,457,https://github.com/adeemm/WinAPI-Fun
status-im,nimbus-eth2,455,https://github.com/status-im/nimbus-eth2
sinkingsugar,nimtorch,450,https://github.com/sinkingsugar/nimtorch
nim-lang,packages,427,https://github.com/nim-lang/packages
dsrw,enu,417,https://github.com/dsrw/enu
dom96,httpbeast,405,https://github.com/dom96/httpbeast
dom96,Aporia,382,https://github.com/dom96/Aporia
calebwin,pipelines,373,https://github.com/calebwin/pipelines
jmgomez,NimForUE,362,https://github.com/jmgomez/NimForUE
moigagoo,norm,353,https://github.com/moigagoo/norm
nimgl,nimgl,349,https://github.com/nimgl/nimgl
elddy,NimScan,344,https://github.com/elddy/NimScan
nimterop,nimterop,338,https://github.com/nimterop/nimterop
johnnovak,illwill,334,https://github.com/johnnovak/illwill
bluenote10,NimData,325,https://github.com/bluenote10/NimData
jschlatow,taskopen,324,https://github.com/jschlatow/taskopen
HapticX,happyx,320,https://github.com/HapticX/happyx
status-im,nim-chronos,310,https://github.com/status-im/nim-chronos
d4rckh,vaf,304,https://github.com/d4rckh/vaf
zevv,npeg,301,https://github.com/zevv/npeg
h3rald,min,295,https://github.com/h3rald/min
StefanSalewski,gintro,283,https://github.com/StefanSalewski/gintro
xyproto,sdl2-examples,281,https://github.com/xyproto/sdl2-examples
can-lehmann,owlkettle,270,https://github.com/can-lehmann/owlkettle
andreaferretti,patty,261,https://github.com/andreaferretti/patty
costajob,app-servers,257,https://github.com/costajob/app-servers
netease-kit,NIM_PC_Demo,252,https://github.com/netease-kit/NIM_PC_Demo
andreaferretti,neo,237,https://github.com/andreaferretti/neo
pragmagic,vscode-nim,236,https://github.com/pragmagic/vscode-nim
guzba,mummy,229,https://github.com/guzba/mummy
status-im,status-desktop,229,https://github.com/status-im/status-desktop
itsumura-h,nim-basolato,227,https://github.com/itsumura-h/nim-basolato
status-im,nim-libp2p,224,https://github.com/status-im/nim-libp2p
guzba,zippy,223,https://github.com/guzba/zippy
fragworks,frag,212,https://github.com/fragworks/frag
nitely,nim-regex,207,https://github.com/nitely/nim-regex
krisppurg,dimscord,206,https://github.com/krisppurg/dimscord
docopt,docopt.nim,200,https://github.com/docopt/docopt.nim
HuskyHacks,ShadowSteal,197,https://github.com/HuskyHacks/ShadowSteal
andreaferretti,rosencrantz,195,https://github.com/andreaferretti/rosencrantz
exelotl,natu,193,https://github.com/exelotl/natu
dom96,nim-in-action-code,192,https://github.com/dom96/nim-in-action-code
june07,NiM,191,https://github.com/june07/NiM
alaviss,nim.nvim,190,https://github.com/alaviss/nim.nvim
Niminem,Neel,188,https://github.com/Niminem/Neel
h3rald,hastyscribe,188,https://github.com/h3rald/hastyscribe
xmonader,nimdays,186,https://github.com/xmonader/nimdays
icyphox,nicy,184,https://github.com/icyphox/nicy
sh3d0ww01f,nim_shellloader,182,https://github.com/sh3d0ww01f/nim_shellloader
juancarlospaco,nodejs,182,https://github.com/juancarlospaco/nodejs
Yardanico,nimpylib,180,https://github.com/Yardanico/nimpylib
nim-works,cps,177,https://github.com/nim-works/cps
ChristianMurphy,compile-to-web,177,https://github.com/ChristianMurphy/compile-to-web
flyx,NimYAML,174,https://github.com/flyx/NimYAML
Patitotective,ImThemes,173,https://github.com/Patitotective/ImThemes
vitreo12,omni,171,https://github.com/vitreo12/omni
elcritch,nesper,169,https://github.com/elcritch/nesper
eversinc33,BouncyGate,169,https://github.com/eversinc33/BouncyGate
SciNim,nim-plotly,168,https://github.com/SciNim/nim-plotly
Vladar4,nimgame2,163,https://github.com/Vladar4/nimgame2
cheatfate,nimcrypto,163,https://github.com/cheatfate/nimcrypto
liquidev,rapid,162,https://github.com/liquidev/rapid
jangko,nimpdf,161,https://github.com/jangko/nimpdf
pietroppeter,nimib,159,https://github.com/pietroppeter/nimib
disruptek,nimph,158,https://github.com/disruptek/nimph
ThomasTJdev,nim_websitecreator,158,https://github.com/ThomasTJdev/nim_websitecreator
enthus1ast,nimja,156,https://github.com/enthus1ast/nimja
PMunch,protobuf-nim,154,https://github.com/PMunch/protobuf-nim
zacharycarter,zengine,152,https://github.com/zacharycarter/zengine
stisa,jupyternim,151,https://github.com/stisa/jupyternim
brentp,hts-nim,151,https://github.com/brentp/hts-nim
