Username,Repository,Stars,Repo URL
redis,redis,61.8k,https://github.com/redis/redis
dbeaver,dbeaver,34.1k,https://github.com/dbeaver/dbeaver
mongodb,mongo,24.5k,https://github.com/mongodb/mongo
surrealdb,surrealdb,22.9k,https://github.com/surrealdb/surrealdb
pubkey,rxdb,19.7k,https://github.com/pubkey/rxdb
arangodb,arangodb,13.1k,https://github.com/arangodb/arangodb
CodisLabs,codis,13k,https://github.com/CodisLabs/codis
neo4j,neo4j,11.9k,https://github.com/neo4j/neo4j
scylladb,scylladb,11.2k,https://github.com/scylladb/scylladb
mongodb,node-mongodb-native,9.9k,https://github.com/mongodb/node-mongodb-native
appbaseio,dejavu,8.2k,https://github.com/appbaseio/dejavu
mbdavid,LiteDB,7.8k,https://github.com/mbdavid/LiteDB
linkedin,school-of-sre,7.4k,https://github.com/linkedin/school-of-sre
madd86,awesome-system-design,7.2k,https://github.com/madd86/awesome-system-design
oracle,docker-images,6.2k,https://github.com/oracle/docker-images
apache,zeppelin,6.2k,https://github.com/apache/zeppelin
msiemens,tinydb,6.2k,https://github.com/msiemens/tinydb
OpenAtomFoundation,pika,5.3k,https://github.com/OpenAtomFoundation/pika
dzharii,awesome-elasticsearch,4.7k,https://github.com/dzharii/awesome-elasticsearch
orientechnologies,orientdb,4.6k,https://github.com/orientechnologies/orientdb
cube2222,octosql,4.6k,https://github.com/cube2222/octosql
apache,lucene-solr,4.4k,https://github.com/apache/lucene-solr
objectbox,objectbox-java,4.2k,https://github.com/objectbox/objectbox-java
Netflix,dynomite,4.1k,https://github.com/Netflix/dynomite
apache,iotdb,4k,https://github.com/apache/iotdb
isar,hive,3.7k,https://github.com/isar/hive
dunwu,db-tutorial,3.6k,https://github.com/dunwu/db-tutorial
IoT-Technology,IoT-Technical-Guide,3.6k,https://github.com/IoT-Technology/IoT-Technical-Guide
nosqlclient,nosqlclient,3.5k,https://github.com/nosqlclient/nosqlclient
upper,db,3.4k,https://github.com/upper/db
ravendb,ravendb,3.3k,https://github.com/ravendb/ravendb
mongodb,mongo-csharp-driver,3.1k,https://github.com/mongodb/mongo-csharp-driver
YSGStudyHards,DotNetGuide,2.8k,https://github.com/YSGStudyHards/DotNetGuide
HouzuoGuo,tiedot,2.7k,https://github.com/HouzuoGuo/tiedot
Tencent,Tendis,2.6k,https://github.com/Tencent/Tendis
codingo,NoSQLMap,2.5k,https://github.com/codingo/NoSQLMap
terminusdb,terminusdb,2.5k,https://github.com/terminusdb/terminusdb
gocql,gocql,2.5k,https://github.com/gocql/gocql
gluesql,gluesql,2.4k,https://github.com/gluesql/gluesql
pilgr,Paper,2.3k,https://github.com/pilgr/Paper
griddb,griddb,2.2k,https://github.com/griddb/griddb
rom-rb,rom,2.1k,https://github.com/rom-rb/rom
apache,lucene,2k,https://github.com/apache/lucene
symisc,unqlite,1.9k,https://github.com/symisc/unqlite
RedisGraph,RedisGraph,1.9k,https://github.com/RedisGraph/RedisGraph
apache,incubator-pegasus,1.9k,https://github.com/apache/incubator-pegasus
