Username,Repository,Stars,Repo URL
freeCodeCamp,freeCodeCamp,376k,https://github.com/freeCodeCamp/freeCodeCamp
30-seconds,30-seconds-of-code,116k,https://github.com/30-seconds/30-seconds-of-code
electron,electron,109k,https://github.com/electron/electron
axios,axios,102k,https://github.com/axios/axios
nodejs,node,98.6k,https://github.com/nodejs/node
goldbergyoni,nodebestpractices,93.3k,https://github.com/goldbergyoni/nodebestpractices
nvm-sh,nvm,70.8k,https://github.com/nvm-sh/nvm
oven-sh,bun,64.4k,https://github.com/oven-sh/bun
expressjs,express,62.1k,https://github.com/expressjs/express
nestjs,nest,60.3k,https://github.com/nestjs/nest
leonardomso,33-js-concepts,59.3k,https://github.com/leonardomso/33-js-concepts
socketio,socket.io,59.1k,https://github.com/socketio/socket.io
strapi,strapi,56.6k,https://github.com/strapi/strapi
sindresorhus,awesome-nodejs,53.1k,https://github.com/sindresorhus/awesome-nodejs
TryGhost,Ghost,44.2k,https://github.com/TryGhost/Ghost
meteor,meteor,43.8k,https://github.com/meteor/meteor
nwjs,nw.js,39.9k,https://github.com/nwjs/nw.js
Unitech,pm2,39.8k,https://github.com/Unitech/pm2
laurent22,joplin,39k,https://github.com/laurent22/joplin
Asabeneh,30-Days-Of-JavaScript,38.8k,https://github.com/Asabeneh/30-Days-Of-JavaScript
google,zx,38.7k,https://github.com/google/zx
GitSquared,edex-ui,38.6k,https://github.com/GitSquared/edex-ui
hexojs,hexo,37.6k,https://github.com/hexojs/hexo
FreeCodeCampChina,freecodecamp.cn,36.6k,https://github.com/FreeCodeCampChina/freecodecamp.cn
LeCoupa,awesome-cheatsheets,34.8k,https://github.com/LeCoupa/awesome-cheatsheets
sahat,hackathon-starter,34.5k,https://github.com/sahat/hackathon-starter
nativefier,nativefier,34.3k,https://github.com/nativefier/nativefier
prisma,prisma,34.3k,https://github.com/prisma/prisma
SheetJS,sheetjs,33.7k,https://github.com/SheetJS/sheetjs
date-fns,date-fns,32.5k,https://github.com/date-fns/date-fns
coreybutler,nvm-windows,30.9k,https://github.com/coreybutler/nvm-windows
novuhq,novu,29.8k,https://github.com/novuhq/novu
Binaryify,NeteaseCloudMusicApi,29.3k,https://github.com/Binaryify/NeteaseCloudMusicApi
gofiber,fiber,28.8k,https://github.com/gofiber/fiber
fastify,fastify,28.7k,https://github.com/fastify/fastify
standard,standard,28.6k,https://github.com/standard/standard
sequelize,sequelize,28.5k,https://github.com/sequelize/sequelize
webtorrent,webtorrent,28.4k,https://github.com/webtorrent/webtorrent
lovell,sharp,26.4k,https://github.com/lovell/sharp
Automattic,mongoose,26.1k,https://github.com/Automattic/mongoose
pnpm,pnpm,25.7k,https://github.com/pnpm/pnpm
ToolJet,ToolJet,24.5k,https://github.com/ToolJet/ToolJet
haizlin,fe-interview,24.1k,https://github.com/haizlin/fe-interview
discordjs,discord.js,24k,https://github.com/discordjs/discord.js
vercel,pkg,23.8k,https://github.com/vercel/pkg
openfaas,faas,23.6k,https://github.com/openfaas/faas
goldbergyoni,javascript-testing-best-practices,22.4k,https://github.com/goldbergyoni/javascript-testing-best-practices
kriasoft,react-starter-kit,22.2k,https://github.com/kriasoft/react-starter-kit
mochajs,mocha,22.2k,https://github.com/mochajs/mocha
requarks,wiki,22.1k,https://github.com/requarks/wiki
jaredhanson,passport,21.9k,https://github.com/jaredhanson/passport
outline,outline,20.7k,https://github.com/outline/outline
avajs,ava,20.5k,https://github.com/avajs/ava
parse-community,parse-server,20.4k,https://github.com/parse-community/parse-server
websockets,ws,20.4k,https://github.com/websockets/ws
medusajs,medusa,20.2k,https://github.com/medusajs/medusa
typicode,lowdb,20.1k,https://github.com/typicode/lowdb
pubkey,rxdb,19.7k,https://github.com/pubkey/rxdb
nrwl,nx,19.7k,https://github.com/nrwl/nx
svg,svgo,19.7k,https://github.com/svg/svgo
immich-app,immich,19.6k,https://github.com/immich-app/immich
jsdom,jsdom,19.3k,https://github.com/jsdom/jsdom
nextauthjs,next-auth,19.2k,https://github.com/nextauthjs/next-auth
eggjs,egg,18.7k,https://github.com/eggjs/egg
SBoudrias,Inquirer.js,18.7k,https://github.com/SBoudrias/Inquirer.js
mysqljs,mysql,18k,https://github.com/mysqljs/mysql
motdotla,dotenv,17.8k,https://github.com/motdotla/dotenv
alibaba,ice,17.7k,https://github.com/alibaba/ice
statsd,statsd,17.2k,https://github.com/statsd/statsd
alsotang,node-lessons,16.5k,https://github.com/alsotang/node-lessons
redis,node-redis,16.4k,https://github.com/redis/node-redis
dexteryy,spellbook-of-modern-webdev,16.4k,https://github.com/dexteryy/spellbook-of-modern-webdev
salomonelli,best-resume-ever,16.1k,https://github.com/salomonelli/best-resume-ever
modood,Administrative-divisions-of-China,15.9k,https://github.com/modood/Administrative-divisions-of-China
justadudewhohacks,face-api.js,15.5k,https://github.com/justadudewhohacks/face-api.js
verdaccio,verdaccio,15.3k,https://github.com/verdaccio/verdaccio
nswbmw,N-blog,15.3k,https://github.com/nswbmw/N-blog
feathersjs,feathers,14.8k,https://github.com/feathersjs/feathers
gpujs,gpu.js,14.7k,https://github.com/gpujs/gpu.js
keystonejs,keystone-classic,14.7k,https://github.com/keystonejs/keystone-classic
OptimalBits,bull,14.5k,https://github.com/OptimalBits/bull
adonisjs,core,14.4k,https://github.com/adonisjs/core
hapijs,hapi,14.4k,https://github.com/hapijs/hapi
drizzle-team,drizzle-orm,14.1k,https://github.com/drizzle-team/drizzle-orm
shelljs,shelljs,14k,https://github.com/shelljs/shelljs
BrainJS,brain.js,14k,https://github.com/BrainJS/brain.js
leon-ai,leon,13.6k,https://github.com/leon-ai/leon
NodeBB,NodeBB,13.6k,https://github.com/NodeBB/NodeBB
Schniz,fnm,13.6k,https://github.com/Schniz/fnm
sindresorhus,got,13.5k,https://github.com/sindresorhus/got
Lissy93,dashy,13.2k,https://github.com/Lissy93/dashy
avwo,whistle,13.1k,https://github.com/avwo/whistle
payloadcms,payload,13k,https://github.com/payloadcms/payload
marko-js,marko,12.8k,https://github.com/marko-js/marko
auchenberg,volkswagen,12.8k,https://github.com/auchenberg/volkswagen
jwagner,smartcrop.js,12.7k,https://github.com/jwagner/smartcrop.js
amplication,amplication,12.7k,https://github.com/amplication/amplication
clearw5,Auto.js,12.6k,https://github.com/clearw5/Auto.js
graphql,dataloader,12.4k,https://github.com/graphql/dataloader
nexe,nexe,12.4k,https://github.com/nexe/nexe
