Username,Repository,Stars,Repo URL
vsouza,awesome-ios,44.2k,https://github.com/vsouza/awesome-ios
serhii-londar,open-source-mac-os-apps,37.2k,https://github.com/serhii-londar/open-source-mac-os-apps
dkhamsing,open-source-ios-apps,36.7k,https://github.com/dkhamsing/open-source-ios-apps
SDWebImage,SDWebImage,24.7k,https://github.com/SDWebImage/SDWebImage
NativeScript,NativeScript,23.1k,https://github.com/NativeScript/NativeScript
hackiftekhar,IQKeyboardManager,16.2k,https://github.com/hackiftekhar/IQKeyboardManager
realm,realm-swift,16k,https://github.com/realm/realm-swift
OpenEmu,OpenEmu,15.3k,https://github.com/OpenEmu/OpenEmu
facebook,infer,14.4k,https://github.com/facebook/infer
CocoaPods,CocoaPods,14.3k,https://github.com/CocoaPods/CocoaPods
kyleneideck,BackgroundMusic,14.2k,https://github.com/kyleneideck/BackgroundMusic
CoderMJLee,MJRefresh,13.7k,https://github.com/CoderMJLee/MJRefresh
CocoaLumberjack,CocoaLumberjack,13k,https://github.com/CocoaLumberjack/CocoaLumberjack
Instagram,IGListKit,12.7k,https://github.com/Instagram/IGListKit
halfrost,Halfrost-Field,12.4k,https://github.com/halfrost/Halfrost-Field
SVProgressHUD,SVProgressHUD,12.4k,https://github.com/SVProgressHUD/SVProgressHUD
Tim9Liu9,TimLiu-iOS,11.5k,https://github.com/Tim9Liu9/TimLiu-iOS
Mantle,Mantle,11.3k,https://github.com/Mantle/Mantle
Hammerspoon,hammerspoon,10.9k,https://github.com/Hammerspoon/hammerspoon
futurice,ios-good-practices,10.8k,https://github.com/futurice/ios-good-practices
glideapps,quicktype,10.7k,https://github.com/glideapps/quicktype
WenchaoD,FSCalendar,10.4k,https://github.com/WenchaoD/FSCalendar
Quick,Quick,9.7k,https://github.com/Quick/Quick
assimp,assimp,9.6k,https://github.com/assimp/assimp
MacDownApp,macdown,9.3k,https://github.com/MacDownApp/macdown
sequelpro,sequelpro,8.9k,https://github.com/sequelpro/sequelpro
CoderMJLee,MJExtension,8.5k,https://github.com/CoderMJLee/MJExtension
steipete,Aspects,8.4k,https://github.com/steipete/Aspects
draveness,analyze,8.1k,https://github.com/draveness/analyze
sveinbjornt,Sloth,8k,https://github.com/sveinbjornt/Sloth
xmake-io,xmake,7.8k,https://github.com/xmake-io/xmake
olucurious,Awesome-ARKit,7.7k,https://github.com/olucurious/Awesome-ARKit
organicmaps,organicmaps,7.4k,https://github.com/organicmaps/organicmaps
jverdi,JVFloatLabeledTextField,7.2k,https://github.com/jverdi/JVFloatLabeledTextField
JetBrains,kotlin-native,7.1k,https://github.com/JetBrains/kotlin-native
tonymillion,Reachability,7k,https://github.com/tonymillion/Reachability
WenchaoD,FSPagerView,6.9k,https://github.com/WenchaoD/FSPagerView
ChenYilong,CYLTabBarController,6.8k,https://github.com/ChenYilong/CYLTabBarController
MacPass,MacPass,6.6k,https://github.com/MacPass/MacPass
nisrulz,flutter-examples,6.6k,https://github.com/nisrulz/flutter-examples
jverkoey,nimbus,6.5k,https://github.com/jverkoey/nimbus
qvacua,vimr,6.4k,https://github.com/qvacua/vimr
BohdanOrlov,iOS-Developer-Roadmap,6.3k,https://github.com/BohdanOrlov/iOS-Developer-Roadmap
AloneMonkey,MonkeyDev,6.2k,https://github.com/AloneMonkey/MonkeyDev
julienXX,terminal-notifier,6.2k,https://github.com/julienXX/terminal-notifier
pujiaxin33,JXCategoryView,6k,https://github.com/pujiaxin33/JXCategoryView
Sequel-Ace,Sequel-Ace,5.9k,https://github.com/Sequel-Ace/Sequel-Ace
xmartlabs,XLForm,5.8k,https://github.com/xmartlabs/XLForm
joeldev,JLRoutes,5.7k,https://github.com/joeldev/JLRoutes
schneiderandre,popping,5.6k,https://github.com/schneiderandre/popping
Wolg,awesome-swift,5.5k,https://github.com/Wolg/awesome-swift
NJHu,iOSProject,5.4k,https://github.com/NJHu/iOSProject
soffes,SAMKeychain,5.4k,https://github.com/soffes/SAMKeychain
Provenance-Emu,Provenance,5.4k,https://github.com/Provenance-Emu/Provenance
ZipArchive,ZipArchive,5.3k,https://github.com/ZipArchive/ZipArchive
newmarcel,KeepingYouAwake,5.2k,https://github.com/newmarcel/KeepingYouAwake
ravynsoft,ravynos,5.1k,https://github.com/ravynsoft/ravynos
eggswift,ESTabBarController,5k,https://github.com/eggswift/ESTabBarController
AliSoftware,OHHTTPStubs,5k,https://github.com/AliSoftware/OHHTTPStubs
KrauseFx,TSMessages,4.9k,https://github.com/KrauseFx/TSMessages
material-components,material-components-ios,4.7k,https://github.com/material-components/material-components-ios
firebase,firebase-ios-sdk,4.7k,https://github.com/firebase/firebase-ios-sdk
SwiftOldDriver,iOS-Weekly,4.6k,https://github.com/SwiftOldDriver/iOS-Weekly
mapbox,mapbox-gl-native,4.3k,https://github.com/mapbox/mapbox-gl-native
google,santa,4.2k,https://github.com/google/santa
marcobambini,gravity,4.2k,https://github.com/marcobambini/gravity
progrium,macdriver,4.2k,https://github.com/progrium/macdriver
cbpowell,MarqueeLabel,4.1k,https://github.com/cbpowell/MarqueeLabel
alibaba,coobjc,4k,https://github.com/alibaba/coobjc
HeshamMegid,HMSegmentedControl,4k,https://github.com/HeshamMegid/HMSegmentedControl
pinterest,PINRemoteImage,4k,https://github.com/pinterest/PINRemoteImage
CocoaDebug,CocoaDebug,4k,https://github.com/CocoaDebug/CocoaDebug
ninjinkun,NJKWebViewProgress,3.9k,https://github.com/ninjinkun/NJKWebViewProgress
ko1o,PYSearch,3.8k,https://github.com/ko1o/PYSearch
tombenner,nui,3.8k,https://github.com/tombenner/nui
google,promises,3.8k,https://github.com/google/promises
ealeksandrov,EAIntroView,3.8k,https://github.com/ealeksandrov/EAIntroView
telly,TLYShyNavBar,3.8k,https://github.com/telly/TLYShyNavBar
SBJson,SBJson,3.7k,https://github.com/SBJson/SBJson
tuist,tuist,3.7k,https://github.com/tuist/tuist
Yalantis,FoldingTabBar.iOS,3.7k,https://github.com/Yalantis/FoldingTabBar.iOS
CoderZhuXH,XHLaunchAd,3.7k,https://github.com/CoderZhuXH/XHLaunchAd
wordpress-mobile,WordPress-iOS,3.6k,https://github.com/wordpress-mobile/WordPress-iOS
draveness,DKNightVersion,3.6k,https://github.com/draveness/DKNightVersion
dogo,SCLAlertView,3.5k,https://github.com/dogo/SCLAlertView
shaojiankui,JKCategories,3.3k,https://github.com/shaojiankui/JKCategories
artsy,eigen,3.3k,https://github.com/artsy/eigen
tigerAndBull,TABAnimated,3.3k,https://github.com/tigerAndBull/TABAnimated
JonasGessner,JGProgressHUD,3.3k,https://github.com/JonasGessner/JGProgressHUD
LinkedInAttic,LayoutKit,3.2k,https://github.com/LinkedInAttic/LayoutKit
ChatSecure,ChatSecure-iOS,3.1k,https://github.com/ChatSecure/ChatSecure-iOS
twitter,twitter-text,3k,https://github.com/twitter/twitter-text
llvm-mirror,clang,3k,https://github.com/llvm-mirror/clang
LeoNatan,LNPopupController,3k,https://github.com/LeoNatan/LNPopupController
YouXianMing,Animations,2.9k,https://github.com/YouXianMing/Animations
12207480,TYAttributedLabel,2.9k,https://github.com/12207480/TYAttributedLabel
YouXianMing,YoCelsius,2.9k,https://github.com/YouXianMing/YoCelsius
travisjeffery,ClangFormat-Xcode,2.9k,https://github.com/travisjeffery/ClangFormat-Xcode
wikimedia,wikipedia-ios,2.8k,https://github.com/wikimedia/wikipedia-ios
parse-community,Parse-SDK-iOS-OSX,2.8k,https://github.com/parse-community/Parse-SDK-iOS-OSX
